,TNC US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-02-03,16.8387
2022-02-04,16.5934
2022-02-05,16.5934
2022-02-06,16.5934
2022-02-07,16.9079
2022-02-08,17.1018
2022-02-09,17.2304
2022-02-10,16.7418
2022-02-11,16.8545
2022-02-12,16.8545
2022-02-13,16.8545
2022-02-14,17.0286
2022-02-15,17.4045
2022-02-16,17.5351
2022-02-17,17.4065
2022-02-18,17.4441
2022-02-19,17.4441
2022-02-20,17.4441
2022-02-21,17.4441
2022-02-22,17.2719
2022-02-23,17.0998
2022-02-24,17.119
2022-02-25,17.6152
2022-02-26,17.6152
2022-02-27,17.6152
2022-02-28,17.5737
2022-03-01,17.2732
2022-03-02,17.6508
2022-03-03,17.5816
2022-03-04,17.6943
2022-03-05,17.6943
2022-03-06,17.6943
2022-03-07,17.6212
2022-03-08,17.374
2022-03-09,17.7042
2022-03-10,17.7556
2022-03-11,17.9691
2022-03-12,17.9691
2022-03-13,17.9691
2022-03-14,18.2618
2022-03-15,18.4694
2022-03-16,18.3468
2022-03-17,18.5812
2022-03-18,18.8964
2022-03-19,18.8964
2022-03-20,18.8964
2022-03-21,18.603
2022-03-22,18.5098
2022-03-23,18.0599
2022-03-24,17.8696
2022-03-25,17.9072
2022-03-26,17.9072
2022-03-27,17.9072
2022-03-28,17.7328
2022-03-29,18.1808
2022-03-30,17.8933
2022-03-31,23.0415
2022-04-01,23.1524
2022-04-02,23.1524
2022-04-03,23.1524
2022-04-04,22.8816
2022-04-05,22.2599
2022-04-06,21.8755
2022-04-07,21.7904
2022-04-08,21.4267
2022-04-09,21.4267
2022-04-10,21.4267
2022-04-11,21.0836
2022-04-12,21.2745
2022-04-13,21.3699
2022-04-14,21.1016
2022-04-15,21.1016
2022-04-16,21.1016
2022-04-17,21.1016
2022-04-18,21.2203
2022-04-19,21.6743
2022-04-20,21.9968
2022-04-21,22.0613
2022-04-22,21.8549
2022-04-23,21.8549
2022-04-24,21.8549
2022-04-25,21.6769
2022-04-26,20.983
2022-04-27,20.8824
2022-04-28,20.486
2022-04-29,19.379
2022-04-30,19.379
2022-05-01,19.379
2022-05-02,19.0641
2022-05-03,18.8164
2022-05-04,19.1932
2022-05-05,18.5093
2022-05-06,18.3287
2022-05-07,18.3287
2022-05-08,18.3287
2022-05-09,19.0332
2022-05-10,18.6177
2022-05-11,18.3545
2022-05-12,18.6022
2022-05-13,18.7183
2022-05-14,18.7183
2022-05-15,18.7183
2022-05-16,18.339
2022-05-17,18.7312
2022-05-18,18.4422
2022-05-19,18.2771
2022-05-20,18.1713
2022-05-21,18.1713
2022-05-22,18.1713
2022-05-23,18.3622
2022-05-24,18.6512
2022-05-25,18.4887
2022-05-26,18.6616
2022-05-27,19.0564
2022-05-28,19.0564
2022-05-29,19.0564
2022-05-30,19.0564
2022-05-31,18.7751
2022-06-01,19.1261
2022-06-02,19.3299
2022-06-03,18.9506
2022-06-04,18.9506
2022-06-05,18.9506
2022-06-06,19.1467
2022-06-07,19.0022
2022-06-08,18.8887
2022-06-09,18.6358
2022-06-10,18.1068
2022-06-11,18.1068
2022-06-12,18.1068
2022-06-13,17.5442
2022-06-14,17.4823
2022-06-15,17.6319
2022-06-16,16.9997
2022-06-17,17.2449
2022-06-18,17.2449
2022-06-19,17.2449
2022-06-20,17.2449
2022-06-21,17.5648
2022-06-22,17.5881
2022-06-23,17.5494
2022-06-24,18.0784
2022-06-25,18.0784
2022-06-26,18.0784
2022-06-27,17.859
2022-06-28,17.6526
2022-06-29,17.6861
2022-06-30,17.6862
2022-07-01,17.7012
2022-07-02,17.7012
2022-07-03,17.7012
2022-07-04,17.7012
2022-07-05,17.7137
2022-07-06,17.5064
2022-07-07,17.7611
2022-07-08,17.6662
2022-07-09,17.6662
2022-07-10,17.6662
2022-07-11,17.5414
2022-07-12,17.5439
2022-07-13,17.4065
2022-07-14,17.464
2022-07-15,17.6987
2022-07-16,17.6987
2022-07-17,17.6987
2022-07-18,17.5638
2022-07-19,18.1432
2022-07-20,18.4928
2022-07-21,18.6427
2022-07-22,18.5727
2022-07-23,18.5727
2022-07-24,18.5727
2022-07-25,18.6052
2022-07-26,18.6352
2022-07-27,19.1821
2022-07-28,19.4318
2022-07-29,19.6291
2022-07-30,19.6291
2022-07-31,19.6291
2022-08-01,19.704
2022-08-02,19.3444
2022-08-03,19.302
2022-08-04,19.1746
2022-08-05,19.252
2022-08-06,19.252
2022-08-07,19.252
2022-08-08,19.272
2022-08-09,19.5905
2022-08-10,19.8479
2022-08-11,20.0678
2022-08-12,20.4726
2022-08-13,20.4726
2022-08-14,20.4726
2022-08-15,20.7574
2022-08-16,20.5075
2022-08-17,20.3226
2022-08-18,20.52
2022-08-19,20.0478
2022-08-20,20.0478
2022-08-21,20.0478
2022-08-22,19.3607
2022-08-23,19.3182
2022-08-24,19.1433
2022-08-25,19.3207
2022-08-26,18.6835
2022-08-27,18.6835
2022-08-28,18.6835
2022-08-29,18.5486
2022-08-30,18.1438
2022-08-31,17.9689
2022-09-01,18.2138
2022-09-02,17.819
2022-09-03,17.819
2022-09-04,17.819
2022-09-05,17.819
2022-09-06,17.6241
2022-09-07,17.9739
2022-09-08,17.9964
2022-09-09,18.2138
2022-09-10,18.2138
2022-09-11,18.2138
2022-09-12,18.711
2022-09-13,17.8265
2022-09-14,18.0714
2022-09-15,18.1289
2022-09-16,17.9215
2022-09-17,17.9215
2022-09-18,17.9215
2022-09-19,18.4562
2022-09-20,18.1064
2022-09-21,17.9639
2022-09-22,17.6191
2022-09-23,17.4967
2022-09-24,17.4967
2022-09-25,17.4967
2022-09-26,17.4192
2022-09-27,17.1419
2022-09-28,17.5492
2022-09-29,17.1619
2022-09-30,17.9754
2022-10-01,17.9754
2022-10-02,17.9754
2022-10-03,18.4382
2022-10-04,18.9062
2022-10-05,18.6684
2022-10-06,18.5727
2022-10-07,18.0065
2022-10-08,18.0065
2022-10-09,18.0065
2022-10-10,18.159
2022-10-11,18.3193
2022-10-12,18.1564
2022-10-13,18.1849
2022-10-14,18.1642
2022-10-15,18.1642
2022-10-16,18.1642
2022-10-17,18.4822
2022-10-18,18.6968
2022-10-19,18.5753
2022-10-20,18.2185
2022-10-21,18.5494
2022-10-22,18.5494
2022-10-23,18.5494
2022-10-24,18.7201
2022-10-25,18.8726
2022-10-26,18.7925
2022-10-27,18.423
2022-10-28,18.7282
2022-10-29,18.7282
2022-10-30,18.7282
2022-10-31,18.4178
2022-11-01,18.5135
2022-11-02,18.7385
2022-11-03,18.8575
2022-11-04,19.1601
2022-11-05,19.1601
2022-11-06,19.1601
2022-11-07,19.4369
2022-11-08,19.7809
2022-11-09,19.8481
2022-11-10,20.4973
2022-11-11,20.4663
2022-11-12,20.4663
2022-11-13,20.4663
2022-11-14,20.2516
2022-11-15,20.3059
2022-11-16,19.918
2022-11-17,19.799
2022-11-18,19.8869
2022-11-19,19.8869
2022-11-20,19.8869
2022-11-21,19.6981
2022-11-22,19.5248
2022-11-23,19.6076
2022-11-24,19.6076
2022-11-25,19.7059
2022-11-26,19.7059
2022-11-27,19.7059
2022-11-28,19.5067
2022-11-29,19.4446
2022-11-30,19.7835
2022-12-01,19.8869
2022-12-02,19.9956
2022-12-03,19.9956
2022-12-04,19.9956
2022-12-05,19.918
2022-12-06,19.9257
2022-12-07,19.6283
2022-12-08,19.6464
2022-12-09,19.4653
2022-12-10,19.4653
2022-12-11,19.4653
2022-12-12,19.486
2022-12-13,19.6516
2022-12-14,19.4421
2022-12-15,18.9377
2022-12-16,18.8705
2022-12-17,18.8705
2022-12-18,18.8705
2022-12-19,18.8549
2022-12-20,18.9455
2022-12-21,19.0515
2022-12-22,18.8291
2022-12-23,18.8756
2022-12-24,18.8756
2022-12-25,18.8756
2022-12-26,18.8756
2022-12-27,19.1834
2022-12-28,18.8782
2022-12-29,19.3955
2022-12-30,16.0709
2022-12-31,16.0709
2023-01-01,16.0709
2023-01-02,16.0709
2023-01-03,16.1903
2023-01-04,16.3908
2023-01-05,16.3993
2023-01-06,16.877
2023-01-07,16.877
2023-01-08,16.877
2023-01-09,16.8322
2023-01-10,16.8493
2023-01-11,17.0412
2023-01-12,17.3633
2023-01-13,17.3377
2023-01-14,17.3377
2023-01-15,17.3377
2023-01-16,17.3377
2023-01-17,17.4656
2023-01-18,17.2118
2023-01-19,17.1415
2023-01-20,17.327
2023-01-21,17.327
2023-01-22,17.327
2023-01-23,17.4038
2023-01-24,17.3483
2023-01-25,17.4358
2023-01-26,17.2524
2023-01-27,17.3142
2023-01-28,17.3142
2023-01-29,17.3142
2023-01-30,17.2716
2023-01-31,17.8964
2023-02-01,17.9945
2023-02-02,18.1203
2023-02-03,18.0094
2023-02-04,18.0094
2023-02-05,18.0094
2023-02-06,17.9263
2023-02-07,17.8431
2023-02-08,17.4955
2023-02-09,17.1329
2023-02-10,17.1799
2023-02-11,17.1799
2023-02-12,17.1799
2023-02-13,17.4763
2023-02-14,17.4315
2023-02-15,17.5659
2023-02-16,17.6149
2023-02-17,17.8324
2023-02-18,17.8324
2023-02-19,17.8324
2023-02-20,17.8324
2023-02-21,17.4443
2023-02-22,17.5403
2023-02-23,18.4478
2023-02-24,18.1929
2023-02-25,18.1929
2023-02-26,18.1929
2023-02-27,18.4223
2023-02-28,17.9847
2023-03-01,18.1334
2023-03-02,18.2354
2023-03-03,18.2863
2023-03-04,18.2863
2023-03-05,18.2863
