,MRO US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-03-17,18.5354
2021-03-18,18.5354
2021-03-19,18.5354
2021-03-20,18.5354
2021-03-21,18.5354
2021-03-22,18.5354
2021-03-23,18.5354
2021-03-24,18.5354
2021-03-25,18.5354
2021-03-26,18.5354
2021-03-27,18.5354
2021-03-28,18.5354
2021-03-29,18.5354
2021-03-30,18.5354
2021-03-31,18.5354
2021-04-01,18.5354
2021-04-02,18.5354
2021-04-03,18.5354
2021-04-04,18.5354
2021-04-05,18.5354
2021-04-06,18.5354
2021-04-07,18.5354
2021-04-08,18.5354
2021-04-09,18.5354
2021-04-10,18.5354
2021-04-11,18.5354
2021-04-12,18.5354
2021-04-13,18.5354
2021-04-14,18.5354
2021-04-15,18.5354
2021-04-16,18.5354
2021-04-17,18.5354
2021-04-18,18.5354
2021-04-19,18.5354
2021-04-20,18.5354
2021-04-21,18.5354
2021-04-22,18.5354
2021-04-23,18.5354
2021-04-24,18.5354
2021-04-25,18.5354
2021-04-26,18.5354
2021-04-27,18.5354
2021-04-28,18.5354
2021-04-29,18.5354
2021-04-30,18.5354
2021-05-01,18.5354
2021-05-02,18.5354
2021-05-03,18.5354
2021-05-04,18.5354
2021-05-05,18.5354
2021-05-06,18.5354
2021-05-07,18.5354
2021-05-08,18.5354
2021-05-09,18.5354
2021-05-10,18.5354
2021-05-11,18.5354
2021-05-12,18.5354
2021-05-13,18.5354
2021-05-14,18.5354
2021-05-15,18.5354
2021-05-16,18.5354
2021-05-17,18.5354
2021-05-18,18.5354
2021-05-19,18.5354
2021-05-20,18.5354
2021-05-21,18.5354
2021-05-22,18.5354
2021-05-23,18.5354
2021-05-24,18.5354
2021-05-25,18.5354
2021-05-26,18.5354
2021-05-27,18.5354
2021-05-28,18.5354
2021-05-29,18.5354
2021-05-30,18.5354
2021-05-31,18.5354
2021-06-01,18.5354
2021-06-02,18.5354
2021-06-03,18.5354
2021-06-04,18.5354
2021-06-05,18.5354
2021-06-06,18.5354
2021-06-07,18.5354
2021-06-08,18.5354
2021-06-09,18.5354
2021-06-10,18.5354
2021-06-11,18.5354
2021-06-12,18.5354
2021-06-13,18.5354
2021-06-14,18.5354
2021-06-15,18.5354
2021-06-16,18.5354
2021-06-17,18.5354
2021-06-18,18.5354
2021-06-19,18.5354
2021-06-20,18.5354
2021-06-21,18.5354
2021-06-22,18.5354
2021-06-23,18.5354
2021-06-24,18.5354
2021-06-25,18.5354
2021-06-26,18.5354
2021-06-27,18.5354
2021-06-28,18.5354
2021-06-29,18.5354
2021-06-30,18.5354
2021-07-01,18.5354
2021-07-02,18.5354
2021-07-03,18.5354
2021-07-04,18.5354
2021-07-05,18.5354
2021-07-06,18.5354
2021-07-07,18.5354
2021-07-08,18.5354
2021-07-09,18.5354
2021-07-10,18.5354
2021-07-11,18.5354
2021-07-12,18.5354
2021-07-13,18.5354
2021-07-14,18.5354
2021-07-15,18.5354
2021-07-16,18.5354
2021-07-17,18.5354
2021-07-18,18.5354
2021-07-19,18.5354
2021-07-20,18.5354
2021-07-21,18.5354
2021-07-22,18.5354
2021-07-23,18.5354
2021-07-24,18.5354
2021-07-25,18.5354
2021-07-26,18.5354
2021-07-27,18.5354
2021-07-28,18.5354
2021-07-29,18.5354
2021-07-30,18.5354
2021-07-31,18.5354
2021-08-01,18.5354
2021-08-02,18.5354
2021-08-03,18.5354
2021-08-04,18.5354
2021-08-05,18.5354
2021-08-06,18.5354
2021-08-07,18.5354
2021-08-08,18.5354
2021-08-09,18.5354
2021-08-10,18.5354
2021-08-11,18.5354
2021-08-12,18.5354
2021-08-13,18.5354
2021-08-14,18.5354
2021-08-15,18.5354
2021-08-16,18.5354
2021-08-17,18.5354
2021-08-18,18.5354
2021-08-19,18.5354
2021-08-20,18.5354
2021-08-21,18.5354
2021-08-22,18.5354
2021-08-23,18.5354
2021-08-24,18.5354
2021-08-25,18.5354
2021-08-26,18.5354
2021-08-27,18.5354
2021-08-28,18.5354
2021-08-29,18.5354
2021-08-30,18.5354
2021-08-31,18.5354
2021-09-01,18.5354
2021-09-02,18.5354
2021-09-03,18.5354
2021-09-04,18.5354
2021-09-05,18.5354
2021-09-06,18.5354
2021-09-07,18.5354
2021-09-08,18.5354
2021-09-09,18.5354
2021-09-10,18.5354
2021-09-11,18.5354
2021-09-12,18.5354
2021-09-13,18.5354
2021-09-14,18.5354
2021-09-15,18.5354
2021-09-16,18.5354
2021-09-17,18.5354
2021-09-18,18.5354
2021-09-19,18.5354
2021-09-20,18.5354
2021-09-21,18.5354
2021-09-22,18.5354
2021-09-23,18.5354
2021-09-24,18.5354
2021-09-25,18.5354
2021-09-26,18.5354
2021-09-27,18.5354
2021-09-28,18.5354
2021-09-29,18.5354
2021-09-30,113.5702
2021-10-01,117.1087
2021-10-02,117.1087
2021-10-03,117.1087
2021-10-04,120.7713
2021-10-05,124.1856
2021-10-06,122.3853
2021-10-07,124.0615
2021-10-08,128.4691
2021-10-09,128.4691
2021-10-10,128.4691
2021-10-11,127.7241
2021-10-12,127.2896
2021-10-13,126.7308
2021-10-14,128.9036
2021-10-15,129.1519
2021-10-16,129.1519
2021-10-17,129.1519
2021-10-18,130.7039
2021-10-19,130.4556
2021-10-20,131.0764
2021-10-21,129.1519
2021-10-22,131.6351
2021-10-23,131.6351
2021-10-24,131.6351
2021-10-25,132.8766
2021-10-26,133.3112
2021-10-27,129.2761
2021-10-28,130.828
2021-10-29,130.021
2021-10-30,130.021
2021-10-31,130.021
2021-11-01,134.4286
2021-11-02,133.7457
2021-11-03,131.0764
2021-11-04,130.2863
2021-11-05,133.3514
2021-11-06,133.3514
2021-11-07,133.3514
2021-11-08,134.2709
2021-11-09,134.5161
2021-11-10,130.4702
2021-11-11,131.2671
2021-11-12,130.9606
2021-11-13,130.9606
2021-11-14,130.9606
2021-11-15,131.3897
2021-11-16,131.2058
2021-11-17,127.3438
2021-11-18,127.5277
2021-11-19,122.5622
2021-11-20,122.5622
2021-11-21,122.5622
2021-11-22,124.7078
2021-11-23,129.9185
2021-11-24,131.8801
2021-11-25,131.8801
2021-11-26,124.953
2021-11-27,124.953
2021-11-28,124.953
2021-11-29,125.8725
2021-11-30,123.6656
2021-12-01,121.3975
2021-12-02,124.2174
2021-12-03,122.4396
2021-12-04,122.4396
2021-12-05,122.4396
2021-12-06,124.34
2021-12-07,128.6924
2021-12-08,127.9568
2021-12-09,127.0373
2021-12-10,128.1407
2021-12-11,128.1407
2021-12-12,128.1407
2021-12-13,123.0526
2021-12-14,121.7653
2021-12-15,121.5814
2021-12-16,122.8687
2021-12-17,121.5814
2021-12-18,121.5814
2021-12-19,121.5814
2021-12-20,119.8036
2021-12-21,125.3208
2021-12-22,127.0373
2021-12-23,126.7921
2021-12-24,126.7921
2021-12-25,126.7921
2021-12-26,126.7921
2021-12-27,130.225
2021-12-28,129.7346
2021-12-29,130.2863
2021-12-30,128.9376
2021-12-31,15.4659
2022-01-01,15.4659
2022-01-02,15.4659
2022-01-03,15.798
2022-01-04,16.3441
2022-01-05,16.0489
2022-01-06,16.654
2022-01-07,16.809
2022-01-08,16.809
2022-01-09,16.809
2022-01-10,16.44
2022-01-11,17.119
2022-01-12,17.1559
2022-01-13,17.0525
2022-01-14,17.7167
2022-01-15,17.7167
2022-01-16,17.7167
2022-01-17,17.7167
2022-01-18,17.6872
2022-01-19,17.4437
2022-01-20,17.1337
2022-01-21,16.7057
2022-01-22,16.7057
2022-01-23,16.7057
2022-01-24,16.8533
2022-01-25,17.7388
2022-01-26,17.82
2022-01-27,17.9971
2022-01-28,17.9897
2022-01-29,17.9897
2022-01-30,17.9897
2022-01-31,17.7167
2022-02-01,18.5875
2022-02-02,18.8236
2022-02-03,18.7277
2022-02-04,19.2147
2022-02-05,19.2147
2022-02-06,19.2147
2022-02-07,19.2959
2022-02-08,18.9269
2022-02-09,19.2369
2022-02-10,19.1483
2022-02-11,19.7387
2022-02-12,19.7387
2022-02-13,19.7387
2022-02-14,19.0007
2022-02-15,18.5063
2022-02-16,18.8974
2022-02-17,18.5113
2022-02-18,18.4975
2022-02-19,18.4975
2022-02-20,18.4975
2022-02-21,18.4975
2022-02-22,18.3105
2022-02-23,18.4074
2022-02-24,18.1927
2022-02-25,18.5044
2022-02-26,18.5044
2022-02-27,18.5044
2022-02-28,18.9754
2022-03-01,19.204
2022-03-02,19.2802
2022-03-03,19.204
2022-03-04,19.8412
2022-03-05,19.8412
2022-03-06,19.8412
2022-03-07,20.2014
2022-03-08,20.0352
2022-03-09,19.5573
2022-03-10,19.8897
2022-03-11,19.3979
2022-03-12,19.3979
2022-03-13,19.3979
2022-03-14,18.7122
2022-03-15,18.3451
2022-03-16,18.3035
2022-03-17,19.3287
2022-03-18,19.3356
2022-03-19,19.3356
2022-03-20,19.3356
2022-03-21,20.7002
2022-03-22,20.43
2022-03-23,21.0673
2022-03-24,21.0326
2022-03-25,21.3859
2022-03-26,21.3859
2022-03-27,21.3859
2022-03-28,20.8664
2022-03-29,20.6655
2022-03-30,21.0119
2022-03-31,13.1461
2022-04-01,13.4278
2022-04-02,13.4278
2022-04-03,13.4278
2022-04-04,13.397
2022-04-05,13.0096
2022-04-06,12.8423
2022-04-07,13.0669
2022-04-08,13.3034
2022-04-09,13.3034
2022-04-10,13.3034
2022-04-11,13.0091
2022-04-12,13.4636
2022-04-13,13.5935
2022-04-14,13.6108
2022-04-15,13.6108
2022-04-16,13.6108
2022-04-17,13.6108
2022-04-18,13.7277
2022-04-19,13.6844
2022-04-20,14.061
2022-04-21,13.3857
2022-04-22,12.9139
2022-04-23,12.9139
2022-04-24,12.9139
2022-04-25,12.5416
2022-04-26,12.5156
2022-04-27,12.7667
2022-04-28,13.113
2022-04-29,12.8792
2022-04-30,12.8792
2022-05-01,12.8792
2022-05-02,12.8922
2022-05-03,13.455
2022-05-04,14.0783
2022-05-05,13.8927
2022-05-06,14.0931
2022-05-07,14.0931
2022-05-08,14.0931
2022-05-09,12.4091
2022-05-10,12.4901
2022-05-11,12.8226
2022-05-12,12.8056
2022-05-13,13.6028
2022-05-14,13.6028
2022-05-15,13.6028
2022-05-16,14.0206
2022-05-17,14.1826
2022-05-18,13.5047
2022-05-19,13.5516
2022-05-20,13.7136
2022-05-21,13.7136
2022-05-22,13.7136
2022-05-23,14.0845
2022-05-24,14.0632
2022-05-25,14.4597
2022-05-26,14.7752
2022-05-27,15.3379
2022-05-28,15.3379
2022-05-29,15.3379
2022-05-30,15.3379
2022-05-31,15.4914
2022-06-01,15.4701
2022-06-02,15.3933
2022-06-03,15.598
2022-06-04,15.598
2022-06-05,15.598
2022-06-06,15.4829
2022-06-07,15.8069
2022-06-08,15.7046
2022-06-09,15.4147
2022-06-10,15.0054
2022-06-11,15.0054
2022-06-12,15.0054
2022-06-13,14.1954
2022-06-14,14.3659
2022-06-15,14.059
2022-06-16,13.0315
2022-06-17,12.3878
2022-06-18,12.3878
2022-06-19,12.3878
2022-06-20,12.3878
2022-06-21,12.7075
2022-06-22,11.9402
2022-06-23,11.4797
2022-06-24,11.4925
2022-06-25,11.4925
2022-06-26,11.4925
2022-06-27,11.9487
2022-06-28,12.3793
2022-06-29,11.808
2022-06-30,6.8747
2022-07-01,6.8927
2022-07-02,6.8927
2022-07-03,6.8927
2022-07-04,6.8927
2022-07-05,6.5268
2022-07-06,6.4108
2022-07-07,6.7072
2022-07-08,6.6788
2022-07-09,6.6788
2022-07-10,6.6788
2022-07-11,6.5757
2022-07-12,6.4056
2022-07-13,6.4263
2022-07-14,6.3412
2022-07-15,6.4546
2022-07-16,6.4546
2022-07-17,6.4546
2022-07-18,6.6402
2022-07-19,6.885
2022-07-20,6.9881
2022-07-21,6.7922
2022-07-22,6.6866
2022-07-23,6.6866
2022-07-24,6.6866
2022-07-25,7.0551
2022-07-26,6.9855
2022-07-27,7.2355
2022-07-28,7.2535
2022-07-29,7.4726
2022-07-30,7.4726
2022-07-31,7.4726
2022-08-01,7.2638
2022-08-02,7.2355
2022-08-03,6.9804
2022-08-04,6.379
2022-08-05,6.453
2022-08-06,6.453
2022-08-07,6.453
2022-08-08,6.4678
2022-08-09,6.4999
2022-08-10,6.5937
2022-08-11,6.9811
2022-08-12,7.0181
2022-08-13,7.0181
2022-08-14,7.0181
2022-08-15,6.8528
2022-08-16,6.7689
2022-08-17,6.8577
2022-08-18,7.1513
2022-08-19,7.1168
2022-08-20,7.1168
2022-08-21,7.1168
2022-08-22,7.1637
2022-08-23,7.4252
2022-08-24,7.5683
2022-08-25,7.5881
2022-08-26,7.5363
2022-08-27,7.5363
2022-08-28,7.5363
2022-08-29,7.6917
2022-08-30,7.3931
2022-08-31,7.3956
2022-09-01,7.2303
2022-09-02,7.4252
2022-09-03,7.4252
2022-09-04,7.4252
2022-09-05,7.4252
2022-09-06,7.3783
2022-09-07,7.2303
2022-09-08,7.4006
2022-09-09,7.5831
2022-09-10,7.5831
2022-09-11,7.5831
2022-09-12,7.7929
2022-09-13,7.6177
2022-09-14,7.8324
2022-09-15,7.6942
2022-09-16,7.5511
2022-09-17,7.5511
2022-09-18,7.5511
2022-09-19,7.4795
2022-09-20,7.4376
2022-09-21,7.2944
2022-09-22,7.1489
2022-09-23,6.4851
2022-09-24,6.4851
2022-09-25,6.4851
2022-09-26,6.2852
2022-09-27,6.3593
2022-09-28,6.6751
2022-09-29,6.7072
2022-09-30,5.3848
2022-10-01,5.3848
2022-10-02,5.3848
2022-10-03,5.8612
2022-10-04,6.1662
2022-10-05,6.3038
2022-10-06,6.5151
2022-10-07,6.4533
2022-10-08,6.4533
2022-10-09,6.4533
2022-10-10,6.3695
2022-10-11,6.2739
2022-10-12,6.3536
2022-10-13,6.531
2022-10-14,6.2759
2022-10-15,6.2759
2022-10-16,6.2759
2022-10-17,6.2938
2022-10-18,6.3775
2022-10-19,6.535
2022-10-20,6.5111
2022-10-21,6.6945
2022-10-22,6.6945
2022-10-23,6.6945
2022-10-24,6.7583
2022-10-25,6.7942
2022-10-26,6.8998
2022-10-27,6.9676
2022-10-28,6.8958
2022-10-29,6.8958
2022-10-30,6.8958
2022-10-31,6.9536
2022-11-01,7.0493
2022-11-02,6.8161
2022-11-03,6.754
2022-11-04,6.868
2022-11-05,6.868
2022-11-06,6.868
2022-11-07,7.0548
2022-11-08,6.9988
2022-11-09,6.6064
2022-11-10,6.7876
2022-11-11,7.0268
2022-11-12,7.0268
2022-11-13,7.0268
2022-11-14,6.9558
2022-11-15,7.038
2022-11-16,6.7596
2022-11-17,6.7316
2022-11-18,6.6382
