,ROK US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-06-10,28.7075
2022-06-11,28.7075
2022-06-12,28.7075
2022-06-13,27.8719
2022-06-14,27.7365
2022-06-15,28.3481
2022-06-16,27.4553
2022-06-17,26.6477
2022-06-18,26.6477
2022-06-19,26.6477
2022-06-20,26.6477
2022-06-21,26.9161
2022-06-22,27.181
2022-06-23,27.3584
2022-06-24,27.8112
2022-06-25,27.8112
2022-06-26,27.8112
2022-06-27,27.8392
2022-06-28,27.4121
2022-06-29,27.3573
2022-06-30,26.6347
2022-07-01,26.5669
2022-07-02,26.5669
2022-07-03,26.5669
2022-07-04,26.5669
2022-07-05,26.6697
2022-07-06,26.7771
2022-07-07,27.0437
2022-07-08,26.7274
2022-07-09,26.7274
2022-07-10,26.7274
2022-07-11,26.8076
2022-07-12,26.5398
2022-07-13,26.4811
2022-07-14,26.6765
2022-07-15,27.4301
2022-07-16,27.4301
2022-07-17,27.4301
2022-07-18,27.2437
2022-07-19,28.5654
2022-07-20,28.5044
2022-07-21,29.0286
2022-07-22,29.1529
2022-07-23,29.1529
2022-07-24,29.1529
2022-07-25,28.9676
2022-07-26,28.9078
2022-07-27,31.0906
2022-07-28,31.85
2022-07-29,32.7529
2022-07-30,32.7529
2022-07-31,32.7529
2022-08-01,32.4489
2022-08-02,31.9655
2022-08-03,32.2807
2022-08-04,32.6049
2022-08-05,32.4119
2022-08-06,32.4119
2022-08-07,32.4119
2022-08-08,32.2235
2022-08-09,31.6178
2022-08-10,32.5656
2022-08-11,32.4882
2022-08-12,33.0311
2022-08-13,33.0311
2022-08-14,33.0311
2022-08-15,33.15
2022-08-16,33.2196
2022-08-17,32.8236
2022-08-18,32.8786
2022-08-19,32.3413
2022-08-20,32.3413
2022-08-21,32.3413
2022-08-22,31.4764
2022-08-23,31.4226
2022-08-24,31.3912
2022-08-25,31.8085
2022-08-26,30.689
2022-08-27,30.689
2022-08-28,30.689
2022-08-29,30.8056
2022-08-30,30.6609
2022-08-31,30.6957
2022-09-01,31.2375
2022-09-02,30.8157
2022-09-03,30.8157
2022-09-04,30.8157
2022-09-05,30.8157
2022-09-06,30.8438
2022-09-07,31.3755
2022-09-08,31.592
2022-09-09,32.7641
2022-09-10,32.7641
2022-09-11,32.7641
2022-09-12,32.9526
2022-09-13,31.8926
2022-09-14,32.2717
2022-09-15,31.6189
2022-09-16,30.8034
2022-09-17,30.8034
2022-09-18,30.8034
2022-09-19,31.2812
2022-09-20,30.6071
2022-09-21,30.0361
2022-09-22,29.3564
2022-09-23,28.7686
2022-09-24,28.7686
2022-09-25,28.7686
2022-09-26,28.2818
2022-09-27,27.9127
2022-09-28,28.496
2022-09-29,28.3222
2022-09-30,24.1102
2022-10-01,24.1102
2022-10-02,24.1102
2022-10-03,25.1278
2022-10-04,25.7259
2022-10-05,26.0042
2022-10-06,25.8506
2022-10-07,25.1055
2022-10-08,25.1055
2022-10-09,25.1055
2022-10-10,25.0978
2022-10-11,25.1558
2022-10-12,25.0988
2022-10-13,25.7404
2022-10-14,24.9577
2022-10-15,24.9577
2022-10-16,24.9577
2022-10-17,25.6177
2022-10-18,26.2052
2022-10-19,25.9288
2022-10-20,25.0862
2022-10-21,25.7298
2022-10-22,25.7298
2022-10-23,25.7298
2022-10-24,26.0583
2022-10-25,26.6748
2022-10-26,26.6082
2022-10-27,27.158
2022-10-28,28.1659
2022-10-29,28.1659
2022-10-30,28.1659
2022-10-31,27.9938
2022-11-01,28.0277
2022-11-02,26.069
2022-11-03,26.7889
2022-11-04,27.2334
2022-11-05,27.2334
2022-11-06,27.2334
2022-11-07,27.5677
2022-11-08,27.7742
2022-11-09,27.6896
2022-11-10,28.8519
2022-11-11,29.6201
2022-11-12,29.6201
2022-11-13,29.6201
2022-11-14,29.0298
2022-11-15,29.2365
2022-11-16,28.7337
2022-11-17,28.1915
2022-11-18,28.775
2022-11-19,28.775
2022-11-20,28.775
2022-11-21,28.6645
2022-11-22,28.9894
2022-11-23,28.9548
2022-11-24,28.9548
2022-11-25,28.7866
2022-11-26,28.7866
2022-11-27,28.7866
2022-11-28,28.3876
2022-11-29,28.2838
2022-11-30,28.725
2022-12-01,28.9683
2022-12-02,28.8471
2022-12-03,28.8471
2022-12-04,28.8471
2022-12-05,28.576
2022-12-06,28.0088
2022-12-07,27.8165
2022-12-08,28.0473
2022-12-09,28.3011
2022-12-10,28.3011
2022-12-11,28.3011
2022-12-12,28.7471
2022-12-13,29.447
2022-12-14,29.2009
2022-12-15,28.0453
2022-12-16,27.6531
2022-12-17,27.6531
2022-12-18,27.6531
2022-12-19,27.4214
2022-12-20,27.781
2022-12-21,28.2365
2022-12-22,27.9109
2022-12-23,27.9849
2022-12-24,27.9849
2022-12-25,27.9849
2022-12-26,27.9849
2022-12-27,28.0627
2022-12-28,27.836
2022-12-29,28.2624
2022-12-30,27.2732
2022-12-31,27.2732
2023-01-01,27.2732
2023-01-02,27.2732
2023-01-03,27.6303
2023-01-04,27.5477
2023-01-05,27.3669
2023-01-06,28.1961
2023-01-07,28.1961
2023-01-08,28.1961
2023-01-09,28.3649
2023-01-10,28.5801
2023-01-11,29.3629
2023-01-12,29.4844
2023-01-13,29.8397
2023-01-14,29.8397
2023-01-15,29.8397
2023-01-16,29.8397
2023-01-17,29.5568
2023-01-18,28.8361
2023-01-19,27.992
2023-01-20,28.4261
2023-01-21,28.4261
2023-01-22,28.4261
2023-01-23,28.9474
2023-01-24,29.1663
2023-01-25,29.1756
2023-01-26,29.5354
2023-01-27,29.9613
2023-01-28,29.9613
2023-01-29,29.9613
2023-01-30,29.2227
2023-01-31,29.5502
2023-02-01,29.6282
2023-02-02,30.3973
2023-02-03,30.286
2023-02-04,30.286
2023-02-05,30.286
2023-02-06,30.0782
2023-02-07,30.2331
2023-02-08,29.8648
2023-02-09,30.0763
2023-02-10,29.8425
2023-02-11,29.8425
2023-02-12,29.8425
2023-02-13,30.6414
2023-02-14,30.5838
2023-02-15,31.0366
2023-02-16,30.8353
2023-02-17,31.006
2023-02-18,31.006
2023-02-19,31.006
2023-02-20,31.006
2023-02-21,30.171
2023-02-22,30.1914
2023-02-23,30.4706
2023-02-24,30.3259
2023-02-25,30.3259
2023-02-26,30.3259
2023-02-27,30.697
2023-02-28,30.7471
2023-03-01,30.5356
2023-03-02,30.8965
2023-03-03,31.4579
