,AVA US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-01-14,24.843
2022-01-15,24.843
2022-01-16,24.843
2022-01-17,24.843
2022-01-18,24.9236
2022-01-19,24.8182
2022-01-20,24.9732
2022-01-21,24.8771
2022-01-22,24.8771
2022-01-23,24.8771
2022-01-24,24.9732
2022-01-25,25.0538
2022-01-26,24.9918
2022-01-27,24.9453
2022-01-28,25.1283
2022-01-29,25.1283
2022-01-30,25.1283
2022-01-31,25.0942
2022-02-01,25.0569
2022-02-02,24.9732
2022-02-03,25.0321
2022-02-04,25.0073
2022-02-05,25.0073
2022-02-06,25.0073
2022-02-07,25.0507
2022-02-08,25.0414
2022-02-09,25.0383
2022-02-10,24.6663
2022-02-11,24.6911
2022-02-12,24.6911
2022-02-13,24.6911
2022-02-14,24.6228
2022-02-15,24.6663
2022-02-16,24.5763
2022-02-17,24.5763
2022-02-18,24.5298
2022-02-19,24.5298
2022-02-20,24.5298
2022-02-21,24.5298
2022-02-22,24.4864
2022-02-23,24.6017
2022-02-24,24.9184
2022-02-25,25.2352
2022-02-26,25.2352
2022-02-27,25.2352
2022-02-28,25.3042
2022-03-01,25.116
2022-03-02,25.2791
2022-03-03,25.4986
2022-03-04,25.878
2022-03-05,25.878
2022-03-06,25.878
2022-03-07,25.878
2022-03-08,25.5331
2022-03-09,25.4641
2022-03-10,25.6303
2022-03-11,25.5707
2022-03-12,25.5707
2022-03-13,25.5707
2022-03-14,25.5864
2022-03-15,25.5613
2022-03-16,25.4139
2022-03-17,25.1881
2022-03-18,25.0094
2022-03-19,25.0094
2022-03-20,25.0094
2022-03-21,25.2634
2022-03-22,25.163
2022-03-23,25.0533
2022-03-24,24.978
2022-03-25,25.3731
2022-03-26,25.3731
2022-03-27,25.3731
2022-03-28,25.4202
2022-03-29,25.5393
2022-03-30,25.5958
2022-03-31,27.4159
2022-04-01,27.7564
2022-04-02,27.7564
2022-04-03,27.7564
2022-04-04,27.6495
2022-04-05,27.8116
2022-04-06,27.9909
2022-04-07,27.8599
2022-04-08,27.8185
2022-04-09,27.8185
2022-04-10,27.8185
2022-04-11,27.408
2022-04-12,27.5598
2022-04-13,27.3287
2022-04-14,27.3459
2022-04-15,27.3459
2022-04-16,27.3459
2022-04-17,27.3459
2022-04-18,27.3356
2022-04-19,27.408
2022-04-20,27.446
2022-04-21,27.3977
2022-04-22,27.408
2022-04-23,27.408
2022-04-24,27.408
2022-04-25,26.8803
2022-04-26,26.7596
2022-04-27,26.5251
2022-04-28,26.5182
2022-04-29,25.9698
2022-04-30,25.9698
2022-05-01,25.9698
2022-05-02,25.7904
2022-05-03,25.8249
2022-05-04,26.4194
2022-05-05,26.1183
2022-05-06,26.4124
2022-05-07,26.4124
2022-05-08,26.4124
2022-05-09,26.6443
2022-05-10,26.6063
2022-05-11,26.7932
2022-05-12,26.717
2022-05-13,26.8208
2022-05-14,26.8208
2022-05-15,26.8208
2022-05-16,26.9904
2022-05-17,27.0943
2022-05-18,27.1358
2022-05-19,26.9662
2022-05-20,26.9177
2022-05-21,26.9177
2022-05-22,26.9177
2022-05-23,27.0008
2022-05-24,27.0216
2022-05-25,27.2362
2022-05-26,27.0943
2022-05-27,27.2085
2022-05-28,27.2085
2022-05-29,27.2085
2022-05-30,27.2085
2022-05-31,27.0112
2022-06-01,26.9316
2022-06-02,26.9074
2022-06-03,26.8728
2022-06-04,26.8728
2022-06-05,26.8728
2022-06-06,26.8935
2022-06-07,26.9524
2022-06-08,26.7551
2022-06-09,26.6305
2022-06-10,26.8174
2022-06-11,26.8174
2022-06-12,26.8174
2022-06-13,26.2429
2022-06-14,25.9867
2022-06-15,26.1113
2022-06-16,25.9175
2022-06-17,25.7826
2022-06-18,25.7826
2022-06-19,25.7826
2022-06-20,25.7826
2022-06-21,25.6753
2022-06-22,25.966
2022-06-23,26.1598
2022-06-24,26.3225
2022-06-25,26.3225
2022-06-26,26.3225
2022-06-27,26.6893
2022-06-28,26.9697
2022-06-29,26.8001
2022-06-30,28.8126
2022-07-01,29.2756
2022-07-02,29.2756
2022-07-03,29.2756
2022-07-04,29.2756
2022-07-05,28.3784
2022-07-06,28.5901
2022-07-07,28.4896
2022-07-08,28.3245
2022-07-09,28.3245
2022-07-10,28.3245
2022-07-11,28.4573
2022-07-12,28.3927
2022-07-13,28.3532
2022-07-14,28.224
2022-07-15,28.3389
2022-07-16,28.3389
2022-07-17,28.3389
2022-07-18,28.1738
2022-07-19,28.2743
2022-07-20,28.0374
2022-07-21,27.8292
2022-07-22,27.8472
2022-07-23,27.8472
2022-07-24,27.8472
2022-07-25,27.98
2022-07-26,28.0912
2022-07-27,28.0123
2022-07-28,28.3784
2022-07-29,28.364
2022-07-30,28.364
2022-07-31,28.364
2022-08-01,28.5219
2022-08-02,28.6152
2022-08-03,28.4078
2022-08-04,28.7513
2022-08-05,28.4078
2022-08-06,28.4078
2022-08-07,28.4078
2022-08-08,28.5777
2022-08-09,28.7332
2022-08-10,28.82
2022-08-11,28.726
2022-08-12,29.0405
2022-08-13,29.0405
2022-08-14,29.0405
2022-08-15,29.1671
2022-08-16,29.431
2022-08-17,29.431
2022-08-18,29.3226
2022-08-19,29.3334
2022-08-20,29.3334
2022-08-21,29.3334
2022-08-22,28.961
2022-08-23,28.7874
2022-08-24,28.6501
2022-08-25,28.6826
2022-08-26,28.6139
2022-08-27,28.6139
2022-08-28,28.6139
2022-08-29,28.4512
2022-08-30,28.1258
2022-08-31,27.8871
2022-09-01,28.1149
2022-09-02,27.898
2022-09-03,27.898
2022-09-04,27.898
2022-09-05,27.898
2022-09-06,27.7642
2022-09-07,27.9775
2022-09-08,27.9305
2022-09-09,28.0679
2022-09-10,28.0679
2022-09-11,28.0679
2022-09-12,28.2885
2022-09-13,27.9305
2022-09-14,27.9269
2022-09-15,27.7389
2022-09-16,27.9486
2022-09-17,27.9486
2022-09-18,27.9486
2022-09-19,27.9558
2022-09-20,27.804
2022-09-21,27.71
2022-09-22,27.7787
2022-09-23,28.1728
2022-09-24,28.1728
2022-09-25,28.1728
2022-09-26,27.6666
2022-09-27,27.2797
2022-09-28,27.4677
2022-09-29,27.1423
2022-09-30,27.4965
2022-10-01,27.4965
2022-10-02,27.4965
2022-10-03,27.9261
2022-10-04,28.141
2022-10-05,27.9261
2022-10-06,27.6224
2022-10-07,27.3187
2022-10-08,27.3187
2022-10-09,27.3187
2022-10-10,27.4446
2022-10-11,27.7706
2022-10-12,27.452
2022-10-13,27.9632
2022-10-14,27.6891
2022-10-15,27.6891
2022-10-16,27.6891
2022-10-17,27.9372
2022-10-18,28.1669
2022-10-19,28.1743
2022-10-20,27.9002
2022-10-21,28.1928
2022-10-22,28.1928
2022-10-23,28.1928
2022-10-24,28.1817
2022-10-25,28.5077
2022-10-26,28.5114
2022-10-27,28.741
2022-10-28,29.004
2022-10-29,29.004
2022-10-30,29.004
2022-10-31,28.9706
2022-11-01,27.8751
2022-11-02,27.583
2022-11-03,27.4482
2022-11-04,27.6729
2022-11-05,27.6729
2022-11-06,27.6729
2022-11-07,27.5792
2022-11-08,27.4707
2022-11-09,27.5792
2022-11-10,28.3768
2022-11-11,28.2196
2022-11-12,28.2196
2022-11-13,28.2196
2022-11-14,28.0773
2022-11-15,28.2458
2022-11-16,28.2345
2022-11-17,27.9911
2022-11-18,28.3506
2022-11-19,28.3506
2022-11-20,28.3506
2022-11-21,28.5041
2022-11-22,28.6951
2022-11-23,28.7288
2022-11-24,28.7288
2022-11-25,29.1257
2022-11-26,29.1257
2022-11-27,29.1257
2022-11-28,29.0471
2022-11-29,28.8112
2022-11-30,29.2306
2022-12-01,29.2792
2022-12-02,29.4814
2022-12-03,29.4814
2022-12-04,29.4814
2022-12-05,29.6162
2022-12-06,29.4215
2022-12-07,29.3841
2022-12-08,29.796
2022-12-09,29.6949
2022-12-10,29.6949
2022-12-11,29.6949
2022-12-12,29.927
2022-12-13,30.0806
2022-12-14,29.9008
2022-12-15,29.6687
2022-12-16,29.5751
2022-12-17,29.5751
2022-12-18,29.5751
2022-12-19,29.62
2022-12-20,29.5226
2022-12-21,29.7211
2022-12-22,29.811
2022-12-23,30.1892
2022-12-24,30.1892
2022-12-25,30.1892
2022-12-26,30.1892
2022-12-27,30.4363
2022-12-28,30.2266
2022-12-29,30.5149
2022-12-30,32.4913
2022-12-31,32.4913
2023-01-01,32.4913
2023-01-02,32.4913
2023-01-03,32.6658
2023-01-04,32.786
2023-01-05,32.3517
2023-01-06,32.1811
2023-01-07,32.1811
2023-01-08,32.1811
2023-01-09,32.0104
2023-01-10,31.6847
2023-01-11,31.7506
2023-01-12,31.9096
2023-01-13,31.9251
2023-01-14,31.9251
2023-01-15,31.9251
2023-01-16,31.9251
2023-01-17,31.739
2023-01-18,31.3861
2023-01-19,31.2116
2023-01-20,31.3551
2023-01-21,31.3551
2023-01-22,31.3551
2023-01-23,31.2736
2023-01-24,31.4985
2023-01-25,31.1224
2023-01-26,31.0409
2023-01-27,30.8005
2023-01-28,30.8005
2023-01-29,30.8005
2023-01-30,30.6066
2023-01-31,30.7695
2023-02-01,31.2348
2023-02-02,31.5761
2023-02-03,31.3667
2023-02-04,31.3667
2023-02-05,31.3667
2023-02-06,31.4055
2023-02-07,31.6033
2023-02-08,31.0409
2023-02-09,30.5833
2023-02-10,30.7966
2023-02-11,30.7966
2023-02-12,30.7966
2023-02-13,30.9285
2023-02-14,30.7889
2023-02-15,30.7578
2023-02-16,30.7811
2023-02-17,31.103
2023-02-18,31.103
2023-02-19,31.103
2023-02-20,31.103
2023-02-21,31.072
2023-02-22,31.7701
2023-02-23,31.7385
2023-02-24,31.636
2023-02-25,31.636
2023-02-26,31.636
2023-02-27,31.6123
2023-02-28,31.5137
2023-03-01,31.3047
2023-03-02,31.565
2023-03-03,31.6754
2023-03-04,31.6754
2023-03-05,31.6754
