,NUE US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-07-24,7.8413
2021-07-25,7.8413
2021-07-26,8.1014
2021-07-27,8.1484
2021-07-28,8.2257
2021-07-29,8.5328
2021-07-30,8.576
2021-07-31,8.576
2021-08-01,8.576
2021-08-02,8.4289
2021-08-03,8.7769
2021-08-04,8.6427
2021-08-05,8.3857
2021-08-06,8.598
2021-08-07,8.598
2021-08-08,8.598
2021-08-09,8.861
2021-08-10,9.6434
2021-08-11,9.8212
2021-08-12,10.0087
2021-08-13,10.0779
2021-08-14,10.0779
2021-08-15,10.0779
2021-08-16,9.9373
2021-08-17,9.5868
2021-08-18,9.6761
2021-08-19,9.4276
2021-08-20,9.3524
2021-08-21,9.3524
2021-08-22,9.3524
2021-08-23,9.6062
2021-08-24,9.8606
2021-08-25,9.6158
2021-08-26,9.4745
2021-08-27,9.6077
2021-08-28,9.6077
2021-08-29,9.6077
2021-08-30,9.6962
2021-08-31,9.4373
2021-09-01,9.3405
2021-09-02,9.2676
2021-09-03,9.1761
2021-09-04,9.1761
2021-09-05,9.1761
2021-09-06,9.1761
2021-09-07,9.2289
2021-09-08,9.0369
2021-09-09,9.066
2021-09-10,9.0422
2021-09-11,9.0422
2021-09-12,9.0422
2021-09-13,8.8152
2021-09-14,8.592
2021-09-15,8.8472
2021-09-16,8.8613
2021-09-17,8.4945
2021-09-18,8.4945
2021-09-19,8.4945
2021-09-20,7.8985
2021-09-21,7.8486
2021-09-22,7.9208
2021-09-23,8.086
2021-09-24,8.1991
2021-09-25,8.1991
2021-09-26,8.1991
2021-09-27,8.4223
2021-09-28,8.3479
2021-09-29,8.115
2021-09-30,8.0183
2021-10-01,5.0583
2021-10-02,5.0583
2021-10-03,5.0583
2021-10-04,5.019
2021-10-05,5.1058
2021-10-06,4.9832
2021-10-07,5.1171
2021-10-08,5.0728
2021-10-09,5.0728
2021-10-10,5.0728
2021-10-11,5.1021
2021-10-12,5.1464
2021-10-13,5.1799
2021-10-14,5.2201
2021-10-15,5.245
2021-10-16,5.245
2021-10-17,5.245
2021-10-18,5.2789
2021-10-19,5.3137
2021-10-20,5.3978
2021-10-21,5.2581
2021-10-22,5.2698
2021-10-23,5.2698
2021-10-24,5.2698
2021-10-25,5.5904
2021-10-26,5.6812
2021-10-27,5.5352
2021-10-28,5.589
2021-10-29,5.6912
2021-10-30,5.6912
2021-10-31,5.6912
2021-11-01,5.5813
2021-11-02,5.4909
2021-11-03,5.6279
2021-11-04,5.6979
2021-11-05,5.716
2021-11-06,5.716
2021-11-07,5.716
2021-11-08,5.8987
2021-11-09,5.7703
2021-11-10,5.4987
2021-11-11,5.6311
2021-11-12,5.5814
2021-11-13,5.5814
2021-11-14,5.5814
2021-11-15,5.4811
2021-11-16,5.5577
2021-11-17,5.4437
2021-11-18,5.5577
2021-11-19,5.6083
2021-11-20,5.6083
2021-11-21,5.6083
2021-11-22,5.9083
2021-11-23,5.8955
2021-11-24,5.7376
2021-11-25,5.7376
2021-11-26,5.658
2021-11-27,5.658
2021-11-28,5.658
2021-11-29,5.5739
2021-11-30,5.3184
2021-12-01,5.2493
2021-12-02,5.3756
2021-12-03,5.5049
2021-12-04,5.5049
2021-12-05,5.5049
2021-12-06,5.4934
2021-12-07,5.6593
