,PFE US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-02-04,15.8529
2022-02-05,15.8529
2022-02-06,15.8529
2022-02-07,15.9136
2022-02-08,15.4774
2022-02-09,15.411
2022-02-10,15.1597
2022-02-11,15.2117
2022-02-12,15.2117
2022-02-13,15.2117
2022-02-14,14.9287
2022-02-15,14.9258
2022-02-16,14.894
2022-02-17,14.6687
2022-02-18,14.5618
2022-02-19,14.5618
2022-02-20,14.5618
2022-02-21,14.5618
2022-02-22,14.273
2022-02-23,14.0824
2022-02-24,13.8443
2022-02-25,14.3536
2022-02-26,14.3536
2022-02-27,14.3536
2022-02-28,14.1279
2022-03-01,13.7836
2022-03-02,14.3478
2022-03-03,14.3855
2022-03-04,14.6227
2022-03-05,14.6227
2022-03-06,14.6227
2022-03-07,14.4289
2022-03-08,14.2726
2022-03-09,14.6517
2022-03-10,14.7819
2022-03-11,15.0915
2022-03-12,15.0915
2022-03-13,15.0915
2022-03-14,15.6645
2022-03-15,15.6529
2022-03-16,15.8584
2022-03-17,16.3085
2022-03-18,16.387
2022-03-19,16.387
2022-03-20,16.387
2022-03-21,16.294
2022-03-22,15.9598
2022-03-23,15.7127
2022-03-24,15.829
2022-03-25,15.8842
2022-03-26,15.8842
2022-03-27,15.8842
2022-03-28,16.0295
2022-03-29,15.8726
2022-03-30,15.7854
2022-03-31,15.5907
2022-04-01,12.5873
2022-04-02,12.5873
2022-04-03,12.5873
2022-04-04,12.44
2022-04-05,12.5101
2022-04-06,12.8914
2022-04-07,13.4271
2022-04-08,13.4294
2022-04-09,13.4294
2022-04-10,13.4294
2022-04-11,13.1393
2022-04-12,12.9475
2022-04-13,12.9452
2022-04-14,12.9499
2022-04-15,12.9499
2022-04-16,12.9499
2022-04-17,12.9499
2022-04-18,12.6505
2022-04-19,12.2622
2022-04-20,12.1616
2022-04-21,12.0119
2022-04-22,11.7827
2022-04-23,11.7827
2022-04-24,11.7827
2022-04-25,11.9745
2022-04-26,11.9932
2022-04-27,12.1593
2022-04-28,12.3394
2022-04-29,12.0025
2022-04-30,12.0025
2022-05-01,12.0025
2022-05-02,11.8318
2022-05-03,12.054
2022-05-04,12.1405
2022-05-05,11.8575
2022-05-06,11.9955
2022-05-07,11.9955
2022-05-08,11.9955
2022-05-09,11.902
2022-05-10,12.1008
2022-05-11,12.0159
2022-05-12,12.2343
2022-05-13,12.1251
2022-05-14,12.1251
2022-05-15,12.1251
2022-05-16,12.2994
2022-05-17,12.4551
2022-05-18,12.2367
2022-05-19,12.2948
2022-05-20,12.7177
2022-05-21,12.7177
2022-05-22,12.7177
2022-05-23,12.813
2022-05-24,12.9361
2022-05-25,13.0058
2022-05-26,13.0709
2022-05-27,13.0523
2022-05-28,13.0523
2022-05-29,13.0523
2022-05-30,13.0523
2022-05-31,12.8502
2022-06-01,12.6945
2022-06-02,12.7665
2022-06-03,12.8873
2022-06-04,12.8873
2022-06-05,12.8873
2022-06-06,12.9013
2022-06-07,13.0639
2022-06-08,12.9501
2022-06-09,12.5573
2022-06-10,12.1367
2022-06-11,12.1367
2022-06-12,12.1367
2022-06-13,11.658
2022-06-14,11.6603
2022-06-15,11.7975
2022-06-16,11.5581
2022-06-17,11.3373
2022-06-18,11.3373
2022-06-19,11.3373
2022-06-20,11.3373
2022-06-21,11.7045
2022-06-22,11.9276
2022-06-23,12.1646
2022-06-24,12.5132
2022-06-25,12.5132
2022-06-26,12.5132
2022-06-27,12.5806
2022-06-28,12.2971
2022-06-29,12.3621
2022-06-30,12.7084
2022-07-01,9.7778
2022-07-02,9.7778
2022-07-03,9.7778
2022-07-04,9.7778
2022-07-05,9.6556
2022-07-06,9.8581
2022-07-07,9.9803
2022-07-08,9.9347
2022-07-09,9.9347
2022-07-10,9.9347
2022-07-11,9.8836
2022-07-12,9.7286
2022-07-13,9.683
2022-07-14,9.61
2022-07-15,9.6757
2022-07-16,9.6757
2022-07-17,9.6757
2022-07-18,9.4933
2022-07-19,9.6064
2022-07-20,9.506
2022-07-21,9.5608
2022-07-22,9.5808
2022-07-23,9.5808
2022-07-24,9.5808
2022-07-25,9.6793
2022-07-26,9.776
2022-07-27,9.7122
2022-07-28,9.4878
2022-07-29,9.4495
2022-07-30,9.4495
2022-07-31,9.4495
2022-08-01,9.4677
2022-08-02,9.2999
2022-08-03,9.3309
2022-08-04,9.3309
2022-08-05,9.2233
2022-08-06,9.2233
2022-08-07,9.2233
2022-08-08,9.278
2022-08-09,9.3163
2022-08-10,9.3497
2022-08-11,9.0468
2022-08-12,9.3789
2022-08-13,9.3789
2022-08-14,9.3789
2022-08-15,9.3132
2022-08-16,9.3333
2022-08-17,9.2256
2022-08-18,9.0997
2022-08-19,9.2037
2022-08-20,9.2037
2022-08-21,9.2037
2022-08-22,9.1581
2022-08-23,8.9957
2022-08-24,8.8899
2022-08-25,8.9756
2022-08-26,8.7786
2022-08-27,8.7786
2022-08-28,8.7786
2022-08-29,8.6709
2022-08-30,8.6016
2022-08-31,8.4884
2022-09-01,8.7439
2022-09-02,8.5742
2022-09-03,8.5742
2022-09-04,8.5742
2022-09-05,8.5742
2022-09-06,8.5852
2022-09-07,8.6527
2022-09-08,8.826
2022-09-09,8.9647
2022-09-10,8.9647
2022-09-11,8.9647
2022-09-12,8.9501
2022-09-13,8.6636
2022-09-14,8.6563
2022-09-15,8.618
2022-09-16,8.6344
2022-09-17,8.6344
2022-09-18,8.6344
2022-09-19,8.5268
2022-09-20,8.4045
2022-09-21,8.2494
2022-09-22,8.368
2022-09-23,8.2786
2022-09-24,8.2786
2022-09-25,8.2786
2022-09-26,8.233
2022-09-27,8.2804
2022-09-28,8.3425
2022-09-29,8.2932
2022-09-30,7.3434
2022-10-01,7.3434
2022-10-02,7.3434
2022-10-03,7.407
2022-10-04,7.4605
2022-10-05,7.4036
2022-10-06,7.2314
2022-10-07,7.1026
2022-10-08,7.1026
2022-10-09,7.1026
2022-10-10,7.0072
2022-10-11,7.0357
2022-10-12,7.0541
2022-10-13,7.213
2022-10-14,7.1929
2022-10-15,7.1929
2022-10-16,7.1929
2022-10-17,7.325
2022-10-18,7.3986
2022-10-19,7.2347
2022-10-20,7.2013
2022-10-21,7.5425
2022-10-22,7.5425
2022-10-23,7.5425
2022-10-24,7.6412
2022-10-25,7.6495
2022-10-26,7.7281
2022-10-27,7.6746
2022-10-28,7.9573
2022-10-29,7.9573
2022-10-30,7.9573
2022-10-31,7.8101
2022-11-01,8.0543
2022-11-02,7.8971
2022-11-03,7.8134
2022-11-04,7.9222
2022-11-05,7.9222
2022-11-06,7.9222
2022-11-07,7.9004
2022-11-08,7.9439
2022-11-09,7.8399
2022-11-10,7.9503
2022-11-11,7.9871
2022-11-12,7.9871
2022-11-13,7.9871
2022-11-14,8.2614
2022-11-15,8.1494
2022-11-16,8.0624
2022-11-17,8.1092
2022-11-18,8.0925
2022-11-19,8.0925
2022-11-20,8.0925
2022-11-21,8.0841
2022-11-22,8.2347
2022-11-23,8.1962
2022-11-24,8.1962
2022-11-25,8.2564
2022-11-26,8.2564
2022-11-27,8.2564
2022-11-28,8.3167
2022-11-29,8.3033
2022-11-30,8.4103
2022-12-01,8.5693
2022-12-02,8.5408
2022-12-03,8.5408
2022-12-04,8.5408
2022-12-05,8.5107
2022-12-06,8.3401
2022-12-07,8.4287
2022-12-08,8.6864
2022-12-09,8.6763
2022-12-10,8.6763
2022-12-11,8.6763
2022-12-12,8.7499
2022-12-13,8.9022
2022-12-14,9.1381
2022-12-15,8.9925
2022-12-16,8.6228
2022-12-17,8.6228
2022-12-18,8.6228
2022-12-19,8.6161
2022-12-20,8.6094
2022-12-21,8.6663
2022-12-22,8.6629
2022-12-23,8.6947
2022-12-24,8.6947
2022-12-25,8.6947
2022-12-26,8.6947
2022-12-27,8.5776
2022-12-28,8.5224
2022-12-29,8.6111
2022-12-30,8.7043
2022-12-31,8.7043
2023-01-01,8.7043
2023-01-02,8.7043
2023-01-03,8.7075
2023-01-04,8.526
2023-01-05,8.4505
2023-01-06,8.6529
2023-01-07,8.6529
2023-01-08,8.6529
2023-01-09,8.2465
2023-01-10,8.1228
2023-01-11,8.0955
2023-01-12,8.1373
2023-01-13,8.1598
2023-01-14,8.1598
2023-01-15,8.1598
2023-01-16,8.1598
2023-01-17,7.8755
2023-01-18,7.702
2023-01-19,7.6956
2023-01-20,7.7197
2023-01-21,7.7197
2023-01-22,7.7197
2023-01-23,7.6988
2023-01-24,7.6554
2023-01-25,7.7132
2023-01-26,7.5815
2023-01-27,7.5076
2023-01-28,7.5076
2023-01-29,7.5076
2023-01-30,7.4691
2023-01-31,7.5671
2023-02-01,7.5366
2023-02-02,7.596
2023-02-03,7.551
2023-02-04,7.551
2023-02-05,7.551
2023-02-06,7.5028
2023-02-07,7.4755
2023-02-08,7.5382
2023-02-09,7.4354
2023-02-10,7.5221
2023-02-11,7.5221
2023-02-12,7.5221
2023-02-13,7.5398
2023-02-14,7.4964
2023-02-15,7.4322
2023-02-16,7.3727
2023-02-17,7.4145
2023-02-18,7.4145
2023-02-19,7.4145
2023-02-20,7.4145
2023-02-21,7.3326
2023-02-22,7.2812
2023-02-23,7.2753
2023-02-24,7.1869
2023-02-25,7.1869
2023-02-26,7.1869
2023-02-27,7.0309
2023-02-28,6.9971
2023-03-01,6.9344
2023-03-02,7.0052
