,MMM US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-10-22,10.3244
2022-10-23,10.3244
2022-10-24,10.44
2022-10-25,10.4351
2022-10-26,10.7437
2022-10-27,10.751
2022-10-28,11.0302
2022-10-29,11.0302
2022-10-30,11.0302
2022-10-31,10.9707
2022-11-01,10.9347
2022-11-02,10.7554
2022-11-03,10.7547
2022-11-04,10.9009
2022-11-05,10.9009
2022-11-06,10.9009
2022-11-07,10.8891
2022-11-08,10.9384
2022-11-09,10.8267
2022-11-10,11.2176
2022-11-11,11.499
2022-11-12,11.499
2022-11-13,11.499
2022-11-14,11.3557
2022-11-15,11.3697
2022-11-16,11.1874
2022-11-17,11.0706
2022-11-18,11.042
2022-11-19,11.042
2022-11-20,11.042
2022-11-21,11.1059
2022-11-22,11.1772
2022-11-23,11.1331
2022-11-24,11.1331
2022-11-25,11.2095
2022-11-26,11.2095
2022-11-27,11.2095
2022-11-28,10.8862
2022-11-29,10.9957
2022-11-30,10.9839
2022-12-01,10.9854
2022-12-02,11.0589
2022-12-03,11.0589
2022-12-04,11.0589
2022-12-05,10.8855
2022-12-06,10.8818
2022-12-07,11.0118
2022-12-08,10.9861
2022-12-09,10.9685
2022-12-10,10.9685
2022-12-11,10.9685
2022-12-12,11.0486
2022-12-13,11.0809
2022-12-14,10.9927
2022-12-15,10.7201
2022-12-16,10.6695
2022-12-17,10.6695
2022-12-18,10.6695
2022-12-19,10.7018
2022-12-20,10.6048
2022-12-21,10.7995
2022-12-22,10.6621
2022-12-23,10.5556
2022-12-24,10.5556
2022-12-25,10.5556
2022-12-26,10.5556
2022-12-27,10.5614
2022-12-28,10.4196
2022-12-29,10.5872
2022-12-30,12.115
2022-12-31,12.115
2023-01-01,12.115
2023-01-02,12.115
2023-01-03,12.3305
2023-01-04,12.5571
2023-01-05,12.372
2023-01-06,12.6898
2023-01-07,12.6898
2023-01-08,12.6898
2023-01-09,12.6957
2023-01-10,12.809
2023-01-11,12.8927
2023-01-12,12.9121
2023-01-13,12.9256
2023-01-14,12.9256
2023-01-15,12.9256
2023-01-16,12.9256
2023-01-17,12.6797
2023-01-18,12.3542
2023-01-19,11.989
2023-01-20,12.1767
2023-01-21,12.1767
2023-01-22,12.1767
2023-01-23,12.3432
2023-01-24,11.6991
2023-01-25,11.5241
2023-01-26,11.5765
2023-01-27,11.7202
2023-01-28,11.7202
2023-01-29,11.7202
2023-01-30,11.4945
2023-01-31,11.7059
2023-02-01,11.7718
2023-02-02,12.1463
2023-02-03,11.9096
2023-02-04,11.9096
2023-02-05,11.9096
2023-02-06,11.8259
2023-02-07,11.8597
2023-02-08,11.6807
2023-02-09,11.4854
2023-02-10,11.5654
2023-02-11,11.5654
2023-02-12,11.5654
2023-02-13,11.6832
2023-02-14,11.5931
2023-02-15,11.642
2023-02-16,11.4071
2023-02-17,11.4904
2023-02-18,11.4904
2023-02-19,11.4904
2023-02-20,11.4904
2023-02-21,11.1756
2023-02-22,11.1495
2023-02-23,11.147
2023-02-24,11.0535
2023-02-25,11.0535
2023-02-26,11.0535
2023-02-27,11.0931
2023-02-28,11.0485
2023-03-01,11.2564
2023-03-02,11.2303
2023-03-03,11.3448
2023-03-04,11.3448
2023-03-05,11.3448
