,CC US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-10-24,7.2115
2022-10-25,7.2305
2022-10-26,7.1319
2022-10-27,7.0844
2022-10-28,7.0476
2022-10-29,7.0476
2022-10-30,7.0476
2022-10-31,7.0414
2022-11-01,7.0537
2022-11-02,6.9187
2022-11-03,6.9279
2022-11-04,7.2899
2022-11-05,7.2899
2022-11-06,7.2899
2022-11-07,7.296
2022-11-08,7.3068
2022-11-09,7.204
2022-11-10,7.6273
2022-11-11,7.816
2022-11-12,7.816
2022-11-13,7.816
2022-11-14,7.773
2022-11-15,7.7792
2022-11-16,7.6181
2022-11-17,7.7239
2022-11-18,7.7224
2022-11-19,7.7224
2022-11-20,7.7224
2022-11-21,7.5844
2022-11-22,7.6902
2022-11-23,7.6871
2022-11-24,7.6871
2022-11-25,7.6779
2022-11-26,7.6779
2022-11-27,7.6779
2022-11-28,7.4709
2022-11-29,7.4065
2022-11-30,7.4126
2022-12-01,7.4433
2022-12-02,7.4617
2022-12-03,7.4617
2022-12-04,7.4617
2022-12-05,7.3666
2022-12-06,7.3881
2022-12-07,7.3037
2022-12-08,7.227
2022-12-09,7.181
2022-12-10,7.181
2022-12-11,7.181
2022-12-12,7.3313
2022-12-13,7.4831
2022-12-14,7.5261
2022-12-15,7.2945
2022-12-16,7.3697
2022-12-17,7.3697
2022-12-18,7.3697
2022-12-19,7.293
2022-12-20,7.3942
2022-12-21,7.3973
2022-12-22,7.1948
2022-12-23,7.3697
2022-12-24,7.3697
2022-12-25,7.3697
2022-12-26,7.3697
2022-12-27,7.3927
2022-12-28,7.2516
2022-12-29,7.3865
2022-12-30,9.5486
2022-12-31,9.5486
2023-01-01,9.5486
2023-01-02,9.5486
2023-01-03,9.5486
2023-01-04,9.7302
2023-01-05,9.5643
2023-01-06,9.8962
2023-01-07,9.8962
2023-01-08,9.8962
2023-01-09,9.9254
2023-01-10,9.8161
2023-01-11,10.0055
2023-01-12,10.066
2023-01-13,10.1265
2023-01-14,10.1265
2023-01-15,10.1265
2023-01-16,10.1265
2023-01-17,10.0309
2023-01-18,10.0309
2023-01-19,9.9391
2023-01-20,10.1539
2023-01-21,10.1539
2023-01-22,10.1539
2023-01-23,10.1929
2023-01-24,10.2983
2023-01-25,10.2183
2023-01-26,10.3999
2023-01-27,10.4233
2023-01-28,10.4233
2023-01-29,10.4233
2023-01-30,10.4292
2023-01-31,10.6752
2023-02-01,10.6634
2023-02-02,10.5932
2023-02-03,10.5775
2023-02-04,10.5775
2023-02-05,10.5775
2023-02-06,10.4741
2023-02-07,10.5775
2023-02-08,10.3921
2023-02-09,10.1109
2023-02-10,10.1621
2023-02-11,10.1621
2023-02-12,10.1621
2023-02-13,10.2984
2023-02-14,10.2235
2023-02-15,10.1852
2023-02-16,10.2581
2023-02-17,10.3022
2023-02-18,10.3022
2023-02-19,10.3022
2023-02-20,10.3022
2023-02-21,9.9894
2023-02-22,10.0547
2023-02-23,10.0835
2023-02-24,10.047
2023-02-25,10.047
2023-02-26,10.047
2023-02-27,10.1046
2023-02-28,10.1295
2023-03-01,10.2562
2023-03-02,10.5018
2023-03-03,10.6189
2023-03-04,10.6189
2023-03-05,10.6189
2023-03-06,10.3982
2023-03-07,10.1353
2023-03-08,10.1199
