,LLY US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-03-26,45.3665
2022-03-27,45.3665
2022-03-28,45.7619
2022-03-29,45.2721
2022-03-30,45.4968
2022-03-31,37.706
2022-04-01,38.4948
2022-04-02,38.4948
2022-04-03,38.4948
2022-04-04,38.3383
2022-04-05,38.4722
2022-04-06,40.1438
2022-04-07,40.4681
2022-04-08,40.8762
2022-04-09,40.8762
2022-04-10,40.8762
2022-04-11,40.5344
2022-04-12,40.4242
2022-04-13,39.7469
2022-04-14,39.6454
2022-04-15,39.6454
2022-04-16,39.6454
2022-04-17,39.6454
2022-04-18,39.2648
2022-04-19,39.0382
2022-04-20,38.5261
2022-04-21,38.1116
2022-04-22,36.7494
2022-04-23,36.7494
2022-04-24,36.7494
2022-04-25,37.5595
2022-04-26,37.2627
2022-04-27,37.5457
2022-04-28,39.0707
2022-04-29,38.3431
2022-04-30,38.3431
2022-05-01,38.3431
2022-05-02,38.0221
2022-05-03,37.836
2022-05-04,38.6892
2022-05-05,38.3731
2022-05-06,38.939
2022-05-07,38.939
2022-05-08,38.939
2022-05-09,37.9809
2022-05-10,37.5399
2022-05-11,37.6636
2022-05-12,38.3019
2022-05-13,38.2807
2022-05-14,38.2807
2022-05-15,38.2807
2022-05-16,39.2488
2022-05-17,39.5012
2022-05-18,38.7254
2022-05-19,37.6111
2022-05-20,39.1826
2022-05-21,39.1826
2022-05-22,39.1826
2022-05-23,39.6511
2022-05-24,40.0708
2022-05-25,40.202
2022-05-26,41.0077
2022-05-27,42.2594
2022-05-28,42.2594
2022-05-29,42.2594
2022-05-30,42.2594
2022-05-31,41.0052
2022-06-01,40.7104
2022-06-02,39.6298
2022-06-03,39.5324
2022-06-04,39.5324
2022-06-05,39.5324
2022-06-06,39.746
2022-06-07,40.8378
2022-06-08,41.0115
2022-06-09,39.7323
2022-06-10,38.9528
2022-06-11,38.9528
2022-06-12,38.9528
2022-06-13,38.237
2022-06-14,38.1758
2022-06-15,38.4506
2022-06-16,37.836
2022-06-17,38.1895
2022-06-18,38.1895
2022-06-19,38.1895
2022-06-20,38.1895
2022-06-21,38.994
2022-06-22,40.162
2022-06-23,40.9153
2022-06-24,42.5267
2022-06-25,42.5267
2022-06-26,42.5267
2022-06-27,42.7329
2022-06-28,41.5274
2022-06-29,42.1995
2022-06-30,43.4737
2022-07-01,43.5352
2022-07-02,43.5352
2022-07-03,43.5352
2022-07-04,43.5352
2022-07-05,43.8518
2022-07-06,44.2325
2022-07-07,43.9505
2022-07-08,44.2735
2022-07-09,44.2735
2022-07-10,44.2735
2022-07-11,44.3504
2022-07-12,43.3917
2022-07-13,43.2468
2022-07-14,43.8147
2022-07-15,44.4184
2022-07-16,44.4184
2022-07-17,44.4184
2022-07-18,43.1584
2022-07-19,43.7262
2022-07-20,43.1917
2022-07-21,43.8185
2022-07-22,44.0531
2022-07-23,44.0531
2022-07-24,44.0531
2022-07-25,44.412
2022-07-26,44.4132
2022-07-27,44.0774
2022-07-28,44.3158
2022-07-29,44.1736
