,EBAY US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-05-28,10.6822
2022-05-29,10.6822
2022-05-30,10.6822
2022-05-31,10.652
2022-06-01,10.3089
2022-06-02,10.4703
2022-06-03,10.3331
2022-06-04,10.3331
2022-06-05,10.3331
2022-06-06,10.4501
2022-06-07,10.4178
2022-06-08,10.4522
2022-06-09,10.2524
2022-06-10,9.766
2022-06-11,9.766
2022-06-12,9.766
2022-06-13,9.4935
2022-06-14,9.4229
2022-06-15,9.6106
2022-06-16,9.1202
2022-06-17,9.3482
2022-06-18,9.3482
2022-06-19,9.3482
2022-06-20,9.3482
2022-06-21,9.3644
2022-06-22,9.5339
2022-06-23,9.5016
2022-06-24,10.0465
2022-06-25,10.0465
2022-06-26,10.0465
2022-06-27,9.7862
2022-06-28,9.437
2022-06-29,9.441
2022-06-30,10.5986
2022-07-01,10.8647
2022-07-02,10.8647
2022-07-03,10.8647
2022-07-04,10.8647
2022-07-05,11.0915
2022-07-06,11.0457
2022-07-07,11.0675
2022-07-08,10.9192
2022-07-09,10.9192
2022-07-10,10.9192
2022-07-11,10.8516
2022-07-12,10.9323
2022-07-13,10.7774
2022-07-14,10.6771
2022-07-15,11.0217
2022-07-16,11.0217
2022-07-17,11.0217
2022-07-18,11.0173
2022-07-19,11.4077
2022-07-20,11.5844
2022-07-21,11.6847
2022-07-22,11.6912
2022-07-23,11.6912
2022-07-24,11.6912
2022-07-25,11.6651
2022-07-26,11.4688
2022-07-27,11.8003
2022-07-28,12.0249
2022-07-29,12.1165
2022-07-30,12.1165
2022-07-31,12.1165
2022-08-01,12.1841
2022-08-02,12.0729
2022-08-03,12.52
2022-08-04,11.7554
2022-08-05,11.6292
2022-08-06,11.6292
2022-08-07,11.6292
2022-08-08,11.6998
2022-08-09,11.7833
2022-08-10,11.8903
2022-08-11,11.9053
2022-08-12,12.0914
2022-08-13,12.0914
2022-08-14,12.0914
2022-08-15,11.9288
2022-08-16,12.1043
2022-08-17,11.9053
2022-08-18,11.8988
2022-08-19,11.5842
2022-08-20,11.5842
2022-08-21,11.5842
2022-08-22,11.2247
2022-08-23,11.2333
2022-08-24,11.2547
2022-08-25,11.4815
2022-08-26,11.0407
2022-08-27,11.0407
2022-08-28,11.0407
2022-08-29,11.0257
