,BFH US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-09-09,9.8315
2022-09-10,9.8315
2022-09-11,9.8315
2022-09-12,9.8106
2022-09-13,9.5862
2022-09-14,9.5326
2022-09-15,9.6305
2022-09-16,9.6483
2022-09-17,9.6483
2022-09-18,9.6483
2022-09-19,9.6235
2022-09-20,9.5412
2022-09-21,9.4488
2022-09-22,9.3346
2022-09-23,9.3137
2022-09-24,9.3137
2022-09-25,9.3137
2022-09-26,9.2477
2022-09-27,9.2112
2022-09-28,9.2655
2022-09-29,9.2306
2022-09-30,6.8455
2022-10-01,6.8455
2022-10-02,6.8455
2022-10-03,6.9065
2022-10-04,7.0399
2022-10-05,6.9597
2022-10-06,6.8542
2022-10-07,6.7863
2022-10-08,6.7863
2022-10-09,6.7863
2022-10-10,6.7235
2022-10-11,6.7122
2022-10-12,6.7758
2022-10-13,6.9213
2022-10-14,6.8359
2022-10-15,6.8359
2022-10-16,6.8359
2022-10-17,6.9022
2022-10-18,6.8987
2022-10-19,6.7044
2022-10-20,6.6861
2022-10-21,6.7227
2022-10-22,6.7227
2022-10-23,6.7227
2022-10-24,6.761
2022-10-25,6.9492
2022-10-26,6.9466
2022-10-27,7.1139
2022-10-28,7.33
2022-10-29,7.33
2022-10-30,7.33
2022-10-31,7.2516
2022-11-01,7.3039
2022-11-02,7.1932
2022-11-03,7.0834
2022-11-04,7.158
2022-11-05,7.158
2022-11-06,7.158
2022-11-07,7.3157
2022-11-08,7.361
2022-11-09,7.3061
2022-11-10,7.6286
2022-11-11,7.8508
2022-11-12,7.8508
2022-11-13,7.8508
2022-11-14,7.653
2022-11-15,7.5493
2022-11-16,7.3907
2022-11-17,7.3305
2022-11-18,7.4011
2022-11-19,7.4011
2022-11-20,7.4011
2022-11-21,7.4003
2022-11-22,7.5109
2022-11-23,7.5589
2022-11-24,7.5589
2022-11-25,7.5528
2022-11-26,7.5528
2022-11-27,7.5528
2022-11-28,7.4255
2022-11-29,7.6112
2022-11-30,7.6809
2022-12-01,7.6251
2022-12-02,7.5719
2022-12-03,7.5719
2022-12-04,7.5719
2022-12-05,7.4892
2022-12-06,7.443
2022-12-07,7.4177
2022-12-08,7.3802
2022-12-09,7.4334
2022-12-10,7.4334
2022-12-11,7.4334
2022-12-12,7.4421
2022-12-13,7.5136
2022-12-14,7.5798
2022-12-15,7.5467
2022-12-16,7.4046
2022-12-17,7.4046
2022-12-18,7.4046
2022-12-19,7.3514
2022-12-20,7.2495
2022-12-21,7.3715
2022-12-22,7.3279
2022-12-23,7.3549
2022-12-24,7.3549
2022-12-25,7.3549
2022-12-26,7.3549
2022-12-27,7.3218
2022-12-28,7.2094
2022-12-29,7.3575
2022-12-30,19.9782
2022-12-31,19.9782
2023-01-01,19.9782
2023-01-02,19.9782
2023-01-03,20.0248
2023-01-04,20.3854
2023-01-05,20.4269
2023-01-06,20.5515
2023-01-07,20.5515
2023-01-08,20.5515
2023-01-09,20.2591
2023-01-10,20.1594
2023-01-11,20.2159
2023-01-12,20.3156
2023-01-13,20.0912
2023-01-14,20.0912
2023-01-15,20.0912
2023-01-16,20.0912
2023-01-17,20.1178
2023-01-18,19.9201
2023-01-19,19.7339
2023-01-20,20.181
2023-01-21,20.181
2023-01-22,20.181
2023-01-23,20.4203
2023-01-24,20.4784
2023-01-25,20.8191
2023-01-26,20.4053
2023-01-27,20.4535
2023-01-28,20.4535
2023-01-29,20.4535
2023-01-30,20.2674
2023-01-31,20.5382
2023-02-01,20.0464
2023-02-02,21.0218
2023-02-03,20.8307
2023-02-04,20.8307
2023-02-05,20.8307
2023-02-06,20.4734
2023-02-07,20.6479
2023-02-08,20.6529
2023-02-09,20.5249
2023-02-10,20.4801
2023-02-11,20.4801
2023-02-12,20.4801
2023-02-13,20.6296
2023-02-14,20.5648
2023-02-15,20.6645
2023-02-16,20.5465
2023-02-17,20.4535
2023-02-18,20.4535
2023-02-19,20.4535
2023-02-20,20.4535
2023-02-21,20.1943
2023-02-22,20.4053
2023-02-23,20.4203
2023-02-24,20.3073
2023-02-25,20.3073
2023-02-26,20.3073
2023-02-27,20.5299
2023-02-28,20.5808
2023-03-01,20.5574
2023-03-02,20.4522
2023-03-03,20.5056
2023-03-04,20.5056
2023-03-05,20.5056
2023-03-06,20.1331
