,CORT US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-09-11,18.3372
2022-09-12,18.3535
2022-09-13,18.1574
2022-09-14,18.0267
2022-09-15,17.7735
2022-09-16,17.9287
2022-09-17,17.9287
2022-09-18,17.9287
2022-09-19,17.896
2022-09-20,17.847
2022-09-21,17.9369
2022-09-22,17.6999
2022-09-23,17.5937
2022-09-24,17.5937
2022-09-25,17.5937
2022-09-26,17.2833
2022-09-27,17.4875
2022-09-28,18.378
2022-09-29,17.9695
2022-09-30,18.5074
2022-10-01,18.5074
2022-10-02,18.5074
2022-10-03,18.8622
2022-10-04,19.293
2022-10-05,19.1325
2022-10-06,19.5211
2022-10-07,19.217
2022-10-08,19.217
2022-10-09,19.217
2022-10-10,18.8706
2022-10-11,19.2592
2022-10-12,19.2339
2022-10-13,20.4755
2022-10-14,19.842
2022-10-15,19.842
2022-10-16,19.842
2022-10-17,20.3573
2022-10-18,20.8388
2022-10-19,20.2897
2022-10-20,20.3826
2022-10-21,21.0246
2022-10-22,21.0246
2022-10-23,21.0246
2022-10-24,21.3287
2022-10-25,20.7881
2022-10-26,21.1006
2022-10-27,20.5262
2022-10-28,20.8725
2022-10-29,20.8725
2022-10-30,20.8725
2022-10-31,21.0077
2022-11-01,22.1565
2022-11-02,21.2104
2022-11-03,21.0627
2022-11-04,18.5412
2022-11-05,18.5412
2022-11-06,18.5412
2022-11-07,17.9384
2022-11-08,17.6582
2022-11-09,17.6922
2022-11-10,18.8129
2022-11-11,19.3477
2022-11-12,19.3477
2022-11-13,19.3477
2022-11-14,18.7704
2022-11-15,19.509
2022-11-16,19.2713
2022-11-17,18.8978
2022-11-18,19.3562
2022-11-19,19.3562
2022-11-20,19.3562
2022-11-21,18.9827
2022-11-22,18.9572
2022-11-23,18.9147
2022-11-24,18.9147
2022-11-25,19.0081
2022-11-26,19.0081
2022-11-27,19.0081
2022-11-28,18.3884
2022-11-29,18.5497
2022-11-30,18.312
2022-12-01,18.0233
2022-12-02,18.0573
2022-12-03,18.0573
2022-12-04,18.0573
2022-12-05,16.7159
2022-12-06,16.2574
2022-12-07,16.8178
2022-12-08,16.3848
2022-12-09,15.0009
2022-12-10,15.0009
2022-12-11,15.0009
2022-12-12,14.5425
2022-12-13,14.5595
2022-12-14,14.3812
2022-12-15,13.9822
2022-12-16,13.9058
2022-12-17,13.9058
2022-12-18,13.9058
2022-12-19,14.084
2022-12-20,14.2708
2022-12-21,14.3048
2022-12-22,14.3387
2022-12-23,14.3812
2022-12-24,14.3812
2022-12-25,14.3812
2022-12-26,14.3812
2022-12-27,13.8378
2022-12-28,13.7869
2022-12-29,14.2369
2022-12-30,15.545
2022-12-31,15.545
2023-01-01,15.545
2023-01-02,15.545
2023-01-03,15.4112
2023-01-04,15.4781
2023-01-05,15.7266
2023-01-06,15.8604
2023-01-07,15.8604
2023-01-08,15.8604
2023-01-09,15.7457
2023-01-10,16.0993
2023-01-11,16.2236
2023-01-12,17.0264
2023-01-13,17.5807
2023-01-14,17.5807
2023-01-15,17.5807
2023-01-16,17.5807
2023-01-17,18.049
2023-01-18,18.5843
2023-01-19,18.7658
2023-01-20,19.0048
2023-01-21,19.0048
2023-01-22,19.0048
2023-01-23,19.2342
2023-01-24,17.8961
2023-01-25,18.4791
2023-01-26,18.0586
2023-01-27,18.3644
2023-01-28,18.3644
2023-01-29,18.3644
2023-01-30,18.1064
2023-01-31,17.9821
2023-02-01,19.0143
2023-02-02,19.5209
2023-02-03,19.3775
2023-02-04,19.3775
2023-02-05,19.3775
2023-02-06,19.0335
2023-02-07,18.8805
2023-02-08,18.546
2023-02-09,18.1542
2023-02-10,18.1159
2023-02-11,18.1159
2023-02-12,18.1159
2023-02-13,18.1733
2023-02-14,18.202
2023-02-15,17.2175
2023-02-16,17.4851
2023-02-17,17.6667
2023-02-18,17.6667
2023-02-19,17.6667
2023-02-20,17.6667
2023-02-21,17.0168
2023-02-22,17.0073
2023-02-23,17.122
2023-02-24,16.5007
2023-02-25,16.5007
2023-02-26,16.5007
2023-02-27,16.1471
2023-02-28,16.0881
2023-03-01,15.1589
2023-03-02,14.8715
2023-03-03,14.5266
2023-03-04,14.5266
2023-03-05,14.5266
2023-03-06,16.4425
2023-03-07,16.4617
2023-03-08,16.2605
