,TTC US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-07-27,22.9365
2021-07-28,22.874
2021-07-29,23.0875
2021-07-30,23.0822
2021-07-31,23.0822
2021-08-01,23.0822
2021-08-02,22.9647
2021-08-03,23.2694
2021-08-04,23.0882
2021-08-05,23.1221
2021-08-06,23.2674
2021-08-07,23.2674
2021-08-08,23.2674
2021-08-09,23.2475
2021-08-10,23.2734
2021-08-11,23.2336
2021-08-12,23.14
2021-08-13,23.1141
2021-08-14,23.1141
2021-08-15,23.1141
2021-08-16,23.2854
2021-08-17,22.7138
2021-08-18,22.6043
2021-08-19,22.0925
2021-08-20,22.2
2021-08-21,22.2
2021-08-22,22.2
2021-08-23,22.2936
2021-08-24,22.4011
2021-08-25,22.4947
2021-08-26,22.5007
2021-08-27,22.5166
2021-08-28,22.5166
2021-08-29,22.5166
2021-08-30,22.668
2021-08-31,22.3255
2021-09-01,22.0347
2021-09-02,21.9989
2021-09-03,22.1732
2021-09-04,22.1732
2021-09-05,22.1732
2021-09-06,22.1732
2021-09-07,21.6029
2021-09-08,21.8108
2021-09-09,21.6089
2021-09-10,21.6604
2021-09-11,21.6604
2021-09-12,21.6604
2021-09-13,21.4703
2021-09-14,21.1535
2021-09-15,21.2545
2021-09-16,21.0466
2021-09-17,20.7931
2021-09-18,20.7931
2021-09-19,20.7931
2021-09-20,20.5179
2021-09-21,20.0051
2021-09-22,19.9219
2021-09-23,20.1873
2021-09-24,19.914
2021-09-25,19.914
2021-09-26,19.914
2021-09-27,19.8289
2021-09-28,20.0764
2021-09-29,20.1378
2021-09-30,19.718
2021-10-01,19.8764
2021-10-02,19.8764
2021-10-03,19.8764
2021-10-04,20.0229
2021-10-05,19.9912
2021-10-06,19.9853
2021-10-07,19.9695
2021-10-08,19.8487
2021-10-09,19.8487
2021-10-10,19.8487
2021-10-11,19.3735
2021-10-12,18.9676
2021-10-13,19.1577
2021-10-14,19.5814
2021-10-15,19.716
2021-10-16,19.716
2021-10-17,19.716
2021-10-18,19.8705
2021-10-19,20.0447
2021-10-20,19.9338
2021-10-21,20.2625
2021-10-22,20.0883
2021-10-23,20.0883
2021-10-24,20.0883
2021-10-25,20.415
2021-10-26,20.1576
2021-10-27,19.0785
2021-10-28,19.2705
2021-10-29,20.2121
2021-10-30,20.2121
2021-10-31,20.2121
2021-11-01,20.6314
2021-11-02,20.5434
2021-11-03,20.7255
2021-11-04,20.705
2021-11-05,20.9055
2021-11-06,20.9055
2021-11-07,20.9055
2021-11-08,21.1591
2021-11-09,21.288
2021-11-10,21.2307
2021-11-11,21.3923
2021-11-12,21.6664
2021-11-13,21.6664
2021-11-14,21.6664
2021-11-15,21.5273
2021-11-16,21.9426
2021-11-17,22.2248
