,KRO US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-10-17,5.2579
2022-10-18,5.3721
2022-10-19,5.2906
2022-10-20,5.2471
2022-10-21,5.4102
2022-10-22,5.4102
2022-10-23,5.4102
2022-10-24,5.3885
2022-10-25,5.5408
2022-10-26,5.4918
2022-10-27,5.4701
2022-10-28,5.5027
2022-10-29,5.5027
2022-10-30,5.5027
2022-10-31,5.4972
2022-11-01,5.5516
2022-11-02,5.432
2022-11-03,5.1383
2022-11-04,5.5299
2022-11-05,5.5299
2022-11-06,5.5299
2022-11-07,5.5244
2022-11-08,5.4918
2022-11-09,5.3721
2022-11-10,5.693
2022-11-11,5.9269
2022-11-12,5.9269
2022-11-13,5.9269
2022-11-14,5.7529
2022-11-15,5.8453
2022-11-16,5.6767
2022-11-17,5.5951
2022-11-18,5.6006
2022-11-19,5.6006
2022-11-20,5.6006
2022-11-21,5.5734
2022-11-22,5.7257
2022-11-23,5.7148
2022-11-24,5.7148
2022-11-25,5.7094
2022-11-26,5.7094
2022-11-27,5.7094
2022-11-28,5.4537
2022-11-29,5.5625
2022-11-30,5.3395
2022-12-01,5.3069
2022-12-02,5.3776
2022-12-03,5.3776
2022-12-04,5.3776
2022-12-05,5.4537
2022-12-06,5.5353
2022-12-07,5.693
2022-12-08,5.8997
2022-12-09,5.9324
2022-12-10,5.9324
2022-12-11,5.9324
2022-12-12,5.742
2022-12-13,5.6169
2022-12-14,5.5462
2022-12-15,5.3776
2022-12-16,5.4265
2022-12-17,5.4265
2022-12-18,5.4265
2022-12-19,5.3014
2022-12-20,5.2742
2022-12-21,5.3776
2022-12-22,5.345
2022-12-23,5.4864
2022-12-24,5.4864
2022-12-25,5.4864
2022-12-26,5.4864
2022-12-27,5.5244
2022-12-28,5.345
2022-12-29,5.4701
2022-12-30,8.1911
2022-12-31,8.1911
2023-01-01,8.1911
2023-01-02,8.1911
2023-01-03,8.4117
2023-01-04,8.774
2023-01-05,8.5219
2023-01-06,8.9867
2023-01-07,8.9867
2023-01-08,8.9867
2023-01-09,9.0024
2023-01-10,9.089
2023-01-11,9.2229
2023-01-12,9.3175
2023-01-13,9.4514
2023-01-14,9.4514
2023-01-15,9.4514
2023-01-16,9.4514
2023-01-17,9.3568
2023-01-18,9.5301
2023-01-19,9.3411
2023-01-20,9.3726
2023-01-21,9.3726
2023-01-22,9.3726
2023-01-23,9.3726
2023-01-24,9.4435
2023-01-25,9.4514
2023-01-26,9.7349
2023-01-27,9.6955
2023-01-28,9.6955
2023-01-29,9.6955
2023-01-30,9.8531
2023-01-31,9.9633
2023-02-01,10.0815
2023-02-02,10.1839
2023-02-03,10.0421
2023-02-04,10.0421
2023-02-05,10.0421
2023-02-06,9.9791
2023-02-07,9.987
2023-02-08,9.7901
2023-02-09,9.5144
2023-02-10,9.5853
2023-02-11,9.5853
2023-02-12,9.5853
2023-02-13,9.6798
2023-02-14,9.664
2023-02-15,9.538
2023-02-16,9.3805
2023-02-17,9.5538
2023-02-18,9.5538
2023-02-19,9.5538
2023-02-20,9.5538
2023-02-21,9.3411
2023-02-22,9.601
2023-02-23,10.113
2023-02-24,10.113
2023-02-25,10.113
2023-02-26,10.113
2023-02-27,10.1681
2023-02-28,9.6798
2023-03-01,9.7743
2023-03-02,9.8452
2023-03-03,10.0579
2023-03-04,10.0579
2023-03-05,10.0579
2023-03-06,9.4671
