,BSIG US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-01-07,12.8982
2022-01-08,12.8982
2022-01-09,12.8982
2022-01-10,12.9268
2022-01-11,13.0555
2022-01-12,13.0126
2022-01-13,13.0126
2022-01-14,12.9697
2022-01-15,12.9697
2022-01-16,12.9697
2022-01-17,12.9697
2022-01-18,12.6979
2022-01-19,12.4595
2022-01-20,12.04
2022-01-21,11.73
2022-01-22,11.73
2022-01-23,11.73
2022-01-24,11.7777
2022-01-25,11.3533
2022-01-26,11.2771
2022-01-27,11.1006
2022-01-28,11.2389
2022-01-29,11.2389
2022-01-30,11.2389
2022-01-31,11.6061
2022-02-01,11.8397
2022-02-02,11.6251
2022-02-03,12.1305
2022-02-04,7.5108
2022-02-05,7.5108
2022-02-06,7.5108
2022-02-07,7.7353
2022-02-08,7.8354
2022-02-09,8.0059
2022-02-10,7.8814
2022-02-11,7.7894
2022-02-12,7.7894
2022-02-13,7.7894
2022-02-14,7.9031
2022-02-15,8.0357
2022-02-16,8.152
2022-02-17,7.8462
2022-02-18,7.8977
2022-02-19,7.8977
2022-02-20,7.8977
2022-02-21,7.8977
2022-02-22,7.8787
2022-02-23,7.7028
2022-02-24,7.7569
2022-02-25,7.9058
2022-02-26,7.9058
2022-02-27,7.9058
2022-02-28,7.5812
2022-03-01,7.3791
2022-03-02,7.7124
2022-03-03,7.694
2022-03-04,7.3948
2022-03-05,7.3948
2022-03-06,7.3948
2022-03-07,6.9119
2022-03-08,7.0379
2022-03-09,7.4184
2022-03-10,7.5287
2022-03-11,7.5182
2022-03-12,7.5182
2022-03-13,7.5182
2022-03-14,7.6389
2022-03-15,7.7413
2022-03-16,7.9801
2022-03-17,8.1402
2022-03-18,8.0798
2022-03-19,8.0798
2022-03-20,8.0798
2022-03-21,7.9486
2022-03-22,8.0037
2022-03-23,7.7806
2022-03-24,7.7859
2022-03-25,7.6337
2022-03-26,7.6337
2022-03-27,7.6337
2022-03-28,7.6573
2022-03-29,7.8646
2022-03-30,7.715
2022-03-31,8.2496
2022-04-01,8.347
2022-04-02,8.347
2022-04-03,8.347
2022-04-04,8.2649
2022-04-05,8.0624
2022-04-06,7.8497
2022-04-07,7.7318
2022-04-08,7.7318
2022-04-09,7.7318
2022-04-10,7.7318
2022-04-11,7.6523
2022-04-12,7.5677
2022-04-13,7.7702
2022-04-14,7.6702
2022-04-15,7.6702
2022-04-16,7.6702
2022-04-17,7.6702
2022-04-18,7.6984
2022-04-19,7.8061
2022-04-20,7.4305
2022-04-21,7.2903
2022-04-22,7.2903
2022-04-23,7.2903
2022-04-24,7.2903
2022-04-25,7.2589
2022-04-26,7.051
2022-04-27,6.9544
2022-04-28,7.022
2022-04-29,6.877
2022-04-30,6.877
2022-05-01,6.877
2022-05-02,6.9254
2022-05-03,6.9423
2022-05-04,7.022
2022-05-05,7.1598
2022-05-06,6.9278
2022-05-07,6.9278
2022-05-08,6.9278
2022-05-09,6.8722
2022-05-10,6.8214
2022-05-11,6.6522
2022-05-12,6.7417
2022-05-13,6.7852
2022-05-14,6.7852
2022-05-15,6.7852
2022-05-16,6.7392
2022-05-17,7.0051
2022-05-18,6.8383
2022-05-19,6.8335
2022-05-20,6.8238
2022-05-21,6.8238
2022-05-22,6.8238
2022-05-23,6.819
2022-05-24,6.7417
2022-05-25,6.7779
2022-05-26,6.8504
2022-05-27,6.935
2022-05-28,6.935
2022-05-29,6.935
2022-05-30,6.935
2022-05-31,6.9616
2022-06-01,6.9278
2022-06-02,7.0486
2022-06-03,7.0535
2022-06-04,7.0535
2022-06-05,7.0535
2022-06-06,7.0945
2022-06-07,7.109
2022-06-08,7.0293
2022-06-09,6.9785
2022-06-10,6.7997
2022-06-11,6.7997
2022-06-12,6.7997
2022-06-13,6.645
2022-06-14,6.6184
2022-06-15,6.6111
2022-06-16,6.4226
2022-06-17,6.5338
2022-06-18,6.5338
2022-06-19,6.5338
2022-06-20,6.5338
2022-06-21,6.5942
2022-06-22,6.6039
2022-06-23,6.5966
2022-06-24,6.6933
2022-06-25,6.6933
2022-06-26,6.6933
2022-06-27,6.6764
2022-06-28,6.5821
2022-06-29,6.5217
2022-06-30,5.7905
2022-07-01,5.8155
2022-07-02,5.8155
2022-07-03,5.8155
2022-07-04,5.8155
2022-07-05,5.7996
2022-07-06,5.754
2022-07-07,5.7859
2022-07-08,5.7153
2022-07-09,5.7153
2022-07-10,5.7153
2022-07-11,5.6265
2022-07-12,5.6219
2022-07-13,5.5741
2022-07-14,5.6014
2022-07-15,5.6971
2022-07-16,5.6971
2022-07-17,5.6971
2022-07-18,5.6424
2022-07-19,5.8155
2022-07-20,5.9271
2022-07-21,5.9453
2022-07-22,5.9499
2022-07-23,5.9499
2022-07-24,5.9499
2022-07-25,6.0045
2022-07-26,5.9385
2022-07-27,5.9863
2022-07-28,6.0205
2022-07-29,5.9954
2022-07-30,5.9954
2022-07-31,5.9954
2022-08-01,6.0228
2022-08-02,5.918
2022-08-03,5.9818
2022-08-04,5.9544
2022-08-05,5.9804
2022-08-06,5.9804
2022-08-07,5.9804
2022-08-08,6.0191
2022-08-09,5.8961
