,UPS US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-02-17,15.3818
2022-02-18,15.2907
2022-02-19,15.2907
2022-02-20,15.2907
2022-02-21,15.2907
2022-02-22,15.2846
2022-02-23,14.9812
2022-02-24,15.1643
2022-02-25,15.3509
2022-02-26,15.3509
2022-02-27,15.3509
2022-02-28,15.3826
2022-03-01,15.0555
2022-03-02,15.4529
2022-03-03,15.5185
2022-03-04,15.3806
2022-03-05,15.3806
2022-03-06,15.3806
2022-03-07,14.7581
2022-03-08,14.9088
2022-03-09,15.1366
2022-03-10,15.1636
2022-03-11,14.942
2022-03-12,14.942
2022-03-13,14.942
2022-03-14,14.969
2022-03-15,15.3901
2022-03-16,15.8882
2022-03-17,16.1869
2022-03-18,16.0152
2022-03-19,16.0152
2022-03-20,16.0152
2022-03-21,15.9449
2022-03-22,15.9354
2022-03-23,15.6756
2022-03-24,15.681
2022-03-25,15.7277
2022-03-26,15.7277
2022-03-27,15.7277
2022-03-28,16.0118
2022-03-29,16.208
2022-03-30,16.0558
2022-03-31,14.9437
2022-04-01,14.434
2022-04-02,14.434
2022-04-03,14.434
2022-04-04,14.3408
2022-04-05,13.8194
2022-04-06,13.6356
2022-04-07,13.5254
2022-04-08,13.4127
2022-04-09,13.4127
2022-04-10,13.4127
2022-04-11,13.4042
2022-04-12,13.2119
2022-04-13,13.2758
2022-04-14,13.2204
2022-04-15,13.2204
2022-04-16,13.2204
2022-04-17,13.2204
2022-04-18,13.1643
2022-04-19,13.3944
2022-04-20,13.3775
2022-04-21,13.2712
2022-04-22,13.1637
2022-04-23,13.1637
2022-04-24,13.1637
2022-04-25,13.326
2022-04-26,12.8964
2022-04-27,13.1148
2022-04-28,13.3599
2022-04-29,12.6963
2022-04-30,12.6963
2022-05-01,12.6963
2022-05-02,12.6051
2022-05-03,12.5751
2022-05-04,12.9591
2022-05-05,12.7198
2022-05-06,12.7283
2022-05-07,12.7283
2022-05-08,12.7283
2022-05-09,12.827
2022-05-10,12.8649
2022-05-11,12.5675
2022-05-12,12.6453
2022-05-13,12.6054
2022-05-14,12.6054
2022-05-15,12.6054
2022-05-16,12.7185
2022-05-17,12.9388
2022-05-18,12.2255
2022-05-19,11.9091
2022-05-20,12.1477
2022-05-21,12.1477
2022-05-22,12.1477
2022-05-23,12.3668
2022-05-24,12.3484
2022-05-25,12.3321
2022-05-26,12.6276
2022-05-27,12.8989
2022-05-28,12.8989
2022-05-29,12.8989
2022-05-30,12.8989
2022-05-31,12.8806
2022-06-01,12.7486
2022-06-02,12.9996
2022-06-03,13.0924
2022-06-04,13.0924
2022-06-05,13.0924
2022-06-06,13.1984
2022-06-07,13.0938
2022-06-08,12.6969
2022-06-09,12.508
2022-06-10,12.2791
2022-06-11,12.2791
2022-06-12,12.2791
2022-06-13,12.2576
2022-06-14,12.3517
2022-06-15,12.4642
2022-06-16,12.2229
2022-06-17,12.1497
2022-06-18,12.1497
2022-06-19,12.1497
2022-06-20,12.1497
2022-06-21,12.3739
2022-06-22,12.4818
2022-06-23,12.644
2022-06-24,12.9493
2022-06-25,12.9493
2022-06-26,12.9493
2022-06-27,12.8519
2022-06-28,12.7283
2022-06-29,12.8074
2022-06-30,12.5736
2022-07-01,12.7305
2022-07-02,12.7305
2022-07-03,12.7305
2022-07-04,12.7305
2022-07-05,12.7075
2022-07-06,12.7421
2022-07-07,12.8074
2022-07-08,12.7568
2022-07-09,12.7568
2022-07-10,12.7568
2022-07-11,12.7081
2022-07-12,12.3706
2022-07-13,12.2777
2022-07-14,12.3008
2022-07-15,12.5768
2022-07-16,12.5768
2022-07-17,12.5768
2022-07-18,12.4161
2022-07-19,12.783
2022-07-20,12.8496
2022-07-21,12.8599
2022-07-22,12.922
2022-07-23,12.922
2022-07-24,12.922
2022-07-25,12.9175
2022-07-26,12.5089
2022-07-27,12.6607
2022-07-28,12.9387
2022-07-29,13.3646
2022-07-30,13.3646
2022-07-31,13.3646
2022-08-01,13.3934
2022-08-02,13.2775
2022-08-03,13.1981
2022-08-04,13.2682
2022-08-05,13.4108
2022-08-06,13.4108
2022-08-07,13.4108
2022-08-08,13.3681
2022-08-09,13.4038
2022-08-10,13.768
2022-08-11,13.8991
2022-08-12,13.9284
2022-08-13,13.9284
2022-08-14,13.9284
2022-08-15,13.9915
2022-08-16,14.0214
2022-08-17,13.9342
2022-08-18,14.1296
2022-08-19,14.1538
2022-08-20,14.1538
2022-08-21,14.1538
2022-08-22,14.0246
2022-08-23,13.9526
2022-08-24,13.8106
2022-08-25,13.9354
2022-08-26,13.549
2022-08-27,13.549
2022-08-28,13.549
2022-08-29,13.4433
2022-08-30,13.3019
2022-08-31,13.2675
2022-09-01,13.4012
2022-09-02,13.3656
2022-09-03,13.3656
2022-09-04,13.3656
2022-09-05,13.3656
2022-09-06,13.3599
2022-09-07,13.3809
2022-09-08,13.3707
2022-09-09,13.5337
2022-09-10,13.5337
2022-09-11,13.5337
2022-09-12,13.6279
2022-09-13,13.1529
2022-09-14,13.0415
2022-09-15,12.662
2022-09-16,12.1342
2022-09-17,12.1342
2022-09-18,12.1342
2022-09-19,12.3456
2022-09-20,12.0686
2022-09-21,11.9509
2022-09-22,11.5707
2022-09-23,11.346
2022-09-24,11.346
2022-09-25,11.346
2022-09-26,11.1817
2022-09-27,11.374
2022-09-28,11.5236
2022-09-29,11.409
2022-09-30,11.0254
2022-10-01,11.0254
2022-10-02,11.0254
2022-10-03,11.1226
2022-10-04,11.486
2022-10-05,11.4259
2022-10-06,11.2799
2022-10-07,10.8751
2022-10-08,10.8751
2022-10-09,10.8751
2022-10-10,10.9127
2022-10-11,10.892
2022-10-12,10.8964
2022-10-13,11.1583
2022-10-14,11.0342
2022-10-15,11.0342
2022-10-16,11.0342
2022-10-17,11.2247
2022-10-18,11.367
2022-10-19,11.2918
2022-10-20,10.9904
2022-10-21,11.2767
2022-10-22,11.2767
2022-10-23,11.2767
2022-10-24,11.4021
2022-10-25,11.3676
2022-10-26,11.4923
2022-10-27,11.3356
2022-10-28,11.3782
2022-10-29,11.3782
2022-10-30,11.3782
2022-10-31,11.4158
2022-11-01,11.3927
2022-11-02,11.1918
2022-11-03,11.1359
2022-11-04,11.2407
2022-11-05,11.2407
2022-11-06,11.2407
2022-11-07,11.4553
2022-11-08,11.4341
2022-11-09,11.1359
2022-11-10,11.6543
2022-11-11,12.0206
2022-11-12,12.0206
2022-11-13,12.0206
2022-11-14,11.9956
2022-11-15,12.2252
2022-11-16,11.9501
2022-11-17,11.8877
2022-11-18,12.0693
2022-11-19,12.0693
2022-11-20,12.0693
2022-11-21,12.1716
2022-11-22,12.3045
2022-11-23,12.3107
2022-11-24,12.3107
2022-11-25,12.2908
2022-11-26,12.2908
2022-11-27,12.2908
2022-11-28,12.1279
2022-11-29,12.4386
2022-11-30,12.7406
2022-12-01,12.7693
2022-12-02,12.7194
2022-12-03,12.7194
2022-12-04,12.7194
2022-12-05,12.2059
2022-12-06,11.8278
2022-12-07,11.801
2022-12-08,12.1104
2022-12-09,11.9863
2022-12-10,11.9863
2022-12-11,11.9863
2022-12-12,12.2914
2022-12-13,12.3737
2022-12-14,12.4024
2022-12-15,12.209
2022-12-16,12.0212
2022-12-17,12.0212
2022-12-18,12.0212
2022-12-19,12.0356
2022-12-20,11.7361
2022-12-21,11.9264
2022-12-22,11.8596
2022-12-23,11.947
2022-12-24,11.947
2022-12-25,11.947
2022-12-26,11.947
2022-12-27,11.942
2022-12-28,11.7348
2022-12-29,11.8684
2022-12-30,12.6267
2022-12-31,12.6267
2023-01-01,12.6267
2023-01-02,12.6267
2023-01-03,12.7213
2023-01-04,12.8414
2023-01-05,12.6267
2023-01-06,12.9623
2023-01-07,12.9623
2023-01-08,12.9623
2023-01-09,13.1422
2023-01-10,12.9505
2023-01-11,13.1777
2023-01-12,13.225
2023-01-13,13.1724
2023-01-14,13.1724
2023-01-15,13.1724
2023-01-16,13.1724
2023-01-17,12.9656
2023-01-18,12.8158
2023-01-19,12.7784
2023-01-20,12.9084
2023-01-21,12.9084
2023-01-22,12.9084
2023-01-23,13.0628
2023-01-24,13.0306
2023-01-25,12.8644
2023-01-26,13.0115
2023-01-27,13.1685
2023-01-28,13.1685
2023-01-29,13.1685
2023-01-30,12.8323
2023-01-31,13.3747
2023-02-01,13.3583
2023-02-02,13.7727
2023-02-03,13.797
2023-02-04,13.797
2023-02-05,13.797
2023-02-06,13.6065
2023-02-07,13.5756
2023-02-08,13.4489
2023-02-09,13.3432
2023-02-10,13.374
2023-02-11,13.374
2023-02-12,13.374
2023-02-13,13.5179
2023-02-14,13.4758
2023-02-15,13.4804
2023-02-16,13.3957
2023-02-17,13.242
2023-02-18,13.242
2023-02-19,13.242
2023-02-20,13.242
2023-02-21,12.8464
2023-02-22,12.7258
2023-02-23,12.9429
2023-02-24,12.9566
2023-02-25,12.9566
2023-02-26,12.9566
2023-02-27,13.0922
2023-02-28,13.1092
2023-03-01,13.1476
2023-03-02,13.252
2023-03-03,13.3172
2023-03-04,13.3172
