,PRI US Equity
,CURRENT_EV_TO_T12M_EBIT
2023-04-13,12.9411
2023-04-14,12.9153
2023-04-15,12.9153
2023-04-16,12.9153
2023-04-17,13.0114
2023-04-18,13.1942
2023-04-19,13.1157
2023-04-20,13.0741
2023-04-21,13.101
2023-04-22,13.101
2023-04-23,13.101
2023-04-24,13.0565
2023-04-25,12.9288
2023-04-26,12.848
2023-04-27,13.0911
2023-04-28,13.2206
2023-04-29,13.2206
2023-04-30,13.2206
2023-05-01,13.3155
2023-05-02,13.1491
2023-05-03,13.0278
2023-05-04,12.8644
2023-05-05,13.1977
2023-05-06,13.1977
2023-05-07,13.1977
2023-05-08,13.2036
2023-05-09,12.9488
2023-05-10,12.9638
2023-05-11,12.9123
2023-05-12,12.9997
2023-05-13,12.9997
2023-05-14,12.9997
2023-05-15,13.0623
2023-05-16,12.9795
2023-05-17,13.1717
2023-05-18,13.4252
2023-05-19,13.2554
2023-05-20,13.2554
2023-05-21,13.2554
2023-05-22,13.3651
2023-05-23,13.2945
2023-05-24,13.1498
2023-05-25,13.3254
2023-05-26,13.2974
2023-05-27,13.2974
2023-05-28,13.2974
2023-05-29,13.2974
2023-05-30,13.3336
2023-05-31,13.1509
2023-06-01,13.1177
2023-06-02,13.5828
2023-06-03,13.5828
2023-06-04,13.5828
2023-06-05,13.4106
2023-06-06,13.6073
2023-06-07,13.7386
2023-06-08,13.5052
2023-06-09,13.7666
2023-06-10,13.7666
2023-06-11,13.7666
2023-06-12,13.6581
2023-06-13,13.8011
2023-06-14,13.8273
2023-06-15,13.9114
2023-06-16,13.8507
2023-06-17,13.8507
2023-06-18,13.8507
2023-06-19,13.8507
2023-06-20,13.7439
2023-06-21,13.7958
2023-06-22,13.8227
2023-06-23,13.5542
2023-06-24,13.5542
2023-06-25,13.5542
2023-06-26,13.5799
2023-06-27,13.8583
2023-06-28,13.888
2023-06-29,14.0923
2023-06-30,13.426
2023-07-01,13.426
2023-07-02,13.426
2023-07-03,13.4417
2023-07-04,13.4417
2023-07-05,13.3554
2023-07-06,13.4674
2023-07-07,13.5022
2023-07-08,13.5022
2023-07-09,13.5022
2023-07-10,13.6383
2023-07-11,13.7627
2023-07-12,13.6994
2023-07-13,13.6411
2023-07-14,13.6255
2023-07-15,13.6255
2023-07-16,13.6255
2023-07-17,13.8821
2023-07-18,14.0401
2023-07-19,13.9645
2023-07-20,14.1993
2023-07-21,14.1628
2023-07-22,14.1628
2023-07-23,14.1628
2023-07-24,14.1006
2023-07-25,14.1623
2023-07-26,14.2491
2023-07-27,14.1617
2023-07-28,14.1673
2023-07-29,14.1673
2023-07-30,14.1673
2023-07-31,14.2631
2023-08-01,14.3612
2023-08-02,14.3887
2023-08-03,14.4929
2023-08-04,14.3315
2023-08-05,14.3315
2023-08-06,14.3315
2023-08-07,14.4346
2023-08-08,14.1484
2023-08-09,14.065
2023-08-10,14.0073
2023-08-11,14.0518
2023-08-12,14.0518
2023-08-13,14.0518
2023-08-14,14.0441
2023-08-15,13.8327
2023-08-16,13.679
2023-08-17,13.5242
2023-08-18,13.4424
2023-08-19,13.4424
2023-08-20,13.4424
2023-08-21,13.449
2023-08-22,13.3496
2023-08-23,13.3842
2023-08-24,13.3095
2023-08-25,13.3534
2023-08-26,13.3534
2023-08-27,13.3534
2023-08-28,13.3386
2023-08-29,13.3606
2023-08-30,13.4188
2023-08-31,13.3776
2023-09-01,13.5697
2023-09-02,13.5697
2023-09-03,13.5697
2023-09-04,13.5697
2023-09-05,13.321
2023-09-06,13.3035
2023-09-07,13.3386
