,USNA US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-04-27,9.3983
2021-04-28,8.6661
2021-04-29,9.1099
2021-04-30,8.8012
2021-05-01,8.8012
2021-05-02,8.8012
2021-05-03,8.9306
2021-05-04,8.8829
2021-05-05,9.3245
2021-05-06,9.7627
2021-05-07,9.6367
2021-05-08,9.6367
2021-05-09,9.6367
2021-05-10,9.8024
2021-05-11,9.6298
2021-05-12,9.3914
2021-05-13,9.6944
2021-05-14,9.7234
2021-05-15,9.7234
2021-05-16,9.7234
2021-05-17,9.7145
2021-05-18,9.7612
2021-05-19,9.8715
2021-05-20,9.9885
2021-05-21,9.9461
2021-05-22,9.9461
2021-05-23,9.9461
2021-05-24,10.2614
2021-05-25,10.1834
2021-05-26,10.3148
2021-05-27,10.3082
2021-05-28,10.3639
2021-05-29,10.3639
2021-05-30,10.3639
2021-05-31,10.3639
2021-06-01,10.4429
2021-06-02,10.3928
2021-06-03,10.3082
2021-06-04,10.2959
2021-06-05,10.2959
2021-06-06,10.2959
2021-06-07,10.2458
2021-06-08,10.0932
2021-06-09,10.1143
2021-06-10,10.1745
2021-06-11,10.2257
2021-06-12,10.2257
2021-06-13,10.2257
2021-06-14,10.1099
2021-06-15,10.0241
2021-06-16,10.0965
2021-06-17,10.0408
2021-06-18,9.8036
2021-06-19,9.8036
2021-06-20,9.8036
2021-06-21,9.788
2021-06-22,9.8537
2021-06-23,9.9216
2021-06-24,9.9439
2021-06-25,9.8893
2021-06-26,9.8893
2021-06-27,9.8893
2021-06-28,9.9517
2021-06-29,9.9651
2021-06-30,9.9952
2021-07-01,10.0286
2021-07-02,9.1987
2021-07-03,9.1987
2021-07-04,9.1987
2021-07-05,9.1987
2021-07-06,9.0695
2021-07-07,9.0282
2021-07-08,9.0117
2021-07-09,9.1512
2021-07-10,9.1512
2021-07-11,9.1512
2021-07-12,8.9972
2021-07-13,8.9507
2021-07-14,9.0127
2021-07-15,8.9693
2021-07-16,8.96
2021-07-17,8.96
2021-07-18,8.96
2021-07-19,8.9569
2021-07-20,9.1419
2021-07-21,9.1192
2021-07-22,8.961
2021-07-23,9.1016
2021-07-24,9.1016
2021-07-25,9.1016
2021-07-26,9.208
2021-07-27,9.0509
2021-07-28,8.9621
2021-07-29,8.7771
2021-07-30,8.4908
2021-07-31,8.4908
2021-08-01,8.4908
2021-08-02,8.6189
2021-08-03,8.6841
2021-08-04,8.4577
2021-08-05,8.6034
2021-08-06,8.6365
2021-08-07,8.6365
2021-08-08,8.6365
2021-08-09,8.3916
2021-08-10,8.4453
2021-08-11,8.3121
2021-08-12,8.308
2021-08-13,8.3387
2021-08-14,8.3387
2021-08-15,8.3387
2021-08-16,8.3244
2021-08-17,8.3509
2021-08-18,8.2947
2021-08-19,8.308
2021-08-20,8.4051
2021-08-21,8.4051
2021-08-22,8.4051
2021-08-23,8.4695
2021-08-24,8.3458
2021-08-25,8.4102
2021-08-26,8.3663
2021-08-27,8.6259
2021-08-28,8.6259
2021-08-29,8.6259
2021-08-30,8.587
2021-08-31,8.5615
2021-09-01,8.6269
2021-09-02,8.5615
2021-09-03,8.7465
2021-09-04,8.7465
2021-09-05,8.7465
2021-09-06,8.7465
2021-09-07,8.7873
2021-09-08,8.8129
2021-09-09,8.6596
2021-09-10,8.6494
2021-09-11,8.6494
2021-09-12,8.6494
2021-09-13,8.4848
2021-09-14,7.7817
2021-09-15,7.5885
2021-09-16,7.5834
2021-09-17,7.7326
2021-09-18,7.7326
2021-09-19,7.7326
2021-09-20,7.6437
2021-09-21,7.5773
2021-09-22,7.6805
2021-09-23,7.7439
2021-09-24,7.8358
2021-09-25,7.8358
2021-09-26,7.8358
2021-09-27,7.9932
2021-09-28,7.9718
2021-09-29,8.0188
2021-09-30,8.0678
2021-10-01,8.4929
2021-10-02,8.4929
2021-10-03,8.4929
2021-10-04,8.5934
2021-10-05,8.7221
2021-10-06,8.6457
2021-10-07,8.7755
2021-10-08,8.7158
2021-10-09,8.7158
2021-10-10,8.7158
2021-10-11,8.7545
2021-10-12,8.833
2021-10-13,8.8696
2021-10-14,8.9722
2021-10-15,9.0685
2021-10-16,9.0685
2021-10-17,9.0685
2021-10-18,9.0957
2021-10-19,9.0601
2021-10-20,9.1219
2021-10-21,9.1983
2021-10-22,9.148
2021-10-23,9.148
2021-10-24,9.148
2021-10-25,9.2181
2021-10-26,9.1365
2021-10-27,8.3778
2021-10-28,8.6101
2021-10-29,8.8571
2021-10-30,8.8571
2021-10-31,8.8571
2021-11-01,9.035
2021-11-02,9.1438
2021-11-03,9.3374
2021-11-04,9.4254
2021-11-05,9.4076
2021-11-06,9.4076
2021-11-07,9.4076
2021-11-08,9.282
2021-11-09,9.2192
2021-11-10,8.9055
2021-11-11,8.936
2021-11-12,8.9706
2021-11-13,8.9706
2021-11-14,8.9706
2021-11-15,9.049
2021-11-16,9.2576
2021-11-17,9.164
2021-11-18,9.0876
2021-11-19,9.1009
2021-11-20,9.1009
2021-11-21,9.1009
2021-11-22,8.995
2021-11-23,9.1039
2021-11-24,9.0602
2021-11-25,9.0602
2021-11-26,8.822
2021-11-27,8.822
2021-11-28,8.822
2021-11-29,8.877
2021-11-30,8.8485
2021-12-01,8.7762
2021-12-02,8.877
2021-12-03,8.9217
2021-12-04,8.9217
2021-12-05,8.9217
2021-12-06,8.9838
2021-12-07,8.9329
2021-12-08,8.9716
2021-12-09,8.9411
2021-12-10,8.992
2021-12-11,8.992
2021-12-12,8.992
2021-12-13,8.9747
2021-12-14,8.9797
2021-12-15,9.1314
2021-12-16,8.8739
2021-12-17,9.0123
2021-12-18,9.0123
2021-12-19,9.0123
2021-12-20,8.8088
2021-12-21,8.993
2021-12-22,8.9401
2021-12-23,8.9299
2021-12-24,8.9299
2021-12-25,8.9299
2021-12-26,8.9299
2021-12-27,9.0144
2021-12-28,8.9767
2021-12-29,9.0815
2021-12-30,9.0032
2021-12-31,10.2649
2022-01-01,10.2649
2022-01-02,10.2649
2022-01-03,10.4639
2022-01-04,10.4159
2022-01-05,10.2386
2022-01-06,10.3221
2022-01-07,10.2421
2022-01-08,10.2421
2022-01-09,10.2421
2022-01-10,10.1014
2022-01-11,10.2329
2022-01-12,10.2226
2022-01-13,10.2386
2022-01-14,10.2706
2022-01-15,10.2706
2022-01-16,10.2706
2022-01-17,10.2706
2022-01-18,10.0191
2022-01-19,9.9836
2022-01-20,9.9653
2022-01-21,9.8784
2022-01-22,9.8784
2022-01-23,9.8784
2022-01-24,10.0351
2022-01-25,9.9539
2022-01-26,9.6177
2022-01-27,9.5525
2022-01-28,9.6188
2022-01-29,9.6188
2022-01-30,9.6188
2022-01-31,9.6223
2022-02-01,9.652
2022-02-02,9.5365
2022-02-03,9.421
2022-02-04,9.2495
2022-02-05,9.2495
2022-02-06,9.2495
2022-02-07,9.3375
2022-02-08,9.4759
2022-02-09,8.4456
2022-02-10,8.616
2022-02-11,8.7818
2022-02-12,8.7818
2022-02-13,8.7818
2022-02-14,8.9018
2022-02-15,8.752
2022-02-16,9.0311
2022-02-17,8.8424
2022-02-18,8.9785
2022-02-19,8.9785
2022-02-20,8.9785
2022-02-21,8.9785
2022-02-22,8.7395
2022-02-23,8.6537
2022-02-24,8.5748
2022-02-25,8.7017
2022-02-26,8.7017
2022-02-27,8.7017
2022-02-28,8.7566
2022-03-01,8.6776
2022-03-02,8.8422
2022-03-03,8.7695
2022-03-04,8.1259
2022-03-05,8.1259
2022-03-06,8.1259
2022-03-07,8.3552
2022-03-08,8.5845
2022-03-09,8.4653
2022-03-10,8.1951
2022-03-11,8.0294
2022-03-12,8.0294
2022-03-13,8.0294
2022-03-14,7.9908
2022-03-15,8.0407
2022-03-16,8.0578
2022-03-17,7.917
2022-03-18,7.774
2022-03-19,7.774
2022-03-20,7.774
2022-03-21,7.8421
2022-03-22,7.808
2022-03-23,7.5265
2022-03-24,7.5537
2022-03-25,7.5878
2022-03-26,7.5878
2022-03-27,7.5878
2022-03-28,7.6911
2022-03-29,7.8125
2022-03-30,7.7104
2022-03-31,7.6483
2022-04-01,8.1362
2022-04-02,8.1362
2022-04-03,8.1362
2022-04-04,8.1157
2022-04-05,8.0843
2022-04-06,7.989
2022-04-07,8.1217
2022-04-08,8.2797
2022-04-09,8.2797
2022-04-10,8.2797
2022-04-11,8.3689
2022-04-12,8.5631
2022-04-13,8.5607
2022-04-14,8.4715
2022-04-15,8.4715
2022-04-16,8.4715
2022-04-17,8.4715
2022-04-18,8.1386
2022-04-19,8.2869
2022-04-20,8.3798
2022-04-21,8.1856
2022-04-22,7.9565
2022-04-23,7.9565
2022-04-24,7.9565
2022-04-25,8.065
2022-04-26,7.6766
2022-04-27,7.7261
2022-04-28,7.8395
2022-04-29,7.8141
2022-04-30,7.8141
2022-05-01,7.8141
2022-05-02,7.831
2022-05-03,7.866
2022-05-04,7.743
2022-05-05,7.5271
2022-05-06,7.5042
2022-05-07,7.5042
2022-05-08,7.5042
2022-05-09,7.5645
2022-05-10,7.3606
2022-05-11,7.0245
2022-05-12,7.1982
2022-05-13,7.2079
2022-05-14,7.2079
2022-05-15,7.2079
2022-05-16,7.0511
2022-05-17,7.2284
2022-05-18,6.9509
2022-05-19,6.9051
2022-05-20,6.9328
2022-05-21,6.9328
2022-05-22,6.9328
2022-05-23,6.8532
2022-05-24,6.805
2022-05-25,6.9353
2022-05-26,7.0812
2022-05-27,7.2127
2022-05-28,7.2127
2022-05-29,7.2127
2022-05-30,7.2127
2022-05-31,7.0523
2022-06-01,7.1801
2022-06-02,7.3261
2022-06-03,7.4672
2022-06-04,7.4672
2022-06-05,7.4672
2022-06-06,7.6036
2022-06-07,7.4817
2022-06-08,7.349
2022-06-09,7.3719
2022-06-10,7.2332
2022-06-11,7.2332
2022-06-12,7.2332
2022-06-13,7.0245
2022-06-14,6.9859
2022-06-15,7.2899
2022-06-16,7.0402
2022-06-17,7.0776
2022-06-18,7.0776
2022-06-19,7.0776
2022-06-20,7.0776
2022-06-21,7.2236
2022-06-22,7.3297
2022-06-23,7.4685
2022-06-24,7.5264
2022-06-25,7.5264
2022-06-26,7.5264
2022-06-27,7.5662
2022-06-28,7.3623
2022-06-29,7.3551
2022-06-30,7.2972
2022-07-01,8.973
2022-07-02,8.973
2022-07-03,8.973
2022-07-04,8.973
2022-07-05,8.9972
2022-07-06,9.1881
2022-07-07,7.8406
2022-07-08,7.8136
2022-07-09,7.8136
2022-07-10,7.8136
2022-07-11,7.6825
2022-07-12,7.899
2022-07-13,7.8705
2022-07-14,7.5657
2022-07-15,7.8249
2022-07-16,7.8249
2022-07-17,7.8249
2022-07-18,7.7181
2022-07-19,7.9161
2022-07-20,8.1526
2022-07-21,8.2523
2022-07-22,8.1483
2022-07-23,8.1483
2022-07-24,8.1483
2022-07-25,8.0714
2022-07-26,8.1113
2022-07-27,8.1782
2022-07-28,8.2836
2022-07-29,8.2067
2022-07-30,8.2067
2022-07-31,8.2067
2022-08-01,8.2551
2022-08-02,8.1868
2022-08-03,8.379
2022-08-04,8.389
2022-08-05,8.1853
2022-08-06,8.1853
2022-08-07,8.1853
2022-08-08,8.2266
2022-08-09,7.8343
2022-08-10,8.1179
2022-08-11,8.1222
2022-08-12,8.1464
2022-08-13,8.1464
2022-08-14,8.1464
2022-08-15,8.3915
2022-08-16,8.6124
2022-08-17,8.5782
2022-08-18,8.6623
2022-08-19,8.3644
2022-08-20,8.3644
2022-08-21,8.3644
2022-08-22,8.1578
2022-08-23,7.9112
2022-08-24,7.8514
2022-08-25,8.0253
2022-08-26,7.7317
2022-08-27,7.7317
2022-08-28,7.7317
2022-08-29,7.6761
2022-08-30,7.5777
2022-08-31,7.4851
2022-09-01,7.4053
2022-09-02,7.287
2022-09-03,7.287
2022-09-04,7.287
2022-09-05,7.287
2022-09-06,7.012
2022-09-07,7.116
2022-09-08,7.0775
2022-09-09,7.2072
2022-09-10,7.2072
2022-09-11,7.2072
2022-09-12,7.3754
2022-09-13,7.0419
2022-09-14,6.8865
2022-09-15,6.9179
2022-09-16,6.7625
2022-09-17,6.7625
2022-09-18,6.7625
2022-09-19,6.8865
2022-09-20,6.6913
2022-09-21,6.6528
2022-09-22,6.6329
2022-09-23,6.6058
2022-09-24,6.6058
2022-09-25,6.6058
2022-09-26,6.5944
2022-09-27,6.4832
2022-09-28,6.4932
2022-09-29,6.392
2022-09-30,7.1133
2022-10-01,7.1133
2022-10-02,7.1133
2022-10-03,7.2154
2022-10-04,7.4641
2022-10-05,7.2797
2022-10-06,7.1973
2022-10-07,7.0458
2022-10-08,7.0458
2022-10-09,7.0458
2022-10-10,7.1726
2022-10-11,7.3884
2022-10-12,7.4378
2022-10-13,7.5695
2022-10-14,7.4081
2022-10-15,7.4081
2022-10-16,7.4081
2022-10-17,7.67
2022-10-18,7.7112
2022-10-19,7.306
2022-10-20,7.2187
2022-10-21,7.2863
2022-10-22,7.2863
2022-10-23,7.2863
2022-10-24,7.2632
2022-10-25,7.4724
2022-10-26,7.2434
2022-10-27,6.9404
2022-10-28,6.9799
2022-10-29,6.9799
2022-10-30,6.9799
2022-10-31,6.5303
2022-11-01,6.7345
2022-11-02,6.3162
2022-11-03,5.8962
2022-11-04,6.1499
2022-11-05,6.1499
2022-11-06,6.1499
2022-11-07,6.3129
2022-11-08,6.2818
2022-11-09,5.9753
2022-11-10,6.4812
2022-11-11,6.4515
2022-11-12,6.4515
2022-11-13,6.4515
2022-11-14,6.3098
2022-11-15,6.5042
2022-11-16,6.3395
2022-11-17,6.5059
2022-11-18,6.6031
2022-11-19,6.6031
2022-11-20,6.6031
2022-11-21,6.7069
2022-11-22,6.7497
2022-11-23,6.6591
2022-11-24,6.6591
2022-11-25,6.6014
2022-11-26,6.6014
2022-11-27,6.6014
2022-11-28,6.669
2022-11-29,6.8947
2022-11-30,6.9508
2022-12-01,6.8107
2022-12-02,6.8865
2022-12-03,6.8865
2022-12-04,6.8865
2022-12-05,6.9788
2022-12-06,6.9771
2022-12-07,6.6361
2022-12-08,6.4301
2022-12-09,6.4153
2022-12-10,6.4153
2022-12-11,6.4153
2022-12-12,6.4976
2022-12-13,6.5174
2022-12-14,6.5125
2022-12-15,6.1895
2022-12-16,6.4729
2022-12-17,6.4729
2022-12-18,6.4729
2022-12-19,6.4532
2022-12-20,6.5586
2022-12-21,6.758
2022-12-22,6.8272
2022-12-23,6.8469
2022-12-24,6.8469
2022-12-25,6.8469
2022-12-26,6.8469
2022-12-27,6.9623
2022-12-28,6.758
2022-12-29,6.7745
2022-12-30,6.9501
2022-12-31,6.9501
2023-01-01,6.9501
2023-01-02,6.9501
2023-01-03,7.175
2023-01-04,7.2321
2023-01-05,7.1678
2023-01-06,7.4248
2023-01-07,7.4248
2023-01-08,7.4248
2023-01-09,7.4873
2023-01-10,7.7282
2023-01-11,7.7122
2023-01-12,7.8764
2023-01-13,7.7764
2023-01-14,7.7764
2023-01-15,7.7764
2023-01-16,7.7764
2023-01-17,7.3588
2023-01-18,7.382
2023-01-19,7.3499
2023-01-20,7.6069
2023-01-21,7.6069
2023-01-22,7.6069
2023-01-23,7.6176
2023-01-24,7.4266
2023-01-25,7.4677
2023-01-26,7.3873
2023-01-27,7.4694
2023-01-28,7.4694
2023-01-29,7.4694
2023-01-30,7.5855
2023-01-31,7.8853
2023-02-01,8.1405
2023-02-02,8.3029
2023-02-03,8.1708
2023-02-04,8.1708
2023-02-05,8.1708
2023-02-06,7.9478
2023-02-07,8.1209
2023-02-08,8.4368
2023-02-09,8.526
2023-02-10,8.3654
2023-02-11,8.3654
2023-02-12,8.3654
2023-02-13,8.3636
2023-02-14,8.3065
2023-02-15,8.5849
2023-02-16,8.5528
2023-02-17,8.5706
2023-02-18,8.5706
2023-02-19,8.5706
2023-02-20,8.5706
2023-02-21,8.4261
2023-02-22,8.3279
2023-02-23,8.3083
2023-02-24,8.4189
2023-02-25,8.4189
2023-02-26,8.4189
2023-02-27,8.36
2023-02-28,8.3526
2023-03-01,8.5409
2023-03-02,8.7274
2023-03-03,8.8367
2023-03-04,8.8367
2023-03-05,8.8367
2023-03-06,8.4674
2023-03-07,8.3042
2023-03-08,8.2218
2023-03-09,8.2487
