,GPC US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-05-16,41.5134
2021-05-17,41.6229
2021-05-18,41.2944
2021-05-19,40.8621
2021-05-20,41.1906
2021-05-21,41.3646
2021-05-22,41.3646
2021-05-23,41.3646
2021-05-24,41.3562
2021-05-25,40.9576
2021-05-26,41.2018
2021-05-27,41.0923
2021-05-28,41.2776
2021-05-29,41.2776
2021-05-30,41.2776
2021-05-31,41.2776
2021-06-01,41.5499
2021-06-02,41.1934
2021-06-03,40.7274
2021-06-04,40.9492
2021-06-05,40.9492
2021-06-06,40.9492
2021-06-07,40.3653
2021-06-08,40.8004
2021-06-09,40.5113
2021-06-10,40.3204
2021-06-11,40.6909
2021-06-12,40.6909
2021-06-13,40.6909
2021-06-14,40.2923
2021-06-15,40.1969
2021-06-16,39.7982
2021-06-17,38.9645
2021-06-18,38.4705
2021-06-19,38.4705
2021-06-20,38.4705
2021-06-21,39.3968
2021-06-22,39.5456
2021-06-23,39.6495
2021-06-24,39.8853
2021-06-25,40.3035
2021-06-26,40.3035
2021-06-27,40.3035
2021-06-28,39.7028
2021-06-29,40.0397
2021-06-30,19.3313
2021-07-01,19.5806
2021-07-02,19.6822
2021-07-03,19.6822
2021-07-04,19.6822
2021-07-05,19.6822
2021-07-06,19.4627
2021-07-07,19.6226
2021-07-08,19.4234
2021-07-09,19.7445
2021-07-10,19.7445
2021-07-11,19.7445
2021-07-12,19.7418
2021-07-13,19.4925
2021-07-14,19.6456
2021-07-15,19.6754
2021-07-16,19.4857
2021-07-17,19.4857
2021-07-18,19.4857
2021-07-19,19.2175
2021-07-20,19.5833
2021-07-21,19.6971
2021-07-22,19.1684
2021-07-23,19.5337
2021-07-24,19.5337
2021-07-25,19.5337
2021-07-26,19.4827
2021-07-27,19.5055
2021-07-28,19.1255
2021-07-29,19.3766
2021-07-30,19.2423
2021-07-31,19.2423
2021-08-01,19.2423
2021-08-02,19.1805
2021-08-03,19.4088
2021-08-04,18.9697
2021-08-05,18.8757
2021-08-06,18.8878
2021-08-07,18.8878
2021-08-08,18.8878
