,AZTA US Equity
,CURRENT_EV_TO_T12M_EBIT
2022-06-29,784.5861
2022-06-30,784.5861
2022-07-01,784.5861
2022-07-02,784.5861
2022-07-03,784.5861
2022-07-04,784.5861
2022-07-05,784.5861
2022-07-06,784.5861
2022-07-07,784.5861
2022-07-08,784.5861
2022-07-09,784.5861
2022-07-10,784.5861
2022-07-11,784.5861
2022-07-12,784.5861
2022-07-13,784.5861
2022-07-14,784.5861
2022-07-15,784.5861
2022-07-16,784.5861
2022-07-17,784.5861
2022-07-18,784.5861
2022-07-19,784.5861
2022-07-20,784.5861
2022-07-21,784.5861
2022-07-22,784.5861
2022-07-23,784.5861
2022-07-24,784.5861
2022-07-25,784.5861
2022-07-26,784.5861
2022-07-27,784.5861
2022-07-28,784.5861
2022-07-29,784.5861
2022-07-30,784.5861
2022-07-31,784.5861
2022-08-01,784.5861
2022-08-02,784.5861
2022-08-03,784.5861
2022-08-04,784.5861
2022-08-05,784.5861
2022-08-06,784.5861
2022-08-07,784.5861
2022-08-08,784.5861
2022-08-09,784.5861
2022-08-10,784.5861
2022-08-11,784.5861
2022-08-12,784.5861
2022-08-13,784.5861
2022-08-14,784.5861
2022-08-15,784.5861
2022-08-16,784.5861
2022-08-17,784.5861
2022-08-18,784.5861
2022-08-19,784.5861
2022-08-20,784.5861
2022-08-21,784.5861
2022-08-22,784.5861
2022-08-23,784.5861
2022-08-24,784.5861
2022-08-25,784.5861
2022-08-26,784.5861
2022-08-27,784.5861
2022-08-28,784.5861
2022-08-29,784.5861
2022-08-30,784.5861
2022-08-31,784.5861
2022-09-01,784.5861
2022-09-02,784.5861
2022-09-03,784.5861
2022-09-04,784.5861
2022-09-05,784.5861
2022-09-06,784.5861
2022-09-07,784.5861
2022-09-08,784.5861
2022-09-09,784.5861
2022-09-10,784.5861
2022-09-11,784.5861
2022-09-12,784.5861
2022-09-13,784.5861
2022-09-14,784.5861
2022-09-15,784.5861
2022-09-16,784.5861
2022-09-17,784.5861
2022-09-18,784.5861
2022-09-19,784.5861
2022-09-20,784.5861
2022-09-21,784.5861
2022-09-22,784.5861
2022-09-23,784.5861
2022-09-24,784.5861
2022-09-25,784.5861
2022-09-26,784.5861
2022-09-27,784.5861
2022-09-28,784.5861
2022-09-29,784.5861
2022-09-30,784.5861
2022-10-01,784.5861
2022-10-02,784.5861
2022-10-03,784.5861
2022-10-04,784.5861
2022-10-05,784.5861
2022-10-06,784.5861
2022-10-07,784.5861
2022-10-08,784.5861
2022-10-09,784.5861
2022-10-10,784.5861
2022-10-11,784.5861
2022-10-12,784.5861
2022-10-13,784.5861
2022-10-14,784.5861
2022-10-15,784.5861
2022-10-16,784.5861
2022-10-17,784.5861
2022-10-18,784.5861
2022-10-19,784.5861
2022-10-20,784.5861
2022-10-21,784.5861
2022-10-22,784.5861
2022-10-23,784.5861
2022-10-24,784.5861
2022-10-25,784.5861
2022-10-26,784.5861
2022-10-27,784.5861
2022-10-28,784.5861
2022-10-29,784.5861
2022-10-30,784.5861
2022-10-31,784.5861
2022-11-01,784.5861
2022-11-02,784.5861
2022-11-03,784.5861
2022-11-04,784.5861
2022-11-05,784.5861
2022-11-06,784.5861
2022-11-07,784.5861
2022-11-08,784.5861
2022-11-09,784.5861
2022-11-10,784.5861
2022-11-11,784.5861
2022-11-12,784.5861
2022-11-13,784.5861
2022-11-14,784.5861
2022-11-15,784.5861
2022-11-16,784.5861
2022-11-17,784.5861
2022-11-18,784.5861
2022-11-19,784.5861
2022-11-20,784.5861
2022-11-21,784.5861
2022-11-22,784.5861
2022-11-23,784.5861
2022-11-24,784.5861
2022-11-25,784.5861
2022-11-26,784.5861
2022-11-27,784.5861
2022-11-28,784.5861
2022-11-29,784.5861
2022-11-30,784.5861
2022-12-01,784.5861
2022-12-02,784.5861
2022-12-03,784.5861
2022-12-04,784.5861
2022-12-05,784.5861
2022-12-06,784.5861
2022-12-07,784.5861
2022-12-08,784.5861
2022-12-09,784.5861
2022-12-10,784.5861
2022-12-11,784.5861
2022-12-12,784.5861
2022-12-13,784.5861
2022-12-14,784.5861
2022-12-15,784.5861
2022-12-16,784.5861
2022-12-17,784.5861
2022-12-18,784.5861
2022-12-19,784.5861
2022-12-20,784.5861
2022-12-21,784.5861
2022-12-22,784.5861
2022-12-23,784.5861
2022-12-24,784.5861
2022-12-25,784.5861
2022-12-26,784.5861
