,SIGI US Equity
,CURRENT_EV_TO_T12M_EBIT
2021-12-28,9.8593
2021-12-29,9.8741
2021-12-30,9.8044
2021-12-31,10.6083
2022-01-01,10.6083
2022-01-02,10.6083
2022-01-03,10.4373
2022-01-04,10.3619
2022-01-05,10.1223
2022-01-06,10.2922
2022-01-07,10.336
2022-01-08,10.336
2022-01-09,10.336
2022-01-10,10.354
2022-01-11,10.4069
2022-01-12,10.3417
2022-01-13,10.4182
2022-01-14,10.2865
2022-01-15,10.2865
2022-01-16,10.2865
2022-01-17,10.2865
2022-01-18,10.0143
2022-01-19,10.0379
2022-01-20,10.0739
2022-01-21,10.0604
2022-01-22,10.0604
2022-01-23,10.0604
2022-01-24,10.3417
2022-01-25,10.1662
2022-01-26,10.0705
2022-01-27,9.9862
2022-01-28,10.1954
2022-01-29,10.1954
2022-01-30,10.1954
2022-01-31,10.2663
2022-02-01,10.3597
2022-02-02,10.3473
2022-02-03,10.3113
2022-02-04,10.003
2022-02-05,10.003
2022-02-06,10.003
2022-02-07,10.075
2022-02-08,10.4125
2022-02-09,10.2764
2022-02-10,10.1695
2022-02-11,10.0232
2022-02-12,10.0232
2022-02-13,10.0232
2022-02-14,9.9433
2022-02-15,10.1246
2022-02-16,10.2102
2022-02-17,10.0109
2022-02-18,10.2406
2022-02-19,10.2406
2022-02-20,10.2406
2022-02-21,10.2406
2022-02-22,10.2192
2022-02-23,10.1787
2022-02-24,10.3003
2022-02-25,10.8172
2022-02-26,10.8172
2022-02-27,10.8172
2022-02-28,10.7586
2022-03-01,10.6843
2022-03-02,10.7113
2022-03-03,10.7665
2022-03-04,10.7958
2022-03-05,10.7958
2022-03-06,10.7958
2022-03-07,10.7035
2022-03-08,10.6809
2022-03-09,10.6303
2022-03-10,10.7012
2022-03-11,10.7665
2022-03-12,10.7665
2022-03-13,10.7665
2022-03-14,10.9963
2022-03-15,11.0086
2022-03-16,10.9895
2022-03-17,11.1213
2022-03-18,11.0976
2022-03-19,11.0976
2022-03-20,11.0976
2022-03-21,11.2474
2022-03-22,11.2992
2022-03-23,11.2553
2022-03-24,11.3938
2022-03-25,11.5683
2022-03-26,11.5683
2022-03-27,11.5683
2022-03-28,11.6089
2022-03-29,11.5954
2022-03-30,11.6872
2022-03-31,13.0132
2022-04-01,13.3132
2022-04-02,13.3132
2022-04-03,13.3132
2022-04-04,12.9179
2022-04-05,12.8818
2022-04-06,12.8445
2022-04-07,12.8574
2022-04-08,12.7711
2022-04-09,12.7711
2022-04-10,12.7711
2022-04-11,12.6835
2022-04-12,12.6191
2022-04-13,12.6977
2022-04-14,12.5534
2022-04-15,12.5534
2022-04-16,12.5534
2022-04-17,12.5534
2022-04-18,12.632
2022-04-19,12.6268
2022-04-20,12.5496
2022-04-21,12.5109
2022-04-22,12.2546
2022-04-23,12.2546
2022-04-24,12.2546
2022-04-25,12.3937
2022-04-26,12.2843
2022-04-27,12.4723
2022-04-28,12.4362
2022-04-29,12.1117
2022-04-30,12.1117
2022-05-01,12.1117
2022-05-02,12.2624
2022-05-03,12.3152
2022-05-04,12.5199
2022-05-05,11.8213
2022-05-06,11.9539
2022-05-07,11.9539
2022-05-08,11.9539
2022-05-09,11.7852
2022-05-10,11.4438
2022-05-11,11.2596
2022-05-12,11.3923
2022-05-13,11.333
2022-05-14,11.333
2022-05-15,11.333
2022-05-16,11.3111
2022-05-17,11.5301
2022-05-18,11.4258
2022-05-19,11.3407
2022-05-20,11.3085
2022-05-21,11.3085
2022-05-22,11.3085
2022-05-23,11.3317
2022-05-24,11.4412
2022-05-25,11.4193
2022-05-26,11.4631
2022-05-27,11.5971
2022-05-28,11.5971
2022-05-29,11.5971
2022-05-30,11.5971
2022-05-31,11.7208
2022-06-01,11.5456
2022-06-02,11.8754
2022-06-03,11.6074
2022-06-04,11.6074
2022-06-05,11.6074
2022-06-06,11.6873
2022-06-07,11.7697
2022-06-08,11.5327
2022-06-09,11.3047
2022-06-10,11.3227
2022-06-11,11.3227
2022-06-12,11.3227
2022-06-13,11.315
2022-06-14,11.5172
2022-06-15,11.4915
