,1928 HK Equity,1928 HK Equity,1928 HK Equity,1928 HK Equity,1928 HK Equity
2016-12-08,31.656,31.656,30.906,31.239,9605307.0
2016-12-09,28.073,30.156,27.74,28.782,105508414.0
2016-12-10,28.073,30.156,27.74,28.782,105508414.0
2016-12-11,28.073,30.156,27.74,28.782,105508414.0
2016-12-12,29.115,29.24,28.198,28.448,27808871.0
2016-12-13,28.365,28.698,28.073,28.615,11515592.0
2016-12-14,28.906,29.156,28.24,28.323,17753827.0
2016-12-15,27.907,28.24,27.407,27.699,19552171.0
2016-12-16,27.49,28.032,27.199,27.49,17689669.0
2016-12-17,27.49,28.032,27.199,27.49,17689669.0
2016-12-18,27.49,28.032,27.199,27.49,17689669.0
2016-12-19,27.49,27.699,27.074,27.324,10346638.0
2016-12-20,27.407,27.574,26.99,27.199,8550009.0
2016-12-21,27.199,27.948,27.199,27.74,13741009.0
2016-12-22,27.532,27.907,27.49,27.657,10927393.0
2016-12-23,27.49,27.824,27.365,27.615,7979345.0
2016-12-24,27.49,27.824,27.365,27.615,7979345.0
2016-12-25,27.49,27.824,27.365,27.615,7979345.0
2016-12-26,27.49,27.824,27.365,27.615,7979345.0
2016-12-27,27.49,27.824,27.365,27.615,7979345.0
2016-12-28,27.615,27.824,27.074,27.574,10869132.0
2016-12-29,27.157,27.615,26.866,27.615,7833315.0
2016-12-30,27.615,28.323,27.615,28.073,14398320.0
2016-12-31,27.615,28.323,27.615,28.073,14398320.0
2017-01-01,27.615,28.323,27.615,28.073,14398320.0
2017-01-02,27.615,28.323,27.615,28.073,14398320.0
2017-01-03,27.907,27.99,27.199,27.99,12828267.0
2017-01-04,28.24,28.24,27.699,27.824,8457532.0
2017-01-05,28.032,28.407,27.948,28.323,11842830.0
2017-01-06,28.282,28.448,27.948,28.032,8203863.0
2017-01-07,28.282,28.448,27.948,28.032,8203863.0
2017-01-08,28.282,28.448,27.948,28.032,8203863.0
2017-01-09,28.115,28.906,27.782,28.782,19847970.0
2017-01-10,28.906,29.573,28.865,29.406,25193209.0
2017-01-11,29.573,29.948,29.406,29.698,14869435.0
2017-01-12,29.448,29.531,28.49,28.948,20910705.0
2017-01-13,28.948,29.156,28.657,29.031,4504773.0
2017-01-14,28.948,29.156,28.657,29.031,4504773.0
2017-01-15,28.948,29.156,28.657,29.031,4504773.0
2017-01-16,29.073,29.24,28.698,28.823,5044863.0
2017-01-17,28.823,28.906,28.573,28.657,5933495.0
2017-01-18,28.657,29.281,28.657,28.99,13514374.0
2017-01-19,28.99,29.24,28.74,29.031,9079463.0
2017-01-20,28.865,29.156,28.657,29.073,8849350.0
2017-01-21,28.865,29.156,28.657,29.073,8849350.0
2017-01-22,28.865,29.156,28.657,29.073,8849350.0
2017-01-23,29.24,29.656,29.156,29.281,15176684.0
2017-01-24,29.531,29.531,28.865,29.073,16814320.0
2017-01-25,29.24,29.656,28.99,29.448,16049433.0
2017-01-26,28.906,29.448,28.657,29.24,30887379.0
2017-01-27,28.906,29.156,28.49,28.74,23974942.0
2017-01-28,28.906,29.156,28.49,28.74,23974942.0
2017-01-29,28.906,29.156,28.49,28.74,23974942.0
2017-01-30,28.906,29.156,28.49,28.74,23974942.0
2017-01-31,28.906,29.156,28.49,28.74,23974942.0
2017-02-01,28.323,28.74,27.948,28.115,29510215.0
2017-02-02,28.073,28.282,27.824,27.948,13028066.0
2017-02-03,27.907,28.323,27.824,28.198,15944355.0
2017-02-04,27.907,28.323,27.824,28.198,15944355.0
2017-02-05,27.907,28.323,27.824,28.198,15944355.0
2017-02-06,28.276,28.276,27.761,28.104,17430853.0
2017-02-07,28.061,28.104,27.546,27.546,21139658.0
2017-02-08,27.289,27.46,26.817,27.117,37971256.0
2017-02-09,27.117,27.718,26.817,27.16,40324573.0
2017-02-10,27.203,27.632,27.16,27.418,36259883.0
2017-02-11,27.203,27.632,27.16,27.418,36259883.0
2017-02-12,27.203,27.632,27.16,27.418,36259883.0
2017-02-13,27.16,27.375,27.074,27.074,27941391.0
2017-02-14,27.031,28.533,27.031,28.404,50151582.0
2017-02-15,28.447,28.576,27.932,28.233,23214233.0
2017-02-16,28.233,28.576,28.19,28.276,17491137.0
2017-02-17,28.104,28.19,27.503,27.718,25413749.0
2017-02-18,28.104,28.19,27.503,27.718,25413749.0
2017-02-19,28.104,28.19,27.503,27.718,25413749.0
2017-02-20,27.804,27.889,27.418,27.546,12811816.0
2017-02-21,27.418,27.632,27.074,27.246,17736271.0
2017-02-22,27.418,27.632,27.203,27.289,13347242.0
2017-02-23,27.46,27.975,27.031,27.675,25819783.0
2017-02-24,27.804,27.847,27.375,27.589,13223609.0
2017-02-25,27.804,27.847,27.375,27.589,13223609.0
2017-02-26,27.804,27.847,27.375,27.589,13223609.0
2017-02-27,27.46,27.804,27.332,27.503,15650738.0
2017-02-28,27.718,27.975,27.546,27.804,18650151.0
2017-03-01,28.319,29.048,28.061,28.876,60536448.0
2017-03-02,29.134,29.348,28.49,28.619,35231962.0
2017-03-03,28.576,28.576,28.233,28.447,14885171.0
2017-03-04,28.576,28.576,28.233,28.447,14885171.0
2017-03-05,28.576,28.576,28.233,28.447,14885171.0
2017-03-06,28.748,28.876,28.447,28.49,13518980.0
2017-03-07,28.748,28.748,28.404,28.576,11466504.0
2017-03-08,28.705,29.177,28.533,28.919,20870985.0
2017-03-09,28.919,29.134,28.748,29.091,19038324.0
2017-03-10,28.748,29.091,28.619,29.005,12246540.0
2017-03-11,28.748,29.091,28.619,29.005,12246540.0
2017-03-12,28.748,29.091,28.619,29.005,12246540.0
2017-03-13,29.091,29.134,28.791,29.005,10480846.0
2017-03-14,29.091,29.863,28.876,29.563,25967562.0
2017-03-15,29.391,30.164,29.305,29.606,19307855.0
2017-03-16,29.949,30.035,29.649,29.82,17334003.0
2017-03-17,29.734,30.55,29.734,30.121,34186181.0
2017-03-18,29.734,30.55,29.734,30.121,34186181.0
2017-03-19,29.734,30.55,29.734,30.121,34186181.0
2017-03-20,30.378,31.022,30.292,30.593,19456543.0
2017-03-21,30.678,30.721,30.078,30.292,13472377.0
2017-03-22,29.863,30.164,29.649,30.078,13680815.0
2017-03-23,30.164,30.721,29.992,30.249,14364980.0
2017-03-24,30.464,30.507,29.863,30.078,8652548.0
2017-03-25,30.464,30.507,29.863,30.078,8652548.0
2017-03-26,30.464,30.507,29.863,30.078,8652548.0
2017-03-27,29.606,30.249,29.477,29.906,14186782.0
2017-03-28,30.035,31.15,30.035,31.108,24596655.0
2017-03-29,31.279,31.322,30.721,31.022,14202454.0
2017-03-30,30.636,31.279,30.55,31.236,19438884.0
2017-03-31,31.365,31.365,30.593,30.893,10366696.0
2017-04-01,31.365,31.365,30.593,30.893,10366696.0
2017-04-02,31.365,31.365,30.593,30.893,10366696.0
2017-04-03,31.494,31.579,30.764,30.893,16733549.0
2017-04-04,31.494,31.579,30.764,30.893,16733549.0
2017-04-05,31.15,31.751,30.979,31.708,28527137.0
2017-04-06,31.708,32.137,31.494,32.009,17351506.0
2017-04-07,32.094,32.481,31.365,32.352,16151239.0
2017-04-08,32.094,32.481,31.365,32.352,16151239.0
2017-04-09,32.094,32.481,31.365,32.352,16151239.0
2017-04-10,32.266,32.523,31.837,31.923,13986096.0
2017-04-11,32.051,32.309,31.408,31.622,11964549.0
2017-04-12,31.537,32.137,31.365,32.051,12090520.0
2017-04-13,31.751,32.051,31.708,31.966,6293806.0
2017-04-14,31.751,32.051,31.708,31.966,6293806.0
2017-04-15,31.751,32.051,31.708,31.966,6293806.0
2017-04-16,31.751,32.051,31.708,31.966,6293806.0
2017-04-17,31.751,32.051,31.708,31.966,6293806.0
2017-04-18,31.837,31.923,31.15,31.322,10285188.0
2017-04-19,30.979,31.108,30.335,30.55,22420302.0
2017-04-20,30.55,31.065,30.421,30.893,7903456.0
2017-04-21,30.893,31.15,30.764,30.893,13007898.0
2017-04-22,30.893,31.15,30.764,30.893,13007898.0
2017-04-23,30.893,31.15,30.764,30.893,13007898.0
2017-04-24,30.893,30.936,30.206,30.421,13141633.0
2017-04-25,30.378,30.764,30.292,30.507,16154006.0
2017-04-26,30.936,31.966,30.893,31.622,23359727.0
2017-04-27,31.065,31.108,30.249,30.507,29894028.0
2017-04-28,30.249,30.378,29.906,30.292,14206429.0
2017-04-29,30.249,30.378,29.906,30.292,14206429.0
2017-04-30,30.249,30.378,29.906,30.292,14206429.0
2017-05-01,30.249,30.378,29.906,30.292,14206429.0
2017-05-02,30.292,30.721,30.078,30.292,10911982.0
2017-05-03,30.292,30.721,30.078,30.292,10911982.0
2017-05-04,30.292,30.464,29.949,30.164,10001686.0
2017-05-05,29.863,30.121,29.263,29.863,17692871.0
2017-05-06,29.863,30.121,29.263,29.863,17692871.0
2017-05-07,29.863,30.121,29.263,29.863,17692871.0
2017-05-08,29.563,29.649,29.263,29.52,14372317.0
2017-05-09,29.263,30.164,29.22,29.992,12007128.0
2017-05-10,30.164,30.292,29.348,29.692,15493329.0
2017-05-11,29.606,29.906,29.348,29.692,9115504.0
2017-05-12,29.692,29.82,29.434,29.606,5655804.0
2017-05-13,29.692,29.82,29.434,29.606,5655804.0
2017-05-14,29.692,29.82,29.434,29.606,5655804.0
2017-05-15,30.206,30.206,29.434,29.734,14080316.0
2017-05-16,29.649,30.078,29.434,29.563,16363305.0
2017-05-17,29.563,29.82,29.048,29.305,15967010.0
2017-05-18,28.705,29.263,28.533,29.005,14950369.0
2017-05-19,29.177,29.348,28.962,29.091,10107441.0
2017-05-20,29.177,29.348,28.962,29.091,10107441.0
2017-05-21,29.177,29.348,28.962,29.091,10107441.0
2017-05-22,29.091,29.52,29.091,29.434,14082675.0
2017-05-23,29.777,30.078,29.434,29.734,18096891.0
2017-05-24,29.777,29.949,29.477,29.606,12662480.0
2017-05-25,29.777,29.906,29.606,29.649,11314981.0
2017-05-26,29.692,30.078,29.649,29.949,16343529.0
2017-05-27,29.692,30.078,29.649,29.949,16343529.0
2017-05-28,29.692,30.078,29.649,29.949,16343529.0
2017-05-29,30.078,30.464,30.035,30.206,12852564.0
2017-05-30,30.078,30.464,30.035,30.206,12852564.0
2017-05-31,30.292,30.85,30.292,30.85,20826265.0
2017-06-01,31.159,31.336,30.497,30.585,21700521.0
2017-06-02,31.159,31.159,30.629,30.982,21320582.0
2017-06-03,31.159,31.159,30.629,30.982,21320582.0
2017-06-04,31.159,31.159,30.629,30.982,21320582.0
2017-06-05,31.159,31.247,30.585,30.629,8612420.0
2017-06-06,30.585,30.674,30.188,30.365,12670047.0
2017-06-07,30.453,31.159,30.365,30.938,17519590.0
2017-06-08,30.938,32.086,30.938,31.777,30811142.0
2017-06-09,31.953,32.218,31.468,31.865,24232331.0
2017-06-10,31.953,32.218,31.468,31.865,24232331.0
2017-06-11,31.953,32.218,31.468,31.865,24232331.0
2017-06-12,31.689,32.086,31.6,31.909,19322667.0
2017-06-13,32.351,32.924,32.262,32.748,31744697.0
2017-06-14,32.792,33.101,32.483,32.792,14338614.0
2017-06-15,32.395,32.792,32.262,32.571,12284763.0
2017-06-16,32.836,32.836,32.527,32.748,8621091.0
2017-06-17,32.836,32.836,32.527,32.748,8621091.0
2017-06-18,32.836,32.836,32.527,32.748,8621091.0
2017-06-19,32.924,33.233,32.483,32.836,10734204.0
2017-06-20,33.101,33.454,32.66,32.836,12777456.0
2017-06-21,32.836,32.969,32.306,32.395,9004796.0
2017-06-22,32.218,32.439,31.998,32.306,11663972.0
2017-06-23,32.218,32.218,31.468,31.556,17417202.0
2017-06-24,32.218,32.218,31.468,31.556,17417202.0
2017-06-25,32.218,32.218,31.468,31.556,17417202.0
2017-06-26,31.777,32.086,31.6,31.865,14031222.0
2017-06-27,31.909,31.998,31.689,31.865,8384020.0
2017-06-28,31.777,31.909,31.336,31.644,7304633.0
2017-06-29,32.042,32.042,31.689,31.777,5826044.0
2017-06-30,31.336,31.689,31.336,31.556,6873900.0
2017-07-01,31.336,31.689,31.336,31.556,6873900.0
2017-07-02,31.336,31.689,31.336,31.556,6873900.0
2017-07-03,31.071,31.247,30.541,31.159,15163557.0
2017-07-04,30.894,31.071,30.1,30.585,18882761.0
2017-07-05,30.188,30.982,30.188,30.718,10579796.0
2017-07-06,30.718,30.894,30.232,30.365,19491942.0
2017-07-07,30.276,30.276,29.835,30.188,16593859.0
2017-07-08,30.276,30.276,29.835,30.188,16593859.0
2017-07-09,30.276,30.276,29.835,30.188,16593859.0
2017-07-10,30.232,30.629,30.011,30.365,12951172.0
2017-07-11,30.232,30.762,30.232,30.629,8034001.0
2017-07-12,30.629,30.85,30.144,30.276,14708614.0
2017-07-13,30.365,31.336,30.365,31.291,33759553.0
2017-07-14,31.468,31.689,31.203,31.38,14592734.0
2017-07-15,31.468,31.689,31.203,31.38,14592734.0
2017-07-16,31.468,31.689,31.203,31.38,14592734.0
2017-07-17,31.159,31.424,30.541,30.718,20194129.0
2017-07-18,30.718,30.718,30.32,30.585,11967842.0
2017-07-19,30.718,31.071,30.718,30.894,12657214.0
2017-07-20,31.027,31.071,30.762,30.982,9141901.0
2017-07-21,31.247,31.953,31.027,31.777,25959485.0
2017-07-22,31.247,31.953,31.027,31.777,25959485.0
2017-07-23,31.247,31.953,31.027,31.777,25959485.0
2017-07-24,32.042,32.483,31.953,32.086,18077147.0
2017-07-25,32.042,32.483,31.953,32.13,8688142.0
2017-07-26,32.439,32.439,31.6,31.821,14183635.0
2017-07-27,32.395,32.483,31.6,31.777,12468603.0
2017-07-28,31.821,32.13,31.6,31.953,12128025.0
2017-07-29,31.821,32.13,31.6,31.953,12128025.0
2017-07-30,31.821,32.13,31.6,31.953,12128025.0
2017-07-31,31.953,32.13,31.777,31.998,7249796.0
2017-08-01,32.086,32.174,31.556,31.821,11722983.0
2017-08-02,32.042,32.086,31.247,31.424,15313134.0
2017-08-03,31.336,31.777,31.247,31.424,7573112.0
2017-08-04,31.424,31.6,31.203,31.468,3692537.0
2017-08-05,31.424,31.6,31.203,31.468,3692537.0
2017-08-06,31.424,31.6,31.203,31.468,3692537.0
2017-08-07,31.733,31.733,31.291,31.556,6396631.0
2017-08-08,31.247,32.042,31.115,31.821,13370475.0
2017-08-09,31.821,32.218,31.644,31.777,6783670.0
2017-08-10,32.042,32.042,31.336,31.556,9807241.0
2017-08-11,30.982,31.247,30.541,30.85,19703378.0
2017-08-12,30.982,31.247,30.541,30.85,19703378.0
2017-08-13,30.982,31.247,30.541,30.85,19703378.0
2017-08-14,30.806,31.159,30.718,30.982,9992295.0
2017-08-15,30.85,31.291,30.585,30.674,7966399.0
2017-08-16,30.629,31.071,30.629,30.938,8743925.0
2017-08-17,31.159,31.424,30.938,31.203,9354029.0
2017-08-18,30.718,31.291,30.718,30.938,9398000.0
2017-08-19,30.718,31.291,30.718,30.938,9398000.0
2017-08-20,30.718,31.291,30.718,30.938,9398000.0
2017-08-21,30.806,31.027,30.718,30.938,4254514.0
2017-08-22,31.159,31.291,31.027,31.115,6201425.0
2017-08-23,31.159,31.291,31.027,31.115,6201425.0
2017-08-24,30.674,31.027,30.629,30.762,11507453.0
2017-08-25,30.762,31.027,30.276,30.541,20788262.0
2017-08-26,30.762,31.027,30.276,30.541,20788262.0
2017-08-27,30.762,31.027,30.276,30.541,20788262.0
2017-08-28,30.541,30.674,30.011,30.1,16763445.0
2017-08-29,30.276,30.982,30.144,30.497,15007582.0
2017-08-30,30.541,31.027,30.541,30.85,10140607.0
2017-08-31,31.071,31.203,30.806,30.938,9431280.0
2017-09-01,31.777,32.483,31.556,32.218,42451611.0
2017-09-02,31.777,32.483,31.556,32.218,42451611.0
2017-09-03,31.777,32.483,31.556,32.218,42451611.0
2017-09-04,32.042,32.924,31.953,32.439,18987527.0
2017-09-05,32.439,32.66,32.174,32.351,8024958.0
2017-09-06,32.042,32.615,31.865,32.483,7906947.0
2017-09-07,32.66,33.101,32.306,33.057,19879778.0
2017-09-08,33.189,33.454,32.88,33.145,8636716.0
2017-09-09,33.189,33.454,32.88,33.145,8636716.0
2017-09-10,33.189,33.454,32.88,33.145,8636716.0
2017-09-11,33.454,33.807,32.88,32.924,10615085.0
2017-09-12,33.233,33.277,32.571,32.836,7559726.0
2017-09-13,32.704,33.807,32.527,33.454,18750105.0
2017-09-14,33.189,33.719,33.189,33.586,8512299.0
2017-09-15,33.366,33.939,33.189,33.763,11521525.0
2017-09-16,33.366,33.939,33.189,33.763,11521525.0
2017-09-17,33.366,33.939,33.189,33.763,11521525.0
2017-09-18,33.984,34.557,33.851,34.425,17420049.0
2017-09-19,34.425,34.557,34.072,34.425,11487219.0
2017-09-20,34.337,34.601,33.807,34.469,6886838.0
2017-09-21,34.601,35.264,34.513,34.91,15885276.0
2017-09-22,34.557,35.043,34.425,34.866,9861447.0
2017-09-23,34.557,35.043,34.425,34.866,9861447.0
2017-09-24,34.557,35.043,34.425,34.866,9861447.0
2017-09-25,35.131,35.131,34.028,34.381,13292170.0
2017-09-26,34.381,34.557,34.16,34.381,6494842.0
2017-09-27,34.072,35.396,34.072,35.175,11588821.0
2017-09-28,35.264,35.749,34.91,35.617,17148669.0
2017-09-29,35.617,36.411,35.087,35.881,18771628.0
2017-09-30,35.617,36.411,35.087,35.881,18771628.0
2017-10-01,35.617,36.411,35.087,35.881,18771628.0
2017-10-02,35.617,36.411,35.087,35.881,18771628.0
2017-10-03,36.941,36.941,35.926,36.058,10643226.0
2017-10-04,36.102,36.19,35.793,35.926,7600410.0
2017-10-05,36.102,36.19,35.793,35.926,7600410.0
2017-10-06,35.926,36.014,34.248,34.955,28220841.0
2017-10-07,35.926,36.014,34.248,34.955,28220841.0
2017-10-08,35.926,36.014,34.248,34.955,28220841.0
2017-10-09,34.91,34.91,33.807,34.028,22101091.0
2017-10-10,33.631,34.469,33.631,34.381,18308561.0
2017-10-11,34.425,34.513,33.366,33.498,24532391.0
2017-10-12,33.454,33.895,33.41,33.631,12811407.0
2017-10-13,33.41,33.586,33.189,33.454,8995329.0
2017-10-14,33.41,33.586,33.189,33.454,8995329.0
2017-10-15,33.41,33.586,33.189,33.454,8995329.0
2017-10-16,33.542,33.631,33.057,33.189,19992698.0
2017-10-17,33.233,33.41,32.88,33.057,13043247.0
2017-10-18,32.924,33.277,32.836,32.969,7531926.0
2017-10-19,32.924,33.189,32.218,32.527,13906743.0
2017-10-20,32.836,33.454,32.615,33.101,10743210.0
2017-10-21,32.836,33.454,32.615,33.101,10743210.0
2017-10-22,32.836,33.454,32.615,33.101,10743210.0
2017-10-23,33.145,33.145,32.571,32.924,8265036.0
2017-10-24,33.145,33.233,32.66,33.013,7431020.0
2017-10-25,33.189,33.366,33.013,33.322,10008660.0
2017-10-26,33.498,33.542,32.527,32.66,17184059.0
2017-10-27,32.571,32.836,32.086,32.218,17647512.0
2017-10-28,32.571,32.836,32.086,32.218,17647512.0
2017-10-29,32.571,32.836,32.086,32.218,17647512.0
2017-10-30,32.218,32.439,32.042,32.218,10926619.0
2017-10-31,32.218,32.792,31.953,32.439,15910753.0
2017-11-01,32.88,33.984,32.571,33.807,29985038.0
2017-11-02,33.895,34.116,33.366,33.586,13352410.0
2017-11-03,33.366,33.631,33.189,33.41,5470913.0
2017-11-04,33.366,33.631,33.189,33.41,5470913.0
2017-11-05,33.366,33.631,33.189,33.41,5470913.0
2017-11-06,33.41,33.41,32.615,33.101,11041126.0
2017-11-07,33.101,33.586,33.013,33.542,20626845.0
2017-11-08,33.675,33.984,33.41,33.631,9911382.0
2017-11-09,33.719,33.851,33.189,33.366,8778345.0
2017-11-10,33.366,33.542,32.924,33.189,15281155.0
2017-11-11,33.366,33.542,32.924,33.189,15281155.0
2017-11-12,33.366,33.542,32.924,33.189,15281155.0
2017-11-13,32.969,33.233,32.483,33.013,11283819.0
2017-11-14,32.704,33.101,32.66,33.013,7622878.0
2017-11-15,32.836,33.101,32.086,32.395,12869957.0
2017-11-16,32.571,32.571,32.042,32.086,11541863.0
2017-11-17,32.262,32.483,31.512,31.998,21102999.0
2017-11-18,32.262,32.483,31.512,31.998,21102999.0
2017-11-19,32.262,32.483,31.512,31.998,21102999.0
2017-11-20,32.483,33.366,31.865,32.924,22118641.0
2017-11-21,32.748,33.013,32.527,32.836,14112496.0
2017-11-22,33.277,33.277,32.615,32.924,11168564.0
2017-11-23,32.66,33.233,32.571,32.792,13719282.0
2017-11-24,33.013,33.322,32.527,33.189,10026861.0
2017-11-25,33.013,33.322,32.527,33.189,10026861.0
2017-11-26,33.013,33.322,32.527,33.189,10026861.0
2017-11-27,33.41,33.807,32.748,33.145,17088326.0
2017-11-28,33.454,33.454,33.013,33.454,12995453.0
2017-11-29,33.542,34.072,33.322,33.895,19356577.0
2017-11-30,33.454,33.807,33.013,33.498,21260760.0
2017-12-01,33.851,34.381,33.631,34.028,16645050.0
2017-12-02,33.851,34.381,33.631,34.028,16645050.0
2017-12-03,33.851,34.381,33.631,34.028,16645050.0
2017-12-04,33.763,34.16,33.498,33.851,8341313.0
2017-12-05,33.895,34.248,33.41,33.498,11664201.0
2017-12-06,33.366,34.028,32.792,32.924,12057633.0
2017-12-07,32.924,33.939,32.571,33.586,18739012.0
2017-12-08,33.719,34.248,33.542,33.939,12746244.0
2017-12-09,33.719,34.248,33.542,33.939,12746244.0
2017-12-10,33.719,34.248,33.542,33.939,12746244.0
2017-12-11,34.469,35.175,34.425,34.999,22883384.0
2017-12-12,34.999,35.219,34.381,34.734,9573674.0
2017-12-13,34.337,36.632,34.337,36.499,28565640.0
2017-12-14,36.19,36.411,35.131,35.793,20281351.0
2017-12-15,35.087,36.367,35.043,35.881,17902080.0
2017-12-16,35.087,36.367,35.043,35.881,17902080.0
2017-12-17,35.087,36.367,35.043,35.881,17902080.0
2017-12-18,35.617,35.837,35.131,35.528,9656807.0
2017-12-19,35.352,35.97,35.043,35.352,14407336.0
2017-12-20,36.19,36.72,35.396,35.926,20276492.0
2017-12-21,35.617,35.881,35.308,35.528,10847080.0
2017-12-22,35.617,35.749,34.866,35.043,10991361.0
2017-12-23,35.617,35.749,34.866,35.043,10991361.0
2017-12-24,35.617,35.749,34.866,35.043,10991361.0
2017-12-25,35.617,35.749,34.866,35.043,10991361.0
2017-12-26,35.617,35.749,34.866,35.043,10991361.0
2017-12-27,35.043,35.396,34.513,34.999,9061554.0
2017-12-28,35.219,35.572,34.91,35.572,8674809.0
2017-12-29,35.572,36.102,35.352,35.617,11343944.0
2017-12-30,35.572,36.102,35.352,35.617,11343944.0
2017-12-31,35.572,36.102,35.352,35.617,11343944.0
2018-01-01,35.572,36.102,35.352,35.617,11343944.0
2018-01-02,34.999,35.043,33.586,34.866,24678236.0
2018-01-03,35.131,35.617,34.866,35.087,12306258.0
2018-01-04,35.087,35.484,34.866,35.131,12971363.0
2018-01-05,35.308,35.308,34.513,34.778,8430018.0
2018-01-06,35.308,35.308,34.513,34.778,8430018.0
2018-01-07,35.308,35.308,34.513,34.778,8430018.0
2018-01-08,35.131,35.44,34.69,35.219,9727951.0
2018-01-09,35.219,37.161,35.131,36.941,27223946.0
2018-01-10,36.676,37.073,36.102,36.588,11561123.0
2018-01-11,36.367,36.896,36.102,36.543,17234962.0
2018-01-12,36.588,36.985,36.014,36.808,13809235.0
2018-01-13,36.588,36.985,36.014,36.808,13809235.0
2018-01-14,36.588,36.985,36.014,36.808,13809235.0
2018-01-15,38.485,39.898,38.044,38.838,37634858.0
2018-01-16,39.015,39.853,39.015,39.853,16871075.0
2018-01-17,39.721,40.339,39.015,40.339,14577970.0
2018-01-18,40.516,40.78,40.251,40.604,15159716.0
2018-01-19,40.339,41.001,39.986,40.604,14008750.0
2018-01-20,40.339,41.001,39.986,40.604,14008750.0
2018-01-21,40.339,41.001,39.986,40.604,14008750.0
2018-01-22,40.604,42.281,40.251,42.281,19494420.0
2018-01-23,43.252,43.561,42.546,42.855,18108425.0
2018-01-24,42.634,42.766,42.281,42.502,10051192.0
2018-01-25,42.722,42.811,40.516,41.795,21758041.0
2018-01-26,41.486,42.237,41.486,41.619,14203712.0
2018-01-27,41.486,42.237,41.486,41.619,14203712.0
2018-01-28,41.486,42.237,41.486,41.619,14203712.0
2018-01-29,41.045,41.84,41.001,41.398,11580216.0
2018-01-30,41.045,41.928,40.692,40.824,15925852.0
2018-01-31,40.118,41.31,40.118,41.133,25928428.0
2018-02-01,40.809,41.801,40.223,40.809,23201538.0
2018-02-02,40.673,41.215,38.329,40.223,38227577.0
2018-02-03,40.673,41.215,38.329,40.223,38227577.0
2018-02-04,40.673,41.215,38.329,40.223,38227577.0
2018-02-05,38.419,39.952,38.329,39.591,18372405.0
2018-02-06,38.058,39.185,37.923,38.419,26893773.0
2018-02-07,39.231,39.636,38.193,38.193,21691216.0
2018-02-08,38.284,39.366,38.284,38.96,15798005.0
2018-02-09,38.013,38.193,36.976,37.472,21048859.0
2018-02-10,38.013,38.193,36.976,37.472,21048859.0
2018-02-11,38.013,38.193,36.976,37.472,21048859.0
2018-02-12,37.472,38.464,37.472,37.562,15445845.0
2018-02-13,38.284,39.411,37.878,38.734,17120245.0
2018-02-14,38.734,39.681,38.689,39.591,15074495.0
2018-02-15,40.583,40.764,39.276,40.223,10555277.0
2018-02-16,40.583,40.764,39.276,40.223,10555277.0
2018-02-17,40.583,40.764,39.276,40.223,10555277.0
2018-02-18,40.583,40.764,39.276,40.223,10555277.0
2018-02-19,40.583,40.764,39.276,40.223,10555277.0
2018-02-20,41.395,41.395,40.087,40.673,20349375.0
2018-02-21,40.989,41.395,40.403,40.899,13322690.0
2018-02-22,40.538,40.673,39.546,39.636,18521986.0
2018-02-23,39.997,39.997,39.005,39.681,9107945.0
2018-02-24,39.997,39.997,39.005,39.681,9107945.0
2018-02-25,39.997,39.997,39.005,39.681,9107945.0
2018-02-26,39.681,40.719,39.681,40.448,13818021.0
2018-02-27,40.583,40.989,39.997,40.132,12858588.0
2018-02-28,39.231,40.223,38.825,39.817,11604271.0
2018-03-01,39.14,40.087,38.599,39.185,16550573.0
2018-03-02,38.96,39.14,38.464,38.78,13820966.0
2018-03-03,38.96,39.14,38.464,38.78,13820966.0
2018-03-04,38.96,39.14,38.464,38.78,13820966.0
2018-03-05,38.78,39.14,37.472,37.788,15385550.0
2018-03-06,38.058,39.411,38.058,38.825,16054713.0
2018-03-07,38.734,39.05,38.013,38.329,9540799.0
2018-03-08,38.825,40.493,38.644,40.493,25052374.0
2018-03-09,40.493,41.124,40.223,40.809,17996375.0
2018-03-10,40.493,41.124,40.223,40.809,17996375.0
2018-03-11,40.493,41.124,40.223,40.809,17996375.0
2018-03-12,42.116,42.387,41.485,41.846,19521885.0
2018-03-13,41.53,41.666,40.809,41.215,11701057.0
2018-03-14,40.403,41.169,40.268,40.719,8354848.0
2018-03-15,40.042,40.719,39.907,40.583,9129055.0
2018-03-16,40.538,40.673,40.042,40.177,8692135.0
2018-03-17,40.538,40.673,40.042,40.177,8692135.0
2018-03-18,40.538,40.673,40.042,40.177,8692135.0
2018-03-19,39.952,40.944,39.772,40.673,8655456.0
2018-03-20,40.854,40.854,39.862,40.132,8021201.0
2018-03-21,40.403,40.673,39.366,39.456,12747675.0
2018-03-22,39.185,39.997,39.05,39.366,10216873.0
2018-03-23,38.464,38.464,37.337,37.788,24870661.0
2018-03-24,38.464,38.464,37.337,37.788,24870661.0
2018-03-25,38.464,38.464,37.337,37.788,24870661.0
2018-03-26,37.788,38.464,37.472,38.013,13039779.0
2018-03-27,38.689,39.14,38.464,38.464,19195766.0
2018-03-28,38.148,38.284,36.976,37.156,18125177.0
2018-03-29,37.201,38.058,36.976,38.058,15769841.0
2018-03-30,37.201,38.058,36.976,38.058,15769841.0
2018-03-31,37.201,38.058,36.976,38.058,15769841.0
2018-04-01,37.201,38.058,36.976,38.058,15769841.0
2018-04-02,37.201,38.058,36.976,38.058,15769841.0
