,PSX US Equity
,BEST_PE_RATIO
2022-12-20,8.414
2022-12-21,8.472
2022-12-22,8.241
2022-12-23,8.52
2022-12-24,8.52
2022-12-25,8.52
2022-12-26,8.52
2022-12-27,8.598
2022-12-28,8.398
2022-12-29,8.559
2022-12-30,8.557
2022-12-31,8.557
2023-01-01,8.557
2023-01-02,8.557
2023-01-03,8.306
2023-01-04,8.277
2023-01-05,8.43
2023-01-06,8.753
2023-01-07,8.753
2023-01-08,8.753
2023-01-09,8.004
2023-01-10,7.919
2023-01-11,7.907
2023-01-12,7.781
2023-01-13,7.908
2023-01-14,7.908
2023-01-15,7.908
2023-01-16,7.908
2023-01-17,7.846
2023-01-18,7.829
2023-01-19,7.989
2023-01-20,8.003
2023-01-21,8.003
2023-01-22,8.003
2023-01-23,8.002
2023-01-24,8.007
2023-01-25,8.145
2023-01-26,8.342
2023-01-27,8.136
2023-01-28,8.136
2023-01-29,8.136
2023-01-30,7.963
2023-01-31,7.412
2023-02-01,7.324
2023-02-02,7.415
2023-02-03,7.43
2023-02-04,7.43
2023-02-05,7.43
2023-02-06,7.386
2023-02-07,7.702
2023-02-08,7.731
2023-02-09,7.684
2023-02-10,8.081
2023-02-11,8.081
2023-02-12,8.081
2023-02-13,8.09
2023-02-14,8.067
2023-02-15,7.97
2023-02-16,7.906
2023-02-17,7.535
2023-02-18,7.535
2023-02-19,7.535
2023-02-20,7.535
2023-02-21,7.482
2023-02-22,7.468
2023-02-23,7.534
2023-02-24,7.658
2023-02-25,7.658
2023-02-26,7.658
2023-02-27,7.78
2023-02-28,7.699
2023-03-01,8.05
2023-03-02,7.943
2023-03-03,7.959
2023-03-04,7.959
2023-03-05,7.959
2023-03-06,7.788
2023-03-07,7.462
2023-03-08,7.128
2023-03-09,7.276
2023-03-10,7.282
2023-03-11,7.282
2023-03-12,7.282
2023-03-13,6.889
2023-03-14,7.123
2023-03-15,6.811
2023-03-16,6.913
2023-03-17,6.889
2023-03-18,6.889
2023-03-19,6.889
2023-03-20,6.949
2023-03-21,6.949
2023-03-22,6.886
2023-03-23,6.803
2023-03-24,6.817
2023-03-25,6.817
2023-03-26,6.817
2023-03-27,7.0
2023-03-28,7.174
2023-03-29,7.283
2023-03-30,7.262
2023-03-31,7.363
2023-04-01,7.363
2023-04-02,7.363
2023-04-03,7.474
2023-04-04,7.138
2023-04-05,7.585
2023-04-06,7.502
2023-04-07,7.502
2023-04-08,7.502
2023-04-09,7.502
2023-04-10,7.646
2023-04-11,7.755
2023-04-12,7.761
2023-04-13,7.765
2023-04-14,7.827
2023-04-15,7.827
2023-04-16,7.827
2023-04-17,7.673
2023-04-18,7.699
2023-04-19,7.6
2023-04-20,7.467
2023-04-21,7.391
2023-04-22,7.391
2023-04-23,7.391
2023-04-24,7.431
2023-04-25,7.33
2023-04-26,7.283
2023-04-27,7.228
2023-04-28,7.321
2023-04-29,7.321
2023-04-30,7.321
2023-05-01,7.361
2023-05-02,7.086
2023-05-03,7.231
2023-05-04,6.97
2023-05-05,7.045
2023-05-06,7.045
2023-05-07,7.045
2023-05-08,7.28
2023-05-09,7.294
2023-05-10,7.314
2023-05-11,7.249
2023-05-12,7.243
2023-05-13,7.243
2023-05-14,7.243
2023-05-15,7.321
2023-05-16,7.283
2023-05-17,7.685
2023-05-18,7.806
2023-05-19,7.782
2023-05-20,7.782
2023-05-21,7.782
2023-05-22,7.804
2023-05-23,7.811
2023-05-24,7.886
2023-05-25,7.761
2023-05-26,7.742
2023-05-27,7.742
2023-05-28,7.742
2023-05-29,7.742
2023-05-30,7.523
2023-05-31,7.571
2023-06-01,7.69
2023-06-02,8.12
2023-06-03,8.12
2023-06-04,8.12
2023-06-05,7.927
2023-06-06,8.029
2023-06-07,8.397
2023-06-08,8.24
2023-06-09,8.208
2023-06-10,8.208
2023-06-11,8.208
2023-06-12,8.019
2023-06-13,8.027
2023-06-14,7.93
2023-06-15,8.039
2023-06-16,8.048
2023-06-17,8.048
2023-06-18,8.048
2023-06-19,8.048
2023-06-20,7.746
2023-06-21,7.729
2023-06-22,7.524
2023-06-23,7.529
2023-06-24,7.529
2023-06-25,7.529
2023-06-26,7.583
2023-06-27,7.67
2023-06-28,7.739
2023-06-29,7.927
2023-06-30,7.998
2023-07-01,7.998
2023-07-02,7.998
2023-07-03,8.022
2023-07-04,8.022
2023-07-05,8.036
2023-07-06,8.021
2023-07-07,8.392
2023-07-08,8.392
2023-07-09,8.392
2023-07-10,8.355
2023-07-11,8.454
2023-07-12,8.511
2023-07-13,8.563
2023-07-14,8.416
2023-07-15,8.416
2023-07-16,8.416
2023-07-17,8.297
2023-07-18,8.519
2023-07-19,8.628
2023-07-20,8.762
2023-07-21,8.904
2023-07-22,8.904
2023-07-23,8.904
2023-07-24,8.998
2023-07-25,9.071
2023-07-26,9.229
2023-07-27,9.17
2023-07-28,9.293
2023-07-29,9.293
2023-07-30,9.293
2023-07-31,9.394
2023-08-01,9.441
2023-08-02,9.085
2023-08-03,9.042
2023-08-04,9.082
2023-08-05,9.082
2023-08-06,9.082
2023-08-07,9.067
2023-08-08,9.168
2023-08-09,9.152
2023-08-10,9.172
2023-08-11,9.33
2023-08-12,9.33
2023-08-13,9.33
2023-08-14,9.082
2023-08-15,8.86
2023-08-16,8.848
2023-08-17,8.956
2023-08-18,9.007
2023-08-19,9.007
2023-08-20,9.007
2023-08-21,8.856
2023-08-22,8.825
2023-08-23,8.772
2023-08-24,8.782
2023-08-25,8.793
2023-08-26,8.793
2023-08-27,8.793
2023-08-28,8.772
2023-08-29,8.758
2023-08-30,8.833
2023-08-31,8.849
2023-09-01,8.845
2023-09-02,8.845
2023-09-03,8.845
2023-09-04,8.845
2023-09-05,8.795
2023-09-06,8.803
2023-09-07,8.885
2023-09-08,9.122
2023-09-09,9.122
2023-09-10,9.122
2023-09-11,9.13
2023-09-12,9.275
2023-09-13,9.192
2023-09-14,9.177
2023-09-15,9.088
