,MSM US Equity
,BEST_PE_RATIO
2021-11-03,11.904
2021-11-04,11.897
2021-11-05,11.908
2021-11-06,11.908
2021-11-07,11.908
2021-11-08,11.984
2021-11-09,12.056
2021-11-10,11.974
2021-11-11,11.945
2021-11-12,11.985
2021-11-13,11.985
2021-11-14,11.985
2021-11-15,12.034
2021-11-16,12.12
2021-11-17,12.073
2021-11-18,11.991
2021-11-19,11.858
2021-11-20,11.858
2021-11-21,11.858
2021-11-22,11.817
2021-11-23,12.018
2021-11-24,11.898
2021-11-25,11.898
2021-11-26,11.515
2021-11-27,11.515
2021-11-28,11.515
2021-11-29,11.445
2021-11-30,11.129
2021-12-01,11.015
2021-12-02,11.376
2021-12-03,11.403
2021-12-04,11.403
2021-12-05,11.403
2021-12-06,11.602
2021-12-07,11.696
2021-12-08,11.727
2021-12-09,11.684
2021-12-10,11.973
2021-12-11,11.973
2021-12-12,11.973
2021-12-13,11.785
2021-12-14,11.762
2021-12-15,11.985
2021-12-16,12.012
2021-12-17,11.763
2021-12-18,11.763
2021-12-19,11.763
2021-12-20,11.662
2021-12-21,11.874
2021-12-22,11.554
2021-12-23,11.565
2021-12-24,11.565
2021-12-25,11.565
2021-12-26,11.565
2021-12-27,11.644
2021-12-28,11.657
2021-12-29,11.73
2021-12-30,11.565
2021-12-31,11.582
2022-01-01,11.582
2022-01-02,11.582
2022-01-03,11.566
2022-01-04,11.659
2022-01-05,11.539
2022-01-06,11.471
2022-01-07,11.533
2022-01-08,11.533
2022-01-09,11.533
2022-01-10,11.556
2022-01-11,11.635
2022-01-12,11.692
2022-01-13,11.909
2022-01-14,11.871
2022-01-15,11.871
2022-01-16,11.871
2022-01-17,11.871
2022-01-18,11.636
2022-01-19,11.561
2022-01-20,11.423
2022-01-21,11.489
2022-01-22,11.489
2022-01-23,11.489
2022-01-24,11.653
2022-01-25,11.458
2022-01-26,11.407
2022-01-27,11.255
2022-01-28,11.265
2022-01-29,11.265
2022-01-30,11.265
2022-01-31,11.35
2022-02-01,11.56
2022-02-02,11.651
2022-02-03,11.646
2022-02-04,11.277
2022-02-05,11.277
2022-02-06,11.277
2022-02-07,11.168
2022-02-08,10.932
2022-02-09,11.156
2022-02-10,10.983
2022-02-11,10.926
2022-02-12,10.926
2022-02-13,10.926
2022-02-14,10.918
2022-02-15,10.901
2022-02-16,11.003
2022-02-17,10.943
2022-02-18,10.842
2022-02-19,10.842
2022-02-20,10.842
2022-02-21,10.842
2022-02-22,10.783
2022-02-23,10.526
2022-02-24,10.434
2022-02-25,10.694
2022-02-26,10.694
2022-02-27,10.694
2022-02-28,10.662
2022-03-01,10.465
2022-03-02,10.661
2022-03-03,10.892
2022-03-04,10.941
2022-03-05,10.941
2022-03-06,10.941
2022-03-07,10.804
2022-03-08,10.859
2022-03-09,10.829
2022-03-10,10.69
2022-03-11,10.537
2022-03-12,10.537
2022-03-13,10.537
2022-03-14,10.954
2022-03-15,11.01
2022-03-16,10.906
2022-03-17,11.073
2022-03-18,11.06
2022-03-19,11.06
2022-03-20,11.06
2022-03-21,11.038
2022-03-22,11.02
2022-03-23,11.036
2022-03-24,11.195
2022-03-25,11.318
2022-03-26,11.318
2022-03-27,11.318
2022-03-28,11.279
2022-03-29,11.369
2022-03-30,11.531
2022-03-31,11.356
2022-04-01,11.403
2022-04-02,11.403
2022-04-03,11.403
2022-04-04,11.232
2022-04-05,11.215
2022-04-06,11.235
2022-04-07,11.191
2022-04-08,11.287
2022-04-09,11.287
2022-04-10,11.287
2022-04-11,11.465
2022-04-12,11.492
2022-04-13,11.644
2022-04-14,11.432
2022-04-15,11.432
2022-04-16,11.432
2022-04-17,11.432
2022-04-18,11.366
2022-04-19,11.644
2022-04-20,11.675
2022-04-21,11.761
2022-04-22,11.558
2022-04-23,11.558
2022-04-24,11.558
2022-04-25,11.5
2022-04-26,11.373
2022-04-27,11.242
2022-04-28,11.441
2022-04-29,11.141
2022-04-30,11.141
2022-05-01,11.141
2022-05-02,10.94
2022-05-03,11.037
2022-05-04,11.449
2022-05-05,11.151
2022-05-06,10.957
2022-05-07,10.957
2022-05-08,10.957
2022-05-09,11.016
2022-05-10,10.834
2022-05-11,10.62
2022-05-12,10.753
2022-05-13,10.856
2022-05-14,10.856
2022-05-15,10.856
2022-05-16,11.016
2022-05-17,11.437
2022-05-18,11.115
2022-05-19,11.051
2022-05-20,10.984
2022-05-21,10.984
2022-05-22,10.984
2022-05-23,10.981
2022-05-24,11.151
2022-05-25,11.176
2022-05-26,11.285
2022-05-27,11.46
2022-05-28,11.46
2022-05-29,11.46
2022-05-30,11.46
2022-05-31,11.42
2022-06-01,11.427
2022-06-02,11.421
2022-06-03,11.348
2022-06-04,11.348
2022-06-05,11.348
2022-06-06,11.43
2022-06-07,11.567
2022-06-08,11.368
2022-06-09,11.096
2022-06-10,10.936
2022-06-11,10.936
2022-06-12,10.936
2022-06-13,10.635
2022-06-14,10.569
