,TMX US Equity
,BEST_PE_RATIO
2022-07-05,26.027
2022-07-06,26.229
2022-07-07,26.443
2022-07-08,26.374
2022-07-09,26.374
2022-07-10,26.374
2022-07-11,26.317
2022-07-12,26.147
2022-07-13,26.058
2022-07-14,25.875
2022-07-15,26.557
2022-07-16,26.557
2022-07-17,26.557
2022-07-18,26.595
2022-07-19,26.936
2022-07-20,26.717
2022-07-21,26.938
2022-07-22,26.925
2022-07-23,26.925
2022-07-24,26.925
2022-07-25,26.805
2022-07-26,26.528
2022-07-27,26.774
2022-07-28,27.612
2022-07-29,28.166
2022-07-30,28.166
2022-07-31,28.166
2022-08-01,28.223
2022-08-02,28.286
2022-08-03,28.557
2022-08-04,28.607
2022-08-05,28.942
2022-08-06,28.942
2022-08-07,28.942
2022-08-08,29.11
2022-08-09,29.09
2022-08-10,32.223
2022-08-11,31.404
2022-08-12,31.51
2022-08-13,31.51
2022-08-14,31.51
2022-08-15,31.63
2022-08-16,32.124
2022-08-17,32.067
2022-08-18,31.867
2022-08-19,31.49
2022-08-20,31.49
2022-08-21,31.49
2022-08-22,31.183
2022-08-23,31.019
2022-08-24,31.197
2022-08-25,31.625
2022-08-26,30.919
2022-08-27,30.919
2022-08-28,30.919
2022-08-29,30.478
2022-08-30,29.216
2022-08-31,29.093
2022-09-01,28.745
2022-09-02,28.82
2022-09-03,28.82
2022-09-04,28.82
2022-09-05,28.82
2022-09-06,29.263
2022-09-07,29.761
2022-09-08,30.102
2022-09-09,30.518
2022-09-10,30.518
2022-09-11,30.518
2022-09-12,30.771
2022-09-13,30.027
2022-09-14,29.809
2022-09-15,29.263
2022-09-16,28.984
2022-09-17,28.984
2022-09-18,28.984
2022-09-19,29.059
2022-09-20,28.37
2022-09-21,28.165
2022-09-22,27.688
2022-09-23,26.999
2022-09-24,26.999
2022-09-25,26.999
2022-09-26,26.432
2022-09-27,25.682
2022-09-28,25.593
2022-09-29,25.955
2022-09-30,26.119
2022-10-01,26.119
2022-10-02,26.119
2022-10-03,26.426
2022-10-04,27.954
2022-10-05,27.551
2022-10-06,26.893
2022-10-07,26.495
2022-10-08,26.495
2022-10-09,26.495
2022-10-10,26.104
2022-10-11,25.974
2022-10-12,25.974
2022-10-13,25.974
2022-10-14,25.974
2022-10-15,25.974
2022-10-16,25.974
2022-10-17,25.974
2022-10-18,25.974
2022-10-19,25.974
2022-10-20,25.974
2022-10-21,25.974
2022-10-22,25.974
2022-10-23,25.974
2022-10-24,25.974
2022-10-25,25.974
2022-10-26,25.974
2022-10-27,25.974
2022-10-28,25.974
2022-10-29,25.974
2022-10-30,25.974
2022-10-31,25.974
2022-11-01,25.974
2022-11-02,25.974
2022-11-03,25.974
2022-11-04,25.974
2022-11-05,25.974
2022-11-06,25.974
2022-11-07,25.974
2022-11-08,25.974
2022-11-09,25.974
2022-11-10,25.974
2022-11-11,25.974
2022-11-12,25.974
2022-11-13,25.974
2022-11-14,25.974
2022-11-15,25.974
2022-11-16,25.974
2022-11-17,25.974
2022-11-18,25.974
2022-11-19,25.974
2022-11-20,25.974
2022-11-21,25.974
2022-11-22,25.974
2022-11-23,25.974
2022-11-24,25.974
2022-11-25,25.974
2022-11-26,25.974
2022-11-27,25.974
2022-11-28,25.974
2022-11-29,25.974
2022-11-30,25.974
2022-12-01,25.974
2022-12-02,25.974
2022-12-03,25.974
2022-12-04,25.974
2022-12-05,25.974
2022-12-06,25.974
2022-12-07,25.974
2022-12-08,25.974
2022-12-09,25.974
2022-12-10,25.974
2022-12-11,25.974
2022-12-12,25.974
2022-12-13,25.974
2022-12-14,25.974
2022-12-15,25.974
2022-12-16,25.974
2022-12-17,25.974
2022-12-18,25.974
2022-12-19,25.974
2022-12-20,25.974
2022-12-21,25.974
2022-12-22,25.974
2022-12-23,25.974
2022-12-24,25.974
2022-12-25,25.974
2022-12-26,25.974
2022-12-27,25.974
2022-12-28,25.974
2022-12-29,25.974
2022-12-30,25.974
2022-12-31,25.974
2023-01-01,25.974
2023-01-02,25.974
2023-01-03,25.974
2023-01-04,25.974
2023-01-05,25.974
2023-01-06,25.974
2023-01-07,25.974
2023-01-08,25.974
2023-01-09,25.974
2023-01-10,25.974
2023-01-11,25.974
2023-01-12,25.974
2023-01-13,25.974
2023-01-14,25.974
2023-01-15,25.974
2023-01-16,25.974
2023-01-17,25.974
2023-01-18,25.974
2023-01-19,25.974
2023-01-20,25.974
2023-01-21,25.974
2023-01-22,25.974
2023-01-23,25.974
2023-01-24,25.974
2023-01-25,25.974
2023-01-26,25.974
2023-01-27,25.974
2023-01-28,25.974
2023-01-29,25.974
2023-01-30,25.974
2023-01-31,25.974
2023-02-01,25.974
2023-02-02,25.974
2023-02-03,25.974
2023-02-04,25.974
2023-02-05,25.974
2023-02-06,25.974
2023-02-07,25.974
2023-02-08,25.974
2023-02-09,25.974
2023-02-10,25.974
2023-02-11,25.974
2023-02-12,25.974
2023-02-13,25.974
2023-02-14,25.974
2023-02-15,25.974
2023-02-16,25.974
2023-02-17,25.974
2023-02-18,25.974
2023-02-19,25.974
2023-02-20,25.974
2023-02-21,25.974
2023-02-22,25.974
