,MSFT US Equity
,BEST_PE_RATIO
2021-08-15,24.613
2021-08-16,24.76
2021-08-17,24.632
2021-08-18,24.482
2021-08-19,24.99
2021-08-20,25.629
2021-08-21,25.629
2021-08-22,25.629
2021-08-23,25.654
2021-08-24,25.483
2021-08-25,25.432
2021-08-26,25.186
2021-08-27,25.239
2021-08-28,25.239
2021-08-29,25.239
2021-08-30,25.565
2021-08-31,25.421
2021-09-01,25.416
2021-09-02,25.359
2021-09-03,25.358
2021-09-04,25.358
2021-09-05,25.358
2021-09-06,25.358
2021-09-07,25.277
2021-09-08,25.28
2021-09-09,25.031
2021-09-10,24.901
2021-09-11,24.901
2021-09-12,24.901
2021-09-13,25.009
2021-09-14,25.245
2021-09-15,25.668
2021-09-16,25.702
2021-09-17,25.251
2021-09-18,25.251
2021-09-19,25.251
2021-09-20,24.738
2021-09-21,24.78
2021-09-22,25.097
2021-09-23,25.18
2021-09-24,25.162
2021-09-25,25.162
2021-09-26,25.162
2021-09-27,24.727
2021-09-28,23.831
2021-09-29,23.872
2021-09-30,23.697
2021-10-01,24.301
2021-10-02,24.301
2021-10-03,24.301
2021-10-04,23.797
2021-10-05,24.272
2021-10-06,24.638
2021-10-07,24.784
2021-10-08,24.784
2021-10-09,24.784
2021-10-10,24.784
2021-10-11,24.732
2021-10-12,24.618
2021-10-13,24.907
2021-10-14,25.448
2021-10-15,25.571
2021-10-16,25.571
2021-10-17,25.571
2021-10-18,25.912
2021-10-19,25.991
2021-10-20,25.922
2021-10-21,26.204
2021-10-22,25.94
2021-10-23,25.94
2021-10-24,25.94
2021-10-25,25.675
2021-10-26,25.544
2021-10-27,25.922
2021-10-28,26.046
2021-10-29,26.738
2021-10-30,26.738
2021-10-31,26.738
2021-11-01,26.406
2021-11-02,26.629
2021-11-03,26.698
2021-11-04,26.893
2021-11-05,26.863
2021-11-06,26.863
2021-11-07,26.863
2021-11-08,26.937
2021-11-09,26.835
2021-11-10,26.423
2021-11-11,26.553
2021-11-12,26.896
2021-11-13,26.896
2021-11-14,26.896
2021-11-15,26.844
2021-11-16,27.024
2021-11-17,27.042
2021-11-18,27.214
2021-11-19,27.361
2021-11-20,27.361
2021-11-21,27.361
2021-11-22,26.994
2021-11-23,26.823
2021-11-24,26.841
2021-11-25,26.841
2021-11-26,26.187
2021-11-27,26.187
2021-11-28,26.187
2021-11-29,26.746
2021-11-30,26.266
2021-12-01,26.225
2021-12-02,26.179
2021-12-03,25.664
2021-12-04,25.664
2021-12-05,25.664
2021-12-06,25.916
2021-12-07,26.61
2021-12-08,26.614
2021-12-09,26.465
2021-12-10,27.215
2021-12-11,27.215
2021-12-12,27.215
2021-12-13,26.966
2021-12-14,26.087
2021-12-15,26.565
2021-12-16,25.791
2021-12-17,25.704
2021-12-18,25.704
2021-12-19,25.704
2021-12-20,25.395
2021-12-21,25.974
2021-12-22,26.443
2021-12-23,26.562
2021-12-24,26.562
2021-12-25,26.562
2021-12-26,26.562
2021-12-27,27.177
2021-12-28,27.082
2021-12-29,27.138
2021-12-30,26.929
2021-12-31,26.691
2022-01-01,26.691
2022-01-02,26.691
2022-01-03,26.364
2022-01-04,25.912
2022-01-05,24.917
2022-01-06,24.668
2022-01-07,24.681
2022-01-08,24.681
2022-01-09,24.681
2022-01-10,24.699
2022-01-11,24.755
2022-01-12,25.013
2022-01-13,23.955
2022-01-14,24.379
2022-01-15,24.379
2022-01-16,24.379
2022-01-17,24.379
2022-01-18,24.021
2022-01-19,23.982
2022-01-20,23.845
2022-01-21,23.406
2022-01-22,23.406
2022-01-23,23.406
2022-01-24,23.433
2022-01-25,22.779
2022-01-26,23.291
2022-01-27,23.54
2022-01-28,24.128
2022-01-29,24.128
2022-01-30,24.128
2022-01-31,24.294
2022-02-01,24.121
2022-02-02,24.488
2022-02-03,23.534
2022-02-04,23.903
2022-02-05,23.903
2022-02-06,23.903
2022-02-07,23.513
2022-02-08,23.776
2022-02-09,24.295
2022-02-10,23.606
2022-02-11,23.033
2022-02-12,23.033
2022-02-13,23.033
2022-02-14,23.03
2022-02-15,23.457
2022-02-16,23.429
2022-02-17,22.743
2022-02-18,22.524
2022-02-19,22.524
2022-02-20,22.524
2022-02-21,22.524
2022-02-22,22.508
2022-02-23,21.925
2022-02-24,23.045
2022-02-25,23.366
2022-02-26,23.366
2022-02-27,23.366
2022-02-28,23.482
2022-03-01,23.18
2022-03-02,23.592
2022-03-03,23.257
2022-03-04,22.78
2022-03-05,22.78
2022-03-06,22.78
2022-03-07,21.92
2022-03-08,21.679
2022-03-09,22.673
2022-03-10,22.445
2022-03-11,22.011
2022-03-12,22.011
2022-03-13,22.011
2022-03-14,21.726
2022-03-15,22.567
2022-03-16,23.136
2022-03-17,23.211
2022-03-18,23.62
2022-03-19,23.62
2022-03-20,23.62
2022-03-21,23.521
2022-03-22,23.906
2022-03-23,23.546
2022-03-24,23.92
2022-03-25,23.887
2022-03-26,23.887
2022-03-27,23.887
2022-03-28,24.44
2022-03-29,24.816
2022-03-30,24.694
2022-03-31,24.257
2022-04-01,24.345
2022-04-02,24.345
2022-04-03,24.345
2022-04-04,24.781
2022-04-05,24.46
2022-04-06,23.564
2022-04-07,23.711
2022-04-08,23.365
2022-04-09,23.365
2022-04-10,23.365
2022-04-11,22.456
2022-04-12,22.205
2022-04-13,22.642
2022-04-14,22.041
2022-04-15,22.041
2022-04-16,22.041
2022-04-17,22.041
2022-04-18,22.044
2022-04-19,22.433
2022-04-20,22.509
2022-04-21,22.073
2022-04-22,21.538
2022-04-23,21.538
2022-04-24,21.538
2022-04-25,22.062
2022-04-26,21.227
2022-04-27,22.226
2022-04-28,22.708
2022-04-29,21.84
2022-04-30,21.84
2022-05-01,21.84
2022-05-02,22.378
2022-05-03,22.151
2022-05-04,22.795
2022-05-05,21.802
2022-05-06,21.596
2022-05-07,21.596
2022-05-08,21.596
2022-05-09,20.798
2022-05-10,21.185
2022-05-11,20.482
2022-05-12,20.073
2022-05-13,20.526
2022-05-14,20.526
2022-05-15,20.526
2022-05-16,20.556
2022-05-17,20.975
2022-05-18,20.02
2022-05-19,19.946
2022-05-20,19.9
2022-05-21,19.9
2022-05-22,19.9
2022-05-23,20.537
2022-05-24,20.456
2022-05-25,20.685
2022-05-26,20.951
2022-05-27,21.529
2022-05-28,21.529
2022-05-29,21.529
2022-05-30,21.529
2022-05-31,21.421
2022-06-01,21.465
2022-06-02,21.633
2022-06-03,21.279
2022-06-04,21.279
2022-06-05,21.279
2022-06-06,21.184
2022-06-07,21.502
2022-06-08,21.339
2022-06-09,20.915
2022-06-10,19.985
2022-06-11,19.985
2022-06-12,19.985
2022-06-13,19.137
2022-06-14,19.313
2022-06-15,19.888
2022-06-16,19.351
2022-06-17,19.563
2022-06-18,19.563
2022-06-19,19.563
2022-06-20,19.563
2022-06-21,20.044
2022-06-22,19.996
2022-06-23,20.449
2022-06-24,21.155
2022-06-25,21.155
2022-06-26,21.155
2022-06-27,20.94
2022-06-28,20.282
2022-06-29,20.612
2022-06-30,20.309
2022-07-01,20.527
2022-07-02,20.527
2022-07-03,20.527
2022-07-04,20.527
2022-07-05,20.785
2022-07-06,21.066
2022-07-07,21.25
2022-07-08,21.191
2022-07-09,21.191
2022-07-10,21.191
2022-07-11,20.934
2022-07-12,20.09
2022-07-13,20.015
2022-07-14,20.145
2022-07-15,20.355
2022-07-16,20.355
2022-07-17,20.355
2022-07-18,20.133
2022-07-19,20.559
2022-07-20,20.798
2022-07-21,21.015
2022-07-22,20.66
2022-07-23,20.66
2022-07-24,20.66
2022-07-25,20.542
2022-07-26,20.162
2022-07-27,21.971
2022-07-28,22.578
2022-07-29,23.01
2022-07-30,23.01
2022-07-31,23.01
2022-08-01,22.786
2022-08-02,22.523
2022-08-03,23.165
2022-08-04,23.262
2022-08-05,23.201
2022-08-06,23.201
2022-08-07,23.201
2022-08-08,23.014
2022-08-09,23.176
2022-08-10,23.739
2022-08-11,23.583
2022-08-12,23.985
2022-08-13,23.985
2022-08-14,23.985
2022-08-15,24.061
2022-08-16,23.999
2022-08-17,23.935
2022-08-18,23.841
2022-08-19,23.517
2022-08-20,23.517
2022-08-21,23.517
2022-08-22,22.826
2022-08-23,22.719
2022-08-24,22.658
2022-08-25,22.999
2022-08-26,22.113
2022-08-27,22.113
2022-08-28,22.113
2022-08-29,21.877
2022-08-30,21.729
2022-08-31,21.605
2022-09-01,21.517
2022-09-02,21.158
2022-09-03,21.158
2022-09-04,21.158
2022-09-05,21.158
2022-09-06,20.926
2022-09-07,21.326
2022-09-08,21.362
2022-09-09,21.852
2022-09-10,21.852
2022-09-11,21.852
2022-09-12,22.033
2022-09-13,20.822
2022-09-14,20.841
2022-09-15,20.289
2022-09-16,20.236
2022-09-17,20.236
2022-09-18,20.236
2022-09-19,20.218
2022-09-20,20.047
2022-09-21,19.758
2022-09-22,19.927
2022-09-23,19.674
2022-09-24,19.674
2022-09-25,19.674
2022-09-26,19.647
2022-09-27,19.561
2022-09-28,19.946
2022-09-29,19.651
2022-09-30,19.277
2022-10-01,19.277
2022-10-02,19.277
2022-10-03,19.981
2022-10-04,20.657
2022-10-05,20.683
2022-10-06,20.483
2022-10-07,19.442
2022-10-08,19.442
2022-10-09,19.442
2022-10-10,19.027
2022-10-11,18.726
2022-10-12,18.754
2022-10-13,19.466
2022-10-14,19.021
2022-10-15,19.021
2022-10-16,19.021
2022-10-17,19.771
2022-10-18,19.879
2022-10-19,19.739
2022-10-20,19.725
2022-10-21,20.271
2022-10-22,20.271
2022-10-23,20.271
2022-10-24,20.701
2022-10-25,21.061
2022-10-26,20.021
2022-10-27,19.672
2022-10-28,20.585
2022-10-29,20.585
2022-10-30,20.585
2022-10-31,20.248
2022-11-01,19.925
2022-11-02,19.222
2022-11-03,18.724
2022-11-04,19.381
2022-11-05,19.381
2022-11-06,19.381
2022-11-07,19.945
2022-11-08,20.032
2022-11-09,19.651
2022-11-10,21.267
2022-11-11,21.629
2022-11-12,21.629
2022-11-13,21.629
2022-11-14,21.146
2022-11-15,21.183
2022-11-16,21.263
2022-11-17,21.258
2022-11-18,21.218
2022-11-19,21.218
2022-11-20,21.218
2022-11-21,21.293
2022-11-22,21.555
2022-11-23,21.779
2022-11-24,21.779
2022-11-25,21.89
2022-11-26,21.89
2022-11-27,21.89
2022-11-28,21.383
2022-11-29,21.257
2022-11-30,22.567
2022-12-01,22.545
2022-12-02,22.574
2022-12-03,22.574
2022-12-04,22.574
2022-12-05,22.148
2022-12-06,21.698
2022-12-07,21.632
2022-12-08,21.9
2022-12-09,21.724
2022-12-10,21.724
2022-12-11,21.724
2022-12-12,22.352
2022-12-13,22.742
2022-12-14,22.769
2022-12-15,22.042
2022-12-16,21.662
2022-12-17,21.662
2022-12-18,21.662
2022-12-19,21.283
2022-12-20,21.402
2022-12-21,21.635
2022-12-22,21.083
2022-12-23,21.13
2022-12-24,21.13
2022-12-25,21.13
2022-12-26,21.13
2022-12-27,20.974
2022-12-28,20.759
2022-12-29,21.332
2022-12-30,21.252
2022-12-31,21.252
2023-01-01,21.252
2023-01-02,21.252
2023-01-03,21.23
2023-01-04,20.298
2023-01-05,19.696
2023-01-06,19.939
2023-01-07,19.939
2023-01-08,19.939
2023-01-09,20.146
2023-01-10,20.309
2023-01-11,20.923
2023-01-12,21.166
2023-01-13,21.245
2023-01-14,21.245
2023-01-15,21.245
2023-01-16,21.245
2023-01-17,21.39
2023-01-18,21.005
2023-01-19,20.66
2023-01-20,21.398
2023-01-21,21.398
2023-01-22,21.398
2023-01-23,21.583
2023-01-24,21.617
2023-01-25,21.746
2023-01-26,22.507
2023-01-27,22.61
2023-01-28,22.61
2023-01-29,22.61
2023-01-30,22.118
2023-01-31,22.583
2023-02-01,23.033
2023-02-02,24.113
2023-02-03,23.576
2023-02-04,23.576
2023-02-05,23.576
2023-02-06,23.457
2023-02-07,24.513
2023-02-08,24.553
2023-02-09,24.267
2023-02-10,24.208
2023-02-11,24.208
2023-02-12,24.208
2023-02-13,24.95
2023-02-14,25.028
2023-02-15,24.828
2023-02-16,24.165
2023-02-17,23.788
2023-02-18,23.788
2023-02-19,23.788
2023-02-20,23.788
2023-02-21,23.291
2023-02-22,23.184
2023-02-23,23.485
2023-02-24,22.973
2023-02-25,22.973
2023-02-26,22.973
2023-02-27,23.06
2023-02-28,22.992
2023-03-01,22.695
2023-03-02,23.141
2023-03-03,23.524
2023-03-04,23.524
2023-03-05,23.524
2023-03-06,23.67
2023-03-07,23.419
2023-03-08,23.377
2023-03-09,23.25
2023-03-10,22.907
2023-03-11,22.907
2023-03-12,22.907
2023-03-13,23.398
2023-03-14,24.031
2023-03-15,24.459
2023-03-16,25.451
2023-03-17,25.744
2023-03-18,25.744
2023-03-19,25.744
2023-03-20,25.094
2023-03-21,25.237
2023-03-22,25.1
2023-03-23,25.595
2023-03-24,25.863
2023-03-25,25.863
2023-03-26,25.863
2023-03-27,25.465
2023-03-28,25.359
2023-03-29,25.845
2023-03-30,26.172
2023-03-31,26.563
2023-04-01,26.563
2023-04-02,26.563
2023-04-03,26.465
2023-04-04,26.46
2023-04-05,26.198
2023-04-06,26.867
2023-04-07,26.867
2023-04-08,26.867
2023-04-09,26.867
2023-04-10,26.664
2023-04-11,26.076
2023-04-12,26.137
2023-04-13,26.723
2023-04-14,26.376
2023-04-15,26.376
2023-04-16,26.376
2023-04-17,26.624
2023-04-18,26.582
2023-04-19,26.624
2023-04-20,26.408
2023-04-21,26.388
2023-04-22,26.388
2023-04-23,26.388
2023-04-24,26.02
2023-04-25,25.252
2023-04-26,26.821
2023-04-27,27.617
2023-04-28,27.829
2023-04-29,27.829
2023-04-30,27.829
2023-05-01,27.653
2023-05-02,27.634
2023-05-03,27.543
2023-05-04,27.634
2023-05-05,28.095
2023-05-06,28.095
2023-05-07,28.095
2023-05-08,27.914
2023-05-09,27.753
2023-05-10,28.23
2023-05-11,28.031
2023-05-12,27.928
2023-05-13,27.928
2023-05-14,27.928
2023-05-15,27.972
2023-05-16,28.178
2023-05-17,28.445
2023-05-18,28.857
2023-05-19,28.841
2023-05-20,28.841
2023-05-21,28.841
2023-05-22,29.098
2023-05-23,28.562
2023-05-24,28.423
2023-05-25,29.522
2023-05-26,30.153
2023-05-27,30.153
2023-05-28,30.153
2023-05-29,30.153
2023-05-30,29.966
2023-05-31,29.727
2023-06-01,30.106
2023-06-02,30.353
2023-06-03,30.353
2023-06-04,30.353
2023-06-05,30.402
2023-06-06,30.197
2023-06-07,29.265
2023-06-08,29.435
