,WHR US Equity
,BEST_PE_RATIO
2021-10-27,7.088
2021-10-28,7.371
2021-10-29,7.394
2021-10-30,7.394
2021-10-31,7.394
2021-11-01,7.521
2021-11-02,7.556
2021-11-03,7.648
2021-11-04,7.651
2021-11-05,7.65
2021-11-06,7.65
2021-11-07,7.65
2021-11-08,7.666
2021-11-09,7.752
2021-11-10,7.754
2021-11-11,7.891
2021-11-12,8.142
2021-11-13,8.142
2021-11-14,8.142
2021-11-15,8.223
2021-11-16,8.249
2021-11-17,8.168
2021-11-18,8.101
2021-11-19,8.09
2021-11-20,8.09
2021-11-21,8.09
2021-11-22,8.137
2021-11-23,8.16
2021-11-24,8.159
2021-11-25,8.159
2021-11-26,7.974
2021-11-27,7.974
2021-11-28,7.974
2021-11-29,7.86
2021-11-30,7.682
2021-12-01,7.634
2021-12-02,7.833
2021-12-03,7.869
2021-12-04,7.869
2021-12-05,7.869
2021-12-06,8.048
2021-12-07,8.101
2021-12-08,8.042
2021-12-09,7.975
2021-12-10,8.116
2021-12-11,8.116
2021-12-12,8.116
2021-12-13,8.051
2021-12-14,8.186
2021-12-15,8.392
2021-12-16,8.407
2021-12-17,8.127
2021-12-18,8.127
2021-12-19,8.127
2021-12-20,7.768
2021-12-21,7.811
2021-12-22,7.915
2021-12-23,8.018
2021-12-24,8.018
2021-12-25,8.018
2021-12-26,8.018
2021-12-27,8.137
2021-12-28,8.141
2021-12-29,8.223
2021-12-30,8.206
2021-12-31,8.279
2022-01-01,8.279
2022-01-02,8.279
2022-01-03,8.21
2022-01-04,8.449
2022-01-05,8.314
2022-01-06,8.247
2022-01-07,8.01
2022-01-08,8.01
2022-01-09,8.01
2022-01-10,7.848
2022-01-11,8.02
2022-01-12,7.948
2022-01-13,8.001
2022-01-14,7.657
2022-01-15,7.657
2022-01-16,7.657
2022-01-17,7.657
2022-01-18,7.4
2022-01-19,7.299
2022-01-20,7.106
2022-01-21,8.129
2022-01-22,8.129
2022-01-23,8.129
2022-01-24,8.358
2022-01-25,8.395
2022-01-26,8.376
2022-01-27,6.687
2022-01-28,6.867
2022-01-29,6.867
2022-01-30,6.867
2022-01-31,7.034
2022-02-01,6.977
2022-02-02,7.07
2022-02-03,6.881
2022-02-04,6.76
2022-02-05,6.76
2022-02-06,6.76
2022-02-07,6.698
2022-02-08,6.484
2022-02-09,6.668
2022-02-10,6.453
2022-02-11,6.327
2022-02-12,6.327
2022-02-13,6.327
2022-02-14,6.358
2022-02-15,6.609
2022-02-16,6.673
2022-02-17,6.626
2022-02-18,6.614
2022-02-19,6.614
2022-02-20,6.614
2022-02-21,6.614
2022-02-22,6.396
2022-02-23,6.278
2022-02-24,6.466
2022-02-25,6.671
2022-02-26,6.671
2022-02-27,6.671
2022-02-28,6.567
2022-03-01,6.566
2022-03-02,6.739
2022-03-03,6.833
2022-03-04,6.653
2022-03-05,6.653
2022-03-06,6.653
2022-03-07,6.194
