,GWW US Equity
,BEST_PE_RATIO
2023-01-18,16.815
2023-01-19,16.139
2023-01-20,16.507
2023-01-21,16.507
2023-01-22,16.507
2023-01-23,16.557
2023-01-24,16.811
2023-01-25,16.533
2023-01-26,16.683
2023-01-27,16.886
2023-01-28,16.886
2023-01-29,16.886
2023-01-30,16.99
2023-01-31,17.408
2023-02-01,17.662
2023-02-02,19.258
2023-02-03,18.784
2023-02-04,18.784
2023-02-05,18.784
2023-02-06,18.677
2023-02-07,18.788
2023-02-08,18.386
2023-02-09,18.208
2023-02-10,18.128
2023-02-11,18.128
2023-02-12,18.128
2023-02-13,18.462
2023-02-14,18.405
2023-02-15,18.575
2023-02-16,18.544
2023-02-17,18.656
2023-02-18,18.656
2023-02-19,18.656
2023-02-20,18.656
2023-02-21,18.073
2023-02-22,18.115
2023-02-23,18.088
2023-02-24,18.258
2023-02-25,18.258
2023-02-26,18.258
2023-02-27,18.558
2023-02-28,18.377
2023-03-01,18.448
2023-03-02,18.819
2023-03-03,19.178
2023-03-04,19.178
2023-03-05,19.178
2023-03-06,19.235
2023-03-07,19.098
2023-03-08,19.256
2023-03-09,19.052
2023-03-10,18.637
2023-03-11,18.637
2023-03-12,18.637
2023-03-13,18.553
2023-03-14,18.863
2023-03-15,18.358
2023-03-16,18.731
2023-03-17,18.241
2023-03-18,18.241
2023-03-19,18.241
2023-03-20,18.527
2023-03-21,18.717
2023-03-22,18.382
2023-03-23,18.293
2023-03-24,18.244
2023-03-25,18.244
2023-03-26,18.244
2023-03-27,18.465
2023-03-28,18.58
2023-03-29,18.558
2023-03-30,18.4
2023-03-31,18.937
2023-04-01,18.937
2023-04-02,18.937
2023-04-03,18.782
2023-04-04,18.054
2023-04-05,17.767
2023-04-06,17.637
2023-04-07,17.637
2023-04-08,17.637
2023-04-09,17.637
2023-04-10,17.906
2023-04-11,17.822
2023-04-12,18.014
2023-04-13,17.775
2023-04-14,17.897
2023-04-15,17.897
2023-04-16,17.897
2023-04-17,18.163
2023-04-18,18.315
2023-04-19,18.264
2023-04-20,18.312
2023-04-21,18.393
2023-04-22,18.393
2023-04-23,18.393
2023-04-24,18.536
2023-04-25,18.44
2023-04-26,18.117
2023-04-27,18.579
2023-04-28,18.256
2023-04-29,18.256
2023-04-30,18.256
2023-05-01,18.206
2023-05-02,18.019
2023-05-03,17.883
2023-05-04,17.461
2023-05-05,17.72
2023-05-06,17.72
2023-05-07,17.72
