,TSLA US Equity
,BEST_PE_RATIO
2022-04-17,56.933
2022-04-18,57.887
2022-04-19,59.263
2022-04-20,54.92
2022-04-21,52.549
2022-04-22,52.005
2022-04-23,52.005
2022-04-24,52.005
2022-04-25,51.323
2022-04-26,45.069
2022-04-27,45.331
2022-04-28,45.125
2022-04-29,44.778
2022-04-30,44.778
2022-05-01,44.778
2022-05-02,46.476
2022-05-03,46.801
2022-05-04,49.033
2022-05-05,44.95
2022-05-06,44.557
2022-05-07,44.557
2022-05-08,44.557
2022-05-09,40.389
2022-05-10,41.053
2022-05-11,37.682
2022-05-12,37.374
2022-05-13,39.509
2022-05-14,39.509
2022-05-15,39.509
2022-05-16,37.187
2022-05-17,39.22
2022-05-18,36.552
2022-05-19,36.817
2022-05-20,34.454
2022-05-21,34.454
2022-05-22,34.454
2022-05-23,35.025
2022-05-24,32.6
2022-05-25,34.19
2022-05-26,36.547
2022-05-27,39.227
2022-05-28,39.227
2022-05-29,39.227
2022-05-30,39.227
2022-05-31,39.156
2022-06-01,38.232
2022-06-02,40.021
2022-06-03,36.269
2022-06-04,36.269
2022-06-05,36.269
2022-06-06,36.828
2022-06-07,36.922
2022-06-08,37.383
2022-06-09,37.631
2022-06-10,35.385
2022-06-11,35.385
2022-06-12,35.385
2022-06-13,33.149
2022-06-14,33.941
2022-06-15,35.802
2022-06-16,32.744
2022-06-17,33.307
2022-06-18,33.307
2022-06-19,33.307
2022-06-20,33.307
2022-06-21,35.263
2022-06-22,35.663
2022-06-23,35.509
2022-06-24,37.11
2022-06-25,37.11
2022-06-26,37.11
2022-06-27,37.495
2022-06-28,35.236
2022-06-29,34.479
2022-06-30,33.873
2022-07-01,34.294
2022-07-02,34.294
2022-07-03,34.294
2022-07-04,34.294
2022-07-05,35.447
2022-07-06,35.245
2022-07-07,37.187
2022-07-08,38.133
2022-07-09,38.133
2022-07-10,38.133
2022-07-11,35.474
2022-07-12,35.437
2022-07-13,35.629
2022-07-14,35.697
2022-07-15,35.917
2022-07-16,35.917
2022-07-17,35.917
2022-07-18,36.102
2022-07-19,36.822
2022-07-20,36.585
2022-07-21,39.515
2022-07-22,39.709
2022-07-23,39.709
2022-07-24,39.709
2022-07-25,39.085
2022-07-26,37.691
2022-07-27,40.015
2022-07-28,40.9
2022-07-29,43.266
2022-07-30,43.266
2022-07-31,43.266
2022-08-01,43.284
2022-08-02,43.703
2022-08-03,44.699
2022-08-04,44.879
2022-08-05,41.903
2022-08-06,41.903
2022-08-07,41.903
2022-08-08,42.46
2022-08-09,41.423
2022-08-10,43.047
2022-08-11,41.917
2022-08-12,43.877
2022-08-13,43.877
2022-08-14,43.877
2022-08-15,45.235
2022-08-16,44.832
2022-08-17,44.457
2022-08-18,44.292
2022-08-19,43.385
2022-08-20,43.385
2022-08-21,43.385
2022-08-22,42.397
2022-08-23,43.108
2022-08-24,44.277
2022-08-25,42.791
2022-08-26,41.831
2022-08-27,41.831
2022-08-28,41.831
2022-08-29,41.338
2022-08-30,40.452
2022-08-31,40.147
2022-09-01,40.203
2022-09-02,39.195
2022-09-03,39.195
2022-09-04,39.195
2022-09-05,39.195
2022-09-06,39.806
2022-09-07,41.152
2022-09-08,41.958
2022-09-09,43.47
2022-09-10,43.47
2022-09-11,43.47
2022-09-12,44.157
2022-09-13,42.375
2022-09-14,43.876
2022-09-15,44.041
2022-09-16,43.894
2022-09-17,43.894
2022-09-18,43.894
2022-09-19,44.721
2022-09-20,44.672
2022-09-21,43.525
2022-09-22,41.752
2022-09-23,38.993
2022-09-24,38.993
2022-09-25,38.993
2022-09-26,39.084
2022-09-27,40.065
2022-09-28,40.755
2022-09-29,37.979
2022-09-30,37.55
2022-10-01,37.55
2022-10-02,37.55
2022-10-03,34.078
2022-10-04,35.048
2022-10-05,33.67
2022-10-06,33.296
2022-10-07,31.255
2022-10-08,31.255
2022-10-09,31.255
2022-10-10,31.354
2022-10-11,30.288
2022-10-12,30.392
2022-10-13,30.747
2022-10-14,28.872
2022-10-15,28.872
2022-10-16,28.872
2022-10-17,30.894
2022-10-18,31.013
2022-10-19,31.508
2022-10-20,29.502
2022-10-21,30.521
2022-10-22,30.521
2022-10-23,30.521
2022-10-24,30.497
2022-10-25,32.108
2022-10-26,32.43
2022-10-27,32.495
2022-10-28,32.99
2022-10-29,32.99
2022-10-30,32.99
2022-10-31,33.063
2022-11-01,33.104
2022-11-02,31.116
2022-11-03,31.164
2022-11-04,29.908
2022-11-05,29.908
2022-11-06,29.908
2022-11-07,28.158
2022-11-08,27.332
2022-11-09,25.374
2022-11-10,26.965
2022-11-11,27.707
2022-11-12,27.707
2022-11-13,27.707
2022-11-14,27.051
2022-11-15,27.542
2022-11-16,26.48
2022-11-17,25.893
2022-11-18,25.472
2022-11-19,25.472
2022-11-20,25.472
2022-11-21,24.318
2022-11-22,24.614
2022-11-23,26.463
2022-11-24,26.463
2022-11-25,26.413
2022-11-26,26.413
2022-11-27,26.413
2022-11-28,26.422
2022-11-29,26.12
2022-11-30,28.124
2022-12-01,28.124
2022-12-02,28.147
2022-12-03,28.147
2022-12-04,28.147
2022-12-05,26.354
2022-12-06,25.974
2022-12-07,25.139
2022-12-08,25.078
2022-12-09,25.889
2022-12-10,25.889
2022-12-11,25.889
2022-12-12,24.265
2022-12-13,23.333
2022-12-14,22.744
2022-12-15,22.984
2022-12-16,21.928
2022-12-17,21.928
2022-12-18,21.928
2022-12-19,21.882
2022-12-20,20.388
2022-12-21,20.481
2022-12-22,18.499
2022-12-23,18.174
2022-12-24,18.174
2022-12-25,18.174
2022-12-26,18.174
2022-12-27,16.153
2022-12-28,16.845
2022-12-29,18.533
2022-12-30,18.74
2022-12-31,18.74
2023-01-01,18.74
2023-01-02,18.74
2023-01-03,16.825
2023-01-04,17.515
2023-01-05,17.051
2023-01-06,17.668
2023-01-07,17.668
2023-01-08,17.668
2023-01-09,18.726
2023-01-10,18.602
2023-01-11,19.286
2023-01-12,19.557
2023-01-13,19.622
2023-01-14,19.622
2023-01-15,19.622
2023-01-16,19.622
2023-01-17,22.215
2023-01-18,21.757
2023-01-19,21.584
2023-01-20,22.702
2023-01-21,22.702
2023-01-22,22.702
2023-01-23,24.381
2023-01-24,24.405
2023-01-25,24.71
2023-01-26,27.657
2023-01-27,30.763
2023-01-28,30.763
2023-01-29,30.763
2023-01-30,28.794
2023-01-31,29.922
2023-02-01,31.342
2023-02-02,32.522
2023-02-03,32.817
2023-02-04,32.817
2023-02-05,32.817
2023-02-06,33.742
2023-02-07,34.228
2023-02-08,35.007
2023-02-09,36.056
2023-02-10,34.242
2023-02-11,34.242
2023-02-12,34.242
2023-02-13,33.85
2023-02-14,36.544
2023-02-15,37.415
2023-02-16,35.734
2023-02-17,36.843
2023-02-18,36.843
2023-02-19,36.843
2023-02-20,36.843
2023-02-21,34.883
2023-02-22,36.003
2023-02-23,35.714
2023-02-24,34.933
2023-02-25,34.933
2023-02-26,34.933
2023-02-27,36.84
2023-02-28,36.506
2023-03-01,36.035
2023-03-02,33.878
2023-03-03,35.106
2023-03-04,35.106
2023-03-05,35.106
2023-03-06,34.339
2023-03-07,33.294
2023-03-08,32.281
2023-03-09,30.67
2023-03-10,30.763
2023-03-11,30.763
2023-03-12,30.763
2023-03-13,31.079
2023-03-14,32.643
2023-03-15,32.143
2023-03-16,32.798
2023-03-17,32.086
2023-03-18,32.086
2023-03-19,32.086
2023-03-20,32.642
2023-03-21,35.226
2023-03-22,34.079
2023-03-23,34.221
2023-03-24,33.899
2023-03-25,33.899
2023-03-26,33.899
2023-03-27,34.148
2023-03-28,33.67
2023-03-29,34.504
2023-03-30,34.754
2023-03-31,36.921
2023-04-01,36.921
2023-04-02,36.921
2023-04-03,34.706
2023-04-04,34.316
2023-04-05,33.058
2023-04-06,32.976
2023-04-07,32.976
2023-04-08,32.976
2023-04-09,32.976
2023-04-10,32.884
2023-04-11,33.29
2023-04-12,32.274
2023-04-13,33.232
2023-04-14,33.071
2023-04-15,33.071
2023-04-16,33.071
2023-04-17,33.436
2023-04-18,33.131
2023-04-19,33.191
2023-04-20,31.551
2023-04-21,32.255
2023-04-22,32.255
2023-04-23,32.255
2023-04-24,31.998
2023-04-25,31.993
2023-04-26,30.923
2023-04-27,32.218
2023-04-28,33.047
2023-04-29,33.047
2023-04-30,33.047
2023-05-01,32.739
2023-05-02,32.504
2023-05-03,32.545
2023-05-04,32.665
2023-05-05,34.46
2023-05-06,34.46
2023-05-07,34.46
2023-05-08,34.811
2023-05-09,34.276
2023-05-10,34.152
2023-05-11,34.869
2023-05-12,34.836
2023-05-13,34.836
2023-05-14,34.836
2023-05-15,34.498
2023-05-16,34.584
2023-05-17,36.108
2023-05-18,36.737
2023-05-19,37.412
2023-05-20,37.412
2023-05-21,37.412
2023-05-22,39.225
2023-05-23,38.702
2023-05-24,38.104
2023-05-25,38.431
2023-05-26,40.244
2023-05-27,40.244
2023-05-28,40.244
2023-05-29,40.244
2023-05-30,41.97
2023-05-31,42.547
2023-06-01,43.296
2023-06-02,44.642
2023-06-03,44.642
2023-06-04,44.642
2023-06-05,45.402
2023-06-06,46.164
2023-06-07,46.844
