,AEO US Equity
,BEST_PE_RATIO
2022-03-28,6.057
2022-03-29,6.351
2022-03-30,5.961
2022-03-31,5.808
2022-04-01,5.592
2022-04-02,5.592
2022-04-03,5.592
2022-04-04,5.703
2022-04-05,5.564
2022-04-06,5.477
2022-04-07,5.526
2022-04-08,5.648
2022-04-09,5.648
2022-04-10,5.648
2022-04-11,5.752
2022-04-12,5.794
2022-04-13,6.087
2022-04-14,6.097
2022-04-15,6.097
2022-04-16,6.097
2022-04-17,6.097
2022-04-18,6.153
2022-04-19,6.195
2022-04-20,6.163
2022-04-21,5.923
2022-04-22,5.383
2022-04-23,5.383
2022-04-24,5.383
2022-04-25,5.498
2022-04-26,5.275
2022-04-27,5.181
2022-04-28,5.407
2022-04-29,5.264
2022-04-30,5.264
2022-05-01,5.264
2022-05-02,5.445
2022-05-03,5.327
2022-05-04,5.526
2022-05-05,5.304
2022-05-06,5.072
2022-05-07,5.072
2022-05-08,5.072
2022-05-09,4.935
2022-05-10,4.991
2022-05-11,4.749
2022-05-12,5.002
2022-05-13,5.048
2022-05-14,5.048
2022-05-15,5.048
2022-05-16,4.963
2022-05-17,5.157
2022-05-18,4.777
2022-05-19,4.759
2022-05-20,4.72
2022-05-21,4.72
2022-05-22,4.72
2022-05-23,4.582
2022-05-24,4.942
2022-05-25,5.534
2022-05-26,5.994
2022-05-27,6.355
2022-05-28,6.355
2022-05-29,6.355
2022-05-30,6.355
2022-05-31,6.858
2022-06-01,6.852
2022-06-02,6.784
2022-06-03,7.243
2022-06-04,7.243
2022-06-05,7.243
2022-06-06,7.006
2022-06-07,7.09
2022-06-08,7.259
2022-06-09,7.017
2022-06-10,6.718
2022-06-11,6.718
2022-06-12,6.718
2022-06-13,6.69
2022-06-14,6.527
2022-06-15,6.803
2022-06-16,6.685
2022-06-17,6.673
2022-06-18,6.673
2022-06-19,6.673
2022-06-20,6.673
2022-06-21,6.628
2022-06-22,6.713
2022-06-23,6.701
2022-06-24,7.209
2022-06-25,7.209
2022-06-26,7.209
2022-06-27,7.109
2022-06-28,6.836
2022-06-29,6.545
2022-06-30,6.239
2022-07-01,6.378
2022-07-02,6.378
2022-07-03,6.378
2022-07-04,6.378
2022-07-05,6.495
2022-07-06,6.478
2022-07-07,6.66
2022-07-08,6.649
2022-07-09,6.649
2022-07-10,6.649
2022-07-11,6.722
2022-07-12,6.853
2022-07-13,6.928
2022-07-14,6.731
2022-07-15,7.15
2022-07-16,7.15
2022-07-17,7.15
2022-07-18,7.102
2022-07-19,7.278
2022-07-20,7.423
2022-07-21,7.357
2022-07-22,7.423
2022-07-23,7.423
2022-07-24,7.423
2022-07-25,7.171
2022-07-26,6.551
2022-07-27,6.933
2022-07-28,7.148
2022-07-29,7.177
2022-07-30,7.177
2022-07-31,7.177
2022-08-01,7.219
2022-08-02,6.981
2022-08-03,7.338
2022-08-04,7.249
2022-08-05,7.189
2022-08-06,7.189
2022-08-07,7.189
2022-08-08,7.992
2022-08-09,7.271
2022-08-10,7.568
2022-08-11,7.884
2022-08-12,8.131
2022-08-13,8.131
2022-08-14,8.131
2022-08-15,8.157
2022-08-16,9.101
2022-08-17,8.673
2022-08-18,8.943
2022-08-19,8.627
2022-08-20,8.627
2022-08-21,8.627
2022-08-22,8.264
2022-08-23,8.27
2022-08-24,7.993
2022-08-25,8.079
2022-08-26,7.782
2022-08-27,7.782
2022-08-28,7.782
2022-08-29,7.714
2022-08-30,7.8
2022-08-31,7.462
2022-09-01,7.422
2022-09-02,7.389
2022-09-03,7.389
2022-09-04,7.389
2022-09-05,7.389
2022-09-06,7.475
2022-09-07,7.959
2022-09-08,7.396
2022-09-09,7.759
2022-09-10,7.759
2022-09-11,7.759
2022-09-12,8.213
2022-09-13,7.799
2022-09-14,7.969
2022-09-15,7.954
2022-09-16,8.251
2022-09-17,8.251
2022-09-18,8.251
2022-09-19,8.341
2022-09-20,8.115
2022-09-21,8.368
2022-09-22,8.214
2022-09-23,7.92
2022-09-24,7.92
2022-09-25,7.92
2022-09-26,7.626
2022-09-27,7.811
2022-09-28,8.036
2022-09-29,7.765
2022-09-30,7.525
2022-10-01,7.525
2022-10-02,7.525
2022-10-03,7.835
2022-10-04,8.113
2022-10-05,8.26
2022-10-06,8.345
2022-10-07,8.121
2022-10-08,8.121
2022-10-09,8.121
2022-10-10,7.85
2022-10-11,7.773
2022-10-12,7.664
2022-10-13,7.811
2022-10-14,7.633
2022-10-15,7.633
2022-10-16,7.633
2022-10-17,7.78
2022-10-18,7.92
2022-10-19,7.773
2022-10-20,7.688
2022-10-21,8.02
2022-10-22,8.02
2022-10-23,8.02
2022-10-24,8.306
2022-10-25,8.562
2022-10-26,8.592
2022-10-27,8.654
2022-10-28,8.701
2022-10-29,8.701
2022-10-30,8.701
2022-10-31,8.786
2022-11-01,8.708
2022-11-02,8.036
2022-11-03,8.384
2022-11-04,8.763
2022-11-05,8.763
2022-11-06,8.763
2022-11-07,8.917
2022-11-08,8.917
2022-11-09,8.391
2022-11-10,9.103
2022-11-11,9.575
2022-11-12,9.575
2022-11-13,9.575
2022-11-14,9.567
2022-11-15,10.078
2022-11-16,9.42
2022-11-17,9.722
2022-11-18,10.0
2022-11-19,10.0
2022-11-20,10.0
2022-11-21,10.062
2022-11-22,11.832
2022-11-23,11.494
2022-11-24,11.494
2022-11-25,11.494
2022-11-26,11.494
2022-11-27,11.494
2022-11-28,10.78
2022-11-29,10.705
2022-11-30,10.787
2022-12-01,10.473
2022-12-02,10.903
2022-12-03,10.903
2022-12-04,10.903
2022-12-05,10.964
2022-12-06,11.206
2022-12-07,11.487
2022-12-08,11.688
2022-12-09,11.372
2022-12-10,11.372
2022-12-11,11.372
2022-12-12,11.379
2022-12-13,11.12
2022-12-14,10.983
2022-12-15,10.538
2022-12-16,10.48
2022-12-17,10.48
2022-12-18,10.48
2022-12-19,10.43
2022-12-20,10.214
2022-12-21,10.308
2022-12-22,10.372
2022-12-23,10.487
2022-12-24,10.487
2022-12-25,10.487
2022-12-26,10.487
2022-12-27,10.128
2022-12-28,10.049
2022-12-29,10.056
2022-12-30,10.035
2022-12-31,10.035
2023-01-01,10.035
2023-01-02,10.035
2023-01-03,10.632
2023-01-04,11.307
2023-01-05,11.024
2023-01-06,11.181
2023-01-07,11.181
2023-01-08,11.181
2023-01-09,11.14
2023-01-10,11.336
2023-01-11,11.887
2023-01-12,11.91
2023-01-13,11.558
2023-01-14,11.558
2023-01-15,11.558
2023-01-16,11.558
2023-01-17,11.595
2023-01-18,11.34
2023-01-19,11.025
2023-01-20,11.183
2023-01-21,11.183
2023-01-22,11.183
2023-01-23,11.545
2023-01-24,11.435
2023-01-25,11.428
2023-01-26,11.581
2023-01-27,11.435
2023-01-28,11.435
2023-01-29,11.435
2023-01-30,11.384
2023-01-31,11.786
2023-02-01,12.056
2023-02-02,12.443
2023-02-03,12.048
2023-02-04,12.048
2023-02-05,12.048
2023-02-06,11.691
2023-02-07,11.82
2023-02-08,11.391
2023-02-09,11.296
2023-02-10,11.325
2023-02-11,11.325
2023-02-12,11.325
2023-02-13,11.645
2023-02-14,11.652
2023-02-15,11.311
2023-02-16,11.071
2023-02-17,11.325
2023-02-18,11.325
2023-02-19,11.325
2023-02-20,11.325
2023-02-21,10.577
2023-02-22,10.729
2023-02-23,10.758
2023-02-24,10.635
2023-02-25,10.635
2023-02-26,10.635
2023-02-27,10.613
2023-02-28,10.446
2023-03-01,10.639
2023-03-02,10.989
2023-03-03,10.851
2023-03-04,10.851
2023-03-05,10.851
2023-03-06,10.436
2023-03-07,10.513
2023-03-08,10.805
2023-03-09,10.559
2023-03-10,10.236
2023-03-11,10.236
2023-03-12,10.236
2023-03-13,9.821
2023-03-14,10.175
2023-03-15,10.574
2023-03-16,10.645
2023-03-17,10.176
2023-03-18,10.176
2023-03-19,10.176
2023-03-20,10.343
2023-03-21,10.407
2023-03-22,10.224
2023-03-23,10.073
2023-03-24,9.85
2023-03-25,9.85
2023-03-26,9.85
2023-03-27,9.896
2023-03-28,9.988
2023-03-29,10.261
2023-03-30,10.293
2023-03-31,10.504
2023-04-01,10.504
2023-04-02,10.504
2023-04-03,10.616
2023-04-04,10.734
2023-04-05,10.852
2023-04-06,10.757
2023-04-07,10.757
2023-04-08,10.757
2023-04-09,10.757
2023-04-10,11.065
2023-04-11,11.318
2023-04-12,10.592
2023-04-13,10.434
2023-04-14,10.765
2023-04-15,10.765
2023-04-16,10.765
2023-04-17,10.852
2023-04-18,10.71
2023-04-19,10.813
2023-04-20,10.647
2023-04-21,10.647
2023-04-22,10.647
2023-04-23,10.647
2023-04-24,10.844
2023-04-25,10.212
2023-04-26,10.41
2023-04-27,10.655
2023-04-28,10.576
2023-04-29,10.576
2023-04-30,10.576
2023-05-01,10.441
2023-05-02,10.102
2023-05-03,10.071
2023-05-04,9.928
2023-05-05,10.498
2023-05-06,10.498
2023-05-07,10.498
2023-05-08,10.554
2023-05-09,10.28
2023-05-10,10.146
2023-05-11,10.24
2023-05-12,10.178
2023-05-13,10.178
2023-05-14,10.178
2023-05-15,10.131
2023-05-16,9.935
2023-05-17,10.154
2023-05-18,10.499
2023-05-19,9.535
2023-05-20,9.535
2023-05-21,9.535
2023-05-22,9.237
2023-05-23,9.056
2023-05-24,9.944
2023-05-25,9.217
2023-05-26,9.322
2023-05-27,9.322
2023-05-28,9.322
2023-05-29,9.322
2023-05-30,9.737
2023-05-31,9.144
2023-06-01,9.252
2023-06-02,9.935
2023-06-03,9.935
2023-06-04,9.935
2023-06-05,9.89
2023-06-06,10.354
2023-06-07,10.749
2023-06-08,10.641
2023-06-09,10.731
2023-06-10,10.731
2023-06-11,10.731
2023-06-12,10.596
2023-06-13,10.668
2023-06-14,10.586
2023-06-15,10.767
2023-06-16,10.605
2023-06-17,10.605
2023-06-18,10.605
2023-06-19,10.605
2023-06-20,10.505
2023-06-21,10.523
2023-06-22,10.605
2023-06-23,10.361
2023-06-24,10.361
2023-06-25,10.361
2023-06-26,10.541
2023-06-27,10.722
2023-06-28,10.424
2023-06-29,10.713
2023-06-30,10.659
2023-07-01,10.659
2023-07-02,10.659
2023-07-03,11.02
2023-07-04,11.02
2023-07-05,10.867
2023-07-06,10.839
2023-07-07,10.821
