,PEP US Equity
,BEST_PE_RATIO
2021-10-04,17.995
2021-10-05,18.101
2021-10-06,18.57
2021-10-07,18.712
2021-10-08,18.669
2021-10-09,18.669
2021-10-10,18.669
2021-10-11,18.604
2021-10-12,18.686
2021-10-13,18.812
2021-10-14,18.963
2021-10-15,18.91
2021-10-16,18.91
2021-10-17,18.91
2021-10-18,18.824
2021-10-19,19.063
2021-10-20,19.208
2021-10-21,18.954
2021-10-22,19.048
2021-10-23,19.048
2021-10-24,19.048
2021-10-25,18.959
2021-10-26,19.191
2021-10-27,19.124
2021-10-28,19.244
2021-10-29,19.242
2021-10-30,19.242
2021-10-31,19.242
2021-11-01,19.202
2021-11-02,19.378
2021-11-03,19.564
2021-11-04,19.565
2021-11-05,19.766
2021-11-06,19.766
2021-11-07,19.766
2021-11-08,19.341
2021-11-09,19.469
2021-11-10,19.533
2021-11-11,19.372
2021-11-12,19.367
2021-11-13,19.367
2021-11-14,19.367
2021-11-15,19.504
2021-11-16,19.446
2021-11-17,19.453
2021-11-18,19.459
2021-11-19,19.505
2021-11-20,19.505
2021-11-21,19.505
2021-11-22,19.546
2021-11-23,19.677
2021-11-24,19.497
2021-11-25,19.497
2021-11-26,19.187
2021-11-27,19.187
2021-11-28,19.187
2021-11-29,19.545
2021-11-30,19.025
2021-12-01,19.071
2021-12-02,19.255
2021-12-03,19.745
2021-12-04,19.745
2021-12-05,19.745
2021-12-06,19.95
2021-12-07,19.927
2021-12-08,19.962
2021-12-09,19.937
2021-12-10,20.256
2021-12-11,20.256
2021-12-12,20.256
2021-12-13,20.356
2021-12-14,20.306
2021-12-15,20.615
2021-12-16,20.645
2021-12-17,20.222
2021-12-18,20.222
2021-12-19,20.222
2021-12-20,20.356
2021-12-21,20.296
2021-12-22,20.422
2021-12-23,20.4
2021-12-24,20.4
2021-12-25,20.4
2021-12-26,20.4
2021-12-27,20.603
2021-12-28,20.71
2021-12-29,20.783
2021-12-30,20.747
2021-12-31,20.872
2022-01-01,20.872
2022-01-02,20.872
2022-01-03,20.784
2022-01-04,20.814
2022-01-05,20.896
2022-01-06,20.9
2022-01-07,20.927
2022-01-08,20.927
2022-01-09,20.927
2022-01-10,20.938
2022-01-11,20.928
2022-01-12,20.905
2022-01-13,20.955
2022-01-14,21.131
2022-01-15,21.131
2022-01-16,21.131
2022-01-17,21.131
2022-01-18,20.929
2022-01-19,21.079
2022-01-20,20.926
2022-01-21,20.96
2022-01-22,20.96
2022-01-23,20.96
2022-01-24,20.853
2022-01-25,20.613
2022-01-26,20.328
2022-01-27,20.309
2022-01-28,20.704
2022-01-29,20.704
2022-01-30,20.704
2022-01-31,20.806
2022-02-01,20.686
2022-02-02,21.062
2022-02-03,21.05
