,SEIC US Equity
,BEST_PE_RATIO
2022-05-30,13.387
2022-05-31,13.382
2022-06-01,12.945
2022-06-02,13.244
2022-06-03,13.094
2022-06-04,13.094
2022-06-05,13.094
2022-06-06,13.026
2022-06-07,13.183
2022-06-08,12.993
2022-06-09,12.778
2022-06-10,12.525
2022-06-11,12.525
2022-06-12,12.525
2022-06-13,12.065
2022-06-14,12.04
2022-06-15,12.047
2022-06-16,11.782
2022-06-17,11.869
2022-06-18,11.869
2022-06-19,11.869
2022-06-20,11.869
2022-06-21,12.026
2022-06-22,11.996
2022-06-23,12.147
2022-06-24,12.614
2022-06-25,12.614
2022-06-26,12.614
2022-06-27,12.6
2022-06-28,12.427
2022-06-29,12.393
2022-06-30,12.49
2022-07-01,12.557
2022-07-02,12.557
2022-07-03,12.557
2022-07-04,12.557
2022-07-05,12.978
2022-07-06,12.945
2022-07-07,13.3
2022-07-08,13.32
2022-07-09,13.32
2022-07-10,13.32
2022-07-11,13.146
2022-07-12,12.976
2022-07-13,12.752
2022-07-14,12.569
2022-07-15,12.917
2022-07-16,12.917
2022-07-17,12.917
2022-07-18,12.786
2022-07-19,13.168
2022-07-20,13.097
2022-07-21,13.37
2022-07-22,13.245
2022-07-23,13.245
2022-07-24,13.245
2022-07-25,13.209
2022-07-26,13.068
2022-07-27,13.126
2022-07-28,13.255
2022-07-29,13.482
2022-07-30,13.482
2022-07-31,13.482
2022-08-01,13.438
2022-08-02,13.406
2022-08-03,13.642
2022-08-04,13.547
2022-08-05,13.547
2022-08-06,13.547
2022-08-07,13.547
2022-08-08,13.611
2022-08-09,13.564
2022-08-10,13.888
2022-08-11,13.898
2022-08-12,14.151
2022-08-13,14.151
2022-08-14,14.151
2022-08-15,14.314
2022-08-16,14.38
2022-08-17,14.326
2022-08-18,14.361
2022-08-19,14.157
2022-08-20,14.157
2022-08-21,14.157
2022-08-22,13.821
2022-08-23,13.708
2022-08-24,13.72
2022-08-25,13.772
2022-08-26,13.379
2022-08-27,13.379
2022-08-28,13.379
2022-08-29,13.372
2022-08-30,13.313
2022-08-31,13.421
2022-09-01,13.382
2022-09-02,13.213
2022-09-03,13.213
2022-09-04,13.213
2022-09-05,13.213
2022-09-06,13.296
2022-09-07,13.531
2022-09-08,13.742
2022-09-09,13.885
2022-09-10,13.885
2022-09-11,13.885
2022-09-12,14.027
2022-09-13,13.622
2022-09-14,13.59
2022-09-15,13.431
2022-09-16,13.159
2022-09-17,13.159
2022-09-18,13.159
2022-09-19,13.269
2022-09-20,13.105
2022-09-21,12.874
2022-09-22,12.714
2022-09-23,12.641
2022-09-24,12.641
2022-09-25,12.641
2022-09-26,12.511
2022-09-27,12.324
2022-09-28,12.548
2022-09-29,12.471
2022-09-30,12.203
2022-10-01,12.203
2022-10-02,12.203
2022-10-03,12.798
2022-10-04,13.036
2022-10-05,12.95
2022-10-06,12.823
2022-10-07,12.389
2022-10-08,12.389
2022-10-09,12.389
2022-10-10,12.425
2022-10-11,12.229
2022-10-12,12.067
2022-10-13,12.381
2022-10-14,12.11
2022-10-15,12.11
2022-10-16,12.11
2022-10-17,12.511
2022-10-18,12.585
2022-10-19,12.295
2022-10-20,12.021
2022-10-21,12.183
2022-10-22,12.183
2022-10-23,12.183
2022-10-24,12.351
2022-10-25,12.435
2022-10-26,12.566
2022-10-27,13.315
2022-10-28,13.586
2022-10-29,13.586
2022-10-30,13.586
2022-10-31,13.92
2022-11-01,13.976
2022-11-02,13.856
2022-11-03,13.835
2022-11-04,13.976
2022-11-05,13.976
2022-11-06,13.976
2022-11-07,14.204
2022-11-08,14.409
2022-11-09,14.304
2022-11-10,15.358
2022-11-11,15.783
2022-11-12,15.783
2022-11-13,15.783
2022-11-14,15.417
2022-11-15,15.609
2022-11-16,15.591
2022-11-17,15.389
2022-11-18,15.422
2022-11-19,15.422
2022-11-20,15.422
2022-11-21,15.422
2022-11-22,15.596
2022-11-23,15.74
2022-11-24,15.74
2022-11-25,15.773
2022-11-26,15.773
2022-11-27,15.773
2022-11-28,15.558
2022-11-29,15.475
2022-11-30,15.702
2022-12-01,15.751
2022-12-02,15.754
2022-12-03,15.754
2022-12-04,15.754
2022-12-05,15.417
2022-12-06,15.407
2022-12-07,15.1
2022-12-08,15.14
2022-12-09,15.132
2022-12-10,15.132
2022-12-11,15.132
2022-12-12,15.225
2022-12-13,15.297
2022-12-14,15.16
2022-12-15,14.516
2022-12-16,14.454
2022-12-17,14.454
2022-12-18,14.454
2022-12-19,14.352
2022-12-20,14.337
2022-12-21,14.682
2022-12-22,14.437
2022-12-23,14.407
2022-12-24,14.407
2022-12-25,14.407
2022-12-26,14.407
2022-12-27,14.427
2022-12-28,14.313
2022-12-29,14.578
2022-12-30,14.464
2022-12-31,14.464
2023-01-01,14.464
2023-01-02,14.464
2023-01-03,14.657
2023-01-04,14.916
2023-01-05,14.635
2023-01-06,15.173
2023-01-07,15.173
2023-01-08,15.173
2023-01-09,15.201
2023-01-10,15.131
2023-01-11,15.218
2023-01-12,15.273
2023-01-13,15.399
2023-01-14,15.399
2023-01-15,15.399
2023-01-16,15.399
2023-01-17,15.347
2023-01-18,15.297
2023-01-19,15.089
2023-01-20,15.399
2023-01-21,15.399
2023-01-22,15.399
2023-01-23,15.57
2023-01-24,15.523
2023-01-25,15.671
2023-01-26,15.567
2023-01-27,15.542
2023-01-28,15.542
2023-01-29,15.542
2023-01-30,15.452
2023-01-31,15.63
2023-02-01,15.928
2023-02-02,16.074
2023-02-03,16.003
2023-02-04,16.003
2023-02-05,16.003
2023-02-06,15.801
2023-02-07,15.948
2023-02-08,15.868
2023-02-09,15.676
2023-02-10,15.618
2023-02-11,15.618
2023-02-12,15.618
2023-02-13,15.776
2023-02-14,15.631
2023-02-15,15.558
2023-02-16,15.501
2023-02-17,15.361
2023-02-18,15.361
2023-02-19,15.361
2023-02-20,15.361
2023-02-21,14.993
2023-02-22,14.965
2023-02-23,15.07
2023-02-24,14.948
2023-02-25,14.948
2023-02-26,14.948
2023-02-27,14.935
2023-02-28,15.073
2023-03-01,15.059
2023-03-02,15.037
2023-03-03,15.172
2023-03-04,15.172
2023-03-05,15.172
2023-03-06,15.097
2023-03-07,14.829
2023-03-08,14.834
2023-03-09,14.518
2023-03-10,14.135
2023-03-11,14.135
2023-03-12,14.135
2023-03-13,13.807
2023-03-14,13.992
2023-03-15,13.842
2023-03-16,13.922
2023-03-17,13.812
