,REGI US Equity
,BEST_PE_RATIO
2022-03-26,18.268
2022-03-27,18.268
2022-03-28,18.298
2022-03-29,18.313
2022-03-30,18.271
2022-03-31,18.241
2022-04-01,18.247
2022-04-02,18.247
2022-04-03,18.247
2022-04-04,18.265
2022-04-05,18.238
2022-04-06,18.247
2022-04-07,19.574
2022-04-08,19.568
2022-04-09,19.568
2022-04-10,19.568
2022-04-11,19.584
2022-04-12,19.561
2022-04-13,19.581
2022-04-14,19.639
2022-04-15,19.639
2022-04-16,19.639
2022-04-17,19.639
2022-04-18,19.748
2022-04-19,19.758
2022-04-20,19.742
2022-04-21,19.765
2022-04-22,19.719
2022-04-23,19.719
2022-04-24,19.719
2022-04-25,19.768
2022-04-26,19.71
2022-04-27,19.716
2022-04-28,19.723
2022-04-29,19.697
2022-04-30,19.697
2022-05-01,19.697
2022-05-02,19.299
2022-05-03,19.28
2022-05-04,19.277
2022-05-05,19.277
2022-05-06,19.268
2022-05-07,19.268
2022-05-08,19.268
2022-05-09,19.249
2022-05-10,19.233
2022-05-11,19.287
2022-05-12,19.302
2022-05-13,19.302
2022-05-14,19.302
2022-05-15,19.302
2022-05-16,19.428
2022-05-17,19.418
2022-05-18,19.46
2022-05-19,19.428
2022-05-20,19.523
2022-05-21,19.523
2022-05-22,19.523
2022-05-23,19.504
2022-05-24,19.473
2022-05-25,19.479
2022-05-26,19.501
2022-05-27,19.488
2022-05-28,19.488
2022-05-29,19.488
2022-05-30,19.488
2022-05-31,18.923
2022-06-01,18.938
2022-06-02,18.687
2022-06-03,18.702
2022-06-04,18.702
2022-06-05,18.702
2022-06-06,18.699
2022-06-07,18.693
2022-06-08,18.724
2022-06-09,18.718
2022-06-10,17.348
2022-06-11,17.348
2022-06-12,17.348
2022-06-13,17.348
2022-06-14,17.348
2022-06-15,17.348
2022-06-16,17.348
2022-06-17,17.348
2022-06-18,17.348
2022-06-19,17.348
2022-06-20,17.348
2022-06-21,17.348
2022-06-22,17.348
2022-06-23,17.348
2022-06-24,17.348
2022-06-25,17.348
2022-06-26,17.348
2022-06-27,17.348
2022-06-28,17.348
2022-06-29,17.348
2022-06-30,17.348
2022-07-01,17.348
2022-07-02,17.348
2022-07-03,17.348
2022-07-04,17.348
2022-07-05,17.348
2022-07-06,17.348
2022-07-07,17.348
2022-07-08,17.348
2022-07-09,17.348
2022-07-10,17.348
2022-07-11,17.348
2022-07-12,17.348
2022-07-13,17.348
2022-07-14,17.348
2022-07-15,17.348
2022-07-16,17.348
2022-07-17,17.348
2022-07-18,17.348
2022-07-19,17.348
2022-07-20,17.348
2022-07-21,17.348
2022-07-22,17.348
2022-07-23,17.348
2022-07-24,17.348
2022-07-25,17.348
2022-07-26,17.348
2022-07-27,17.348
2022-07-28,17.348
2022-07-29,17.348
2022-07-30,17.348
2022-07-31,17.348
2022-08-01,17.348
2022-08-02,17.348
2022-08-03,17.348
2022-08-04,17.348
2022-08-05,17.348
2022-08-06,17.348
2022-08-07,17.348
2022-08-08,17.348
2022-08-09,17.348
2022-08-10,17.348
2022-08-11,17.348
2022-08-12,17.348
2022-08-13,17.348
2022-08-14,17.348
2022-08-15,17.348
2022-08-16,17.348
2022-08-17,17.348
2022-08-18,17.348
2022-08-19,17.348
2022-08-20,17.348
2022-08-21,17.348
2022-08-22,17.348
2022-08-23,17.348
2022-08-24,17.348
2022-08-25,17.348
2022-08-26,17.348
2022-08-27,17.348
2022-08-28,17.348
2022-08-29,17.348
2022-08-30,17.348
2022-08-31,17.348
2022-09-01,17.348
2022-09-02,17.348
2022-09-03,17.348
2022-09-04,17.348
2022-09-05,17.348
2022-09-06,17.348
2022-09-07,17.348
2022-09-08,17.348
2022-09-09,17.348
2022-09-10,17.348
2022-09-11,17.348
2022-09-12,17.348
2022-09-13,17.348
2022-09-14,17.348
2022-09-15,17.348
2022-09-16,17.348
2022-09-17,17.348
2022-09-18,17.348
2022-09-19,17.348
2022-09-20,17.348
2022-09-21,17.348
2022-09-22,17.348
2022-09-23,17.348
2022-09-24,17.348
2022-09-25,17.348
2022-09-26,17.348
2022-09-27,17.348
2022-09-28,17.348
2022-09-29,17.348
2022-09-30,17.348
2022-10-01,17.348
2022-10-02,17.348
2022-10-03,17.348
2022-10-04,17.348
2022-10-05,17.348
2022-10-06,17.348
2022-10-07,17.348
2022-10-08,17.348
2022-10-09,17.348
2022-10-10,17.348
2022-10-11,17.348
2022-10-12,17.348
2022-10-13,17.348
2022-10-14,17.348
2022-10-15,17.348
2022-10-16,17.348
2022-10-17,17.348
2022-10-18,17.348
2022-10-19,17.348
2022-10-20,17.348
2022-10-21,17.348
2022-10-22,17.348
2022-10-23,17.348
2022-10-24,17.348
2022-10-25,17.348
2022-10-26,17.348
2022-10-27,17.348
2022-10-28,17.348
2022-10-29,17.348
2022-10-30,17.348
2022-10-31,17.348
2022-11-01,17.348
2022-11-02,17.348
2022-11-03,17.348
2022-11-04,17.348
2022-11-05,17.348
2022-11-06,17.348
2022-11-07,17.348
2022-11-08,17.348
2022-11-09,17.348
2022-11-10,17.348
2022-11-11,17.348
2022-11-12,17.348
2022-11-13,17.348
2022-11-14,17.348
2022-11-15,17.348
2022-11-16,17.348
2022-11-17,17.348
2022-11-18,17.348
2022-11-19,17.348
2022-11-20,17.348
2022-11-21,17.348
2022-11-22,17.348
2022-11-23,17.348
2022-11-24,17.348
2022-11-25,17.348
2022-11-26,17.348
2022-11-27,17.348
2022-11-28,17.348
2022-11-29,17.348
2022-11-30,17.348
2022-12-01,17.348
2022-12-02,17.348
2022-12-03,17.348
2022-12-04,17.348
2022-12-05,17.348
2022-12-06,17.348
2022-12-07,17.348
2022-12-08,17.348
2022-12-09,17.348
2022-12-10,17.348
2022-12-11,17.348
2022-12-12,17.348
2022-12-13,17.348
2022-12-14,17.348
2022-12-15,17.348
2022-12-16,17.348
2022-12-17,17.348
2022-12-18,17.348
2022-12-19,17.348
2022-12-20,17.348
2022-12-21,17.348
2022-12-22,17.348
2022-12-23,17.348
2022-12-24,17.348
2022-12-25,17.348
2022-12-26,17.348
2022-12-27,17.348
2022-12-28,17.348
2022-12-29,17.348
2022-12-30,17.348
2022-12-31,17.348
2023-01-01,17.348
2023-01-02,17.348
2023-01-03,17.348
2023-01-04,17.348
2023-01-05,17.348
2023-01-06,17.348
2023-01-07,17.348
2023-01-08,17.348
2023-01-09,17.348
2023-01-10,17.348
2023-01-11,17.348
2023-01-12,17.348
2023-01-13,17.348
2023-01-14,17.348
2023-01-15,17.348
2023-01-16,17.348
2023-01-17,17.348
2023-01-18,17.348
2023-01-19,17.348
2023-01-20,17.348
2023-01-21,17.348
2023-01-22,17.348
2023-01-23,17.348
2023-01-24,17.348
2023-01-25,17.348
2023-01-26,17.348
2023-01-27,17.348
2023-01-28,17.348
2023-01-29,17.348
2023-01-30,17.348
2023-01-31,17.348
2023-02-01,17.348
2023-02-02,17.348
2023-02-03,17.348
2023-02-04,17.348
2023-02-05,17.348
2023-02-06,17.348
2023-02-07,17.348
2023-02-08,17.348
2023-02-09,17.348
2023-02-10,17.348
2023-02-11,17.348
2023-02-12,17.348
2023-02-13,17.348
2023-02-14,17.348
2023-02-15,17.348
2023-02-16,17.348
2023-02-17,17.348
2023-02-18,17.348
2023-02-19,17.348
2023-02-20,17.348
2023-02-21,17.348
2023-02-22,17.348
2023-02-23,17.348
2023-02-24,17.348
2023-02-25,17.348
2023-02-26,17.348
2023-02-27,17.348
2023-02-28,17.348
2023-03-01,17.348
2023-03-02,17.348
2023-03-03,17.348
2023-03-04,17.348
2023-03-05,17.348
2023-03-06,17.348
2023-03-07,17.348
2023-03-08,17.348
2023-03-09,17.348
2023-03-10,17.348
2023-03-11,17.348
2023-03-12,17.348
2023-03-13,17.348
2023-03-14,17.348
2023-03-15,17.348
2023-03-16,17.348
2023-03-17,17.348
2023-03-18,17.348
2023-03-19,17.348
2023-03-20,17.348
2023-03-21,17.348
2023-03-22,17.348
2023-03-23,17.348
2023-03-24,17.348
2023-03-25,17.348
2023-03-26,17.348
2023-03-27,17.348
2023-03-28,17.348
2023-03-29,17.348
2023-03-30,17.348
2023-03-31,17.348
2023-04-01,17.348
2023-04-02,17.348
2023-04-03,17.348
2023-04-04,17.348
2023-04-05,17.348
2023-04-06,17.348
2023-04-07,17.348
2023-04-08,17.348
2023-04-09,17.348
2023-04-10,17.348
2023-04-11,17.348
2023-04-12,17.348
2023-04-13,17.348
2023-04-14,17.348
2023-04-15,17.348
2023-04-16,17.348
2023-04-17,17.348
2023-04-18,17.348
2023-04-19,17.348
2023-04-20,17.348
2023-04-21,17.348
2023-04-22,17.348
2023-04-23,17.348
2023-04-24,17.348
2023-04-25,17.348
2023-04-26,17.348
2023-04-27,17.348
2023-04-28,17.348
2023-04-29,17.348
2023-04-30,17.348
2023-05-01,17.348
2023-05-02,17.348
2023-05-03,17.348
2023-05-04,17.348
2023-05-05,17.348
2023-05-06,17.348
2023-05-07,17.348
2023-05-08,17.348
2023-05-09,17.348
2023-05-10,17.348
2023-05-11,17.348
2023-05-12,17.348
2023-05-13,17.348
2023-05-14,17.348
2023-05-15,17.348
2023-05-16,17.348
2023-05-17,17.348
2023-05-18,17.348
2023-05-19,17.348
2023-05-20,17.348
2023-05-21,17.348
2023-05-22,17.348
2023-05-23,17.348
2023-05-24,17.348
2023-05-25,17.348
2023-05-26,17.348
2023-05-27,17.348
2023-05-28,17.348
2023-05-29,17.348
2023-05-30,17.348
2023-05-31,17.348
2023-06-01,17.348
2023-06-02,17.348
2023-06-03,17.348
2023-06-04,17.348
2023-06-05,17.348
2023-06-06,17.348
