,NFG US Equity
,BEST_PE_RATIO
2021-04-09,7.437
2021-04-10,7.437
2021-04-11,7.437
2021-04-12,7.437
2021-04-13,7.444
2021-04-14,7.513
2021-04-15,7.598
2021-04-16,7.586
2021-04-17,7.586
2021-04-18,7.586
2021-04-19,7.584
2021-04-20,7.611
2021-04-21,7.631
2021-04-22,7.622
2021-04-23,7.674
2021-04-24,7.674
2021-04-25,7.674
2021-04-26,7.538
2021-04-27,7.495
2021-04-28,7.501
2021-04-29,7.507
2021-04-30,7.417
2021-05-01,7.417
2021-05-02,7.417
2021-05-03,7.559
2021-05-04,7.537
2021-05-05,7.546
2021-05-06,7.653
2021-05-07,7.855
2021-05-08,7.855
2021-05-09,7.855
2021-05-10,7.898
2021-05-11,7.847
2021-05-12,7.674
2021-05-13,7.799
2021-05-14,7.814
2021-05-15,7.814
2021-05-16,7.814
2021-05-17,7.777
2021-05-18,7.77
2021-05-19,7.729
2021-05-20,7.705
2021-05-21,7.741
2021-05-22,7.741
2021-05-23,7.741
2021-05-24,7.835
2021-05-25,7.64
2021-05-26,7.737
2021-05-27,7.678
2021-05-28,7.75
2021-05-29,7.75
2021-05-30,7.75
2021-05-31,7.75
2021-06-01,7.911
2021-06-02,7.932
2021-06-03,8.01
2021-06-04,8.009
2021-06-05,8.009
2021-06-06,8.009
2021-06-07,8.053
2021-06-08,8.092
2021-06-09,8.147
2021-06-10,8.189
2021-06-11,8.242
2021-06-12,8.242
2021-06-13,8.242
2021-06-14,8.112
2021-06-15,8.177
2021-06-16,8.073
2021-06-17,7.923
2021-06-18,7.687
2021-06-19,7.687
2021-06-20,7.687
2021-06-21,7.838
2021-06-22,7.819
2021-06-23,7.795
2021-06-24,7.868
2021-06-25,8.046
2021-06-26,8.046
2021-06-27,8.046
2021-06-28,7.947
2021-06-29,7.791
2021-06-30,7.871
2021-07-01,7.953
2021-07-02,7.901
2021-07-03,7.901
2021-07-04,7.901
2021-07-05,7.901
2021-07-06,7.817
2021-07-07,7.846
2021-07-08,7.846
2021-07-09,7.859
2021-07-10,7.859
2021-07-11,7.859
2021-07-12,7.883
2021-07-13,7.776
2021-07-14,7.784
2021-07-15,7.73
2021-07-16,7.653
2021-07-17,7.653
2021-07-18,7.653
2021-07-19,7.505
2021-07-20,7.639
2021-07-21,7.645
2021-07-22,7.602
2021-07-23,7.704
2021-07-24,7.704
2021-07-25,7.704
2021-07-26,7.778
2021-07-27,7.897
2021-07-28,7.835
2021-07-29,7.868
2021-07-30,7.748
2021-07-31,7.748
2021-08-01,7.748
2021-08-02,7.748
2021-08-03,7.856
2021-08-04,7.809
2021-08-05,7.829
2021-08-06,7.995
2021-08-07,7.995
2021-08-08,7.995
2021-08-09,7.984
2021-08-10,7.962
2021-08-11,8.06
2021-08-12,7.977
2021-08-13,7.947
2021-08-14,7.947
2021-08-15,7.947
2021-08-16,7.846
2021-08-17,7.864
2021-08-18,7.701
2021-08-19,7.59
2021-08-20,7.627
2021-08-21,7.627
2021-08-22,7.627
2021-08-23,7.636
2021-08-24,7.593
2021-08-25,7.671
2021-08-26,7.59
2021-08-27,7.73
2021-08-28,7.73
2021-08-29,7.73
2021-08-30,7.775
2021-08-31,7.805
2021-09-01,7.85
2021-09-02,7.897
2021-09-03,7.91
2021-09-04,7.91
2021-09-05,7.91
2021-09-06,7.91
2021-09-07,7.772
2021-09-08,7.9
2021-09-09,7.853
2021-09-10,7.814
2021-09-11,7.814
2021-09-12,7.814
2021-09-13,7.769
2021-09-14,7.636
2021-09-15,7.948
2021-09-16,7.825
2021-09-17,7.712
2021-09-18,7.712
2021-09-19,7.712
2021-09-20,7.62
2021-09-21,7.58
2021-09-22,7.657
2021-09-23,7.722
2021-09-24,7.803
2021-09-25,7.803
2021-09-26,7.803
2021-09-27,8.171
2021-09-28,8.177
2021-09-29,8.116
2021-09-30,7.979
2021-10-01,8.219
2021-10-02,8.219
2021-10-03,8.219
2021-10-04,8.463
2021-10-05,8.465
2021-10-06,8.5
2021-10-07,8.582
2021-10-08,8.627
2021-10-09,8.627
2021-10-10,8.627
2021-10-11,8.582
2021-10-12,8.646
2021-10-13,8.641
2021-10-14,8.735
2021-10-15,8.779
2021-10-16,8.779
2021-10-17,8.779
2021-10-18,8.743
2021-10-19,8.757
2021-10-20,8.884
2021-10-21,8.779
2021-10-22,8.84
2021-10-23,8.84
2021-10-24,8.84
2021-10-25,8.988
2021-10-26,8.901
2021-10-27,8.776
2021-10-28,8.82
2021-10-29,8.725
2021-10-30,8.725
2021-10-31,8.725
2021-11-01,8.933
2021-11-02,8.834
2021-11-03,8.766
2021-11-04,8.772
2021-11-05,9.012
2021-11-06,9.012
2021-11-07,9.012
2021-11-08,9.033
2021-11-09,9.007
2021-11-10,8.95
2021-11-11,9.69
2021-11-12,9.945
2021-11-13,9.945
2021-11-14,9.945
2021-11-15,10.016
2021-11-16,9.994
2021-11-17,9.955
2021-11-18,10.689
2021-11-19,10.594
2021-11-20,10.594
2021-11-21,10.594
2021-11-22,10.761
2021-11-23,11.027
2021-11-24,11.118
2021-11-25,11.118
2021-11-26,10.815
2021-11-27,10.815
2021-11-28,10.815
2021-11-29,10.737
2021-11-30,10.389
2021-12-01,10.434
2021-12-02,10.822
2021-12-03,10.879
2021-12-04,10.879
2021-12-05,10.879
2021-12-06,11.079
2021-12-07,11.068
2021-12-08,11.195
2021-12-09,11.109
2021-12-10,11.107
2021-12-11,11.107
2021-12-12,11.107
2021-12-13,11.041
2021-12-14,11.213
2021-12-15,11.302
2021-12-16,11.149
2021-12-17,11.113
2021-12-18,11.113
2021-12-19,11.113
2021-12-20,11.166
2021-12-21,11.227
2021-12-22,11.288
2021-12-23,11.297
2021-12-24,11.297
2021-12-25,11.297
2021-12-26,11.297
2021-12-27,11.435
2021-12-28,11.481
2021-12-29,11.544
2021-12-30,11.496
2021-12-31,11.527
2022-01-01,11.527
2022-01-02,11.527
2022-01-03,11.531
2022-01-04,11.713
2022-01-05,11.651
2022-01-06,11.559
2022-01-07,11.686
2022-01-08,11.686
2022-01-09,11.686
2022-01-10,11.314
2022-01-11,11.704
2022-01-12,11.704
2022-01-13,11.574
2022-01-14,11.831
2022-01-15,11.831
2022-01-16,11.831
2022-01-17,11.831
2022-01-18,11.672
2022-01-19,11.33
2022-01-20,10.769
2022-01-21,10.549
2022-01-22,10.549
2022-01-23,10.549
2022-01-24,10.736
2022-01-25,10.626
2022-01-26,10.597
2022-01-27,10.661
2022-01-28,10.722
2022-01-29,10.722
2022-01-30,10.722
2022-01-31,10.835
2022-02-01,11.081
2022-02-02,11.115
2022-02-03,10.965
2022-02-04,10.537
2022-02-05,10.537
2022-02-06,10.537
2022-02-07,10.592
2022-02-08,10.462
2022-02-09,10.543
2022-02-10,10.531
2022-02-11,10.742
2022-02-12,10.742
2022-02-13,10.742
2022-02-14,10.655
2022-02-15,10.695
2022-02-16,10.681
2022-02-17,10.663
2022-02-18,10.434
2022-02-19,10.434
2022-02-20,10.434
2022-02-21,10.434
2022-02-22,10.349
2022-02-23,10.357
2022-02-24,10.406
2022-02-25,10.74
2022-02-26,10.74
2022-02-27,10.74
2022-02-28,10.882
2022-03-01,10.64
2022-03-02,10.884
2022-03-03,10.884
2022-03-04,11.063
2022-03-05,11.063
2022-03-06,11.063
2022-03-07,11.29
2022-03-08,11.094
2022-03-09,11.184
2022-03-10,11.429
2022-03-11,11.317
2022-03-12,11.317
2022-03-13,11.317
2022-03-14,10.525
2022-03-15,10.777
2022-03-16,10.921
2022-03-17,10.837
2022-03-18,10.76
2022-03-19,10.76
2022-03-20,10.76
2022-03-21,10.785
2022-03-22,10.616
2022-03-23,10.604
2022-03-24,10.648
2022-03-25,11.147
2022-03-26,11.147
2022-03-27,11.147
2022-03-28,11.259
2022-03-29,11.237
2022-03-30,11.326
2022-03-31,11.239
2022-04-01,10.34
2022-04-02,10.34
2022-04-03,10.34
2022-04-04,10.05
2022-04-05,10.104
2022-04-06,10.212
2022-04-07,10.241
2022-04-08,10.241
2022-04-09,10.241
2022-04-10,10.241
2022-04-11,10.216
2022-04-12,10.123
2022-04-13,10.17
2022-04-14,9.789
2022-04-15,9.789
2022-04-16,9.789
2022-04-17,9.789
2022-04-18,10.019
2022-04-19,10.049
2022-04-20,9.814
2022-04-21,9.709
2022-04-22,9.632
2022-04-23,9.632
2022-04-24,9.632
2022-04-25,9.552
2022-04-26,9.399
2022-04-27,9.396
2022-04-28,9.524
2022-04-29,9.371
2022-04-30,9.371
2022-05-01,9.371
2022-05-02,9.308
2022-05-03,9.535
2022-05-04,9.786
2022-05-05,9.528
2022-05-06,9.351
2022-05-07,9.351
2022-05-08,9.351
2022-05-09,8.987
2022-05-10,8.878
2022-05-11,9.03
2022-05-12,9.03
2022-05-13,8.983
2022-05-14,8.983
2022-05-15,8.983
2022-05-16,9.25
2022-05-17,10.01
2022-05-18,9.923
2022-05-19,9.997
2022-05-20,10.0
2022-05-21,10.0
2022-05-22,10.0
2022-05-23,10.232
2022-05-24,10.343
2022-05-25,10.435
2022-05-26,10.524
2022-05-27,10.772
2022-05-28,10.772
2022-05-29,10.772
2022-05-30,10.772
2022-05-31,10.665
2022-06-01,10.611
2022-06-02,10.665
2022-06-03,10.678
2022-06-04,10.678
2022-06-05,10.678
2022-06-06,10.749
2022-06-07,10.942
2022-06-08,10.856
2022-06-09,10.615
2022-06-10,10.537
2022-06-11,10.537
2022-06-12,10.537
2022-06-13,10.068
2022-06-14,9.841
2022-06-15,9.955
2022-06-16,9.76
2022-06-17,9.491
2022-06-18,9.491
2022-06-19,9.491
2022-06-20,9.491
2022-06-21,9.736
2022-06-22,9.574
2022-06-23,9.452
2022-06-24,9.57
2022-06-25,9.57
2022-06-26,9.57
2022-06-27,9.78
2022-06-28,9.805
2022-06-29,9.691
2022-06-30,9.647
2022-07-01,9.883
2022-07-02,9.883
2022-07-03,9.883
2022-07-04,9.883
2022-07-05,9.405
2022-07-06,9.434
2022-07-07,9.481
2022-07-08,9.398
2022-07-09,9.398
2022-07-10,9.398
2022-07-11,8.405
2022-07-12,8.446
2022-07-13,8.435
2022-07-14,8.242
2022-07-15,8.308
2022-07-16,8.308
2022-07-17,8.308
2022-07-18,8.254
2022-07-19,8.535
2022-07-20,8.54
2022-07-21,8.473
2022-07-22,8.439
2022-07-23,8.439
2022-07-24,8.439
2022-07-25,7.827
2022-07-26,8.044
2022-07-27,8.167
2022-07-28,8.246
2022-07-29,8.299
2022-07-30,8.299
2022-07-31,8.299
2022-08-01,8.299
2022-08-02,8.098
2022-08-03,8.138
2022-08-04,7.995
2022-08-05,8.172
2022-08-06,8.172
2022-08-07,8.172
2022-08-08,8.037
2022-08-09,8.075
2022-08-10,8.089
2022-08-11,8.148
2022-08-12,8.273
2022-08-13,8.273
2022-08-14,8.273
2022-08-15,8.314
2022-08-16,8.369
2022-08-17,8.328
2022-08-18,8.426
2022-08-19,8.46
2022-08-20,8.46
2022-08-21,8.46
2022-08-22,8.339
2022-08-23,8.363
2022-08-24,8.45
2022-08-25,8.583
