,HSY US Equity,HSY US Equity,HSY US Equity,HSY US Equity,HSY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-02-10,193.7122,195.2898,193.1386,194.4867,1117511.0
2022-02-11,195.1272,196.9534,194.3528,196.1789,872469.0
2022-02-12,195.1272,196.9534,194.3528,196.1789,872469.0
2022-02-13,195.1272,196.9534,194.3528,196.1789,872469.0
2022-02-14,196.4371,196.8782,192.0773,194.4197,1051852.0
2022-02-15,194.6492,196.8386,193.4063,193.9704,788207.0
2022-02-16,193.7218,195.0316,191.5993,193.7505,756076.0
2022-02-17,193.2808,195.2976,190.8416,194.0203,1258117.0
2022-02-18,193.5594,195.288,192.7527,194.5581,1107005.0
2022-02-19,193.5594,195.288,192.7527,194.5581,1107005.0
2022-02-20,193.5594,195.288,192.7527,194.5581,1107005.0
2022-02-21,193.5594,195.288,192.7527,194.5581,1107005.0
2022-02-22,194.1356,194.9519,192.8103,194.0203,1126189.0
2022-02-23,194.5869,195.2304,193.0504,194.5389,920259.0
2022-02-24,193.0984,194.3084,185.4348,189.0073,1331586.0
2022-02-25,190.6399,196.4788,190.1693,196.2195,1079986.0
2022-02-26,190.6399,196.4788,190.1693,196.2195,1079986.0
2022-02-27,190.6399,196.4788,190.1693,196.2195,1079986.0
2022-02-28,193.617,195.1055,192.3589,194.2412,1293369.0
2022-03-01,194.1836,197.9578,193.7802,196.7381,1403648.0
2022-03-02,195.4993,200.6564,195.0959,199.7824,1289478.0
2022-03-03,200.5891,202.0681,199.6624,199.8881,939818.0
2022-03-04,197.8617,204.7283,197.5064,204.3825,1477469.0
2022-03-05,197.8617,204.7283,197.5064,204.3825,1477469.0
2022-03-06,197.8617,204.7283,197.5064,204.3825,1477469.0
2022-03-07,202.7019,207.7822,202.7019,204.9203,1672607.0
2022-03-08,204.1809,205.17,195.9122,195.9218,1047414.0
2022-03-09,197.929,198.9661,194.3564,196.7573,1109872.0
2022-03-10,196.0467,197.929,194.9135,197.007,907678.0
2022-03-11,197.2759,199.9073,196.498,196.5749,815415.0
2022-03-12,197.2759,199.9073,196.498,196.5749,815415.0
2022-03-13,197.2759,199.9073,196.498,196.5749,815415.0
2022-03-14,197.6697,199.4175,196.3252,198.5148,947253.0
2022-03-15,199.5135,200.5795,196.7669,200.5411,931841.0
2022-03-16,200.714,201.2614,194.6446,197.5448,1256455.0
2022-03-17,198.2843,200.1282,196.8053,198.5148,1077707.0
2022-03-18,198.7837,198.8461,196.0755,198.534,1932036.0
2022-03-19,198.7837,198.8461,196.0755,198.534,1932036.0
2022-03-20,198.7837,198.8461,196.0755,198.534,1932036.0
2022-03-21,199.1102,201.3382,198.2075,200.0994,662951.0
2022-03-22,200.0898,200.4451,198.3707,200.0417,700159.0
2022-03-23,200.6084,201.9625,198.3707,199.5232,652172.0
2022-03-24,200.7716,202.9804,199.8497,202.8652,727656.0
2022-03-25,203.403,206.3225,203.3225,205.8711,793705.0
2022-03-26,203.403,206.3225,203.3225,205.8711,793705.0
2022-03-27,203.403,206.3225,203.3225,205.8711,793705.0
2022-03-28,205.679,206.3993,203.9504,206.14,538383.0
2022-03-29,206.14,206.6394,203.8267,206.2264,895831.0
2022-03-30,206.044,208.1279,204.8195,208.0607,602391.0
2022-03-31,208.0511,209.8277,207.715,208.0415,1075351.0
2022-04-01,208.2336,210.2311,207.4941,210.0966,1131332.0
2022-04-02,208.2336,210.2311,207.4941,210.0966,1131332.0
2022-04-03,208.2336,210.2311,207.4941,210.0966,1131332.0
2022-04-04,209.6645,209.7269,205.6214,207.9359,1046850.0
2022-04-05,207.8302,212.7184,207.8302,209.7509,923103.0
2022-04-06,210.3079,213.0161,209.847,212.9585,1203320.0
2022-04-07,213.1506,214.5911,212.632,213.8804,1101493.0
2022-04-08,214.2934,215.8396,212.1134,214.8504,1073287.0
2022-04-09,214.2934,215.8396,212.1134,214.8504,1073287.0
2022-04-10,214.2934,215.8396,212.1134,214.8504,1073287.0
2022-04-11,216.0124,217.4722,213.8612,215.0521,746639.0
2022-04-12,215.1577,218.6534,213.7076,217.0592,1258540.0
2022-04-13,216.7711,218.4709,214.207,216.6367,873861.0
2022-04-14,217.3377,219.4025,216.0893,217.0208,850742.0
2022-04-15,217.3377,219.4025,216.0893,217.0208,850742.0
2022-04-16,217.3377,219.4025,216.0893,217.0208,850742.0
2022-04-17,217.3377,219.4025,216.0893,217.0208,850742.0
2022-04-18,216.5598,218.2116,214.9272,215.513,658374.0
2022-04-19,215.273,218.3739,215.1385,217.9812,880153.0
2022-04-20,217.9331,221.837,217.9331,220.5741,890104.0
2022-04-21,220.3532,222.4132,219.0279,219.7194,861253.0
2022-04-22,219.7098,220.6894,215.0809,215.2537,1163049.0
2022-04-23,219.7098,220.6894,215.0809,215.2537,1163049.0
2022-04-24,219.7098,220.6894,215.0809,215.2537,1163049.0
2022-04-25,215.2537,216.7567,212.3055,216.0604,1308081.0
2022-04-26,215.8012,217.2609,211.2587,211.4027,1187158.0
2022-04-27,212.5456,215.5803,210.7305,213.4291,1386884.0
2022-04-28,219.2008,219.5273,213.9093,218.9415,1376593.0
2022-04-29,218.1636,220.1227,216.5982,216.8191,1366202.0
2022-04-30,218.1636,220.1227,216.5982,216.8191,1366202.0
2022-05-01,218.1636,220.1227,216.5982,216.8191,1366202.0
2022-05-02,217.7411,218.9607,207.206,208.9058,1635027.0
2022-05-03,209.4148,213.0065,209.4148,211.3451,1466379.0
2022-05-04,211.4219,216.5406,211.4219,216.3966,1287086.0
2022-05-05,215.5995,218.1684,213.8708,214.9656,1419636.0
2022-05-06,214.1782,217.8851,214.1782,217.088,1445885.0
2022-05-07,214.1782,217.8851,214.1782,217.088,1445885.0
2022-05-08,214.1782,217.8851,214.1782,217.088,1445885.0
2022-05-09,215.8396,217.8083,213.4963,214.351,1269149.0
2022-05-10,214.86,216.9104,213.0545,214.303,1426851.0
2022-05-11,213.4195,218.3221,213.3234,215.7243,1003561.0
2022-05-12,215.1193,216.8864,212.2478,213.7076,1397940.0
2022-05-13,214.5047,217.2897,212.5648,216.9536,1842169.0
2022-05-14,214.5047,217.2897,212.5648,216.9536,1842169.0
2022-05-15,214.5047,217.2897,212.5648,216.9536,1842169.0
2022-05-16,218.1348,220.5309,216.6355,220.2284,1061823.0
2022-05-17,219.7578,219.921,213.4339,216.4734,1247092.0
2022-05-18,215.8108,216.1661,198.9277,199.4559,1749373.0
2022-05-19,197.2095,199.4531,194.2773,197.8461,1635412.0
2022-05-20,199.1482,200.296,195.6855,199.6401,1320141.0
2022-05-21,199.1482,200.296,195.6855,199.6401,1320141.0
2022-05-22,199.1482,200.296,195.6855,199.6401,1320141.0
2022-05-23,202.1286,203.3343,200.1995,201.8296,976297.0
2022-05-24,202.8617,206.199,202.3119,205.8807,859778.0
2022-05-25,205.8807,206.1797,202.9292,203.9323,1174309.0
2022-05-26,204.1156,205.7842,201.8586,202.1093,1161138.0
2022-05-27,202.1672,205.0705,201.9647,205.0705,916976.0
2022-05-28,202.1672,205.0705,201.9647,205.0705,916976.0
2022-05-29,202.1672,205.0705,201.9647,205.0705,916976.0
2022-05-30,202.1672,205.0705,201.9647,205.0705,916976.0
2022-05-31,204.5882,205.4852,200.8845,204.2024,1493056.0
2022-06-01,204.4821,204.7744,200.431,202.254,1035292.0
2022-06-02,202.5241,202.6205,197.2481,201.8103,1005036.0
2022-06-03,200.9615,202.4951,199.9343,201.7621,722918.0
2022-06-04,200.9615,202.4951,199.9343,201.7621,722918.0
2022-06-05,200.9615,202.4951,199.9343,201.7621,722918.0
2022-06-06,202.6109,204.4628,202.1093,203.913,753204.0
2022-06-07,201.7332,204.3471,201.7332,204.2603,825560.0
2022-06-08,203.4115,204.5978,202.3257,203.0835,597088.0
2022-06-09,203.479,205.2055,201.9357,202.0225,769866.0
2022-06-10,200.2864,206.9706,199.4557,205.7842,1447518.0
2022-06-11,200.2864,206.9706,199.4557,205.7842,1447518.0
2022-06-12,200.2864,206.9706,199.4557,205.7842,1447518.0
2022-06-13,203.6622,205.4273,201.9743,202.6109,1468471.0
2022-06-14,204.0288,204.4242,197.8171,199.4569,1185717.0
2022-06-15,200.3153,202.7652,197.5278,198.8781,956090.0
2022-06-16,196.7658,199.071,194.4798,195.0875,1022059.0
2022-06-17,195.6952,199.1675,195.2708,198.7238,2002118.0
2022-06-18,195.6952,199.1675,195.2708,198.7238,2002118.0
2022-06-19,195.6952,199.1675,195.2708,198.7238,2002118.0
2022-06-20,195.6952,199.1675,195.2708,198.7238,2002118.0
2022-06-21,200.6529,208.2245,200.6529,207.4432,1187073.0
2022-06-22,206.3822,209.1407,204.4435,207.2793,991951.0
