,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-04-21,66.0384,68.4545,65.7818,68.1624,2553179.0
2021-04-22,68.2952,68.2952,66.3039,66.3305,2625807.0
2021-04-23,66.6491,67.9677,66.357,67.6934,1993125.0
2021-04-24,66.6491,67.9677,66.357,67.6934,1993125.0
2021-04-25,66.6491,67.9677,66.357,67.6934,1993125.0
2021-04-26,67.6934,68.5031,67.481,67.7022,1582120.0
2021-04-27,67.8704,69.335,67.6137,69.1182,1955083.0
2021-04-28,69.481,71.2864,69.3837,70.8882,2670651.0
2021-04-29,71.6847,72.8204,71.1316,71.7909,2814464.0
2021-04-30,70.8439,73.0033,70.7112,71.605,3061354.0
2021-05-01,70.8439,73.0033,70.7112,71.605,3061354.0
2021-05-02,70.8439,73.0033,70.7112,71.605,3061354.0
2021-05-03,72.7644,74.5255,72.5608,74.2866,3078223.0
2021-05-04,74.7468,75.3309,72.7755,73.4812,2867576.0
2021-05-05,74.0388,75.2955,73.26,75.2158,2899858.0
2021-05-06,75.4548,75.8707,74.437,75.7645,1661248.0
2021-05-07,74.7822,76.3663,74.5698,76.1451,1894905.0
2021-05-08,74.7822,76.3663,74.5698,76.1451,1894905.0
2021-05-09,74.7822,76.3663,74.5698,76.1451,1894905.0
2021-05-10,77.1097,77.8354,75.7114,75.7468,2567358.0
2021-05-11,74.4724,75.2335,73.1449,74.0122,2450652.0
2021-05-12,73.9768,77.508,73.9237,75.5256,3060622.0
2021-05-13,74.4724,76.2866,73.6635,74.6494,2265275.0
2021-05-14,75.4282,77.7027,75.4282,77.6142,2818396.0
2021-05-15,75.4282,77.7027,75.4282,77.6142,2818396.0
2021-05-16,75.4282,77.7027,75.4282,77.6142,2818396.0
2021-05-17,77.4283,78.7558,76.7734,78.4992,3022152.0
2021-05-18,78.4992,78.8532,76.6318,76.7823,2147671.0
2021-05-19,75.4017,76.7647,74.1892,75.8707,2669671.0
2021-05-20,75.8796,76.2247,74.3043,75.3132,3492282.0
2021-05-21,76.2076,76.9679,75.34,75.3937,2675083.0
2021-05-22,76.2076,76.9679,75.34,75.3937,2675083.0
2021-05-23,76.2076,76.9679,75.34,75.3937,2675083.0
2021-05-24,76.0288,76.6325,75.3266,76.4849,1683270.0
2021-05-25,76.0556,76.315,74.3606,74.4456,2433243.0
2021-05-26,74.7855,75.0717,74.2846,74.5708,2529140.0
2021-05-27,74.8212,75.5815,74.696,75.501,2903691.0
2021-05-28,76.0288,76.1182,74.8123,75.3311,1723076.0
2021-05-29,76.0288,76.1182,74.8123,75.3311,1723076.0
2021-05-30,76.0288,76.1182,74.8123,75.3311,1723076.0
2021-05-31,76.0288,76.1182,74.8123,75.3311,1723076.0
2021-06-01,76.8874,78.0949,76.8338,77.6835,3599887.0
2021-06-02,77.9966,80.2729,77.0127,80.1611,3142109.0
2021-06-03,79.8212,80.9214,79.0637,79.7944,2996085.0
2021-06-04,80.501,82.1692,80.0717,81.8248,3267578.0
2021-06-05,80.501,82.1692,80.0717,81.8248,3267578.0
2021-06-06,80.501,82.1692,80.0717,81.8248,3267578.0
2021-06-07,82.1289,83.891,81.9501,82.6567,3160045.0
2021-06-08,82.0395,83.8731,80.7336,82.7908,2778097.0
2021-06-09,83.6495,84.061,82.6835,82.6924,3671006.0
2021-06-10,84.0431,84.383,81.1093,81.9679,2248760.0
2021-06-11,82.5762,82.8657,81.315,81.3687,2518630.0
2021-06-12,82.5762,82.8657,81.315,81.3687,2518630.0
2021-06-13,82.5762,82.8657,81.315,81.3687,2518630.0
2021-06-14,81.7622,82.3436,80.8991,81.789,2030935.0
2021-06-15,82.3526,83.5332,81.5475,82.3794,2450089.0
2021-06-16,81.9053,82.2542,80.2953,81.1629,2188577.0
2021-06-17,80.9572,81.5207,76.9322,77.5135,3044120.0
2021-06-18,76.3776,77.2542,75.2237,75.2864,3990645.0
2021-06-19,76.3776,77.2542,75.2237,75.2864,3990645.0
2021-06-20,76.3776,77.2542,75.2237,75.2864,3990645.0
2021-06-21,76.2166,78.2828,75.9796,78.1307,2828442.0
2021-06-22,77.7461,79.1504,76.8248,78.6853,2689679.0
