,KFRC US Equity,KFRC US Equity,KFRC US Equity,KFRC US Equity,KFRC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-03-05,49.2163,50.5857,48.4377,49.3663,166617.0
2021-03-06,49.2163,50.5857,48.4377,49.3663,166617.0
2021-03-07,49.2163,50.5857,48.4377,49.3663,166617.0
2021-03-08,49.7884,51.9833,49.4112,50.8015,148704.0
2021-03-09,50.9984,51.4393,49.8119,50.1824,134820.0
2021-03-10,50.3888,51.1063,49.976,50.3512,111575.0
2021-03-11,50.323,50.7092,49.6259,50.2382,101966.0
2021-03-12,50.144,51.4063,50.144,51.1991,102733.0
2021-03-13,50.144,51.4063,50.144,51.1991,102733.0
2021-03-14,50.144,51.4063,50.144,51.1991,102733.0
2021-03-15,51.0578,51.1991,50.4455,50.8223,113442.0
2021-03-16,50.794,50.9669,48.7121,49.4752,83952.0
2021-03-17,49.4752,49.6165,49.0418,49.3904,54011.0
2021-03-18,49.381,51.0013,48.5237,50.0498,88516.0
2021-03-19,49.7295,50.0686,48.8864,49.6447,213344.0
2021-03-20,49.7295,50.0686,48.8864,49.6447,213344.0
2021-03-21,49.7295,50.0686,48.8864,49.6447,213344.0
2021-03-22,49.7484,50.0121,47.6665,48.6179,62331.0
2021-03-23,48.1846,48.6085,47.5063,47.6005,78912.0
2021-03-24,47.6665,49.0418,47.4592,47.4592,125514.0
2021-03-25,47.5158,49.5223,46.9977,49.1078,97514.0
2021-03-26,49.5129,50.5962,49.4944,50.5302,64108.0
2021-03-27,49.5129,50.5962,49.4944,50.5302,64108.0
2021-03-28,49.5129,50.5962,49.4944,50.5302,64108.0
2021-03-29,50.794,51.1082,48.799,49.4375,107547.0
2021-03-30,49.6636,50.2382,48.8063,50.1346,60489.0
2021-03-31,50.0875,50.8882,49.7484,50.4926,156342.0
2021-04-01,50.4643,51.2085,50.356,51.1426,77630.0
2021-04-02,50.4643,51.2085,50.356,51.1426,77630.0
2021-04-03,50.4643,51.2085,50.356,51.1426,77630.0
2021-04-04,50.4643,51.2085,50.356,51.1426,77630.0
2021-04-05,51.152,51.5476,50.7469,51.3121,143929.0
2021-04-06,51.3215,51.3404,50.6904,51.1426,101361.0
2021-04-07,51.2744,51.8114,50.2005,51.3027,166214.0
2021-04-08,51.3875,51.9904,50.9636,51.736,140703.0
2021-04-09,51.7737,52.2918,51.3121,52.1411,76735.0
2021-04-10,51.7737,52.2918,51.3121,52.1411,76735.0
2021-04-11,51.7737,52.2918,51.3121,52.1411,76735.0
2021-04-12,52.273,52.744,51.9339,52.3107,84680.0
2021-04-13,52.094,52.2636,51.5288,51.8962,43555.0
2021-04-14,51.8491,52.9418,51.8491,52.2165,92099.0
2021-04-15,52.1647,53.4355,51.802,52.4897,33227.0
2021-04-16,52.7911,53.7425,52.0257,53.1208,79440.0
2021-04-17,52.7911,53.7425,52.0257,53.1208,79440.0
2021-04-18,52.7911,53.7425,52.0257,53.1208,79440.0
2021-04-19,53.0643,53.0795,51.4562,52.3672,78149.0
2021-04-20,52.452,52.8382,50.9824,51.4252,74181.0
2021-04-21,51.5099,52.4581,51.5099,51.9433,46395.0
2021-04-22,52.2636,52.5273,51.5759,51.8208,90519.0
2021-04-23,52.0186,53.2339,51.7973,52.8288,88026.0
2021-04-24,52.0186,53.2339,51.7973,52.8288,88026.0
2021-04-25,52.0186,53.2339,51.7973,52.8288,88026.0
2021-04-26,52.777,53.2244,51.5759,52.0186,113722.0
2021-04-27,52.3766,52.9041,51.8585,52.6215,188752.0
2021-04-28,52.6404,53.5447,52.6121,52.9418,107537.0
2021-04-29,53.3752,53.7237,52.3954,52.7534,73437.0
2021-04-30,52.3389,53.2621,52.1034,52.7911,122868.0
2021-05-01,52.3389,53.2621,52.1034,52.7911,122868.0
2021-05-02,52.3389,53.2621,52.1034,52.7911,122868.0
2021-05-03,53.2433,54.1759,53.0104,54.0534,109621.0
2021-05-04,56.2201,58.4056,54.1759,58.1983,266261.0
2021-05-05,58.3114,58.4056,55.2404,56.0882,167615.0
2021-05-06,56.3237,56.5262,55.6078,56.2012,123606.0
2021-05-07,56.0599,56.7759,55.636,56.6817,84111.0
2021-05-08,56.0599,56.7759,55.636,56.6817,84111.0
2021-05-09,56.0599,56.7759,55.636,56.6817,84111.0
2021-05-10,56.757,57.2375,55.6266,55.7491,114955.0
2021-05-11,55.2309,55.2309,54.0723,54.628,68933.0
2021-05-12,54.5998,56.3237,53.4258,53.6012,68624.0
2021-05-13,53.8085,56.3425,53.7425,56.0599,106924.0
2021-05-14,56.286,56.9972,55.3157,56.823,68656.0
2021-05-15,56.286,56.9972,55.3157,56.823,68656.0
2021-05-16,56.286,56.9972,55.3157,56.823,68656.0
2021-05-17,56.6628,57.6991,56.0505,56.9737,166066.0
2021-05-18,56.8606,57.294,56.7005,56.8889,111838.0
2021-05-19,56.1164,56.5592,54.9578,56.1824,87326.0
2021-05-20,55.9846,56.3802,55.1179,55.5795,64267.0
2021-05-21,56.0317,56.7099,55.7962,56.2389,75430.0
2021-05-22,56.0317,56.7099,55.7962,56.2389,75430.0
2021-05-23,56.0317,56.7099,55.7962,56.2389,75430.0
2021-05-24,56.3802,57.3693,56.1259,57.0867,48514.0
2021-05-25,56.8795,57.4871,55.344,55.4853,91312.0
2021-05-26,56.5121,58.7259,56.2766,57.9534,169870.0
2021-05-27,58.415,59.6961,58.415,59.3099,121863.0
2021-05-28,59.6961,59.6961,58.2548,59.0744,76278.0
2021-05-29,59.6961,59.6961,58.2548,59.0744,76278.0
2021-05-30,59.6961,59.6961,58.2548,59.0744,76278.0
2021-05-31,59.6961,59.6961,58.2548,59.0744,76278.0
2021-06-01,59.9882,60.3744,59.3476,60.0635,105278.0
2021-06-02,60.4498,60.6429,58.9519,59.1027,126761.0
2021-06-03,59.1027,59.7621,58.594,58.9614,71723.0
2021-06-04,58.9802,60.2859,58.2548,58.9802,58226.0
2021-06-05,58.9802,60.2859,58.2548,58.9802,58226.0
2021-06-06,58.9802,60.2859,58.2548,58.9802,58226.0
2021-06-07,59.2817,59.5737,58.4433,59.2628,59071.0
2021-06-08,59.2063,60.0824,58.5563,60.0353,64067.0
2021-06-09,60.2143,60.2143,59.1121,59.4135,67756.0
2021-06-10,59.6405,59.9241,58.6572,59.1961,49434.0
2021-06-11,59.5554,59.6216,58.779,59.2434,43381.0
2021-06-12,59.5554,59.6216,58.779,59.2434,43381.0
2021-06-13,59.5554,59.6216,58.779,59.2434,43381.0
2021-06-14,59.3379,59.7823,59.0165,59.4136,40375.0
2021-06-15,59.3663,59.9147,59.1583,59.423,117604.0
2021-06-16,59.1299,59.1299,57.6361,58.487,110176.0
2021-06-17,58.487,58.6808,57.1066,57.5793,73188.0
2021-06-18,56.284,56.3408,55.0786,55.6127,186309.0
2021-06-19,56.284,56.3408,55.0786,55.6127,186309.0
2021-06-20,56.284,56.3408,55.0786,55.6127,186309.0
2021-06-21,56.0193,57.6433,56.0193,57.4091,81144.0
2021-06-22,57.447,58.1088,56.5109,58.0804,63009.0
2021-06-23,58.2412,58.8841,57.6904,57.9386,95138.0
2021-06-24,58.2601,58.843,57.2957,58.4586,48068.0
2021-06-25,58.695,59.6586,58.5343,58.7801,154355.0
2021-06-26,58.695,59.6586,58.5343,58.7801,154355.0
2021-06-27,58.695,59.6586,58.5343,58.7801,154355.0
2021-06-28,59.0259,59.0259,58.0332,58.6666,88661.0
2021-06-29,58.7517,60.775,58.7517,60.3212,138816.0
2021-06-30,60.0565,60.0565,59.1961,59.4986,114025.0
2021-07-01,59.9525,60.0943,59.3766,59.9052,122981.0
2021-07-02,59.735,60.4819,59.6121,59.7445,94566.0
2021-07-03,59.735,60.4819,59.6121,59.7445,94566.0
2021-07-04,59.735,60.4819,59.6121,59.7445,94566.0
2021-07-05,59.735,60.4819,59.6121,59.7445,94566.0
2021-07-06,59.6972,59.6972,56.5582,57.7401,125878.0
2021-07-07,57.6266,58.9597,57.6266,58.5059,93026.0
2021-07-08,57.4659,58.3357,56.8513,57.8441,73364.0
2021-07-09,58.6288,59.111,58.3641,58.8841,67198.0
2021-07-10,58.6288,59.111,58.3641,58.8841,67198.0
2021-07-11,58.6288,59.111,58.3641,58.8841,67198.0
2021-07-12,58.8557,59.0543,58.4681,58.7706,67599.0
2021-07-13,58.7706,58.9597,58.2412,58.4586,102891.0
2021-07-14,58.5532,59.6026,58.5532,59.111,68068.0
2021-07-15,58.8557,58.9408,58.0521,58.383,60391.0
2021-07-16,58.799,58.8463,56.7095,56.8419,90069.0
2021-07-17,58.799,58.8463,56.7095,56.8419,90069.0
2021-07-18,58.799,58.8463,56.7095,56.8419,90069.0
2021-07-19,56.2888,56.7662,55.1211,55.5844,132445.0
2021-07-20,55.6033,57.6833,55.6033,56.6055,112327.0
2021-07-21,57.0971,57.551,56.3786,56.8324,77265.0
2021-07-22,56.7757,56.7757,54.9036,55.7262,100352.0
2021-07-23,56.3975,57.9386,55.3669,57.3146,145083.0
2021-07-24,56.3975,57.9386,55.3669,57.3146,145083.0
2021-07-25,56.3975,57.9386,55.3669,57.3146,145083.0
2021-07-26,57.2673,57.6833,56.9459,57.4281,60105.0
2021-07-27,57.0499,58.2506,57.0499,57.7495,65620.0
2021-07-28,57.8913,58.5863,56.96,58.2506,79718.0
2021-07-29,58.5059,59.4183,58.5059,59.0448,61117.0
