,VRTS US Equity,VRTS US Equity,VRTS US Equity,VRTS US Equity,VRTS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-22,114.0966,116.1057,113.4682,115.2029,92884.0
2020-01-23,114.964,115.0613,112.9061,114.8312,50000.0
2020-01-24,114.7604,114.7604,111.3794,112.353,68339.0
2020-01-25,114.7604,114.7604,111.3794,112.353,68339.0
2020-01-26,114.7604,114.7604,111.3794,112.353,68339.0
2020-01-27,109.9809,112.322,109.6313,111.282,103494.0
2020-01-28,112.0255,112.7734,110.3084,112.1317,66337.0
2020-01-29,112.2733,113.2026,110.9368,111.9458,119219.0
2020-01-30,111.1005,112.8178,108.7114,112.5864,92949.0
2020-01-31,114.3838,114.3838,106.9381,109.4721,149650.0
2020-02-01,114.3838,114.3838,106.9381,109.4721,149650.0
2020-02-02,114.3838,114.3838,106.9381,109.4721,149650.0
2020-02-03,113.7165,114.5173,111.0605,112.889,232466.0
2020-02-04,114.1436,115.5717,113.1114,115.5584,161139.0
2020-02-05,116.5638,120.123,115.719,120.0252,103828.0
2020-02-06,120.6658,121.5467,120.0309,120.5146,39880.0
2020-02-07,119.9807,120.7548,117.8185,119.4468,45040.0
2020-02-08,119.9807,120.7548,117.8185,119.4468,45040.0
2020-02-09,119.9807,120.7548,117.8185,119.4468,45040.0
2020-02-10,119.3667,123.264,117.5515,122.9081,135767.0
2020-02-11,123.2196,126.1603,122.8369,123.4954,107283.0
2020-02-12,124.6432,125.3417,123.1039,123.2018,82174.0
2020-02-13,122.5878,123.8068,121.0039,121.084,56971.0
2020-02-14,121.1196,121.9382,118.7617,121.0751,218739.0
2020-02-15,121.1196,121.9382,118.7617,121.0751,218739.0
2020-02-16,121.1196,121.9382,118.7617,121.0751,218739.0
2020-02-17,121.1196,121.9382,118.7617,121.0751,218739.0
2020-02-18,121.7158,121.8937,117.8363,119.8739,47002.0
2020-02-19,120.3188,122.2497,119.8072,122.0984,54735.0
2020-02-20,121.6713,123.3975,121.5556,122.3298,37316.0
2020-02-21,121.9293,121.9382,119.2066,119.7493,57877.0
2020-02-22,121.9293,121.9382,119.2066,119.7493,57877.0
2020-02-23,121.9293,121.9382,119.2066,119.7493,57877.0
2020-02-24,115.2113,115.7452,111.6521,112.6665,79551.0
2020-02-25,112.6665,113.0135,108.0885,109.2586,67929.0
2020-02-26,109.8814,111.5899,106.0553,107.2476,47473.0
2020-02-27,105.0053,108.2531,99.7644,104.16,53074.0
