,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-03-07,4466.65,4644.0,4378.485,4624.62,18659.0
2021-03-08,4638.47,4771.99,4622.47,4699.76,18704.0
2021-03-09,4742.61,4784.77,4683.875,4702.09,16924.0
2021-03-10,4731.41,4823.0,4688.75,4776.41,21270.0
2021-03-11,4733.5,4832.8,4571.05,4584.74,29462.0
2021-03-12,4564.44,4564.44,4450.01,4538.83,27565.0
2021-03-13,4564.44,4564.44,4450.01,4538.83,27565.0
2021-03-14,4564.44,4564.44,4450.01,4538.83,27565.0
2021-03-15,4540.08,4674.99,4497.563,4670.25,18762.0
2021-03-16,4645.74,4740.0,4629.04,4629.04,20723.0
2021-03-17,4600.0,4701.645,4529.0,4662.33,32459.0
2021-03-18,4635.73,4645.44,4380.02,4421.85,37848.0
2021-03-19,4402.1,4570.0,4363.32,4434.99,73349.0
2021-03-20,4402.1,4570.0,4363.32,4434.99,73349.0
2021-03-21,4402.1,4570.0,4363.32,4434.99,73349.0
2021-03-22,4430.01,4515.0,4397.615,4503.64,32503.0
2021-03-23,4480.81,4565.0,4438.87,4463.1,15956.0
2021-03-24,4473.23,4604.98,4465.0,4539.65,24564.0
2021-03-25,4495.2,4600.0,4442.56,4567.86,19438.0
2021-03-26,4569.04,4749.99,4561.52,4722.74,23087.0
2021-03-27,4569.04,4749.99,4561.52,4722.74,23087.0
2021-03-28,4569.04,4749.99,4561.52,4722.74,23087.0
2021-03-29,4730.0,4753.32,4666.7,4668.26,18505.0
2021-03-30,4655.68,4740.83,4628.695,4706.11,16932.0
2021-03-31,4670.28,4775.0,4670.28,4710.93,24251.0
2021-04-01,4740.005,4810.22,4705.01,4785.18,15334.0
2021-04-02,4740.005,4810.22,4705.01,4785.18,15334.0
2021-04-03,4740.005,4810.22,4705.01,4785.18,15334.0
2021-04-04,4740.005,4810.22,4705.01,4785.18,15334.0
2021-04-05,4810.63,4844.86,4790.11,4827.44,14755.0
2021-04-06,4815.2,4849.49,4720.02,4837.78,14037.0
2021-04-07,4840.99,4874.64,4758.91,4776.41,19451.0
2021-04-08,4768.85,4799.99,4748.32,4748.49,11883.0
2021-04-09,4776.69,4922.69,4724.7,4902.13,21097.0
2021-04-10,4776.69,4922.69,4724.7,4902.13,21097.0
2021-04-11,4776.69,4922.69,4724.7,4902.13,21097.0
2021-04-12,4900.3,4944.98,4838.32,4873.73,20626.0
2021-04-13,4844.22,4888.0,4762.5,4821.02,21569.0
2021-04-14,4784.0,4859.72,4784.0,4821.44,13198.0
2021-04-15,4850.0,4891.72,4800.0,4844.22,11752.0
2021-04-16,4880.0,5008.36,4880.0,4984.85,26555.0
