,EA US Equity,EA US Equity,EA US Equity,EA US Equity,EA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-02-23,126.2083,127.5604,124.8266,125.0635,1908796.0
2022-02-24,122.2902,126.001,122.1816,125.8333,2083595.0
2022-02-25,126.6623,127.3433,125.2016,127.0274,2058616.0
2022-02-26,126.6623,127.3433,125.2016,127.0274,2058616.0
2022-02-27,126.6623,127.3433,125.2016,127.0274,2058616.0
2022-02-28,126.0899,129.7711,126.0899,128.3894,3489109.0
2022-03-01,128.8434,129.8718,125.8629,126.4748,1420351.0
2022-03-02,126.5636,128.0242,125.9517,127.5703,1641760.0
2022-03-03,128.4881,128.6911,125.7642,126.1688,1305810.0
2022-03-04,125.1227,126.0208,124.5897,124.8365,1845592.0
2022-03-05,125.1227,126.0208,124.5897,124.8365,1845592.0
2022-03-06,125.1227,126.0208,124.5897,124.8365,1845592.0
2022-03-07,124.8167,126.8695,123.435,124.6095,2060195.0
2022-03-08,124.0066,124.392,120.7651,121.2296,2211699.0
2022-03-09,122.5835,124.4809,121.8423,124.0461,2139504.0
2022-03-10,123.1666,124.497,121.2197,122.2277,1222004.0
2022-03-11,123.1666,123.9868,120.7354,120.8936,1195222.0
2022-03-12,123.1666,123.9868,120.7354,120.8936,1195222.0
2022-03-13,123.1666,123.9868,120.7354,120.8936,1195222.0
2022-03-14,120.7453,120.9924,116.8516,117.7311,1968240.0
2022-03-15,117.741,119.6879,116.1993,119.3815,1815930.0
2022-03-16,119.8658,122.4352,119.7077,122.3463,1627844.0
2022-03-17,121.9905,123.7694,121.2296,123.7101,1297256.0
2022-03-18,122.8108,124.9948,121.9411,124.7972,2653589.0
2022-03-19,122.8108,124.9948,121.9411,124.7972,2653589.0
2022-03-20,122.8108,124.9948,121.9411,124.7972,2653589.0
2022-03-21,123.6212,124.9158,123.1742,124.0856,1222219.0
2022-03-22,124.4711,126.6749,123.2851,126.4278,1710095.0
2022-03-23,125.8843,126.5563,122.6033,123.1764,2158381.0
2022-03-24,123.5915,124.0955,122.1783,124.0955,2273433.0
2022-03-25,124.5501,126.0127,123.8287,125.825,1315571.0
2022-03-26,124.5501,126.0127,123.8287,125.825,1315571.0
2022-03-27,124.5501,126.0127,123.8287,125.825,1315571.0
2022-03-28,126.1709,126.6156,124.6687,126.5365,1065951.0
2022-03-29,127.7125,128.1968,125.8052,127.3172,1495354.0
2022-03-30,126.5266,127.3568,125.6372,126.1807,1096969.0
2022-03-31,126.6749,126.6848,124.3722,125.0245,1750974.0
2022-04-01,125.3605,125.6965,121.8917,123.7595,2193977.0
2022-04-02,125.3605,125.6965,121.8917,123.7595,2193977.0
2022-04-03,125.3605,125.6965,121.8917,123.7595,2193977.0
2022-04-04,124.3327,127.0504,123.977,126.5168,1522626.0
2022-04-05,125.657,127.2184,124.0263,124.3821,1012427.0
2022-04-06,123.7892,125.4988,122.8997,123.384,1972003.0
2022-04-07,123.4729,123.8682,121.0912,121.951,1758031.0
2022-04-08,121.4371,123.1073,120.7947,122.0301,1282430.0
2022-04-09,121.4371,123.1073,120.7947,122.0301,1282430.0
2022-04-10,121.4371,123.1073,120.7947,122.0301,1282430.0
2022-04-11,121.7731,123.2555,120.8936,121.1406,1793128.0
2022-04-12,121.9214,123.0875,121.5063,122.119,2581850.0
2022-04-13,122.5341,122.6922,120.8442,122.1684,1532550.0
2022-04-14,122.1783,122.5044,119.7673,121.1604,2036378.0
2022-04-15,122.1783,122.5044,119.7673,121.1604,2036378.0
