,L US Equity,L US Equity,L US Equity,L US Equity,L US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2023-06-06,58.369,58.807,58.219,58.468,651480.0
2023-06-07,58.478,59.765,58.299,59.555,620111.0
2023-06-08,59.486,59.645,58.638,59.156,536785.0
2023-06-09,58.997,59.426,58.648,59.176,470654.0
2023-06-10,58.997,59.426,58.648,59.176,470654.0
2023-06-11,58.997,59.426,58.648,59.176,470654.0
2023-06-12,58.937,59.306,58.458,58.718,617456.0
2023-06-13,58.777,59.635,58.508,59.087,625926.0
2023-06-14,59.276,59.454,57.7,57.96,814447.0
2023-06-15,57.95,58.688,57.77,58.678,914924.0
2023-06-16,59.047,59.107,58.324,58.408,2988284.0
2023-06-17,59.047,59.107,58.324,58.408,2988284.0
2023-06-18,59.047,59.107,58.324,58.408,2988284.0
2023-06-19,59.047,59.107,58.324,58.408,2988284.0
2023-06-20,58.159,58.219,57.312,57.93,809386.0
2023-06-21,57.641,58.428,57.341,58.069,688773.0
2023-06-22,58.239,58.259,57.77,58.059,580364.0
2023-06-23,57.621,58.049,57.391,57.74,1098289.0
2023-06-24,57.621,58.049,57.391,57.74,1098289.0
2023-06-25,57.621,58.049,57.391,57.74,1098289.0
2023-06-26,57.81,58.468,57.581,58.159,766648.0
2023-06-27,58.309,58.987,58.229,58.787,450467.0
2023-06-28,58.488,58.488,57.84,58.059,691859.0
2023-06-29,58.099,59.107,58.049,58.947,775343.0
2023-06-30,59.256,59.62,59.027,59.216,619811.0
2023-07-01,59.256,59.62,59.027,59.216,619811.0
2023-07-02,59.256,59.62,59.027,59.216,619811.0
2023-07-03,59.037,60.004,59.037,59.555,308961.0
2023-07-04,59.037,60.004,59.037,59.555,308961.0
2023-07-05,59.077,59.595,58.648,59.505,686753.0
2023-07-06,59.087,59.924,59.017,59.795,585528.0
2023-07-07,59.625,61.021,59.406,60.283,1176603.0
2023-07-08,59.625,61.021,59.406,60.283,1176603.0
2023-07-09,59.625,61.021,59.406,60.283,1176603.0
2023-07-10,60.104,60.513,59.326,59.376,751874.0
2023-07-11,59.486,60.393,59.486,60.373,560347.0
2023-07-12,60.862,61.051,60.134,60.283,681002.0
2023-07-13,59.575,60.513,59.575,60.323,511252.0
2023-07-14,60.463,60.463,59.206,59.276,739359.0
2023-07-15,60.463,60.463,59.206,59.276,739359.0
2023-07-16,60.463,60.463,59.206,59.276,739359.0
2023-07-17,59.286,60.383,59.286,59.944,400489.0
2023-07-18,59.765,60.637,59.745,60.174,548793.0
2023-07-19,60.094,60.712,60.084,60.473,613107.0
2023-07-20,60.892,61.689,60.702,61.65,440538.0
2023-07-21,61.849,61.849,61.31,61.33,437084.0
2023-07-22,61.849,61.849,61.31,61.33,437084.0
2023-07-23,61.849,61.849,61.31,61.33,437084.0
2023-07-24,61.141,61.62,61.001,61.31,341241.0
2023-07-25,61.31,61.31,60.812,60.832,432003.0
2023-07-26,61.041,61.719,61.041,61.46,397186.0
2023-07-27,61.779,62.138,61.251,61.869,652233.0
2023-07-28,62.597,62.597,61.919,62.019,506562.0
2023-07-29,62.597,62.597,61.919,62.019,506562.0
2023-07-30,62.597,62.597,61.919,62.019,506562.0
2023-07-31,63.006,63.754,62.298,62.477,758846.0
2023-08-01,62.507,62.816,61.929,62.786,546228.0
2023-08-02,62.527,63.255,62.348,62.697,502477.0
2023-08-03,62.637,63.405,62.238,63.145,543662.0
2023-08-04,63.325,63.654,62.622,62.747,629745.0
2023-08-05,63.325,63.654,62.622,62.747,629745.0
2023-08-06,63.325,63.654,62.622,62.747,629745.0
2023-08-07,63.185,63.694,63.106,63.325,541705.0
2023-08-08,62.806,63.514,62.557,63.435,543307.0
2023-08-09,63.385,63.704,62.906,62.996,502640.0
2023-08-10,63.385,63.749,62.627,62.766,685529.0
2023-08-11,62.747,63.265,62.407,63.245,427749.0
2023-08-12,62.747,63.265,62.407,63.245,427749.0
2023-08-13,62.747,63.265,62.407,63.245,427749.0
2023-08-14,63.135,63.135,62.348,62.766,880497.0
2023-08-15,62.3,62.43,62.0,62.24,504124.0
2023-08-16,62.25,62.759,62.25,62.33,587208.0
2023-08-17,62.739,62.744,61.451,61.501,577421.0
2023-08-18,61.302,61.711,61.272,61.481,1012837.0
2023-08-19,61.302,61.711,61.272,61.481,1012837.0
2023-08-20,61.302,61.711,61.272,61.481,1012837.0
2023-08-21,61.631,61.851,61.252,61.591,569765.0
2023-08-22,61.541,61.9,61.222,61.272,416112.0
2023-08-23,61.292,61.861,61.292,61.851,484184.0
2023-08-24,61.621,62.539,61.621,61.98,446491.0
2023-08-25,62.03,62.25,61.581,61.95,354130.0
2023-08-26,62.03,62.25,61.581,61.95,354130.0
2023-08-27,62.03,62.25,61.581,61.95,354130.0
2023-08-28,62.02,62.579,61.741,62.12,404295.0
2023-08-29,62.3,62.3,61.641,62.16,482944.0
2023-08-30,62.19,62.529,61.92,61.95,399757.0
2023-08-31,62.22,62.23,61.601,61.98,966519.0
2023-09-01,62.469,62.639,62.17,62.19,471381.0
2023-09-02,62.469,62.639,62.17,62.19,471381.0
2023-09-03,62.469,62.639,62.17,62.19,471381.0
2023-09-04,62.469,62.639,62.17,62.19,471381.0
2023-09-05,62.02,62.799,61.621,61.621,880789.0
2023-09-06,61.361,61.881,61.182,61.611,754882.0
2023-09-07,61.871,62.17,61.631,61.94,1489691.0
2023-09-08,61.98,62.699,61.841,62.32,841429.0
2023-09-09,61.98,62.699,61.841,62.32,841429.0
2023-09-10,61.98,62.699,61.841,62.32,841429.0
2023-09-11,62.699,63.273,62.659,62.779,762698.0
2023-09-12,62.919,63.924,62.859,63.897,866594.0
2023-09-13,64.206,64.236,63.687,63.697,1369234.0
2023-09-14,64.216,64.586,63.967,64.426,955582.0
2023-09-15,63.987,64.706,63.847,64.137,2695999.0
2023-09-16,63.987,64.706,63.847,64.137,2695999.0
2023-09-17,63.987,64.706,63.847,64.137,2695999.0
2023-09-18,64.296,64.516,63.887,64.446,763317.0
2023-09-19,64.656,65.2,64.456,64.965,926583.0
2023-09-20,65.045,65.275,64.805,64.855,703282.0
2023-09-21,64.715,64.845,64.007,64.077,960114.0
2023-09-22,64.057,64.784,63.997,64.386,848392.0
2023-09-23,64.057,64.784,63.997,64.386,848392.0
2023-09-24,64.057,64.784,63.997,64.386,848392.0
2023-09-25,64.037,64.656,63.957,64.576,526818.0
2023-09-26,64.316,64.661,63.707,63.807,1061385.0
2023-09-27,64.007,64.027,63.308,63.687,799872.0
2023-09-28,63.867,64.296,63.657,63.777,931153.0
2023-09-29,63.787,63.792,62.919,63.198,922755.0
2023-09-30,63.787,63.792,62.919,63.198,922755.0
2023-10-01,63.787,63.792,62.919,63.198,922755.0
2023-10-02,63.058,63.088,61.701,62.19,913350.0
2023-10-03,62.02,62.679,61.501,61.711,834806.0
2023-10-04,61.591,62.529,61.322,62.45,797002.0
2023-10-05,62.32,63.128,62.32,62.709,606550.0
2023-10-06,62.579,63.388,62.549,63.158,665811.0
2023-10-07,62.579,63.388,62.549,63.158,665811.0
2023-10-08,62.579,63.388,62.549,63.158,665811.0
2023-10-09,62.919,63.757,62.919,63.558,525701.0
2023-10-10,63.657,63.897,63.258,63.408,632254.0
2023-10-11,63.358,64.366,63.358,64.176,789942.0
2023-10-12,64.396,64.396,63.218,63.488,517377.0
2023-10-13,63.947,64.316,63.318,63.697,655099.0
2023-10-14,63.947,64.316,63.318,63.697,655099.0
2023-10-15,63.947,64.316,63.318,63.697,655099.0
2023-10-16,64.216,65.05,64.216,64.556,558121.0
2023-10-17,64.386,65.644,64.386,65.384,563379.0
2023-10-18,65.215,65.354,64.566,64.835,693875.0
2023-10-19,64.656,65.005,63.917,63.967,690601.0
2023-10-20,64.007,64.266,62.689,62.839,692181.0
2023-10-21,64.007,64.266,62.689,62.839,692181.0
2023-10-22,64.007,64.266,62.689,62.839,692181.0
2023-10-23,62.699,62.879,62.12,62.21,476445.0
2023-10-24,62.669,63.328,62.669,63.178,662216.0
2023-10-25,63.188,64.226,63.093,63.687,692702.0
2023-10-26,63.897,64.461,63.792,63.867,883014.0
2023-10-27,63.657,63.767,62.43,62.709,666086.0
2023-10-28,63.657,63.767,62.43,62.709,666086.0
2023-10-29,63.657,63.767,62.43,62.709,666086.0
2023-10-30,62.07,63.568,62.07,62.819,764186.0
2023-10-31,63.208,63.917,63.118,63.897,819603.0
2023-11-01,64.017,65.065,63.947,65.035,1022372.0
2023-11-02,65.145,65.684,64.366,65.025,883922.0
2023-11-03,65.374,65.806,65.115,65.674,688679.0
2023-11-04,65.374,65.806,65.115,65.674,688679.0
2023-11-05,65.374,65.806,65.115,65.674,688679.0
2023-11-06,65.704,65.704,65.145,65.284,618598.0
2023-11-07,65.175,65.394,65.015,65.304,547004.0
2023-11-08,65.464,65.464,64.725,64.825,519220.0
2023-11-09,64.965,65.354,64.855,65.135,483428.0
2023-11-10,65.414,65.794,65.125,65.774,506543.0
2023-11-11,65.414,65.794,65.125,65.774,506543.0
2023-11-12,65.414,65.794,65.125,65.774,506543.0
2023-11-13,65.764,66.223,65.586,65.853,679581.0
2023-11-14,65.824,66.532,65.804,66.323,1310976.0
2023-11-15,66.343,66.742,66.043,66.412,776253.0
2023-11-16,66.572,67.101,66.572,66.942,766604.0
2023-11-17,67.091,67.341,66.862,66.882,797310.0
2023-11-18,67.091,67.341,66.862,66.882,797310.0
2023-11-19,67.091,67.341,66.862,66.882,797310.0
2023-11-20,66.852,67.67,66.482,67.371,824082.0
2023-11-21,67.443,68.332,67.443,68.033,904748.0
2023-11-22,67.843,68.562,67.803,68.442,722989.0
2023-11-23,67.843,68.562,67.803,68.442,722989.0
2023-11-24,68.512,69.312,68.512,69.242,563840.0
2023-11-25,68.512,69.312,68.512,69.242,563840.0
2023-11-26,68.512,69.312,68.512,69.242,563840.0
2023-11-27,68.932,69.342,68.849,69.122,859895.0
2023-11-28,69.182,69.252,68.442,68.582,905125.0
2023-11-29,68.652,68.942,68.412,68.452,1136326.0
2023-11-30,68.512,70.391,68.412,70.231,6165240.0
2023-12-01,70.021,70.581,69.861,69.951,1356775.0
2023-12-02,70.021,70.581,69.861,69.951,1356775.0
2023-12-03,70.021,70.581,69.861,69.951,1356775.0
2023-12-04,69.641,70.785,69.452,70.661,951726.0
2023-12-05,70.581,70.815,70.141,70.281,745583.0
2023-12-06,70.391,70.681,69.242,69.422,592376.0
2023-12-07,69.721,69.886,68.512,68.762,1012487.0
2023-12-08,68.802,68.882,68.422,68.782,618350.0
2023-12-09,68.802,68.882,68.422,68.782,618350.0
2023-12-10,68.802,68.882,68.422,68.782,618350.0
2023-12-11,68.832,69.791,68.832,69.661,736222.0
2023-12-12,69.591,70.319,69.502,69.881,652217.0
2023-12-13,69.851,70.341,69.641,70.271,1025991.0
2023-12-14,70.371,70.371,68.492,68.632,1832530.0
2023-12-15,68.033,68.253,67.143,67.943,3219447.0
2023-12-16,68.033,68.253,67.143,67.943,3219447.0
2023-12-17,68.033,68.253,67.143,67.943,3219447.0
2023-12-18,68.253,68.602,67.873,68.442,1063059.0
2023-12-19,68.372,68.982,68.144,68.842,1012655.0
2023-12-20,68.592,69.022,67.973,68.053,783714.0
2023-12-21,68.043,68.502,67.793,68.462,489677.0
2023-12-22,68.742,68.962,68.522,68.742,436873.0
2023-12-23,68.742,68.962,68.522,68.742,436873.0
2023-12-24,68.742,68.962,68.522,68.742,436873.0
2023-12-25,68.742,68.962,68.522,68.742,436873.0
2023-12-26,68.642,69.162,68.432,68.932,416335.0
2023-12-27,68.752,69.192,68.702,69.122,432172.0
2023-12-28,69.182,69.581,69.182,69.412,409673.0
2023-12-29,69.502,69.636,69.132,69.531,611348.0
2023-12-30,69.502,69.636,69.132,69.531,611348.0
2023-12-31,69.502,69.636,69.132,69.531,611348.0
2024-01-01,69.502,69.636,69.132,69.531,611348.0
2024-01-02,69.591,70.421,69.581,70.401,774071.0
2024-01-03,70.431,70.97,70.171,70.211,709660.0
2024-01-04,70.661,71.16,70.621,70.641,657463.0
2024-01-05,70.84,71.43,70.71,71.13,683425.0
2024-01-06,70.84,71.43,70.71,71.13,683425.0
2024-01-07,70.84,71.43,70.71,71.13,683425.0
2024-01-08,71.25,71.35,70.451,71.2,532197.0
