,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity,NBL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-01-28,8.16,8.51,8.12,8.46,12416488.0
2021-01-29,8.16,8.51,8.12,8.46,12416488.0
2021-01-30,8.16,8.51,8.12,8.46,12416488.0
2021-01-31,8.16,8.51,8.12,8.46,12416488.0
2021-02-01,8.16,8.51,8.12,8.46,12416488.0
2021-02-02,8.16,8.51,8.12,8.46,12416488.0
2021-02-03,8.16,8.51,8.12,8.46,12416488.0
2021-02-04,8.16,8.51,8.12,8.46,12416488.0
2021-02-05,8.16,8.51,8.12,8.46,12416488.0
2021-02-06,8.16,8.51,8.12,8.46,12416488.0
2021-02-07,8.16,8.51,8.12,8.46,12416488.0
2021-02-08,8.16,8.51,8.12,8.46,12416488.0
2021-02-09,8.16,8.51,8.12,8.46,12416488.0
2021-02-10,8.16,8.51,8.12,8.46,12416488.0
2021-02-11,8.16,8.51,8.12,8.46,12416488.0
2021-02-12,8.16,8.51,8.12,8.46,12416488.0
2021-02-13,8.16,8.51,8.12,8.46,12416488.0
2021-02-14,8.16,8.51,8.12,8.46,12416488.0
2021-02-15,8.16,8.51,8.12,8.46,12416488.0
2021-02-16,8.16,8.51,8.12,8.46,12416488.0
2021-02-17,8.16,8.51,8.12,8.46,12416488.0
2021-02-18,8.16,8.51,8.12,8.46,12416488.0
2021-02-19,8.16,8.51,8.12,8.46,12416488.0
2021-02-20,8.16,8.51,8.12,8.46,12416488.0
2021-02-21,8.16,8.51,8.12,8.46,12416488.0
2021-02-22,8.16,8.51,8.12,8.46,12416488.0
2021-02-23,8.16,8.51,8.12,8.46,12416488.0
2021-02-24,8.16,8.51,8.12,8.46,12416488.0
2021-02-25,8.16,8.51,8.12,8.46,12416488.0
2021-02-26,8.16,8.51,8.12,8.46,12416488.0
2021-02-27,8.16,8.51,8.12,8.46,12416488.0
2021-02-28,8.16,8.51,8.12,8.46,12416488.0
2021-03-01,8.16,8.51,8.12,8.46,12416488.0
2021-03-02,8.16,8.51,8.12,8.46,12416488.0
2021-03-03,8.16,8.51,8.12,8.46,12416488.0
2021-03-04,8.16,8.51,8.12,8.46,12416488.0
2021-03-05,8.16,8.51,8.12,8.46,12416488.0
2021-03-06,8.16,8.51,8.12,8.46,12416488.0
2021-03-07,8.16,8.51,8.12,8.46,12416488.0
2021-03-08,8.16,8.51,8.12,8.46,12416488.0
2021-03-09,8.16,8.51,8.12,8.46,12416488.0
2021-03-10,8.16,8.51,8.12,8.46,12416488.0
2021-03-11,8.16,8.51,8.12,8.46,12416488.0
2021-03-12,8.16,8.51,8.12,8.46,12416488.0
2021-03-13,8.16,8.51,8.12,8.46,12416488.0
2021-03-14,8.16,8.51,8.12,8.46,12416488.0
2021-03-15,8.16,8.51,8.12,8.46,12416488.0
2021-03-16,8.16,8.51,8.12,8.46,12416488.0
