,UPBD US Equity,UPBD US Equity,UPBD US Equity,UPBD US Equity,UPBD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-11-20,20.6152,21.0104,20.0108,20.3549,442301.0
2022-11-21,20.0759,20.1354,19.7597,19.8806,491208.0
2022-11-22,19.9178,20.8477,19.9178,20.6338,431066.0
2022-11-23,20.6152,21.1685,20.5408,20.8198,327804.0
2022-11-24,20.6152,21.1685,20.5408,20.8198,327804.0
2022-11-25,20.8384,20.9314,20.4525,20.7733,186565.0
2022-11-26,20.8384,20.9314,20.4525,20.7733,186565.0
2022-11-27,20.8384,20.9314,20.4525,20.7733,186565.0
2022-11-28,20.5873,21.1546,20.2712,21.0244,640693.0
2022-11-29,21.201,21.6288,20.95,21.5451,419742.0
2022-11-30,21.4521,22.4285,21.1174,22.4006,719471.0
2022-12-01,22.3169,23.0701,21.8055,21.852,567110.0
2022-12-02,21.3963,22.1449,21.3591,21.9635,693522.0
2022-12-03,21.3963,22.1449,21.3591,21.9635,693522.0
2022-12-04,21.3963,22.1449,21.3591,21.9635,693522.0
2022-12-05,22.475,22.8655,21.3684,21.5544,662382.0
2022-12-06,21.3777,22.0658,21.2103,21.9914,709761.0
2022-12-07,22.1309,22.1867,21.5544,21.9356,564206.0
2022-12-08,22.0658,22.6516,21.8002,22.0472,560251.0
2022-12-09,21.6939,22.2518,21.4056,22.0379,563857.0
2022-12-10,21.6939,22.2518,21.4056,22.0379,563857.0
2022-12-11,21.6939,22.2518,21.4056,22.0379,563857.0
2022-12-12,22.4657,23.5071,22.3727,23.4885,819770.0
2022-12-13,24.2696,24.5858,22.3634,22.382,1027864.0
2022-12-14,21.9542,22.8469,21.9263,22.4564,663612.0
2022-12-15,22.0751,22.1821,21.5823,22.0193,587841.0
2022-12-16,21.573,21.7776,21.2475,21.4614,2707405.0
2022-12-17,21.573,21.7776,21.2475,21.4614,2707405.0
2022-12-18,21.573,21.7776,21.2475,21.4614,2707405.0
2022-12-19,21.6313,22.122,20.8196,20.8951,832267.0
2022-12-20,20.7064,21.3293,20.461,20.7064,582943.0
2022-12-21,21.0839,21.7728,20.914,21.7162,387233.0
2022-12-22,21.452,21.669,20.914,21.452,520306.0
2022-12-23,21.5463,21.6407,21.0697,21.367,580768.0
2022-12-24,21.5463,21.6407,21.0697,21.367,580768.0
2022-12-25,21.5463,21.6407,21.0697,21.367,580768.0
2022-12-26,21.5463,21.6407,21.0697,21.367,580768.0
2022-12-27,21.4897,21.905,21.0745,21.2915,493908.0
2022-12-28,21.3104,21.4708,20.5082,20.8479,670989.0
2022-12-29,20.9329,21.5652,20.763,21.2443,420092.0
2022-12-30,20.914,21.3246,20.6592,21.2821,641794.0
2022-12-31,20.914,21.3246,20.6592,21.2821,641794.0
2023-01-01,20.914,21.3246,20.6592,21.2821,641794.0
2023-01-02,20.914,21.3246,20.6592,21.2821,641794.0
2023-01-03,21.4803,21.8106,20.8385,20.9801,511630.0
2023-01-04,21.2349,22.2447,20.9424,22.1409,694187.0
2023-01-05,22.0277,22.5332,21.5652,22.4335,467121.0
2023-01-06,22.6694,23.113,22.4996,23.0375,438465.0
2023-01-07,22.6694,23.113,22.4996,23.0375,438465.0
2023-01-08,22.6694,23.113,22.4996,23.0375,438465.0
2023-01-09,23.0564,23.3961,22.7921,22.9054,561333.0
2023-01-10,22.9243,23.4245,22.4854,23.2829,474754.0
2023-01-11,23.5471,23.9907,23.3188,23.8869,446744.0
2023-01-12,24.1512,24.1512,23.4009,23.6132,365856.0
2023-01-13,23.3678,23.9341,23.3206,23.651,443610.0
2023-01-14,23.3678,23.9341,23.3206,23.651,443610.0
2023-01-15,23.3678,23.9341,23.3206,23.651,443610.0
2023-01-16,23.3678,23.9341,23.3206,23.651,443610.0
