,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity,CACC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-11-07,424.65,424.83,419.38,424.33,129661.0
2019-11-08,428.48,435.68,425.82,433.25,137915.0
2019-11-09,428.48,435.68,425.82,433.25,137915.0
2019-11-10,428.48,435.68,425.82,433.25,137915.0
2019-11-11,430.0,435.48,428.24,434.11,103722.0
2019-11-12,433.41,435.47,429.075,434.4,105205.0
2019-11-13,431.66,432.23,426.1,429.02,95019.0
2019-11-14,433.57,438.61,429.0,435.4,59288.0
2019-11-15,436.11,440.54,436.11,438.91,77851.0
2019-11-16,436.11,440.54,436.11,438.91,77851.0
2019-11-17,436.11,440.54,436.11,438.91,77851.0
2019-11-18,436.34,438.68,427.73,430.55,125107.0
2019-11-19,430.76,432.605,429.16,431.15,105290.0
2019-11-20,429.03,437.28,426.12,432.48,106603.0
2019-11-21,432.02,436.22,430.804,432.61,104746.0
2019-11-22,432.22,432.6478,421.01,428.3,79519.0
2019-11-23,432.22,432.6478,421.01,428.3,79519.0
2019-11-24,432.22,432.6478,421.01,428.3,79519.0
2019-11-25,426.5,435.25,426.5,430.37,122020.0
2019-11-26,430.9,436.35,430.259,432.28,151410.0
2019-11-27,432.96,437.65,430.83,435.97,74770.0
2019-11-28,432.96,437.65,430.83,435.97,74770.0
2019-11-29,434.32,435.02,430.3,430.46,28131.0
2019-11-30,434.32,435.02,430.3,430.46,28131.0
2019-12-01,434.32,435.02,430.3,430.46,28131.0
2019-12-02,430.74,436.96,426.66,435.53,115834.0
2019-12-03,432.01,436.18,428.055,434.19,139483.0
2019-12-04,435.8,438.8,432.77,434.53,118607.0
2019-12-05,433.44,437.87,433.44,437.45,48197.0
2019-12-06,440.29,442.07,438.785,439.51,57170.0
2019-12-07,440.29,442.07,438.785,439.51,57170.0
2019-12-08,440.29,442.07,438.785,439.51,57170.0
2019-12-09,438.8,439.2,426.9401,428.27,119644.0
2019-12-10,428.0,433.0,426.0,431.6,87327.0
2019-12-11,432.0,434.775,429.41,431.68,81484.0
2019-12-12,432.61,442.92,432.61,442.16,112749.0
2019-12-13,439.95,445.99,437.925,441.14,110120.0
2019-12-14,439.95,445.99,437.925,441.14,110120.0
2019-12-15,439.95,445.99,437.925,441.14,110120.0
2019-12-16,443.89,446.07,439.72,444.04,123570.0
2019-12-17,443.75,446.0,434.58,442.45,124980.0
2019-12-18,442.58,447.695,437.3602,443.7,182965.0
2019-12-19,443.7,448.53,441.44,446.28,143813.0
2019-12-20,446.49,449.98,440.78,444.0,167327.0
2019-12-21,446.49,449.98,440.78,444.0,167327.0
2019-12-22,446.49,449.98,440.78,444.0,167327.0
2019-12-23,445.45,445.45,432.29,440.57,100664.0
2019-12-24,441.41,441.41,438.26,440.79,77296.0
2019-12-25,441.41,441.41,438.26,440.79,77296.0
2019-12-26,440.37,440.37,433.395,436.68,177680.0
2019-12-27,437.33,439.29,433.645,437.15,129330.0
2019-12-28,437.33,439.29,433.645,437.15,129330.0
2019-12-29,437.33,439.29,433.645,437.15,129330.0
2019-12-30,436.53,440.76,435.14,439.62,119647.0
2019-12-31,440.0,444.94,434.0572,442.33,269504.0
2020-01-01,440.0,444.94,434.0572,442.33,269504.0
2020-01-02,442.19,444.34,438.7904,442.77,171298.0
2020-01-03,437.57,440.0,434.495,435.86,142561.0
2020-01-04,437.57,440.0,434.495,435.86,142561.0
2020-01-05,437.57,440.0,434.495,435.86,142561.0
2020-01-06,433.14,437.84,430.01,437.02,173343.0
2020-01-07,433.65,435.23,428.0,431.02,126592.0
2020-01-08,429.97,437.39,429.97,433.21,95164.0
2020-01-09,435.0,436.89,429.695,432.86,124079.0
2020-01-10,434.03,436.84,431.08,435.63,171514.0
2020-01-11,434.03,436.84,431.08,435.63,171514.0
2020-01-12,434.03,436.84,431.08,435.63,171514.0
2020-01-13,435.46,442.425,434.13,441.42,108526.0
2020-01-14,442.78,447.5,441.155,445.6,124287.0
2020-01-15,443.63,447.74,440.82,444.65,87969.0
2020-01-16,448.34,453.2312,444.25,447.87,64224.0
2020-01-17,449.99,451.9,446.26,450.78,86122.0
2020-01-18,449.99,451.9,446.26,450.78,86122.0
2020-01-19,449.99,451.9,446.26,450.78,86122.0
2020-01-20,449.99,451.9,446.26,450.78,86122.0
2020-01-21,451.36,453.53,448.5,452.78,98291.0
2020-01-22,455.09,459.99,452.85,455.4,96232.0
2020-01-23,455.05,461.22,452.61,459.59,112063.0
2020-01-24,459.37,461.7365,432.5,457.65,104609.0
2020-01-25,459.37,461.7365,432.5,457.65,104609.0
2020-01-26,459.37,461.7365,432.5,457.65,104609.0
2020-01-27,451.11,456.04,451.11,453.88,108385.0
2020-01-28,456.02,460.99,454.505,457.71,45763.0
2020-01-29,458.88,463.7,456.95,461.53,139089.0
2020-01-30,460.5,467.66,459.32,466.84,100227.0
2020-01-31,440.48,445.0,405.8,428.98,608223.0
2020-02-01,440.48,445.0,405.8,428.98,608223.0
2020-02-02,440.48,445.0,405.8,428.98,608223.0
2020-02-03,435.0,436.065,429.3,434.75,332551.0
2020-02-04,439.8,439.8,431.37,432.28,240059.0
2020-02-05,435.33,437.11,433.44,434.95,107691.0
2020-02-06,438.98,450.42,430.0,448.72,143583.0
2020-02-07,446.13,450.0,445.545,446.75,77685.0
2020-02-08,446.13,450.0,445.545,446.75,77685.0
2020-02-09,446.13,450.0,445.545,446.75,77685.0
2020-02-10,446.74,448.34,436.17,437.54,73862.0
2020-02-11,422.9,439.12,422.9,435.24,80749.0
2020-02-12,435.26,435.38,426.705,433.18,143520.0
2020-02-13,431.25,435.99,430.835,434.01,63731.0
2020-02-14,435.64,437.59,434.59,437.01,53901.0
2020-02-15,435.64,437.59,434.59,437.01,53901.0
2020-02-16,435.64,437.59,434.59,437.01,53901.0
2020-02-17,435.64,437.59,434.59,437.01,53901.0
2020-02-18,436.2,439.891,434.07,435.53,69020.0
2020-02-19,437.34,437.76,431.48,434.5,78040.0
2020-02-20,434.36,437.18,432.35,434.77,65320.0
2020-02-21,432.69,436.404,431.9,434.6,98558.0
2020-02-22,432.69,436.404,431.9,434.6,98558.0
2020-02-23,432.69,436.404,431.9,434.6,98558.0
2020-02-24,424.49,431.66,418.7,424.26,155296.0
2020-02-25,425.79,426.78,405.575,407.61,150716.0
2020-02-26,403.76,415.9,403.76,410.0,96497.0
2020-02-27,403.2,422.62,398.98,407.19,186274.0
2020-02-28,397.85,404.8,392.255,403.2,247129.0
2020-02-29,397.85,404.8,392.255,403.2,247129.0
2020-03-01,397.85,404.8,392.255,403.2,247129.0
2020-03-02,407.23,409.46,390.15,397.77,252099.0
2020-03-03,400.12,423.39,400.0,421.17,271915.0
2020-03-04,428.19,435.49,422.57,434.25,178137.0
2020-03-05,425.0,431.26,412.57,430.17,168424.0
2020-03-06,419.63,434.0,415.725,422.34,170041.0
2020-03-07,419.63,434.0,415.725,422.34,170041.0
2020-03-08,419.63,434.0,415.725,422.34,170041.0
2020-03-09,401.0,418.97,397.0,412.2,190625.0
2020-03-10,419.2,448.23,415.88,435.13,271029.0
2020-03-11,425.64,438.47,409.06,409.93,279153.0
2020-03-12,392.22,392.22,362.62,368.42,366546.0
2020-03-13,391.95,391.97,359.165,391.97,283615.0
2020-03-14,391.95,391.97,359.165,391.97,283615.0
2020-03-15,391.95,391.97,359.165,391.97,283615.0
2020-03-16,341.27,357.67,325.29,325.96,298813.0
2020-03-17,332.6,336.0,290.02,294.19,467312.0
2020-03-18,276.56,299.38,247.02,295.26,378996.0
2020-03-19,276.02,298.0,236.4601,286.23,473718.0
2020-03-20,292.58,309.88,258.17,258.38,566919.0
2020-03-21,292.58,309.88,258.17,258.38,566919.0
2020-03-22,292.58,309.88,258.17,258.38,566919.0
2020-03-23,256.21,264.53,199.0001,234.35,728972.0
2020-03-24,246.4,268.89,230.2105,260.25,347812.0
2020-03-25,269.4,315.86,263.1,280.71,1014041.0
2020-03-26,285.01,329.89,281.1,301.79,358819.0
2020-03-27,285.35,291.33,266.54,285.3,367278.0
2020-03-28,285.35,291.33,266.54,285.3,367278.0
2020-03-29,285.35,291.33,266.54,285.3,367278.0
2020-03-30,280.35,283.99,264.51,269.38,235223.0
2020-03-31,267.66,279.435,254.47,255.69,287030.0
2020-04-01,239.31,243.355,223.305,237.99,472957.0
2020-04-02,237.6,251.5299,229.37,236.75,288357.0
2020-04-03,235.29,235.29,210.67,215.83,356663.0
2020-04-04,235.29,235.29,210.67,215.83,356663.0
2020-04-05,235.29,235.29,210.67,215.83,356663.0
2020-04-06,229.34,259.9,228.175,252.21,415974.0
2020-04-07,267.87,285.783,256.13,261.12,293289.0
2020-04-08,260.8,282.9573,254.2,272.02,317036.0
