,HUM US Equity,HUM US Equity,HUM US Equity,HUM US Equity,HUM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-08-16,401.231,404.888,398.604,403.996,588404.0
2021-08-17,402.574,407.544,402.457,405.172,721816.0
2021-08-18,404.329,406.525,399.428,400.075,607804.0
2021-08-19,397.644,406.054,397.644,405.495,675463.0
2021-08-20,406.848,407.564,402.957,405.417,454783.0
2021-08-21,406.848,407.564,402.957,405.417,454783.0
2021-08-22,406.848,407.564,402.957,405.417,454783.0
2021-08-23,405.799,408.299,405.162,406.26,390335.0
2021-08-24,407.456,407.456,403.844,404.172,318021.0
2021-08-25,402.859,404.427,397.801,398.546,547707.0
2021-08-26,398.114,399.59,393.008,394.772,749982.0
2021-08-27,395.84,399.104,392.694,397.722,673242.0
2021-08-28,395.84,399.104,392.694,397.722,673242.0
2021-08-29,395.84,399.104,392.694,397.722,673242.0
2021-08-30,397.389,400.903,396.795,397.477,724066.0
2021-08-31,397.575,402.349,396.35,397.389,618903.0
2021-09-01,397.389,398.899,391.234,397.566,502766.0
2021-09-02,397.095,408.142,396.948,407.916,666138.0
2021-09-03,406.681,409.642,405.809,407.328,566836.0
2021-09-04,406.681,409.642,405.809,407.328,566836.0
2021-09-05,406.681,409.642,405.809,407.328,566836.0
2021-09-06,406.681,409.642,405.809,407.328,566836.0
2021-09-07,407.475,407.475,402.398,405.515,549092.0
2021-09-08,406.828,413.998,404.368,405.309,1003998.0
2021-09-09,406.054,411.739,404.917,408.857,608970.0
2021-09-10,410.896,410.896,391.665,394.017,1276302.0
2021-09-11,410.896,410.896,391.665,394.017,1276302.0
2021-09-12,410.896,410.896,391.665,394.017,1276302.0
2021-09-13,396.36,405.397,394.899,400.947,908014.0
2021-09-14,403.28,403.28,393.635,394.027,742354.0
2021-09-15,396.164,398.879,392.165,393.057,1206638.0
2021-09-16,393.811,396.174,389.685,391.263,1090370.0
2021-09-17,389.381,400.722,389.381,399.712,1363596.0
2021-09-18,389.381,400.722,389.381,399.712,1363596.0
2021-09-19,389.381,400.722,389.381,399.712,1363596.0
2021-09-20,396.83,398.957,392.635,396.105,656468.0
2021-09-21,397.066,400.29,392.772,392.812,455348.0
2021-09-22,390.979,394.919,388.234,392.42,592789.0
2021-09-23,393.459,399.889,392.537,393.498,612416.0
2021-09-24,392.89,395.85,390.538,391.008,550803.0
2021-09-25,392.89,395.85,390.538,391.008,550803.0
2021-09-26,392.89,395.85,390.538,391.008,550803.0
2021-09-27,392.772,396.958,391.341,393.057,432583.0
2021-09-28,390.577,392.088,385.156,387.176,569073.0
2021-09-29,387.863,391.486,385.261,388.207,513492.0
2021-09-30,390.327,391.781,381.971,382.119,836136.0
2021-10-01,384.073,385.879,376.168,384.475,614591.0
2021-10-02,384.073,385.879,376.168,384.475,614591.0
2021-10-03,384.073,385.879,376.168,384.475,614591.0
