,ETN US Equity,ETN US Equity,ETN US Equity,ETN US Equity,ETN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-07-26,148.5755,149.6769,147.4931,148.1482,1708364.0
2021-07-27,147.2842,149.2876,146.5067,148.2527,1326628.0
2021-07-28,148.4615,149.0028,146.9424,147.607,1890670.0
2021-07-29,148.7274,150.1231,148.0533,149.7433,1224796.0
2021-07-30,149.4775,150.6738,149.1072,150.0662,1501955.0
2021-07-31,149.4775,150.6738,149.1072,150.0662,1501955.0
2021-08-01,149.4775,150.6738,149.1072,150.0662,1501955.0
2021-08-02,150.5789,151.8797,148.585,148.585,1372388.0
2021-08-03,151.5379,155.0415,150.8637,154.5857,2420875.0
2021-08-04,154.8326,155.972,153.5176,153.6552,1571933.0
2021-08-05,154.7756,155.3928,152.9526,153.7407,1280740.0
2021-08-06,154.7661,155.4593,153.8546,154.6617,1059967.0
2021-08-07,154.7661,155.4593,153.8546,154.6617,1059967.0
2021-08-08,154.7661,155.4593,153.8546,154.6617,1059967.0
2021-08-09,154.016,155.5162,153.4653,155.0415,1181218.0
2021-08-10,155.7631,159.0673,155.6207,158.8964,2058504.0
2021-08-11,159.5515,160.3491,157.9849,158.4786,1476170.0
2021-08-12,158.1829,159.6232,157.4198,159.4515,1711903.0
2021-08-13,159.1462,160.1764,158.5501,159.8807,1717277.0
2021-08-14,159.1462,160.1764,158.5501,159.8807,1717277.0
2021-08-15,159.1462,160.1764,158.5501,159.8807,1717277.0
2021-08-16,159.585,161.1016,158.6598,160.7296,1181701.0
2021-08-17,159.8807,160.1478,157.3435,159.1939,1181203.0
2021-08-18,158.8029,160.5293,158.6502,158.7552,1323389.0
2021-08-19,157.4198,160.4148,156.026,159.2321,1384539.0
2021-08-20,160.1668,160.1668,158.5549,159.7281,1025260.0
2021-08-21,160.1668,160.1668,158.5549,159.7281,1025260.0
2021-08-22,160.1668,160.1668,158.5549,159.7281,1025260.0
2021-08-23,160.5198,161.8103,159.9856,161.0444,1398273.0
2021-08-24,160.6247,162.3988,159.9307,161.569,1524485.0
2021-08-25,161.9314,163.4099,161.5976,162.3511,994676.0
