,FDS US Equity,FDS US Equity,FDS US Equity,FDS US Equity,FDS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2023-01-12,412.893,412.893,403.904,409.273,274587.0
2023-01-13,406.06,417.194,406.06,416.67,226401.0
2023-01-14,406.06,417.194,406.06,416.67,226401.0
2023-01-15,406.06,417.194,406.06,416.67,226401.0
2023-01-16,406.06,417.194,406.06,416.67,226401.0
2023-01-17,417.807,426.46,415.731,423.928,359309.0
2023-01-18,424.739,432.324,424.443,424.64,407352.0
2023-01-19,421.704,422.574,415.513,416.759,192915.0
2023-01-20,416.868,422.069,412.329,419.043,198218.0
2023-01-21,416.868,422.069,412.329,419.043,198218.0
2023-01-22,416.868,422.069,412.329,419.043,198218.0
2023-01-23,419.805,424.027,418.213,419.449,113791.0
2023-01-24,418.44,418.569,413.219,414.969,160007.0
2023-01-25,411.004,412.517,405.471,409.234,206636.0
2023-01-26,411.637,416.107,409.882,415.81,180601.0
2023-01-27,413.526,422.613,413.526,420.705,169236.0
2023-01-28,413.526,422.613,413.526,420.705,169236.0
2023-01-29,413.526,422.613,413.526,420.705,169236.0
2023-01-30,418.668,421.639,415.207,415.938,151986.0
2023-01-31,417.649,425.471,411.459,418.233,330178.0
2023-02-01,415.662,425.639,413.259,421.802,283494.0
2023-02-02,423.019,431.681,423.019,428.477,174110.0
2023-02-03,421.555,427.508,417.57,422.801,213899.0
2023-02-04,421.555,427.508,417.57,422.801,213899.0
2023-02-05,421.555,427.508,417.57,422.801,213899.0
2023-02-06,419.034,426.519,417.679,422.129,142258.0
2023-02-07,419.231,431.79,419.231,429.189,174414.0
2023-02-08,427.419,429.041,425.738,426.984,146913.0
2023-02-09,429.219,431.513,422.317,422.505,109027.0
2023-02-10,419.973,423.76,418.233,423.543,150294.0
2023-02-11,419.973,423.76,418.233,423.543,150294.0
2023-02-12,419.973,423.76,418.233,423.543,150294.0
2023-02-13,424.383,431.246,424.383,429.585,194357.0
2023-02-14,427.439,432.403,424.67,425.036,132679.0
2023-02-15,423.187,432.373,422.366,430.425,146677.0
2023-02-16,423.424,430.158,422.376,422.416,120831.0
2023-02-17,421.001,427.103,420.873,426.43,184667.0
2023-02-18,421.001,427.103,420.873,426.43,184667.0
2023-02-19,421.001,427.103,420.873,426.43,184667.0
2023-02-20,421.001,427.103,420.873,426.43,184667.0
2023-02-21,422.475,422.475,415.899,417.214,172729.0
2023-02-22,418.282,421.783,415.296,417.659,178166.0
2023-02-23,420.022,422.529,416.502,421.733,102389.0
2023-02-24,417.807,417.847,413.051,416.7,116736.0
2023-02-25,417.807,417.847,413.051,416.7,116736.0
2023-02-26,417.807,417.847,413.051,416.7,116736.0
2023-02-27,420.763,421.347,413.93,416.125,129398.0
2023-02-28,415.63,417.344,410.774,410.804,210615.0
2023-03-01,408.118,410.69,405.284,409.04,251793.0
2023-03-02,406.136,412.31,406.136,410.893,127319.0
2023-03-03,412.766,417.721,412.186,417.394,152043.0
2023-03-04,412.766,417.721,412.186,417.394,152043.0
2023-03-05,412.766,417.721,412.186,417.394,152043.0
2023-03-06,417.552,421.63,413.152,414.54,227710.0
2023-03-07,415.421,415.421,405.185,405.948,183737.0
2023-03-08,405.036,407.742,402.816,404.352,131413.0
2023-03-09,405.363,407.791,400.587,402.361,256011.0
2023-03-10,401.558,401.558,390.112,392.055,285963.0
2023-03-11,401.558,401.558,390.112,392.055,285963.0
2023-03-12,401.558,401.558,390.112,392.055,285963.0
2023-03-13,389.637,400.527,388.665,393.878,223964.0
2023-03-14,400.666,407.732,400.646,405.849,321183.0
2023-03-15,399.19,403.669,395.454,401.033,351816.0
2023-03-16,400.002,410.318,397.554,401.538,495555.0
2023-03-17,401.271,407.821,399.11,402.143,524780.0
2023-03-18,401.271,407.821,399.11,402.143,524780.0
2023-03-19,401.271,407.821,399.11,402.143,524780.0
2023-03-20,403.728,408.822,401.939,407.831,326400.0
2023-03-21,411.527,416.383,409.069,415.412,239280.0
2023-03-22,416.194,423.022,411.874,411.894,350402.0
2023-03-23,386.475,399.358,374.475,389.042,964988.0
2023-03-24,386.812,396.336,378.468,395.255,502946.0
2023-03-25,386.812,396.336,378.468,395.255,502946.0
2023-03-26,386.812,396.336,378.468,395.255,502946.0
2023-03-27,395.89,402.826,390.4,390.846,244445.0
2023-03-28,395.047,398.0,392.327,397.842,326962.0
2023-03-29,397.802,404.194,392.669,403.946,271065.0
2023-03-30,404.313,409.575,401.449,406.969,270533.0
2023-03-31,409.496,411.458,406.988,411.339,236687.0
2023-04-01,409.496,411.458,406.988,411.339,236687.0
2023-04-02,409.496,411.458,406.988,411.339,236687.0
2023-04-03,409.01,416.105,409.01,412.3,290462.0
2023-04-04,413.4,416.839,405.403,406.067,288353.0
2023-04-05,406.206,409.079,396.276,398.407,326664.0
2023-04-06,396.98,401.994,396.127,401.122,205113.0
2023-04-07,396.98,401.994,396.127,401.122,205113.0
2023-04-08,396.98,401.994,396.127,401.122,205113.0
2023-04-09,396.98,401.994,396.127,401.122,205113.0
2023-04-10,398.704,400.19,394.591,400.052,146274.0
2023-04-11,400.626,404.838,400.428,402.38,190407.0
2023-04-12,405.571,409.763,404.447,407.999,212259.0
2023-04-13,408.029,415.56,406.711,413.489,222554.0
2023-04-14,412.716,417.017,409.466,410.229,185637.0
2023-04-15,412.716,417.017,409.466,410.229,185637.0
2023-04-16,412.716,417.017,409.466,410.229,185637.0
2023-04-17,409.912,414.312,408.772,412.677,213736.0
2023-04-18,413.628,416.204,410.823,413.192,211273.0
2023-04-19,411.973,414.718,411.814,412.766,140265.0
2023-04-20,412.409,414.946,410.05,412.934,96574.0
2023-04-21,413.995,418.91,411.567,417.671,172323.0
2023-04-22,413.995,418.91,411.567,417.671,172323.0
2023-04-23,413.995,418.91,411.567,417.671,172323.0
2023-04-24,419.039,420.525,415.402,418.384,169609.0
2023-04-25,417.542,421.159,408.019,408.346,176973.0
2023-04-26,405.641,408.841,396.009,397.772,223291.0
2023-04-27,400.597,406.473,398.843,406.453,158692.0
2023-04-28,404.769,410.506,404.204,407.969,221270.0
2023-04-29,404.769,410.506,404.204,407.969,221270.0
2023-04-30,404.769,410.506,404.204,407.969,221270.0
2023-05-01,407.256,412.24,406.959,407.415,134080.0
2023-05-02,404.521,404.521,390.152,394.482,335878.0
2023-05-03,396.018,397.663,387.486,390.092,300756.0
2023-05-04,392.164,394.601,389.508,391.44,222341.0
2023-05-05,394.7,403.51,394.7,402.182,240781.0
2023-05-06,394.7,403.51,394.7,402.182,240781.0
2023-05-07,394.7,403.51,394.7,402.182,240781.0
2023-05-08,404.174,405.537,397.822,399.031,180713.0
2023-05-09,395.989,400.656,393.273,398.377,206950.0
2023-05-10,401.429,404.209,400.21,400.735,234399.0
2023-05-11,399.061,402.514,393.898,396.653,188702.0
2023-05-12,399.081,401.033,394.046,394.76,262716.0
2023-05-13,399.081,401.033,394.046,394.76,262716.0
2023-05-14,399.081,401.033,394.046,394.76,262716.0
2023-05-15,394.7,396.722,390.36,392.451,221760.0
2023-05-16,390.301,391.876,382.967,385.029,322019.0
2023-05-17,386.109,392.094,382.928,390.697,308342.0
2023-05-18,391.202,391.559,386.584,389.993,269192.0
2023-05-19,391.906,397.014,391.906,392.61,249496.0
2023-05-20,391.906,397.014,391.906,392.61,249496.0
2023-05-21,391.906,397.014,391.906,392.61,249496.0
2023-05-22,392.877,396.197,389.528,394.651,280462.0
2023-05-23,392.064,398.773,385.039,385.524,212919.0
2023-05-24,383.631,385.139,380.837,381.104,205773.0
2023-05-25,381.243,384.127,378.568,381.59,205092.0
2023-05-26,382.482,385.029,380.728,384.93,234637.0
2023-05-27,382.482,385.029,380.728,384.93,234637.0
2023-05-28,382.482,385.029,380.728,384.93,234637.0
2023-05-29,382.482,385.029,380.728,384.93,234637.0
2023-05-30,385.595,389.837,381.671,387.314,321217.0
2023-05-31,386.748,387.314,380.846,382.376,521417.0
2023-06-01,384.055,388.834,378.472,387.741,246043.0
2023-06-02,391.357,396.662,390.89,396.205,184892.0
2023-06-03,391.357,396.662,390.89,396.205,184892.0
2023-06-04,391.357,396.662,390.89,396.205,184892.0
2023-06-05,394.904,398.024,392.718,395.59,152902.0
2023-06-06,393.613,399.921,393.613,395.003,174667.0
2023-06-07,395.997,398.292,392.952,394.944,211227.0
2023-06-08,394.477,404.342,392.54,400.815,280362.0
2023-06-09,401.56,402.921,393.046,394.984,350343.0
2023-06-10,401.56,402.921,393.046,394.984,350343.0
2023-06-11,401.56,402.921,393.046,394.984,350343.0
2023-06-12,394.805,398.093,394.427,397.666,243529.0
2023-06-13,398.192,404.799,396.623,403.796,328321.0
2023-06-14,403.388,409.717,400.676,408.306,252856.0
2023-06-15,410.054,422.215,409.309,419.562,348219.0
2023-06-16,421.698,427.172,415.673,418.161,513032.0
2023-06-17,421.698,427.172,415.673,418.161,513032.0
2023-06-18,421.698,427.172,415.673,418.161,513032.0
2023-06-19,421.698,427.172,415.673,418.161,513032.0
2023-06-20,415.479,423.849,415.479,418.797,501112.0
2023-06-21,418.648,423.213,416.641,420.575,487173.0
2023-06-22,415.191,415.191,389.41,401.511,939264.0
2023-06-23,398.967,402.593,391.169,391.477,671135.0
2023-06-24,398.967,402.593,391.169,391.477,671135.0
2023-06-25,398.967,402.593,391.169,391.477,671135.0
2023-06-26,390.463,393.334,388.725,393.076,420324.0
2023-06-27,393.732,398.838,390.384,397.725,477821.0
2023-06-28,398.133,398.133,388.695,392.897,328023.0
2023-06-29,392.828,395.441,391.159,392.967,211358.0
2023-06-30,394.775,399.673,394.089,398.033,275659.0
2023-07-01,394.775,399.673,394.089,398.033,275659.0
2023-07-02,394.775,399.673,394.089,398.033,275659.0
2023-07-03,395.361,396.141,388.278,390.97,200182.0
2023-07-04,395.361,396.141,388.278,390.97,200182.0
