,GABC US Equity,GABC US Equity,GABC US Equity,GABC US Equity,GABC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-04-11,42.5401,42.8168,42.0696,42.5585,51395.0
2021-04-12,42.4386,42.8538,42.4386,42.6416,27956.0
2021-04-13,42.4017,42.4755,41.7282,41.7282,37913.0
2021-04-14,41.7559,42.8998,41.7374,42.3463,40908.0
2021-04-15,42.5308,42.5308,41.4385,42.3648,34800.0
2021-04-16,42.7984,42.8907,41.8943,42.3094,57600.0
2021-04-17,42.7984,42.8907,41.8943,42.3094,57600.0
2021-04-18,42.7984,42.8907,41.8943,42.3094,57600.0
2021-04-19,42.1341,42.5585,41.5714,41.8943,44893.0
2021-04-20,41.6913,42.3832,40.169,40.5473,85053.0
2021-04-21,40.3351,41.23,40.3351,40.8794,46753.0
2021-04-22,40.9994,40.9994,40.1967,40.206,34185.0
2021-04-23,40.3074,41.433,40.3074,40.7872,51362.0
2021-04-24,40.3074,41.433,40.3074,40.7872,51362.0
2021-04-25,40.3074,41.433,40.3074,40.7872,51362.0
2021-04-26,41.3776,41.6867,40.7503,40.9809,42343.0
2021-04-27,40.8333,40.8333,40.1137,40.2982,44878.0
2021-04-28,40.4181,40.8794,39.92,40.1783,32226.0
2021-04-29,40.5934,40.8794,40.1598,40.3351,30717.0
2021-04-30,39.9845,40.4181,39.6709,39.9753,92767.0
2021-05-01,39.9845,40.4181,39.6709,39.9753,92767.0
2021-05-02,39.9845,40.4181,39.6709,39.9753,92767.0
2021-05-03,40.2152,40.7779,40.0491,40.4643,44766.0
2021-05-04,40.3628,40.575,40.0399,40.492,44345.0
2021-05-05,40.4827,40.4827,39.6893,39.9015,29947.0
2021-05-06,39.8185,39.9476,39.1081,39.9476,30471.0
2021-05-07,39.6788,39.8642,38.6219,39.345,64270.0
2021-05-08,39.6788,39.8642,38.6219,39.345,64270.0
2021-05-09,39.6788,39.8642,38.6219,39.345,64270.0
2021-05-10,39.4563,39.7808,38.7054,38.7239,51460.0
2021-05-11,38.3623,38.659,37.5372,37.7041,41593.0
2021-05-12,37.769,37.973,36.5638,36.7678,55322.0
2021-05-13,36.8512,38.0193,36.8512,37.667,46803.0
2021-05-14,37.8246,38.1269,37.667,37.9452,40638.0
2021-05-15,37.8246,38.1269,37.667,37.9452,40638.0
2021-05-16,37.8246,38.1269,37.667,37.9452,40638.0
2021-05-17,37.769,38.2325,37.3982,38.1306,39067.0
2021-05-18,38.0935,38.8252,37.3518,37.3518,39016.0
2021-05-19,36.7956,37.0088,36.3691,36.8141,36680.0
2021-05-20,37.0088,37.2554,36.244,36.9439,49571.0
2021-05-21,37.2313,38.01,36.7539,37.7876,57809.0
2021-05-22,37.2313,38.01,36.7539,37.7876,57809.0
2021-05-23,37.2313,38.01,36.7539,37.7876,57809.0
2021-05-24,37.8988,38.1584,37.1432,37.5187,38263.0
2021-05-25,37.7412,37.8524,36.8883,36.9068,77178.0
2021-05-26,37.0922,37.9822,36.8752,37.6485,56817.0
2021-05-27,38.0749,38.6961,38.0749,38.659,41451.0
2021-05-28,38.5478,38.8073,36.1652,38.7517,39302.0
2021-05-29,38.5478,38.8073,36.1652,38.7517,39302.0
2021-05-30,38.5478,38.8073,36.1652,38.7517,39302.0
2021-05-31,38.5478,38.8073,36.1652,38.7517,39302.0
2021-06-01,39.5258,39.5258,38.6312,39.1133,42165.0
2021-06-02,39.1504,39.1504,38.0935,38.214,26244.0
2021-06-03,38.0286,38.5014,37.3039,38.3716,16934.0
2021-06-04,38.1213,38.1283,37.769,37.9081,30420.0
2021-06-05,38.1213,38.1283,37.769,37.9081,30420.0
2021-06-06,38.1213,38.1283,37.769,37.9081,30420.0
2021-06-07,37.8988,38.1584,37.7551,38.0286,20926.0
2021-06-08,37.8524,38.0796,37.6856,37.7227,53190.0
2021-06-09,37.4538,37.5929,37.1201,37.2498,35429.0
2021-06-10,37.5187,37.5558,36.3042,36.3877,29964.0
2021-06-11,36.5453,36.9995,36.3413,36.638,25025.0
2021-06-12,36.5453,36.9995,36.3413,36.638,25025.0
2021-06-13,36.5453,36.9995,36.3413,36.638,25025.0
2021-06-14,36.7214,37.0552,36.2301,36.3506,26626.0
2021-06-15,36.6658,37.1108,36.383,36.981,32828.0
2021-06-16,36.7492,37.222,36.3506,37.1293,35678.0
2021-06-17,37.1479,37.1479,35.6367,35.8407,34354.0
2021-06-18,35.2381,35.3354,34.7653,34.8673,109485.0
2021-06-19,35.2381,35.3354,34.7653,34.8673,109485.0
2021-06-20,35.2381,35.3354,34.7653,34.8673,109485.0
2021-06-21,35.2103,36.3691,34.8302,35.8685,32213.0
2021-06-22,35.8592,35.8963,35.2566,35.7665,31730.0
2021-06-23,35.7665,36.1559,35.2937,35.5069,50305.0
2021-06-24,35.5255,35.9844,35.0712,35.9427,48115.0
2021-06-25,36.0632,36.2764,35.0712,35.544,235584.0
2021-06-26,36.0632,36.2764,35.0712,35.544,235584.0
2021-06-27,36.0632,36.2764,35.0712,35.544,235584.0
2021-06-28,35.544,35.544,34.4037,34.6448,79358.0
2021-06-29,34.9322,35.1825,34.5057,34.654,99551.0
2021-06-30,34.3203,35.1639,34.3203,34.4872,56498.0
2021-07-01,34.8209,35.0805,34.2739,34.8951,65581.0
2021-07-02,34.9785,35.2288,34.413,34.4223,35756.0
2021-07-03,34.9785,35.2288,34.413,34.4223,35756.0
2021-07-04,34.9785,35.2288,34.413,34.4223,35756.0
2021-07-05,34.9785,35.2288,34.413,34.4223,35756.0
2021-07-06,34.3296,34.3296,32.9918,33.282,52588.0
2021-07-07,33.0873,33.7455,33.0131,33.1336,59040.0
2021-07-08,32.9204,33.3747,32.5403,33.3191,101343.0
2021-07-09,33.764,34.311,33.625,34.1441,40303.0
2021-07-10,33.764,34.311,33.625,34.1441,40303.0
2021-07-11,33.764,34.311,33.625,34.1441,40303.0
2021-07-12,33.7733,34.2369,33.0131,34.1812,64130.0
2021-07-13,34.2276,34.2276,33.3005,33.4396,30879.0
2021-07-14,33.5416,33.9217,33.1985,33.3747,47306.0
2021-07-15,33.1244,34.2183,33.1244,34.0422,56656.0
2021-07-16,34.3018,34.3852,33.6157,33.6157,48461.0
2021-07-17,34.3018,34.3852,33.6157,33.6157,48461.0
2021-07-18,34.3018,34.3852,33.6157,33.6157,48461.0
2021-07-19,32.9946,33.5137,32.6979,32.8741,58843.0
2021-07-20,32.9575,34.3203,32.9575,33.5879,95067.0
2021-07-21,33.9773,34.3759,33.7919,33.8846,41643.0
2021-07-22,33.6899,33.6899,32.7721,32.8833,55056.0
2021-07-23,33.9217,33.9217,32.9204,33.2449,45662.0
2021-07-24,33.9217,33.9217,32.9204,33.2449,45662.0
2021-07-25,33.9217,33.9217,32.9204,33.2449,45662.0
2021-07-26,33.3098,34.0329,33.2684,33.727,39623.0
2021-07-27,33.7455,34.9034,33.5694,34.5613,41256.0
2021-07-28,34.7838,35.5904,34.3481,35.4606,44810.0
2021-07-29,35.7851,35.9056,35.201,35.6738,25748.0
2021-07-30,35.6275,35.8082,34.9043,34.9507,40876.0
2021-07-31,35.6275,35.8082,34.9043,34.9507,40876.0
2021-08-01,35.6275,35.8082,34.9043,34.9507,40876.0
2021-08-02,35.0249,35.9612,34.7097,34.8765,25141.0
2021-08-03,34.9692,35.3215,34.6633,35.0805,24649.0
2021-08-04,34.6911,35.2845,34.6077,34.756,23054.0
2021-08-05,34.8116,35.2288,34.7467,35.2288,26075.0
2021-08-06,35.6367,36.1374,35.2381,35.8222,26724.0
2021-08-07,35.6367,36.1374,35.2381,35.8222,26724.0
2021-08-08,35.6367,36.1374,35.2381,35.8222,26724.0
2021-08-09,35.8874,36.0179,35.4213,35.7662,35583.0
2021-08-10,35.7942,36.3535,35.1415,36.2137,19615.0
2021-08-11,36.2509,36.6891,35.8688,36.6611,19425.0
2021-08-12,36.6611,36.6611,36.2043,36.4374,27733.0
2021-08-13,36.5213,36.5213,35.9433,36.0272,17575.0
