,NFG US Equity,NFG US Equity,NFG US Equity,NFG US Equity,NFG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-01-03,36.7215,37.0176,36.4524,36.901,353506.0
2021-01-04,37.0804,37.1567,36.4255,37.0086,432705.0
2021-01-05,37.2778,38.3185,37.0119,37.852,628458.0
2021-01-06,38.3634,39.6284,38.1302,39.5476,836507.0
2021-01-07,39.7002,40.4358,39.3861,39.5476,828143.0
2021-01-08,39.6912,39.745,38.6594,38.9824,591127.0
2021-01-09,39.6912,39.745,38.6594,38.9824,591127.0
2021-01-10,39.6912,39.745,38.6594,38.9824,591127.0
2021-01-11,38.6146,39.4759,38.5787,39.1349,323337.0
2021-01-12,39.4759,40.0411,39.1619,39.6912,417575.0
2021-01-13,39.6643,40.1757,39.4041,39.422,452637.0
2021-01-14,39.754,40.068,39.3772,39.4759,684069.0
2021-01-15,39.2605,40.1308,38.5966,39.7271,1284161.0
2021-01-16,39.2605,40.1308,38.5966,39.7271,1284161.0
2021-01-17,39.2605,40.1308,38.5966,39.7271,1284161.0
2021-01-18,39.2605,40.1308,38.5966,39.7271,1284161.0
2021-01-19,39.8078,39.8078,38.2153,38.4262,511074.0
2021-01-20,38.3095,38.3409,37.6725,38.2826,464414.0
2021-01-21,38.157,38.332,37.0804,37.2419,522905.0
2021-01-22,36.9817,37.4303,36.7843,37.4124,496242.0
2021-01-23,36.9817,37.4303,36.7843,37.4124,496242.0
2021-01-24,36.9817,37.4303,36.7843,37.4124,496242.0
2021-01-25,37.4124,37.9372,37.0176,37.7353,789383.0
2021-01-26,38.0045,38.0045,36.7036,36.7215,485605.0
2021-01-27,36.3896,36.7574,35.7077,36.4075,559855.0
2021-01-28,36.4524,37.1791,36.2101,36.3088,541395.0
2021-01-29,36.4793,36.9238,35.8961,36.1204,1127012.0
2021-01-30,36.4793,36.9238,35.8961,36.1204,1127012.0
2021-01-31,36.4793,36.9238,35.8961,36.1204,1127012.0
2021-02-01,36.1384,36.9817,35.8872,36.6139,403406.0
2021-02-02,36.9548,37.1342,36.4434,36.6677,371436.0
2021-02-03,36.6139,36.8091,36.0756,36.3806,434054.0
2021-02-04,36.4883,37.0804,36.0961,37.0714,544720.0
2021-02-05,37.3585,38.5428,37.2957,37.8699,427056.0
2021-02-06,37.3585,38.5428,37.2957,37.8699,427056.0
2021-02-07,37.3585,38.5428,37.2957,37.8699,427056.0
2021-02-08,37.9866,38.7761,37.8879,38.7581,418838.0
2021-02-09,38.9376,38.9555,38.3723,38.5069,289719.0
2021-02-10,38.794,39.449,38.5787,39.2605,344479.0
2021-02-11,39.4131,39.8527,38.8792,39.449,424859.0
2021-02-12,39.3682,39.6104,39.0093,39.4669,419910.0
2021-02-13,39.3682,39.6104,39.0093,39.4669,419910.0
2021-02-14,39.3682,39.6104,39.0093,39.4669,419910.0
2021-02-15,39.3682,39.6104,39.0093,39.4669,419910.0
2021-02-16,39.8347,40.9203,39.6732,40.6871,541389.0
2021-02-17,40.8486,42.0149,40.8037,41.8444,758640.0
2021-02-18,41.7816,42.0418,40.5076,40.5615,513462.0
2021-02-19,40.4987,41.1626,40.4987,40.7857,288647.0
2021-02-20,40.4987,41.1626,40.4987,40.7857,288647.0
2021-02-21,40.4987,41.1626,40.4987,40.7857,288647.0
2021-02-22,40.6781,41.0908,40.3192,40.3641,353124.0
2021-02-23,40.7229,41.3869,40.2295,41.1177,371400.0
2021-02-24,41.351,41.9969,40.9652,41.2971,527597.0
2021-02-25,41.5035,42.1943,41.351,41.7996,462051.0
2021-02-26,41.7726,41.8444,40.7409,40.7678,718402.0
2021-02-27,41.7726,41.8444,40.7409,40.7678,718402.0
2021-02-28,41.7726,41.8444,40.7409,40.7678,718402.0
2021-03-01,41.1715,41.5708,41.0818,41.1626,363167.0
2021-03-02,41.0728,41.5753,40.7409,41.4138,261706.0
2021-03-03,41.7188,42.6788,41.3241,42.302,331301.0
2021-03-04,42.607,43.6657,42.302,42.4635,497671.0
2021-03-05,43.0556,44.0515,42.8403,44.0066,401259.0
2021-03-06,43.0556,44.0515,42.8403,44.0066,401259.0
2021-03-07,43.0556,44.0515,42.8403,44.0066,401259.0
