,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity,SIVBQ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-11-14,232.36,234.32,219.63,219.76,1025019.0
2022-11-15,227.43,244.38,227.43,239.93,1635044.0
2022-11-16,236.01,239.61,230.72,235.05,880224.0
2022-11-17,227.97,229.25,218.62,222.62,1062673.0
2022-11-18,228.4,229.28,221.86,223.53,918457.0
2022-11-19,228.4,229.28,221.86,223.53,918457.0
2022-11-20,228.4,229.28,221.86,223.53,918457.0
2022-11-21,221.2,222.505,210.11,215.12,1463004.0
2022-11-22,216.79,224.38,215.28,217.27,692744.0
2022-11-23,217.01,225.19,216.13,222.2,700949.0
2022-11-24,217.01,225.19,216.13,222.2,700949.0
2022-11-25,222.03,223.0,219.07,222.6,268465.0
2022-11-26,222.03,223.0,219.07,222.6,268465.0
2022-11-27,222.03,223.0,219.07,222.6,268465.0
2022-11-28,219.9,230.28,216.28,217.52,835937.0
2022-11-29,219.8,223.26,217.075,219.13,767048.0
2022-11-30,220.67,232.4,214.5,231.78,1462755.0
2022-12-01,231.69,235.85,225.97,228.17,800992.0
2022-12-02,224.38,227.02,218.08,224.92,794695.0
2022-12-03,224.38,227.02,218.08,224.92,794695.0
2022-12-04,224.38,227.02,218.08,224.92,794695.0
2022-12-05,220.0,222.58,208.12,209.24,1149181.0
2022-12-06,207.96,208.98,198.318,200.26,1747305.0
2022-12-07,198.1,209.14,198.1,208.28,2040076.0
2022-12-08,210.59,223.29,208.25,222.64,1520140.0
2022-12-09,223.5,225.0,219.44,220.27,891727.0
2022-12-10,223.5,225.0,219.44,220.27,891727.0
2022-12-11,223.5,225.0,219.44,220.27,891727.0
2022-12-12,221.84,226.37,216.1,223.4,1042715.0
2022-12-13,233.94,247.5,229.071,234.15,1973691.0
2022-12-14,231.76,237.78,228.7,230.57,970307.0
2022-12-15,224.15,228.65,219.775,220.6,1050785.0
2022-12-16,219.08,220.37,209.99,213.4,1910394.0
2022-12-17,219.08,220.37,209.99,213.4,1910394.0
2022-12-18,219.08,220.37,209.99,213.4,1910394.0
2022-12-19,212.91,212.91,208.0,210.39,725589.0
2022-12-20,210.18,214.35,208.47,212.46,817488.0
2022-12-21,216.19,219.8,215.16,217.35,603757.0
2022-12-22,213.65,215.98,207.365,215.8,814488.0
2022-12-23,215.13,216.97,211.635,216.85,332559.0
2022-12-24,215.13,216.97,211.635,216.85,332559.0
2022-12-25,215.13,216.97,211.635,216.85,332559.0
2022-12-26,215.13,216.97,211.635,216.85,332559.0
2022-12-27,216.4,219.31,210.33,216.11,485233.0
2022-12-28,215.61,217.81,212.84,216.45,480089.0
2022-12-29,219.53,236.48,218.67,234.63,1031536.0
2022-12-30,229.85,235.0,226.12,230.14,710176.0
2022-12-31,229.85,235.0,226.12,230.14,710176.0
2023-01-01,229.85,235.0,226.12,230.14,710176.0
2023-01-02,229.85,235.0,226.12,230.14,710176.0
2023-01-03,232.17,235.0,221.65,225.22,764645.0
2023-01-04,230.1,241.633,228.71,240.06,854687.0
2023-01-05,235.71,237.39,222.41,232.59,985262.0
2023-01-06,237.12,248.19,231.43,245.79,1017532.0
2023-01-07,237.12,248.19,231.43,245.79,1017532.0
2023-01-08,237.12,248.19,231.43,245.79,1017532.0
2023-01-09,247.96,254.94,244.53,249.43,1102929.0
2023-01-10,246.46,253.465,245.2,252.68,547669.0
2023-01-11,255.31,257.52,251.3,254.99,745718.0
2023-01-12,259.19,261.26,250.48,253.82,843449.0
2023-01-13,248.06,255.65,243.17,252.73,1100337.0
2023-01-14,248.06,255.65,243.17,252.73,1100337.0
2023-01-15,248.06,255.65,243.17,252.73,1100337.0
2023-01-16,248.06,255.65,243.17,252.73,1100337.0
2023-01-17,254.08,261.45,249.185,259.99,898463.0
2023-01-18,258.96,265.285,251.55,251.98,997496.0
2023-01-19,246.05,254.9,242.525,250.04,1576560.0
2023-01-20,286.66,305.675,274.305,291.44,3090876.0
2023-01-21,286.66,305.675,274.305,291.44,3090876.0
2023-01-22,286.66,305.675,274.305,291.44,3090876.0
2023-01-23,294.73,305.49,290.11,298.69,1810326.0
2023-01-24,294.64,298.955,288.28,288.35,1053854.0
2023-01-25,282.9,295.33,278.85,294.76,833787.0
2023-01-26,300.0,301.99,291.78,295.62,666697.0
2023-01-27,293.63,305.12,292.48,302.44,664906.0
2023-01-28,293.63,305.12,292.48,302.44,664906.0
2023-01-29,293.63,305.12,292.48,302.44,664906.0
2023-01-30,295.92,302.33,290.49,293.96,634982.0
2023-01-31,293.96,302.57,290.48,302.44,738529.0
2023-02-01,300.69,318.54,298.8,313.38,1177025.0
2023-02-02,322.97,348.06,321.65,333.5,2127346.0
2023-02-03,320.77,335.08,315.73,323.21,903745.0
2023-02-04,320.77,335.08,315.73,323.21,903745.0
2023-02-05,320.77,335.08,315.73,323.21,903745.0
2023-02-06,316.4,320.97,313.529,316.13,607808.0
2023-02-07,312.89,324.46,309.35,323.35,568606.0
2023-02-08,322.85,325.91,319.04,320.4,500533.0
