,MSFT US Equity,MSFT US Equity,MSFT US Equity,MSFT US Equity,MSFT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2023-07-24,343.1657,344.2274,339.6532,342.4315,26719207.0
2023-07-25,344.416,349.1589,342.3918,348.2559,41637739.0
2023-07-26,338.79,341.9949,330.5246,335.1485,58383702.0
2023-07-27,337.8374,338.6808,326.4961,328.1532,39635262.0
2023-07-28,331.0803,337.3711,330.5842,335.7438,28484868.0
2023-07-29,331.0803,337.3711,330.5842,335.7438,28484868.0
2023-07-30,331.0803,337.3711,330.5842,335.7438,28484868.0
2023-07-31,334.305,335.074,330.7727,333.3128,25446022.0
2023-08-01,332.5885,335.9125,331.11,333.7296,18381253.0
2023-08-02,331.0406,331.0406,323.8221,324.9582,27761257.0
2023-08-03,323.4698,327.3197,323.4202,324.1247,18360352.0
2023-08-04,329.3042,332.5389,324.7002,325.236,23741484.0
2023-08-05,329.3042,332.5389,324.7002,325.236,23741484.0
2023-08-06,329.3042,332.5389,324.7002,325.236,23741484.0
2023-08-07,325.8214,328.5401,324.978,327.5479,17741526.0
2023-08-08,324.4224,326.1985,320.4931,323.5194,22327574.0
2023-08-09,323.9362,324.5712,318.5581,319.7291,22373268.0
2023-08-10,323.4847,325.7123,318.6872,320.4236,20113725.0
2023-08-11,317.7744,319.9077,316.7325,318.5185,24355491.0
2023-08-12,317.7744,319.9077,316.7325,318.5185,24355491.0
2023-08-13,317.7744,319.9077,316.7325,318.5185,24355491.0
2023-08-14,318.8956,321.5449,317.5958,321.525,18836139.0
2023-08-15,320.4931,322.5669,318.4128,319.3619,16966285.0
2023-08-16,318.9842,322.5837,317.9933,318.5864,20698864.0
2023-08-17,318.7256,320.0481,314.4202,315.0864,21257161.0
2023-08-18,312.7099,316.5779,309.7873,314.6886,24755012.0
2023-08-19,312.7099,316.5779,309.7873,314.6886,24755012.0
2023-08-20,312.7099,316.5779,309.7873,314.6886,24755012.0
2023-08-21,316.1304,320.943,315.2455,320.0581,24039956.0
2023-08-22,323.6576,324.2293,319.6404,320.6348,16102024.0
2023-08-23,321.9871,327.3366,321.6291,325.1491,21166382.0
2023-08-24,330.966,331.0952,318.1489,318.1589,23281434.0
2023-08-25,319.6504,323.5184,316.9956,321.1518,21684104.0
2023-08-26,319.6504,323.5184,316.9956,321.1518,21684104.0
2023-08-27,319.6504,323.5184,316.9956,321.1518,21684104.0
2023-08-28,323.8167,324.3039,319.901,321.8678,14808482.0
2023-08-29,320.0581,327.1214,320.0581,326.5511,19284590.0
2023-08-30,326.8096,327.9432,324.5972,326.9289,15222110.0
2023-08-31,327.3366,329.0369,324.9303,325.9048,26410954.0
2023-09-01,329.4347,330.1108,324.9303,326.7997,14942024.0
2023-09-02,329.4347,330.1108,324.9303,326.7997,14942024.0
2023-09-03,329.4347,330.1108,324.9303,326.7997,14942024.0
2023-09-04,329.4347,330.1108,324.9303,326.7997,14942024.0
2023-09-05,327.1378,332.9546,326.7997,331.662,18553859.0
2023-09-06,331.493,332.5669,328.3111,330.9958,17535773.0
2023-09-07,329.4148,331.1947,327.1676,328.0426,18380995.0
2023-09-08,328.2216,334.2572,327.5952,332.3779,19548165.0
2023-09-09,328.2216,334.2572,327.5952,332.3779,19548165.0
2023-09-10,328.2216,334.2572,327.5952,332.3779,19548165.0
2023-09-11,335.3311,336.5044,333.5314,336.0272,16583324.0
2023-09-12,333.9142,334.8837,329.6037,329.8921,17565482.0
2023-09-13,329.4347,334.9433,329.2955,334.1578,16544412.0
2023-09-14,337.2283,338.9306,334.6649,336.7829,20267048.0
2023-09-15,335.0129,335.4877,327.7841,328.3509,37679792.0
2023-09-16,335.0129,335.4877,327.7841,328.3509,37679792.0
2023-09-17,335.0129,335.4877,327.7841,328.3509,37679792.0
2023-09-18,325.9446,328.5298,324.5127,327.1974,16834208.0
2023-09-19,324.3238,327.5256,322.6732,326.7897,16514487.0
2023-09-20,327.6449,327.7244,318.6958,318.9543,21436525.0
2023-09-21,317.4529,323.5083,313.217,317.7214,35560362.0
2023-09-22,319.5012,319.6305,314.3605,315.2156,21447887.0
2023-09-23,319.5012,319.6305,314.3605,315.2156,21447887.0
2023-09-24,319.5012,319.6305,314.3605,315.2156,21447887.0
2023-09-25,314.798,315.8719,313.217,315.7426,17835964.0
2023-09-26,313.3463,314.092,308.2652,310.3732,26297573.0
2023-09-27,310.5323,312.52,307.9371,311.0195,19410082.0
2023-09-28,309.2297,313.6943,307.6984,311.8647,19683564.0
2023-09-29,315.9514,317.6617,313.1971,313.9628,24147298.0
2023-09-30,315.9514,317.6617,313.1971,313.9628,24147298.0
2023-10-01,315.9514,317.6617,313.1971,313.9628,24147298.0
2023-10-02,314.4898,320.066,313.396,319.9785,20570006.0
2023-10-03,319.014,319.5708,309.4534,311.6161,21033492.0
2023-10-04,312.2525,318.2285,312.2227,317.1496,20720144.0
2023-10-05,317.2839,318.1688,313.1176,317.5523,16965629.0
2023-10-06,314.7582,327.3267,314.5096,325.4076,25673630.0
2023-10-07,314.7582,327.3267,314.5096,325.4076,25673630.0
2023-10-08,314.7582,327.3267,314.5096,325.4076,25673630.0
2023-10-09,322.9118,328.4304,321.3507,327.9531,19891180.0
2023-10-10,329.0867,329.2259,325.8153,326.5312,20557094.0
2023-10-11,329.3353,330.9361,327.277,330.5384,20063246.0
2023-10-12,328.6939,331.7415,326.8593,329.2855,19313098.0
2023-10-13,330.4986,331.9404,324.5127,325.8749,21085695.0
2023-10-14,330.4986,331.9404,324.5127,325.8749,21085695.0
2023-10-15,330.4986,331.9404,324.5127,325.8749,21085695.0
2023-10-16,329.1762,334.2373,328.7287,330.7572,22158048.0
2023-10-17,327.7244,331.5725,325.5568,330.1804,18338523.0
2023-10-18,330.608,333.6905,326.4417,328.2415,23153602.0
2023-10-19,330.2699,334.9732,329.0369,329.4446,25052071.0
2023-10-20,329.8424,330.0412,323.6079,324.8209,25027715.0
2023-10-21,329.8424,330.0412,323.6079,324.8209,25027715.0
2023-10-22,329.8424,330.0412,323.6079,324.8209,25027715.0
2023-10-23,323.6277,330.8417,322.5539,327.4559,24374748.0
2023-10-24,329.4247,329.9617,325.7457,328.6591,31153571.0
2023-10-25,343.0671,344.2404,335.709,338.7417,55053828.0
2023-10-26,338.6124,339.6963,325.0894,326.034,37828543.0
2023-10-27,328.5547,334.8141,326.5419,327.9432,29856522.0
2023-10-28,328.5547,334.8141,326.5419,327.9432,29856522.0
2023-10-29,328.5547,334.8141,326.5419,327.9432,29856522.0
2023-10-30,331.5228,337.5286,329.9517,335.4007,22828082.0
2023-10-31,336.932,337.0812,332.7956,336.1962,20265282.0
2023-11-01,337.8667,345.4535,337.7275,344.1111,28158819.0
2023-11-02,345.2745,346.8555,342.8185,346.3484,24348072.0
2023-11-03,347.651,352.384,345.364,350.803,23637673.0
2023-11-04,347.651,352.384,345.364,350.803,23637673.0
2023-11-05,347.651,352.384,345.364,350.803,23637673.0
2023-11-06,351.4494,355.5162,351.3499,354.5119,23828301.0
2023-11-07,357.3657,360.4084,355.6057,358.4893,25833931.0
2023-11-08,359.6328,361.8104,358.5092,361.1442,26767828.0
2023-11-09,360.2493,362.7252,358.3222,358.6484,24847331.0
2023-11-10,359.4439,368.0051,359.0262,367.5776,28065164.0
2023-11-11,359.4439,368.0051,359.0262,367.5776,28065164.0
2023-11-12,359.4439,368.0051,359.0262,367.5776,28065164.0
2023-11-13,366.1358,366.3843,363.8289,364.6045,19986506.0
2023-11-14,368.91,369.8447,365.2661,368.1742,27683862.0
2023-11-15,369.9275,371.7708,365.7727,368.3234,26860095.0
2023-11-16,369.6087,374.9791,368.8316,374.7997,27182315.0
2023-11-17,372.2491,373.0063,365.6631,368.5028,40325371.0
2023-11-18,372.2491,373.0063,365.6631,368.5028,40325371.0
2023-11-19,372.2491,373.0063,365.6631,368.5028,40325371.0
2023-11-20,369.8678,377.4899,369.6486,376.0651,52528964.0
2023-11-21,374.3016,374.851,369.7681,371.711,28423145.0
2023-11-22,376.6231,378.4064,373.5991,376.4736,23361184.0
2023-11-23,376.6231,378.4064,373.5991,376.4736,23361184.0
2023-11-24,375.9555,376.5932,373.7685,376.0551,10176649.0
2023-11-25,375.9555,376.5932,373.7685,376.0551,10176649.0
2023-11-26,375.9555,376.5932,373.7685,376.0551,10176649.0
2023-11-27,375.4075,379.2535,374.8296,377.2308,22179228.0
