,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity,1981718D US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-04-18,37.0831,37.7715,36.2079,36.6996,4892029.0
2020-04-19,37.0831,37.7715,36.2079,36.6996,4892029.0
2020-04-20,36.1096,37.5256,35.844,37.3388,4480355.0
2020-04-21,36.4341,37.0733,36.0014,36.8668,3921377.0
2020-04-22,37.4469,37.5158,36.5324,36.8963,3905763.0
2020-04-23,36.9749,37.4863,36.1882,36.5521,3915003.0
2020-04-24,36.8471,37.2109,36.0112,36.1096,2872578.0
2020-04-25,36.8471,37.2109,36.0112,36.1096,2872578.0
2020-04-26,36.8471,37.2109,36.0112,36.1096,2872578.0
2020-04-27,36.4439,37.9386,36.3406,37.5945,3247570.0
2020-04-28,38.3615,38.8138,37.8108,37.9386,1918812.0
2020-04-29,38.9318,40.0431,38.7942,39.7087,4734147.0
2020-04-30,38.9712,39.4924,38.4205,38.6172,3335782.0
2020-05-01,37.7813,37.8501,37.1913,37.3584,3653667.0
2020-05-02,37.7813,37.8501,37.1913,37.3584,3653667.0
2020-05-03,37.7813,37.8501,37.1913,37.3584,3653667.0
2020-05-04,36.6602,36.9553,36.0702,36.6307,5226303.0
2020-05-05,37.0571,37.2852,35.7383,35.7581,3383933.0
2020-05-06,36.2638,36.5018,35.53,35.5796,2110758.0
2020-05-07,35.9961,37.5133,35.9862,36.2936,4821561.0
2020-05-08,37.0968,37.8108,36.958,37.5728,5277125.0
2020-05-09,37.0968,37.8108,36.958,37.5728,5277125.0
2020-05-10,37.0968,37.8108,36.958,37.5728,5277125.0
2020-05-11,37.2059,37.4835,36.5911,36.6307,5220382.0
2020-05-12,36.8191,36.8786,34.6029,35.1929,3663881.0
2020-05-13,34.9648,35.0243,33.3881,33.9385,2367774.0
2020-05-14,33.4179,34.2707,32.5056,34.1318,3383624.0
2020-05-15,33.6955,34.0426,33.2096,33.3088,2545884.0
2020-05-16,33.6955,34.0426,33.2096,33.3088,2545884.0
2020-05-17,33.6955,34.0426,33.2096,33.3088,2545884.0
2020-05-18,34.4095,35.5796,33.874,35.2127,4587345.0
2020-05-19,35.2226,35.292,33.8343,33.8641,2832503.0
2020-05-20,33.9831,34.9747,33.6955,34.7169,2246310.0
2020-05-21,34.3797,34.707,33.8542,34.2012,3428369.0
2020-05-22,34.35,34.35,33.4079,33.7848,2803394.0
2020-05-23,34.35,34.35,33.4079,33.7848,2803394.0
2020-05-24,34.35,34.35,33.4079,33.7848,2803394.0
2020-05-25,34.35,34.35,33.4079,33.7848,2803394.0
2020-05-26,35.3714,36.1647,34.9946,35.6986,5368582.0
2020-05-27,37.0076,38.5347,37.0076,38.4851,4562832.0
2020-05-28,38.8917,39.0206,37.2257,37.3546,2068005.0
2020-05-29,36.7993,37.4141,36.5712,36.958,4769545.0
2020-05-30,36.7993,37.4141,36.5712,36.958,4769545.0
2020-05-31,36.7993,37.4141,36.5712,36.958,4769545.0
2020-06-01,37.315,37.9397,36.9679,37.8306,2910272.0
2020-06-02,37.9992,38.9115,37.9992,38.4851,3548345.0
2020-06-03,39.6651,41.1625,39.6304,41.0237,2669388.0
2020-06-04,42.7987,44.7224,41.9359,44.7125,16700946.0
2020-06-05,47.5882,49.1153,45.724,45.843,6483779.0
2020-06-06,47.5882,49.1153,45.724,45.843,6483779.0
2020-06-07,47.5882,49.1153,45.724,45.843,6483779.0
2020-06-08,46.2198,46.3784,44.2365,44.7026,7277691.0
2020-06-09,43.6515,43.9737,42.883,42.9672,6690871.0
2020-06-10,42.64,42.7094,40.7162,40.8055,6164171.0
2020-06-11,39.2486,40.1907,38.5743,38.7379,5602420.0
2020-06-12,40.3295,40.3295,37.8901,38.9511,5836427.0
2020-06-13,40.3295,40.3295,37.8901,38.9511,5836427.0
2020-06-14,40.3295,40.3295,37.8901,38.9511,5836427.0
2020-06-15,37.6918,39.7147,37.6224,39.1495,4769748.0
2020-06-16,40.7361,40.7361,39.0007,39.5065,3547002.0
2020-06-17,39.5957,39.8337,39.0106,39.1594,4172568.0
2020-06-18,38.9908,39.6602,38.5347,39.4073,4852047.0
2020-06-19,39.9626,40.151,38.2421,39.1792,6047417.0
2020-06-20,39.9626,40.151,38.2421,39.1792,6047417.0
2020-06-21,39.9626,40.151,38.2421,39.1792,6047417.0
2020-06-22,38.9412,39.3379,38.6834,39.0106,4263012.0
2020-06-23,39.4866,39.6552,38.4058,38.4355,4547834.0
2020-06-24,38.1975,38.1975,36.0457,36.1746,4616905.0
2020-06-25,36.0953,36.6258,35.6391,36.4423,4553191.0
2020-06-26,36.1548,36.1548,33.8343,33.9236,12607462.0
2020-06-27,36.1548,36.1548,33.8343,33.9236,12607462.0
2020-06-28,36.1548,36.1548,33.8343,33.9236,12607462.0
2020-06-29,34.4095,35.0937,34.1715,35.0937,3816218.0
2020-06-30,34.8855,36.3531,34.7962,36.0754,6665703.0
2020-07-01,36.1349,36.482,35.1135,35.3515,4775188.0
2020-07-02,36.1647,36.5812,35.6193,35.6887,5874412.0
2020-07-03,36.1647,36.5812,35.6193,35.6887,5874412.0
2020-07-04,36.1647,36.5812,35.6193,35.6887,5874412.0
2020-07-05,36.1647,36.5812,35.6193,35.6887,5874412.0
2020-07-06,36.3432,37.3645,36.3432,36.6208,6423854.0
2020-07-07,36.2738,36.6059,35.9068,36.2837,2583420.0
2020-07-08,36.3432,36.9877,36.2242,36.8786,1879455.0
2020-07-09,36.6407,36.9778,35.8474,36.3035,3163960.0
2020-07-10,36.3332,37.434,36.3332,37.3249,2222554.0
2020-07-11,36.3332,37.434,36.3332,37.3249,2222554.0
2020-07-12,36.3332,37.434,36.3332,37.3249,2222554.0
2020-07-13,37.7909,37.9794,36.7894,36.839,2742588.0
2020-07-14,36.9282,37.3844,36.4225,37.0472,2501438.0
2020-07-15,37.7414,38.4058,37.3844,38.2768,1993529.0
2020-07-16,37.2555,38.7032,36.9778,37.424,2282495.0
2020-07-17,37.315,37.6819,35.8275,35.8275,3517111.0
