,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-11-21,24.4353,24.945,24.4353,24.8377,551883.0
2020-11-22,24.4353,24.945,24.4353,24.8377,551883.0
2020-11-23,24.9807,25.5887,24.7661,24.936,740018.0
2020-11-24,25.1595,25.6781,24.7661,25.2579,592403.0
2020-11-25,25.1685,25.2311,24.1582,24.6231,490854.0
2020-11-26,25.1685,25.2311,24.1582,24.6231,490854.0
2020-11-27,24.8645,25.1953,24.3459,24.9628,236731.0
2020-11-28,24.8645,25.1953,24.3459,24.9628,236731.0
2020-11-29,24.8645,25.1953,24.3459,24.9628,236731.0
2020-11-30,24.7751,25.6602,24.5873,24.8198,963097.0
2020-12-01,25.1506,25.4009,24.3102,24.7661,904358.0
2020-12-02,26.2409,29.0309,26.152,28.5571,3220119.0
2020-12-03,28.9773,29.6657,28.2441,28.6018,2003524.0
2020-12-04,28.5392,29.2902,28.1368,29.1561,847815.0
2020-12-05,28.5392,29.2902,28.1368,29.1561,847815.0
2020-12-06,28.5392,29.2902,28.1368,29.1561,847815.0
2020-12-07,28.8879,29.317,28.2799,28.6822,921875.0
2020-12-08,28.7359,29.8088,28.7359,29.5942,862461.0
2020-12-09,29.7641,29.925,28.7091,28.7895,805620.0
2020-12-10,28.5749,28.9773,28.119,28.5213,649086.0
2020-12-11,28.3425,28.7091,27.6093,28.1011,535018.0
2020-12-12,28.3425,28.7091,27.6093,28.1011,535018.0
2020-12-13,28.3425,28.7091,27.6093,28.1011,535018.0
2020-12-14,28.3514,28.3514,27.6496,27.9223,777691.0
2020-12-15,28.1011,28.9862,27.9401,28.8968,605743.0
2020-12-16,28.8521,29.1561,28.566,29.0488,552153.0
2020-12-17,29.1114,29.317,28.7806,29.0846,636987.0
2020-12-18,29.4333,29.5048,28.2531,28.4498,1512192.0
2020-12-19,29.4333,29.5048,28.2531,28.4498,1512192.0
2020-12-20,29.4333,29.5048,28.2531,28.4498,1512192.0
2020-12-21,28.11,28.7806,27.4126,28.6554,683537.0
2020-12-22,28.7359,29.0399,28.1458,28.8611,1056054.0
2020-12-23,29.2097,29.2097,28.7538,28.7716,369924.0
2020-12-24,29.0583,29.2992,28.2084,28.3514,151855.0
2020-12-25,29.0583,29.2992,28.2084,28.3514,151855.0
2020-12-26,29.0583,29.2992,28.2084,28.3514,151855.0
2020-12-27,29.0583,29.2992,28.2084,28.3514,151855.0
2020-12-28,28.6286,28.7001,28.2173,28.5034,347983.0
2020-12-29,28.7001,28.7001,27.8463,28.2888,282174.0
2020-12-30,27.4573,28.5839,27.0014,27.0103,1245384.0
2020-12-31,27.0908,27.0908,26.4202,26.4917,688407.0
2021-01-01,27.0908,27.0908,26.4202,26.4917,688407.0
2021-01-02,27.0908,27.0908,26.4202,26.4917,688407.0
2021-01-03,27.0908,27.0908,26.4202,26.4917,688407.0
2021-01-04,27.2562,27.2606,25.1774,26.0536,1130446.0
2021-01-05,26.0536,27.2249,26.0536,26.7242,878539.0
2021-01-06,28.1279,28.2441,27.3143,27.958,977920.0
2021-01-07,27.8954,28.6912,27.1444,27.9848,1112171.0
2021-01-08,28.3514,29.0399,28.1637,28.7448,607500.0
2021-01-09,28.3514,29.0399,28.1637,28.7448,607500.0
2021-01-10,28.3514,29.0399,28.1637,28.7448,607500.0
2021-01-11,28.3157,28.7985,28.2978,28.6331,474382.0
2021-01-12,28.7716,29.4869,28.6644,29.3528,510862.0
2021-01-13,29.469,30.533,29.013,29.6747,838115.0
2021-01-14,29.5756,30.8732,29.3773,30.3415,713409.0
