,WERN US Equity,WERN US Equity,WERN US Equity,WERN US Equity,WERN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-02-23,41.3645,41.6432,40.3746,41.326,633728.0
2021-02-24,41.5855,41.9892,41.2587,41.893,380954.0
2021-02-25,41.9892,42.2775,41.4413,41.5759,399675.0
2021-02-26,41.7104,42.018,41.0761,41.2491,495806.0
2021-02-27,41.7104,42.018,41.0761,41.2491,495806.0
2021-02-28,41.7104,42.018,41.0761,41.2491,495806.0
2021-03-01,41.5182,42.71,41.2876,42.6235,646516.0
2021-03-02,42.5177,43.325,42.2871,43.0175,715828.0
2021-03-03,43.1809,44.5456,42.8637,44.1323,715858.0
2021-03-04,45.4394,45.9584,43.5365,43.7239,930292.0
2021-03-05,43.7287,44.6898,43.2251,44.1419,956375.0
2021-03-06,43.7287,44.6898,43.2251,44.1419,956375.0
2021-03-07,43.7287,44.6898,43.2251,44.1419,956375.0
2021-03-08,44.3822,44.9589,43.7864,43.8921,920538.0
2021-03-09,43.9786,44.5312,43.5749,44.2669,833270.0
2021-03-10,43.8921,44.3364,43.3443,43.9209,952743.0
2021-03-11,43.6614,45.0357,43.5653,45.0309,613199.0
2021-03-12,45.3337,45.9103,44.9589,45.4971,492584.0
2021-03-13,45.3337,45.9103,44.9589,45.4971,492584.0
2021-03-14,45.3337,45.9103,44.9589,45.4971,492584.0
2021-03-15,45.3721,45.3721,44.4975,44.709,615764.0
2021-03-16,44.8628,44.9589,44.1035,44.4207,438041.0
2021-03-17,45.0838,45.0838,43.8152,44.2957,412941.0
2021-03-18,44.2765,45.8142,44.2765,45.2568,560455.0
2021-03-19,45.0357,45.5547,44.584,44.8531,1535286.0
2021-03-20,45.0357,45.5547,44.584,44.8531,1535286.0
2021-03-21,45.0357,45.5547,44.584,44.8531,1535286.0
2021-03-22,45.0934,45.2856,43.8921,44.0747,531282.0
2021-03-23,43.9017,44.2092,43.104,43.2962,634408.0
2021-03-24,43.5173,43.969,43.2097,43.2482,936698.0
2021-03-25,43.0944,43.9401,42.4312,43.6326,730678.0
2021-03-26,43.844,45.3433,43.3443,45.2952,1120377.0
2021-03-27,43.844,45.3433,43.3443,45.2952,1120377.0
2021-03-28,43.844,45.3433,43.3443,45.2952,1120377.0
2021-03-29,45.0261,46.0641,44.7666,45.1991,511191.0
2021-03-30,45.3529,46.3332,44.9973,46.1698,735058.0
2021-03-31,46.0641,46.2467,44.9108,45.3337,534481.0
2021-04-01,45.2087,45.8238,44.8628,45.7662,342299.0
2021-04-02,45.2087,45.8238,44.8628,45.7662,342299.0
2021-04-03,45.2087,45.8238,44.8628,45.7662,342299.0
2021-04-04,45.2087,45.8238,44.8628,45.7662,342299.0
2021-04-05,45.9968,46.7561,45.9776,46.4389,349867.0
2021-04-06,46.2947,46.6407,45.9968,46.0208,981438.0
2021-04-07,46.3716,46.7561,46.0449,46.3044,379993.0
2021-04-08,46.1025,46.3428,45.5932,46.1506,523235.0
2021-04-09,46.314,46.7272,46.1362,46.2755,314096.0
2021-04-10,46.314,46.7272,46.1362,46.2755,314096.0
2021-04-11,46.314,46.7272,46.1362,46.2755,314096.0
2021-04-12,46.5062,46.9098,46.1218,46.4293,357347.0
2021-04-13,46.1506,46.5254,45.6893,46.3524,404608.0
2021-04-14,46.0376,46.5783,45.8623,46.0545,370672.0
2021-04-15,46.3812,46.6071,46.0353,46.3909,332094.0
2021-04-16,46.545,46.8242,46.0345,46.3235,339458.0
2021-04-17,46.545,46.8242,46.0345,46.3235,339458.0
2021-04-18,46.545,46.8242,46.0345,46.3235,339458.0
2021-04-19,46.1116,46.3909,45.5048,46.3138,408282.0
2021-04-20,46.4679,46.988,46.0249,46.256,864652.0
2021-04-21,46.3716,46.5161,44.2962,44.4166,821723.0
2021-04-22,44.2914,44.5707,43.7521,44.1854,595993.0
2021-04-23,44.2047,44.4744,43.6172,43.7328,611781.0
2021-04-24,44.2047,44.4744,43.6172,43.7328,611781.0
2021-04-25,44.2047,44.4744,43.6172,43.7328,611781.0
2021-04-26,43.9736,43.9736,42.9912,43.2705,757075.0
2021-04-27,43.3091,43.7521,42.9046,42.9046,570972.0
2021-04-28,42.8949,43.1742,42.3508,43.0201,626202.0
2021-04-29,43.5498,45.0041,43.338,44.9174,821953.0
2021-04-30,44.9077,45.0137,44.041,44.5225,543402.0
2021-05-01,44.9077,45.0137,44.041,44.5225,543402.0
2021-05-02,44.9077,45.0137,44.041,44.5225,543402.0
2021-05-03,44.7922,45.8612,44.3973,45.4182,522841.0
2021-05-04,45.2833,46.2271,44.9463,45.7649,415555.0
2021-05-05,45.3989,46.3042,45.3989,46.0538,490343.0
2021-05-06,46.2368,46.439,45.6667,46.0827,383574.0
2021-05-07,45.5434,46.5353,45.4663,46.439,671612.0
2021-05-08,45.5434,46.5353,45.4663,46.439,671612.0
2021-05-09,45.5434,46.5353,45.4663,46.439,671612.0
2021-05-10,46.622,47.9221,46.622,47.1035,617588.0
2021-05-11,46.7954,47.1348,45.5915,45.9864,453967.0
2021-05-12,45.8419,47.0695,45.187,45.3315,388769.0
2021-05-13,45.6878,46.7857,45.4663,46.6413,385528.0
2021-05-14,46.5546,46.7857,46.3812,46.6798,237048.0
2021-05-15,46.5546,46.7857,46.3812,46.6798,237048.0
2021-05-16,46.5546,46.7857,46.3812,46.6798,237048.0
2021-05-17,46.5642,46.9735,46.1983,46.7857,358723.0
2021-05-18,46.7857,47.1517,46.5642,46.8242,498303.0
2021-05-19,46.5931,46.8435,45.6975,46.7761,521433.0
2021-05-20,46.362,46.8146,45.8034,46.3523,331557.0
2021-05-21,46.9398,47.0265,46.5064,46.7279,618952.0
2021-05-22,46.9398,47.0265,46.5064,46.7279,618952.0
2021-05-23,46.9398,47.0265,46.5064,46.7279,618952.0
2021-05-24,46.8435,47.0169,46.0731,46.7279,295380.0
2021-05-25,46.5739,46.8339,45.5915,45.6589,536212.0
2021-05-26,45.6686,46.2849,45.3748,46.1019,357662.0
2021-05-27,46.3427,46.6702,46.1694,46.3138,465231.0
2021-05-28,46.4005,46.5835,45.9479,46.2175,434157.0
2021-05-29,46.4005,46.5835,45.9479,46.2175,434157.0
2021-05-30,46.4005,46.5835,45.9479,46.2175,434157.0
2021-05-31,46.4005,46.5835,45.9479,46.2175,434157.0
2021-06-01,46.0634,46.7472,46.049,46.0827,558183.0
2021-06-02,46.3523,46.3523,44.7344,45.0522,624562.0
2021-06-03,44.9944,45.5337,44.5899,45.0137,465910.0
2021-06-04,45.0233,45.1485,43.3861,44.0699,727675.0
2021-06-05,45.0233,45.1485,43.3861,44.0699,727675.0
2021-06-06,45.0233,45.1485,43.3861,44.0699,727675.0
2021-06-07,43.2031,43.9832,43.1029,43.8773,603269.0
2021-06-08,43.9062,44.3973,43.6076,44.2047,855396.0
2021-06-09,44.2336,44.3973,43.8484,44.0314,845909.0
2021-06-10,44.3877,44.3877,42.9912,43.1742,488726.0
2021-06-11,43.3668,43.8484,43.3091,43.6558,284390.0
2021-06-12,43.3668,43.8484,43.3091,43.6558,284390.0
2021-06-13,43.3668,43.8484,43.3091,43.6558,284390.0
2021-06-14,43.8676,43.9254,42.8757,43.0394,408708.0
2021-06-15,43.7039,44.041,43.049,43.5595,498027.0
2021-06-16,43.5498,43.6943,42.9912,43.1453,454273.0
2021-06-17,43.1164,43.2176,41.6141,42.0956,510703.0
2021-06-18,41.537,41.9415,40.8436,41.0844,851337.0
2021-06-19,41.537,41.9415,40.8436,41.0844,851337.0
2021-06-20,41.537,41.9415,40.8436,41.0844,851337.0
2021-06-21,41.3733,42.1919,41.2963,42.0763,599698.0
2021-06-22,42.5579,43.3091,42.2401,42.9431,767851.0
2021-06-23,42.9624,43.2031,42.423,42.6734,476583.0
2021-06-24,42.8179,42.9912,42.5193,42.7216,350309.0
2021-06-25,42.7697,43.4343,42.6831,42.9431,2216598.0
2021-06-26,42.7697,43.4343,42.6831,42.9431,2216598.0
2021-06-27,42.7697,43.4343,42.6831,42.9431,2216598.0
2021-06-28,43.0009,43.1261,42.4423,42.7408,499689.0
2021-06-29,42.6349,43.2031,42.2978,42.9142,385353.0
2021-06-30,42.7312,43.1164,42.6927,42.8757,454322.0
2021-07-01,43.0105,43.4824,42.9046,43.0683,400916.0
2021-07-02,43.5704,43.8639,43.0393,43.0586,419410.0
2021-07-03,43.5704,43.8639,43.0393,43.0586,419410.0
2021-07-04,43.5704,43.8639,43.0393,43.0586,419410.0
2021-07-05,43.5704,43.8639,43.0393,43.0586,419410.0
2021-07-06,43.0103,43.7732,42.0833,42.7206,395783.0
2021-07-07,42.5372,43.7539,42.5372,43.2807,629214.0
2021-07-08,42.8558,42.991,41.6874,42.4599,467295.0
2021-07-09,43.0297,43.3821,42.5179,42.8751,461289.0
2021-07-10,43.0297,43.3821,42.5179,42.8751,461289.0
2021-07-11,43.0297,43.3821,42.5179,42.8751,461289.0
2021-07-12,42.5468,43.2904,42.4792,43.0972,528798.0
2021-07-13,42.8751,43.8505,42.8269,43.5221,613548.0
2021-07-14,43.5704,44.8451,43.5704,44.2174,817951.0
2021-07-15,43.9374,44.7485,43.9277,44.2464,816455.0
2021-07-16,44.4492,44.6423,42.9427,43.3869,960931.0
2021-07-17,44.4492,44.6423,42.9427,43.3869,960931.0
2021-07-18,44.4492,44.6423,42.9427,43.3869,960931.0
2021-07-19,42.8172,42.8172,42.0833,42.4696,414718.0
2021-07-20,42.5082,43.5897,42.5082,43.2228,842613.0
2021-07-21,43.0779,43.2518,41.8612,42.5179,763951.0
2021-07-22,42.6337,42.8848,42.2764,42.2958,593805.0
2021-07-23,42.4599,43.2855,42.1509,43.1938,370323.0
2021-07-24,42.4599,43.2855,42.1509,43.1938,370323.0
2021-07-25,42.4599,43.2855,42.1509,43.1938,370323.0
2021-07-26,43.3097,44.0339,43.0103,43.1166,285967.0
2021-07-27,42.8655,43.3869,42.653,42.9717,453596.0
2021-07-28,42.9041,43.2035,42.3633,43.0876,440753.0
2021-07-29,43.3869,44.7968,43.2035,44.4685,929916.0
2021-07-30,43.8022,45.3279,42.093,44.1402,1362748.0
2021-07-31,43.8022,45.3279,42.093,44.1402,1362748.0
2021-08-01,43.8022,45.3279,42.093,44.1402,1362748.0
2021-08-02,44.3333,44.3429,43.1648,43.4352,805885.0
2021-08-03,43.5221,44.8934,43.4352,44.4202,673056.0
2021-08-04,44.2078,44.3623,43.4352,43.609,590553.0
2021-08-05,43.8311,43.947,43.1842,43.4932,457825.0
2021-08-06,43.5897,44.1402,43.5028,43.7829,403311.0
2021-08-07,43.5897,44.1402,43.5028,43.7829,403311.0
2021-08-08,43.5897,44.1402,43.5028,43.7829,403311.0
2021-08-09,43.329,43.6573,42.8848,42.9621,727932.0
2021-08-10,43.0007,43.4063,42.6434,43.1552,458949.0
2021-08-11,43.4159,44.0436,42.9138,43.9857,361174.0
2021-08-12,44.1498,44.3429,43.6477,43.9857,380073.0
2021-08-13,44.1595,44.623,43.9567,44.565,275489.0
2021-08-14,44.1595,44.623,43.9567,44.565,275489.0
2021-08-15,44.1595,44.623,43.9567,44.565,275489.0
2021-08-16,44.2657,44.6423,43.9567,44.5554,342053.0
2021-08-17,44.3816,44.7099,44.0629,44.6326,547032.0
2021-08-18,44.5554,45.0768,44.256,44.2947,374591.0
2021-08-19,43.8698,44.4299,43.7056,44.2753,593559.0
2021-08-20,44.3043,45.0962,44.2947,44.9899,376141.0
2021-08-21,44.3043,45.0962,44.2947,44.9899,376141.0
2021-08-22,44.3043,45.0962,44.2947,44.9899,376141.0
2021-08-23,45.1638,45.9942,45.0092,45.3279,443019.0
2021-08-24,45.55,45.7625,45.0193,45.241,392048.0
2021-08-25,44.9996,45.4921,44.9223,44.9803,371554.0
2021-08-26,44.9996,45.2024,44.7968,45.0189,417143.0
2021-08-27,45.1058,46.4481,44.9706,46.0618,574659.0
2021-08-28,45.1058,46.4481,44.9706,46.0618,574659.0
2021-08-29,45.1058,46.4481,44.9706,46.0618,574659.0
2021-08-30,46.2743,46.9599,45.9363,46.7185,532835.0
2021-08-31,46.6412,46.7909,45.5114,45.5404,488716.0
2021-09-01,46.057,46.506,45.0672,46.1004,594829.0
2021-09-02,46.2549,46.7571,46.0522,46.0522,788659.0
2021-09-03,46.6412,46.6412,45.7045,45.859,738357.0
2021-09-04,46.6412,46.6412,45.7045,45.859,738357.0
2021-09-05,46.6412,46.6412,45.7045,45.859,738357.0
2021-09-06,46.6412,46.6412,45.7045,45.859,738357.0
2021-09-07,45.6949,46.4384,45.6949,45.859,671649.0
