,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-01-09,35.6034,35.8205,35.036,35.2975,70696.0
2022-01-10,35.2087,35.3024,34.7449,35.1495,55081.0
2022-01-11,35.1495,35.7317,34.3995,35.6429,91289.0
2022-01-12,35.6527,35.7119,34.814,34.9126,68204.0
2022-01-13,34.8929,35.3567,34.8238,35.1001,61498.0
2022-01-14,34.8238,35.0014,34.5969,34.9028,47832.0
2022-01-15,34.8238,35.0014,34.5969,34.9028,47832.0
2022-01-16,34.8238,35.0014,34.5969,34.9028,47832.0
2022-01-17,34.8238,35.0014,34.5969,34.9028,47832.0
2022-01-18,34.6363,35.258,34.3107,34.8633,85290.0
2022-01-19,34.8337,35.8501,34.3304,34.5475,83472.0
2022-01-20,34.6561,35.1692,33.7976,33.9752,46811.0
2022-01-21,33.6495,34.6166,33.5015,33.5015,81811.0
2022-01-22,33.6495,34.6166,33.5015,33.5015,81811.0
2022-01-23,33.6495,34.6166,33.5015,33.5015,81811.0
2022-01-24,33.0871,34.4192,32.9391,34.2614,90266.0
2022-01-25,33.8074,34.3502,32.8897,33.9357,112273.0
2022-01-26,34.291,34.9028,33.3288,33.8469,105387.0
2022-01-27,33.9554,34.6292,33.2548,33.7581,99480.0
2022-01-28,33.7482,33.9653,32.8404,33.9357,72244.0
2022-01-29,33.7482,33.9653,32.8404,33.9357,72244.0
2022-01-30,33.7482,33.9653,32.8404,33.9357,72244.0
2022-01-31,33.6002,34.3551,33.3239,34.3008,94626.0
2022-02-01,34.3206,34.6659,33.9209,34.5081,80547.0
2022-02-02,34.4784,34.4784,33.5706,33.7285,97630.0
2022-02-03,33.541,33.9554,33.0575,33.1463,79865.0
2022-02-04,32.9884,33.7877,31.8338,32.6529,91860.0
2022-02-05,32.9884,33.7877,31.8338,32.6529,91860.0
2022-02-06,32.9884,33.7877,31.8338,32.6529,91860.0
2022-02-07,32.5838,32.7318,32.0509,32.4753,94652.0
2022-02-08,32.4555,33.6101,32.4555,33.4522,82656.0
2022-02-09,33.6199,33.8962,32.8206,32.8601,80210.0
2022-02-10,32.495,32.9687,32.1102,32.3075,107502.0
2022-02-11,32.347,32.7059,31.8141,31.9128,64326.0
2022-02-12,32.347,32.7059,31.8141,31.9128,64326.0
2022-02-13,32.347,32.7059,31.8141,31.9128,64326.0
2022-02-14,31.9621,32.1151,31.3701,31.7056,106114.0
2022-02-15,32.0608,32.8502,32.0608,32.1891,91575.0
2022-02-16,32.2483,32.2779,31.7154,32.0805,41695.0
2022-02-17,31.8042,32.2878,31.597,32.1003,58739.0
2022-02-18,32.199,32.6924,31.6069,32.2582,51035.0
2022-02-19,32.199,32.6924,31.6069,32.2582,51035.0
2022-02-20,32.199,32.6924,31.6069,32.2582,51035.0
2022-02-21,32.199,32.6924,31.6069,32.2582,51035.0
2022-02-22,32.1595,32.2976,31.6365,31.8042,62029.0
2022-02-23,32.0016,32.0016,31.1332,31.4095,65168.0
2022-02-24,30.8273,31.4885,30.5658,31.4391,65327.0
2022-02-25,31.597,32.5937,31.0839,32.4259,52146.0
2022-02-26,31.597,32.5937,31.0839,32.4259,52146.0
2022-02-27,31.597,32.5937,31.0839,32.4259,52146.0
