,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-07-14,92.622,94.981,91.682,94.788,170989364.0
2020-07-15,96.675,96.927,94.234,95.44,153197932.0
2020-07-16,94.305,95.127,93.662,94.266,110577672.0
2020-07-17,94.72,94.876,93.599,94.075,92186900.0
2020-07-18,94.72,94.876,93.599,94.075,92186900.0
2020-07-19,94.72,94.876,93.599,94.075,92186900.0
2020-07-20,94.162,96.197,93.816,96.058,90317908.0
2020-07-21,96.854,96.929,94.48,94.732,103645836.0
2020-07-22,94.432,95.684,94.344,94.998,89001652.0
2020-07-23,94.73,94.808,89.858,90.674,197004432.0
2020-07-24,88.86,90.796,87.061,90.449,185438864.0
2020-07-25,88.86,90.796,87.061,90.449,185438864.0
2020-07-26,88.86,90.796,87.061,90.449,185438864.0
2020-07-27,91.519,92.686,91.294,92.593,121214192.0
2020-07-28,92.161,92.339,91.067,91.072,103625500.0
2020-07-29,91.558,93.003,91.521,92.818,90329256.0
2020-07-30,91.985,94.046,91.575,93.941,158130020.0
2020-07-31,100.478,103.927,98.467,103.775,374295468.0
2020-08-01,100.478,103.927,98.467,103.775,374295468.0
2020-08-02,100.478,103.927,98.467,103.775,374295468.0
2020-08-03,105.67,109.026,105.37,106.39,308151388.0
2020-08-04,106.581,108.199,105.853,107.101,172792368.0
2020-08-05,106.82,107.811,106.351,107.489,121991952.0
2020-08-06,107.823,111.737,107.23,111.239,202428900.0
2020-08-07,110.757,111.217,107.908,108.71,198045612.0
2020-08-08,110.757,111.217,107.908,108.71,198045612.0
2020-08-09,110.757,111.217,107.908,108.71,198045612.0
2020-08-10,110.165,111.315,107.622,110.29,212403424.0
2020-08-11,109.548,110.05,106.748,107.01,187902376.0
2020-08-12,108.108,110.826,107.913,110.567,165944820.0
2020-08-13,111.956,113.533,111.464,112.523,210082064.0
2020-08-14,112.346,112.513,110.601,112.423,165565208.0
2020-08-15,112.346,112.513,110.601,112.423,165565208.0
2020-08-16,112.346,112.513,110.601,112.423,165565208.0
2020-08-17,113.553,113.577,111.498,112.129,119561444.0
2020-08-18,111.88,113.492,111.542,113.064,105633540.0
2020-08-19,113.475,114.629,113.11,113.206,145538008.0
2020-08-20,113.247,115.832,113.231,115.718,126907188.0
2020-08-21,116.684,122.168,116.672,121.681,338054640.0
2020-08-22,116.684,122.168,116.672,121.681,338054640.0
2020-08-23,116.684,122.168,116.672,121.681,338054640.0
2020-08-24,125.915,126.0,121.257,123.136,345937768.0
2020-08-25,122.001,122.473,120.392,122.126,211495788.0
2020-08-26,123.451,124.247,122.378,123.787,163022268.0
2020-08-27,124.393,124.729,121.155,122.307,155552384.0
2020-08-28,123.288,123.709,121.884,122.109,187629916.0
2020-08-29,123.288,123.709,121.884,122.109,187629916.0
2020-08-30,123.288,123.709,121.884,122.109,187629916.0
2020-08-31,124.821,128.168,123.276,126.25,225768339.0
2020-09-01,129.889,131.885,127.708,131.279,152470142.0
2020-09-02,134.615,134.997,124.254,128.559,200118991.0
2020-09-03,124.166,126.054,117.895,118.266,257599640.0
2020-09-04,117.474,121.025,108.492,118.345,332607163.0
2020-09-05,117.474,121.025,108.492,118.345,332607163.0
2020-09-06,117.474,121.025,108.492,118.345,332607163.0
2020-09-07,117.474,121.025,108.492,118.345,332607163.0
2020-09-08,111.486,116.417,110.244,110.381,231366563.0
2020-09-09,114.725,116.564,112.768,114.783,176940455.0
2020-09-10,117.758,117.895,110.068,111.036,182274391.0
2020-09-11,112.093,112.739,107.622,109.578,180860325.0
2020-09-12,112.093,112.739,107.622,109.578,180860325.0
2020-09-13,112.093,112.739,107.622,109.578,180860325.0
2020-09-14,112.24,113.423,110.361,112.861,140150087.0
2020-09-15,115.771,116.26,111.154,113.042,184642039.0
2020-09-16,112.739,113.492,109.617,109.706,155026675.0
2020-09-17,107.348,109.774,106.359,107.954,178010968.0
2020-09-18,108.013,108.483,103.796,104.53,287104882.0
2020-09-19,108.013,108.483,103.796,104.53,287104882.0
2020-09-20,108.013,108.483,103.796,104.53,287104882.0
2020-09-21,102.28,107.807,100.871,107.7,195713815.0
2020-09-22,110.244,110.42,106.8,109.392,183055373.0
2020-09-23,109.207,109.686,104.461,104.804,150718671.0
2020-09-24,102.896,107.866,102.73,105.88,167743349.0
2020-09-25,106.086,110.009,105.342,109.852,149981441.0
2020-09-26,106.086,110.009,105.342,109.852,149981441.0
2020-09-27,106.086,110.009,105.342,109.852,149981441.0
2020-09-28,112.523,112.827,110.341,112.474,137672403.0
2020-09-29,112.073,112.817,111.114,111.623,100060526.0
2020-09-30,111.33,114.725,111.163,113.306,142675184.0
2020-10-01,115.096,115.175,113.326,114.265,116120440.0
2020-10-02,110.449,112.875,109.794,110.576,144711986.0
2020-10-03,110.449,112.875,109.794,110.576,144711986.0
2020-10-04,110.449,112.875,109.794,110.576,144711986.0
2020-10-05,111.447,114.128,111.095,113.981,106243839.0
2020-10-06,113.198,113.609,109.823,110.713,161498212.0
2020-10-07,112.142,113.052,111.662,112.592,96848985.0
2020-10-08,113.736,113.883,112.112,112.484,83477153.0
2020-10-09,112.787,114.47,112.435,114.441,100506865.0
2020-10-10,112.787,114.47,112.435,114.441,100506865.0
2020-10-11,112.787,114.47,112.435,114.441,100506865.0
2020-10-12,117.464,122.473,116.705,121.71,240226769.0
2020-10-13,122.561,122.679,117.063,118.482,262330451.0
2020-10-14,118.384,120.37,117.034,118.57,151062308.0
2020-10-15,116.153,118.579,115.595,118.1,112559219.0
2020-10-16,118.658,118.92,116.241,116.447,115393808.0
2020-10-17,118.658,118.92,116.241,116.447,115393808.0
2020-10-18,118.658,118.92,116.241,116.447,115393808.0
2020-10-19,117.366,117.815,113.159,113.472,120639337.0
2020-10-20,113.688,116.407,113.13,114.969,124423728.0
2020-10-21,114.147,116.138,113.932,114.343,89945980.0
2020-10-22,114.911,115.488,112.112,113.247,101987954.0
2020-10-23,113.873,114.03,111.809,112.553,82572645.0
2020-10-24,113.873,114.03,111.809,112.553,82572645.0
2020-10-25,113.873,114.03,111.809,112.553,82572645.0
2020-10-26,111.545,114.03,110.439,112.562,111850657.0
2020-10-27,112.993,114.744,112.063,114.079,92276772.0
2020-10-28,112.562,112.934,108.698,108.796,143937823.0
2020-10-29,109.94,114.402,109.774,112.827,146129173.0
2020-10-30,108.659,109.569,105.391,106.506,190573476.0
2020-10-31,108.659,109.569,105.391,106.506,190573476.0
2020-11-01,108.659,109.569,105.391,106.506,190573476.0
2020-11-02,106.751,108.287,105.0,106.418,122866899.0
2020-11-03,107.289,109.079,106.379,108.052,107624448.0
2020-11-04,111.672,113.091,109.921,112.465,138235482.0
2020-11-05,115.4,117.034,114.342,116.456,126387074.0
2020-11-06,115.961,116.824,113.815,116.324,114457922.0
2020-11-07,115.961,116.824,113.815,116.324,114457922.0
2020-11-08,115.961,116.824,113.815,116.324,114457922.0
2020-11-09,118.098,119.558,113.737,114.001,154515315.0
2020-11-10,113.247,115.246,111.855,113.658,138023390.0
2020-11-11,114.854,117.245,114.119,117.108,112294954.0
2020-11-12,117.235,118.127,116.206,116.834,103350674.0
2020-11-13,117.059,117.286,115.52,116.883,81688586.0
2020-11-14,117.059,117.286,115.52,116.883,81688586.0
2020-11-15,117.059,117.286,115.52,116.883,81688586.0
2020-11-16,116.549,118.578,115.791,117.902,91183018.0
2020-11-17,117.167,118.269,116.589,117.01,74270973.0
2020-11-18,116.246,117.431,115.648,115.677,76322111.0
2020-11-19,115.246,116.687,114.481,116.275,74112972.0
2020-11-20,116.275,116.402,114.952,115.001,73604287.0
2020-11-21,116.275,116.402,114.952,115.001,73604287.0
2020-11-22,116.275,116.402,114.952,115.001,73604287.0
2020-11-23,114.844,115.276,111.482,111.58,127959318.0
2020-11-24,111.639,113.541,110.346,112.874,113874218.0
2020-11-25,113.247,114.423,112.874,113.717,76499234.0
2020-11-26,113.247,114.423,112.874,113.717,76499234.0
2020-11-27,114.246,115.148,113.903,114.266,46691331.0
2020-11-28,114.246,115.148,113.903,114.266,46691331.0
2020-11-29,114.246,115.148,113.903,114.266,46691331.0
2020-11-30,114.638,118.559,114.481,116.677,169410176.0
2020-12-01,118.598,121.008,117.618,120.274,128166803.0
2020-12-02,119.588,120.911,118.48,120.626,89004195.0
2020-12-03,121.058,121.313,119.774,120.489,78967630.0
2020-12-04,120.156,120.412,119.098,119.813,78260421.0
2020-12-05,120.156,120.412,119.098,119.813,78260421.0
2020-12-06,120.156,120.412,119.098,119.813,78260421.0
2020-12-07,119.872,122.087,119.813,121.283,86711990.0
2020-12-08,121.891,122.489,120.636,121.901,82225512.0
2020-12-09,122.048,123.439,118.588,119.352,115089193.0
2020-12-10,118.098,121.401,117.755,120.783,81312170.0
