,VSH US Equity,VSH US Equity,VSH US Equity,VSH US Equity,VSH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-10-28,20.0667,20.5639,20.0667,20.5639,1307091.0
2022-10-29,20.0667,20.5639,20.0667,20.5639,1307091.0
2022-10-30,20.0667,20.5639,20.0667,20.5639,1307091.0
2022-10-31,20.4957,20.5103,20.1447,20.3884,1334220.0
2022-11-01,20.5737,20.8857,20.3202,20.876,1234243.0
2022-11-02,19.3159,20.8028,19.1404,19.5304,1734360.0
2022-11-03,19.2574,19.7498,19.0331,19.5889,978349.0
2022-11-04,20.0277,20.5347,20.0179,20.5347,1249787.0
2022-11-05,20.0277,20.5347,20.0179,20.5347,1249787.0
2022-11-06,20.0277,20.5347,20.0179,20.5347,1249787.0
2022-11-07,20.7297,20.9442,20.4957,20.8955,970507.0
2022-11-08,21.1002,21.2952,20.8467,21.1002,905418.0
2022-11-09,20.954,21.2757,20.6225,20.6712,1015285.0
2022-11-10,21.4122,21.5195,21.1295,21.5098,1248991.0
2022-11-11,21.6658,21.8998,21.5975,21.6365,898782.0
2022-11-12,21.6658,21.8998,21.5975,21.6365,898782.0
2022-11-13,21.6658,21.8998,21.5975,21.6365,898782.0
2022-11-14,21.4708,21.7389,21.3342,21.344,602488.0
2022-11-15,21.7925,22.1387,21.656,21.9973,797411.0
2022-11-16,21.7828,21.9388,21.6658,21.7438,1164628.0
2022-11-17,21.422,22.0412,21.383,22.0363,788004.0
2022-11-18,22.3873,22.3873,21.9973,22.2605,868719.0
2022-11-19,22.3873,22.3873,21.9973,22.2605,868719.0
2022-11-20,22.3873,22.3873,21.9973,22.2605,868719.0
2022-11-21,22.1825,22.3386,21.8803,21.968,964321.0
2022-11-22,22.124,22.2703,22.0168,22.1045,1142680.0
2022-11-23,22.0753,22.4068,21.8998,22.0753,660541.0
2022-11-24,22.0753,22.4068,21.8998,22.0753,660541.0
2022-11-25,21.8608,22.1045,21.8413,21.89,317540.0
2022-11-26,21.8608,22.1045,21.8413,21.89,317540.0
2022-11-27,21.8608,22.1045,21.8413,21.89,317540.0
2022-11-28,21.7145,21.8608,21.305,21.4415,712038.0
2022-11-29,21.608,21.7353,21.4513,21.5982,757164.0
2022-11-30,21.6472,22.5679,21.4317,22.5679,1193096.0
2022-12-01,22.6267,22.7834,22.4798,22.6169,986186.0
2022-12-02,22.323,22.6953,22.2349,22.5679,769135.0
2022-12-03,22.323,22.6953,22.2349,22.5679,769135.0
2022-12-04,22.323,22.6953,22.2349,22.5679,769135.0
2022-12-05,22.3916,22.5092,21.6962,21.8921,960676.0
2022-12-06,21.9312,21.9998,21.4317,21.5296,627696.0
2022-12-07,21.4219,21.6766,21.3142,21.5982,537430.0
2022-12-08,21.6864,22.0341,21.5933,21.8039,684086.0
2022-12-09,21.706,21.8822,21.5982,21.6472,598330.0
2022-12-10,21.706,21.8822,21.5982,21.6472,598330.0
2022-12-11,21.706,21.8822,21.5982,21.6472,598330.0
2022-12-12,21.6962,22.0635,21.4905,21.9998,665763.0
2022-12-13,22.5189,22.9108,22.0978,22.2447,1378934.0
2022-12-14,22.2055,22.372,21.6962,21.8529,832745.0
2022-12-15,21.5394,21.5786,21.1182,21.1476,1205380.0
2022-12-16,20.9028,21.177,20.8048,21.1574,2035187.0
2022-12-17,20.9028,21.177,20.8048,21.1574,2035187.0
2022-12-18,20.9028,21.177,20.8048,21.1574,2035187.0
2022-12-19,21.1378,21.3044,20.6677,20.8146,752831.0
2022-12-20,20.8146,21.0399,20.6971,20.8538,714250.0
2022-12-21,21.0399,21.226,20.9321,21.1672,950528.0
2022-12-22,20.9028,20.9028,20.4277,20.8146,656586.0
2022-12-23,20.7264,20.9419,20.604,20.9321,455732.0
2022-12-24,20.7264,20.9419,20.604,20.9321,455732.0
2022-12-25,20.7264,20.9419,20.604,20.9321,455732.0
2022-12-26,20.7264,20.9419,20.604,20.9321,455732.0
2022-12-27,20.9223,21.1427,20.8244,20.9419,580113.0
2022-12-28,20.9615,21.0203,20.5697,20.5795,559380.0
2022-12-29,20.7754,21.2407,20.5795,21.226,645626.0
2022-12-30,21.0693,21.1623,20.9223,21.128,675140.0
2022-12-31,21.0693,21.1623,20.9223,21.128,675140.0
2023-01-01,21.0693,21.1623,20.9223,21.128,675140.0
2023-01-02,21.0693,21.1623,20.9223,21.128,675140.0
2023-01-03,21.3435,21.3925,20.9077,21.0399,930260.0
2023-01-04,21.2554,21.4905,21.1476,21.2162,990641.0
2023-01-05,21.1476,21.3778,20.9468,21.0399,658461.0
