,UFS US Equity,UFS US Equity,UFS US Equity,UFS US Equity,UFS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2023-03-24,55.48,55.5,55.47,55.49,3952659.0
2023-03-25,55.48,55.5,55.47,55.49,3952659.0
2023-03-26,55.48,55.5,55.47,55.49,3952659.0
2023-03-27,55.48,55.5,55.47,55.49,3952659.0
2023-03-28,55.48,55.5,55.47,55.49,3952659.0
2023-03-29,55.48,55.5,55.47,55.49,3952659.0
2023-03-30,55.48,55.5,55.47,55.49,3952659.0
2023-03-31,55.48,55.5,55.47,55.49,3952659.0
2023-04-01,55.48,55.5,55.47,55.49,3952659.0
2023-04-02,55.48,55.5,55.47,55.49,3952659.0
2023-04-03,55.48,55.5,55.47,55.49,3952659.0
2023-04-04,55.48,55.5,55.47,55.49,3952659.0
2023-04-05,55.48,55.5,55.47,55.49,3952659.0
2023-04-06,55.48,55.5,55.47,55.49,3952659.0
2023-04-07,55.48,55.5,55.47,55.49,3952659.0
2023-04-08,55.48,55.5,55.47,55.49,3952659.0
2023-04-09,55.48,55.5,55.47,55.49,3952659.0
2023-04-10,55.48,55.5,55.47,55.49,3952659.0
2023-04-11,55.48,55.5,55.47,55.49,3952659.0
2023-04-12,55.48,55.5,55.47,55.49,3952659.0
2023-04-13,55.48,55.5,55.47,55.49,3952659.0
2023-04-14,55.48,55.5,55.47,55.49,3952659.0
2023-04-15,55.48,55.5,55.47,55.49,3952659.0
2023-04-16,55.48,55.5,55.47,55.49,3952659.0
2023-04-17,55.48,55.5,55.47,55.49,3952659.0
2023-04-18,55.48,55.5,55.47,55.49,3952659.0
2023-04-19,55.48,55.5,55.47,55.49,3952659.0
2023-04-20,55.48,55.5,55.47,55.49,3952659.0
2023-04-21,55.48,55.5,55.47,55.49,3952659.0
2023-04-22,55.48,55.5,55.47,55.49,3952659.0
2023-04-23,55.48,55.5,55.47,55.49,3952659.0
2023-04-24,55.48,55.5,55.47,55.49,3952659.0
2023-04-25,55.48,55.5,55.47,55.49,3952659.0
2023-04-26,55.48,55.5,55.47,55.49,3952659.0
2023-04-27,55.48,55.5,55.47,55.49,3952659.0
2023-04-28,55.48,55.5,55.47,55.49,3952659.0
2023-04-29,55.48,55.5,55.47,55.49,3952659.0
2023-04-30,55.48,55.5,55.47,55.49,3952659.0
2023-05-01,55.48,55.5,55.47,55.49,3952659.0
2023-05-02,55.48,55.5,55.47,55.49,3952659.0
2023-05-03,55.48,55.5,55.47,55.49,3952659.0
2023-05-04,55.48,55.5,55.47,55.49,3952659.0
2023-05-05,55.48,55.5,55.47,55.49,3952659.0
2023-05-06,55.48,55.5,55.47,55.49,3952659.0
2023-05-07,55.48,55.5,55.47,55.49,3952659.0
2023-05-08,55.48,55.5,55.47,55.49,3952659.0
2023-05-09,55.48,55.5,55.47,55.49,3952659.0
2023-05-10,55.48,55.5,55.47,55.49,3952659.0
2023-05-11,55.48,55.5,55.47,55.49,3952659.0
2023-05-12,55.48,55.5,55.47,55.49,3952659.0
2023-05-13,55.48,55.5,55.47,55.49,3952659.0
2023-05-14,55.48,55.5,55.47,55.49,3952659.0
2023-05-15,55.48,55.5,55.47,55.49,3952659.0
2023-05-16,55.48,55.5,55.47,55.49,3952659.0
2023-05-17,55.48,55.5,55.47,55.49,3952659.0
2023-05-18,55.48,55.5,55.47,55.49,3952659.0
2023-05-19,55.48,55.5,55.47,55.49,3952659.0
2023-05-20,55.48,55.5,55.47,55.49,3952659.0
