,URI US Equity
,BEST_EPS
2022-02-24,35.136
2022-02-25,35.136
2022-02-26,35.136
2022-02-27,35.136
2022-02-28,35.136
2022-03-01,35.136
2022-03-02,35.136
2022-03-03,36.081
2022-03-04,36.081
2022-03-05,36.081
2022-03-06,36.081
2022-03-07,36.081
2022-03-08,36.081
2022-03-09,36.081
2022-03-10,35.981
2022-03-11,35.981
2022-03-12,35.981
2022-03-13,35.981
2022-03-14,35.981
2022-03-15,35.981
2022-03-16,35.981
2022-03-17,35.981
2022-03-18,35.981
2022-03-19,35.981
2022-03-20,35.981
2022-03-21,35.981
2022-03-22,35.981
2022-03-23,35.981
2022-03-24,35.981
2022-03-25,36.163
2022-03-26,36.163
2022-03-27,36.163
2022-03-28,36.163
2022-03-29,36.163
2022-03-30,36.163
2022-03-31,36.163
2022-04-01,36.163
2022-04-02,36.163
2022-04-03,36.163
2022-04-04,36.163
2022-04-05,36.163
2022-04-06,36.163
2022-04-07,36.163
2022-04-08,36.163
2022-04-09,36.163
2022-04-10,36.163
2022-04-11,36.163
2022-04-12,36.163
2022-04-13,36.326
2022-04-14,36.326
2022-04-15,36.326
2022-04-16,36.326
2022-04-17,36.326
2022-04-18,36.434
2022-04-19,36.434
2022-04-20,36.434
2022-04-21,36.434
2022-04-22,36.434
2022-04-23,36.434
2022-04-24,36.434
2022-04-25,36.434
2022-04-26,36.434
2022-04-27,36.03
2022-04-28,36.632
2022-04-29,36.632
2022-04-30,36.762
2022-05-01,36.762
2022-05-02,36.762
2022-05-03,36.762
2022-05-04,36.664
2022-05-05,36.664
2022-05-06,36.896
2022-05-07,36.896
2022-05-08,36.896
2022-05-09,36.896
2022-05-10,36.896
2022-05-11,37.263
2022-05-12,37.263
2022-05-13,37.263
2022-05-14,37.263
2022-05-15,37.263
2022-05-16,37.263
2022-05-17,37.338
2022-05-18,37.338
2022-05-19,37.338
2022-05-20,37.338
2022-05-21,37.338
2022-05-22,37.338
2022-05-23,37.338
2022-05-24,37.338
2022-05-25,37.338
2022-05-26,37.338
2022-05-27,37.338
2022-05-28,37.338
2022-05-29,37.338
2022-05-30,37.338
2022-05-31,36.591
2022-06-01,36.591
2022-06-02,36.591
2022-06-03,36.591
2022-06-04,36.591
2022-06-05,36.591
2022-06-06,36.591
2022-06-07,36.591
2022-06-08,36.591
2022-06-09,36.591
2022-06-10,36.591
2022-06-11,36.591
2022-06-12,36.591
2022-06-13,36.591
2022-06-14,36.591
2022-06-15,36.591
2022-06-16,36.591
2022-06-17,36.591
2022-06-18,36.591
2022-06-19,36.768
2022-06-20,36.768
2022-06-21,36.768
2022-06-22,36.768
2022-06-23,36.768
2022-06-24,36.768
2022-06-25,36.768
2022-06-26,36.768
2022-06-27,36.658
2022-06-28,36.658
2022-06-29,36.658
2022-06-30,36.658
2022-07-01,36.658
2022-07-02,36.658
2022-07-03,36.658
2022-07-04,36.658
2022-07-05,36.658
2022-07-06,36.658
2022-07-07,36.658
2022-07-08,36.659
2022-07-09,36.659
2022-07-10,36.659
2022-07-11,36.659
2022-07-12,36.659
2022-07-13,36.659
2022-07-14,36.659
2022-07-15,36.659
2022-07-16,36.659
2022-07-17,36.659
2022-07-18,36.659
2022-07-19,35.113
2022-07-20,35.372
2022-07-21,35.372
2022-07-22,35.372
2022-07-23,35.372
2022-07-24,35.372
2022-07-25,35.372
2022-07-26,35.372
2022-07-27,35.565
2022-07-28,35.795
2022-07-29,35.978
2022-07-30,36.11
2022-07-31,36.11
2022-08-01,35.579
2022-08-02,35.579
2022-08-03,35.579
2022-08-04,35.579
2022-08-05,35.579
2022-08-06,35.579
2022-08-07,35.579
2022-08-08,35.758
2022-08-09,35.955
2022-08-10,35.955
2022-08-11,35.552
2022-08-12,35.552
2022-08-13,35.552
2022-08-14,35.552
2022-08-15,35.552
2022-08-16,35.552
2022-08-17,35.552
2022-08-18,35.658
2022-08-19,35.658
2022-08-20,35.658
2022-08-21,35.658
2022-08-22,35.658
2022-08-23,35.658
2022-08-24,35.658
2022-08-25,35.658
2022-08-26,35.658
2022-08-27,35.658
2022-08-28,35.658
2022-08-29,35.658
2022-08-30,35.658
2022-08-31,35.658
2022-09-01,35.658
2022-09-02,35.658
2022-09-03,35.658
2022-09-04,35.658
2022-09-05,35.658
2022-09-06,35.658
2022-09-07,35.658
2022-09-08,35.658
2022-09-09,35.658
2022-09-10,35.658
2022-09-11,35.658
2022-09-12,35.658
2022-09-13,35.658
2022-09-14,35.658
2022-09-15,35.658
2022-09-16,35.658
2022-09-17,35.658
2022-09-18,35.658
2022-09-19,35.658
2022-09-20,35.658
2022-09-21,35.658
2022-09-22,35.658
2022-09-23,35.658
2022-09-24,35.658
2022-09-25,35.658
2022-09-26,35.658
2022-09-27,35.658
2022-09-28,35.658
2022-09-29,35.658
2022-09-30,35.658
2022-10-01,35.658
2022-10-02,35.658
2022-10-03,35.658
2022-10-04,35.658
2022-10-05,35.662
2022-10-06,35.662
2022-10-07,35.662
2022-10-08,35.662
2022-10-09,35.662
2022-10-10,35.662
2022-10-11,35.658
2022-10-12,35.742
2022-10-13,35.639
2022-10-14,35.639
2022-10-15,35.639
2022-10-16,35.639
2022-10-17,35.639
2022-10-18,35.639
2022-10-19,35.639
2022-10-20,35.803
2022-10-21,35.803
2022-10-22,35.803
2022-10-23,35.803
2022-10-24,35.803
2022-10-25,35.803
2022-10-26,35.803
2022-10-27,37.349
2022-10-28,37.736
2022-10-29,37.736
2022-10-30,37.733
2022-10-31,37.882
2022-11-01,37.882
2022-11-02,37.882
2022-11-03,37.882
2022-11-04,37.882
2022-11-05,37.882
2022-11-06,37.882
2022-11-07,37.882
2022-11-08,38.313
2022-11-09,38.313
2022-11-10,38.313
