,VRTX US Equity
,BEST_EPS
2022-03-25,16.279
2022-03-26,16.279
2022-03-27,16.279
2022-03-28,16.279
2022-03-29,16.279
2022-03-30,16.279
2022-03-31,16.577
2022-04-01,16.577
2022-04-02,16.608
2022-04-03,16.608
2022-04-04,16.594
2022-04-05,16.594
2022-04-06,16.666
2022-04-07,16.666
2022-04-08,16.666
2022-04-09,16.666
2022-04-10,16.666
2022-04-11,16.666
2022-04-12,16.731
2022-04-13,16.731
2022-04-14,16.731
2022-04-15,16.731
2022-04-16,16.731
2022-04-17,16.675
2022-04-18,16.675
2022-04-19,16.675
2022-04-20,16.691
2022-04-21,16.691
2022-04-22,16.691
2022-04-23,16.691
2022-04-24,16.691
2022-04-25,16.691
2022-04-26,16.691
2022-04-27,16.766
2022-04-28,16.766
2022-04-29,16.766
2022-04-30,16.766
2022-05-01,16.766
2022-05-02,16.766
2022-05-03,16.696
2022-05-04,16.694
2022-05-05,16.513
2022-05-06,16.471
2022-05-07,16.471
2022-05-08,16.515
2022-05-09,16.493
2022-05-10,16.553
2022-05-11,16.553
2022-05-12,16.553
2022-05-13,16.553
2022-05-14,16.553
2022-05-15,16.553
2022-05-16,16.494
2022-05-17,16.494
2022-05-18,16.494
2022-05-19,16.494
2022-05-20,16.491
2022-05-21,16.491
2022-05-22,16.507
2022-05-23,16.507
2022-05-24,16.507
2022-05-25,16.507
2022-05-26,16.507
2022-05-27,16.507
2022-05-28,16.507
2022-05-29,16.507
2022-05-30,16.507
2022-05-31,16.514
2022-06-01,16.514
2022-06-02,16.562
2022-06-03,16.562
2022-06-04,16.562
2022-06-05,16.562
2022-06-06,16.562
2022-06-07,16.562
2022-06-08,16.558
2022-06-09,16.558
2022-06-10,16.558
2022-06-11,16.558
2022-06-12,16.511
2022-06-13,16.511
2022-06-14,16.511
2022-06-15,16.511
2022-06-16,16.511
2022-06-17,16.511
2022-06-18,16.511
2022-06-19,16.511
2022-06-20,16.511
2022-06-21,16.511
2022-06-22,16.511
2022-06-23,16.511
2022-06-24,16.511
2022-06-25,16.511
2022-06-26,16.511
2022-06-27,16.511
2022-06-28,16.511
2022-06-29,16.511
2022-06-30,16.517
2022-07-01,16.517
2022-07-02,16.517
2022-07-03,16.517
2022-07-04,16.517
2022-07-05,16.517
2022-07-06,16.517
2022-07-07,16.504
2022-07-08,16.504
2022-07-09,16.504
2022-07-10,16.504
2022-07-11,16.504
2022-07-12,16.586
2022-07-13,16.577
2022-07-14,16.577
2022-07-15,16.577
2022-07-16,16.577
2022-07-17,16.569
2022-07-18,16.569
2022-07-19,16.569
2022-07-20,16.592
2022-07-21,16.592
2022-07-22,16.647
2022-07-23,16.647
2022-07-24,16.647
2022-07-25,16.635
2022-07-26,16.635
2022-07-27,16.635
2022-07-28,16.635
2022-07-29,16.635
2022-07-30,16.635
2022-07-31,16.635
2022-08-01,16.635
2022-08-02,16.635
2022-08-03,16.635
2022-08-04,16.567
2022-08-05,16.594
2022-08-06,16.621
2022-08-07,16.621
2022-08-08,16.621
2022-08-09,16.621
2022-08-10,16.621
2022-08-11,16.594
2022-08-12,16.594
2022-08-13,16.594
2022-08-14,16.594
2022-08-15,16.594
2022-08-16,16.675
2022-08-17,16.675
2022-08-18,16.675
2022-08-19,16.675
2022-08-20,16.675
2022-08-21,16.675
2022-08-22,16.675
2022-08-23,16.675
2022-08-24,16.675
2022-08-25,16.675
2022-08-26,16.675
2022-08-27,16.675
2022-08-28,16.675
2022-08-29,16.675
2022-08-30,16.675
2022-08-31,16.675
2022-09-01,16.675
2022-09-02,16.675
2022-09-03,16.675
2022-09-04,16.675
2022-09-05,16.675
2022-09-06,16.675
2022-09-07,16.675
2022-09-08,16.675
2022-09-09,16.675
2022-09-10,16.675
2022-09-11,16.675
2022-09-12,16.675
2022-09-13,16.675
2022-09-14,16.675
2022-09-15,16.675
2022-09-16,16.675
2022-09-17,16.675
2022-09-18,16.675
2022-09-19,16.675
2022-09-20,16.756
2022-09-21,16.756
2022-09-22,16.756
2022-09-23,16.756
2022-09-24,16.756
2022-09-25,16.756
2022-09-26,16.756
2022-09-27,16.756
2022-09-28,16.756
2022-09-29,16.756
2022-09-30,16.756
2022-10-01,16.756
2022-10-02,16.756
2022-10-03,16.756
2022-10-04,16.756
2022-10-05,16.756
2022-10-06,16.749
2022-10-07,16.749
2022-10-08,16.749
2022-10-09,16.749
2022-10-10,16.749
2022-10-11,16.749
2022-10-12,16.749
2022-10-13,16.749
2022-10-14,16.652
2022-10-15,16.652
2022-10-16,16.652
2022-10-17,16.652
2022-10-18,16.652
2022-10-19,16.652
2022-10-20,16.583
2022-10-21,16.559
2022-10-22,16.559
2022-10-23,16.559
2022-10-24,16.529
2022-10-25,16.529
2022-10-26,16.529
2022-10-27,16.718
2022-10-28,16.852
2022-10-29,16.852
2022-10-30,16.85
2022-10-31,16.822
2022-11-01,16.85
2022-11-02,16.85
2022-11-03,16.85
2022-11-04,16.85
2022-11-05,16.85
2022-11-06,16.85
2022-11-07,16.85
2022-11-08,16.85
2022-11-09,16.85
2022-11-10,16.85
2022-11-11,16.931
2022-11-12,16.931
2022-11-13,16.931
2022-11-14,16.931
2022-11-15,16.931
2022-11-16,16.931
2022-11-17,16.931
2022-11-18,16.931
2022-11-19,16.931
2022-11-20,16.931
2022-11-21,16.931
2022-11-22,16.931
2022-11-23,16.931
2022-11-24,16.931
2022-11-25,16.931
2022-11-26,16.931
2022-11-27,16.931
2022-11-28,16.931
2022-11-29,16.931
2022-11-30,16.931
2022-12-01,16.931
2022-12-02,16.931
2022-12-03,16.931
2022-12-04,16.931
2022-12-05,16.931
2022-12-06,16.931
2022-12-07,16.931
2022-12-08,16.931
2022-12-09,16.931
2022-12-10,16.931
2022-12-11,16.931
2022-12-12,16.931
2022-12-13,16.931
2022-12-14,16.931
2022-12-15,16.931
2022-12-16,16.931
2022-12-17,16.931
2022-12-18,16.931
2022-12-19,16.931
2022-12-20,16.931
2022-12-21,16.931
2022-12-22,16.931
2022-12-23,16.931
2022-12-24,16.931
2022-12-25,16.931
2022-12-26,16.931
2022-12-27,16.931
2022-12-28,16.931
2022-12-29,16.931
2022-12-30,16.931
2022-12-31,16.931
2023-01-01,16.931
2023-01-02,16.931
2023-01-03,16.869
2023-01-04,16.869
2023-01-05,16.868
2023-01-06,16.868
2023-01-07,16.868
2023-01-08,16.868
2023-01-09,16.868
2023-01-10,16.868
2023-01-11,16.868
2023-01-12,16.868
2023-01-13,16.868
2023-01-14,16.868
2023-01-15,16.868
2023-01-16,16.868
2023-01-17,16.852
2023-01-18,16.7
2023-01-19,16.7
2023-01-20,16.7
2023-01-21,16.7
2023-01-22,16.7
2023-01-23,16.689
2023-01-24,16.689
2023-01-25,16.674
2023-01-26,16.674
2023-01-27,16.674
2023-01-28,16.674
2023-01-29,16.674
2023-01-30,16.618
2023-01-31,16.618
2023-02-01,16.618
2023-02-02,16.618
2023-02-03,16.618
2023-02-04,16.618
2023-02-05,16.622
2023-02-06,16.622
2023-02-07,15.877
2023-02-08,15.748
2023-02-09,15.626
2023-02-10,15.623
2023-02-11,15.623
2023-02-12,15.623
2023-02-13,15.623
2023-02-14,15.606
2023-02-15,15.606
2023-02-16,15.606
2023-02-17,15.606
2023-02-18,15.606
2023-02-19,15.606
2023-02-20,15.554
2023-02-21,15.524
2023-02-22,15.524
2023-02-23,15.524
2023-02-24,15.524
2023-02-25,15.524
2023-02-26,15.524
2023-02-27,15.524
2023-02-28,15.524
2023-03-01,15.524
2023-03-02,15.524
2023-03-03,15.524
2023-03-04,15.524
2023-03-05,15.524
2023-03-06,15.524
2023-03-07,15.524
2023-03-08,15.524
2023-03-09,15.524
2023-03-10,15.524
2023-03-11,15.524
2023-03-12,15.524
2023-03-13,15.524
2023-03-14,15.524
2023-03-15,15.524
2023-03-16,15.524
2023-03-17,15.524
2023-03-18,15.524
2023-03-19,15.524
2023-03-20,15.524
2023-03-21,15.533
2023-03-22,15.533
2023-03-23,15.533
2023-03-24,15.533
2023-03-25,15.533
2023-03-26,14.982
2023-03-27,14.982
2023-03-28,14.982
2023-03-29,15.007
2023-03-30,15.007
2023-03-31,15.007
2023-04-01,15.007
2023-04-02,15.007
2023-04-03,15.007
2023-04-04,15.007
2023-04-05,15.007
2023-04-06,15.548
2023-04-07,15.548
2023-04-08,15.548
2023-04-09,15.548
2023-04-10,15.548
2023-04-11,15.548
2023-04-12,15.523
2023-04-13,15.566
2023-04-14,15.566
2023-04-15,15.566
2023-04-16,15.605
2023-04-17,15.605
2023-04-18,15.608
2023-04-19,15.608
2023-04-20,15.608
2023-04-21,15.624
2023-04-22,15.624
2023-04-23,15.624
2023-04-24,15.624
2023-04-25,15.624
2023-04-26,15.624
2023-04-27,15.624
2023-04-28,15.627
2023-04-29,15.627
2023-04-30,15.627
2023-05-01,15.707
2023-05-02,15.919
2023-05-03,15.919
