,DISH US Equity
,BEST_EPS
2022-02-01,2.067
2022-02-02,2.067
2022-02-03,2.067
2022-02-04,2.067
2022-02-05,2.067
2022-02-06,2.067
2022-02-07,2.067
2022-02-08,2.067
2022-02-09,2.067
2022-02-10,2.067
2022-02-11,2.067
2022-02-12,2.067
2022-02-13,2.067
2022-02-14,2.067
2022-02-15,2.067
2022-02-16,2.067
2022-02-17,2.067
2022-02-18,2.067
2022-02-19,2.067
2022-02-20,2.067
2022-02-21,2.067
2022-02-22,2.067
2022-02-23,2.067
2022-02-24,2.177
2022-02-25,1.985
2022-02-26,1.975
2022-02-27,1.975
2022-02-28,1.975
2022-03-01,1.975
2022-03-02,1.788
2022-03-03,1.788
2022-03-04,1.788
2022-03-05,1.788
2022-03-06,1.788
2022-03-07,1.788
2022-03-08,1.677
2022-03-09,1.677
2022-03-10,1.677
2022-03-11,1.677
2022-03-12,1.677
2022-03-13,1.677
2022-03-14,1.677
2022-03-15,1.677
2022-03-16,1.677
2022-03-17,1.641
2022-03-18,1.641
2022-03-19,1.641
2022-03-20,1.641
2022-03-21,1.429
2022-03-22,1.429
2022-03-23,1.429
2022-03-24,1.429
2022-03-25,1.429
2022-03-26,1.429
2022-03-27,1.429
2022-03-28,1.429
2022-03-29,1.408
2022-03-30,1.408
2022-03-31,1.408
2022-04-01,1.408
2022-04-02,1.408
2022-04-03,1.408
2022-04-04,1.408
2022-04-05,1.408
2022-04-06,1.408
2022-04-07,1.408
2022-04-08,1.408
2022-04-09,1.408
2022-04-10,1.408
2022-04-11,1.408
2022-04-12,1.408
2022-04-13,1.408
2022-04-14,1.408
2022-04-15,1.408
2022-04-16,1.408
2022-04-17,1.408
2022-04-18,1.408
2022-04-19,1.408
2022-04-20,1.408
2022-04-21,1.408
2022-04-22,1.408
2022-04-23,1.408
2022-04-24,1.408
2022-04-25,1.408
2022-04-26,1.408
2022-04-27,1.408
2022-04-28,1.408
2022-04-29,1.408
2022-04-30,1.408
2022-05-01,1.408
2022-05-02,1.408
2022-05-03,1.408
2022-05-04,1.408
2022-05-05,1.336
2022-05-06,1.254
2022-05-07,1.236
2022-05-08,1.193
2022-05-09,1.071
2022-05-10,1.071
2022-05-11,1.034
2022-05-12,1.034
2022-05-13,1.034
2022-05-14,1.034
2022-05-15,1.034
2022-05-16,1.034
2022-05-17,1.034
2022-05-18,1.034
2022-05-19,1.034
2022-05-20,1.034
2022-05-21,1.056
2022-05-22,1.056
2022-05-23,1.056
2022-05-24,1.056
2022-05-25,1.047
2022-05-26,1.047
2022-05-27,1.047
2022-05-28,1.047
2022-05-29,1.047
2022-05-30,1.047
2022-05-31,1.047
2022-06-01,1.072
2022-06-02,1.072
2022-06-03,1.072
2022-06-04,1.072
2022-06-05,1.072
2022-06-06,1.072
2022-06-07,1.072
2022-06-08,1.072
2022-06-09,1.072
2022-06-10,1.072
2022-06-11,1.072
2022-06-12,1.072
2022-06-13,1.072
2022-06-14,1.208
2022-06-15,1.186
2022-06-16,1.186
2022-06-17,1.186
2022-06-18,1.186
2022-06-19,1.186
2022-06-20,1.186
2022-06-21,1.186
2022-06-22,1.186
2022-06-23,1.186
2022-06-24,1.186
2022-06-25,1.186
2022-06-26,1.186
2022-06-27,1.186
2022-06-28,1.186
2022-06-29,1.186
2022-06-30,1.186
2022-07-01,1.186
2022-07-02,1.186
2022-07-03,1.186
2022-07-04,1.186
2022-07-05,1.186
2022-07-06,1.186
2022-07-07,1.186
2022-07-08,1.2
2022-07-09,1.2
2022-07-10,1.2
2022-07-11,1.2
2022-07-12,1.093
2022-07-13,1.093
2022-07-14,1.093
2022-07-15,1.093
2022-07-16,1.093
2022-07-17,1.093
2022-07-18,1.093
2022-07-19,1.093
2022-07-20,1.093
2022-07-21,1.093
2022-07-22,1.093
2022-07-23,1.093
2022-07-24,1.093
2022-07-25,1.093
2022-07-26,1.093
2022-07-27,1.093
2022-07-28,1.093
2022-07-29,1.093
2022-07-30,1.093
2022-07-31,1.093
2022-08-01,1.093
2022-08-02,1.093
2022-08-03,1.061
2022-08-04,0.954
2022-08-05,0.954
2022-08-06,0.954
2022-08-07,0.954
2022-08-08,0.954
2022-08-09,0.954
2022-08-10,0.954
2022-08-11,0.954
2022-08-12,0.954
2022-08-13,0.954
2022-08-14,0.954
2022-08-15,0.954
2022-08-16,0.954
2022-08-17,0.954
2022-08-18,0.952
2022-08-19,0.952
2022-08-20,0.952
2022-08-21,0.952
2022-08-22,0.952
2022-08-23,0.952
2022-08-24,0.952
2022-08-25,0.952
2022-08-26,0.952
2022-08-27,0.952
2022-08-28,0.952
2022-08-29,0.952
2022-08-30,0.952
2022-08-31,0.952
2022-09-01,0.952
2022-09-02,0.952
2022-09-03,0.952
2022-09-04,0.952
2022-09-05,0.952
2022-09-06,0.952
2022-09-07,0.952
2022-09-08,0.952
2022-09-09,0.952
2022-09-10,0.952
2022-09-11,0.952
2022-09-12,0.952
2022-09-13,0.952
2022-09-14,0.952
2022-09-15,0.952
2022-09-16,0.952
2022-09-17,0.952
2022-09-18,0.952
2022-09-19,0.952
2022-09-20,0.952
2022-09-21,0.952
2022-09-22,0.952
2022-09-23,0.952
2022-09-24,0.952
2022-09-25,0.952
2022-09-26,0.952
2022-09-27,0.952
2022-09-28,0.952
2022-09-29,0.952
2022-09-30,0.952
2022-10-01,0.952
2022-10-02,0.952
2022-10-03,0.952
2022-10-04,0.952
2022-10-05,0.952
2022-10-06,0.952
2022-10-07,0.952
2022-10-08,0.952
2022-10-09,0.952
2022-10-10,0.952
2022-10-11,0.952
2022-10-12,0.952
2022-10-13,0.785
2022-10-14,0.785
2022-10-15,0.785
2022-10-16,0.785
2022-10-17,0.785
2022-10-18,0.785
2022-10-19,0.785
2022-10-20,0.785
2022-10-21,0.785
2022-10-22,0.785
2022-10-23,0.785
2022-10-24,0.785
2022-10-25,0.785
2022-10-26,0.785
2022-10-27,0.785
2022-10-28,0.785
2022-10-29,0.785
2022-10-30,0.785
2022-10-31,0.785
2022-11-01,0.785
2022-11-02,0.974
2022-11-03,1.071
2022-11-04,1.054
2022-11-05,1.054
2022-11-06,1.054
2022-11-07,1.054
2022-11-08,1.054
2022-11-09,1.054
2022-11-10,1.054
2022-11-11,1.054
2022-11-12,1.054
2022-11-13,1.054
2022-11-14,1.054
2022-11-15,1.054
2022-11-16,1.054
2022-11-17,1.054
2022-11-18,1.054
2022-11-19,1.054
2022-11-20,1.054
2022-11-21,1.054
2022-11-22,1.054
2022-11-23,1.054
2022-11-24,1.054
2022-11-25,1.054
2022-11-26,1.054
2022-11-27,1.054
2022-11-28,1.054
2022-11-29,1.054
2022-11-30,1.054
2022-12-01,1.037
2022-12-02,1.037
2022-12-03,1.037
2022-12-04,1.037
2022-12-05,1.048
2022-12-06,1.048
2022-12-07,1.048
2022-12-08,1.048
2022-12-09,1.048
2022-12-10,1.048
2022-12-11,1.048
2022-12-12,1.016
2022-12-13,1.016
2022-12-14,1.016
2022-12-15,1.016
2022-12-16,1.016
2022-12-17,1.016
2022-12-18,1.016
2022-12-19,1.016
2022-12-20,1.016
2022-12-21,0.963
2022-12-22,0.963
2022-12-23,0.963
2022-12-24,0.963
2022-12-25,0.963
2022-12-26,0.963
2022-12-27,0.963
2022-12-28,0.963
2022-12-29,0.963
2022-12-30,0.963
2022-12-31,0.963
2023-01-01,0.963
2023-01-02,0.963
2023-01-03,0.963
2023-01-04,0.963
2023-01-05,0.963
2023-01-06,0.963
2023-01-07,0.963
2023-01-08,0.963
2023-01-09,0.933
2023-01-10,0.928
2023-01-11,0.928
2023-01-12,0.928
2023-01-13,0.928
2023-01-14,0.928
2023-01-15,0.928
2023-01-16,0.928
2023-01-17,0.928
2023-01-18,0.928
2023-01-19,0.921
2023-01-20,0.921
2023-01-21,0.921
2023-01-22,0.921
2023-01-23,0.92
2023-01-24,0.92
2023-01-25,0.92
2023-01-26,0.92
2023-01-27,0.92
2023-01-28,0.92
2023-01-29,0.92
2023-01-30,0.848
2023-01-31,0.848
2023-02-01,0.848
2023-02-02,0.848
2023-02-03,0.848
2023-02-04,0.848
2023-02-05,0.848
2023-02-06,0.848
2023-02-07,0.848
2023-02-08,0.848
2023-02-09,0.848
2023-02-10,0.848
2023-02-11,0.848
2023-02-12,0.848
2023-02-13,0.848
2023-02-14,0.848
2023-02-15,0.848
2023-02-16,0.848
2023-02-17,0.848
2023-02-18,0.848
2023-02-19,0.848
2023-02-20,0.848
2023-02-21,0.848
2023-02-22,0.848
2023-02-23,0.711
2023-02-24,0.966
2023-02-25,0.966
2023-02-26,0.966
2023-02-27,0.976
2023-02-28,1.012
2023-03-01,1.012
2023-03-02,1.012
2023-03-03,1.012
2023-03-04,1.012
2023-03-05,1.012
2023-03-06,1.012
2023-03-07,1.012
2023-03-08,1.012
2023-03-09,0.995
2023-03-10,0.995
2023-03-11,0.995
2023-03-12,0.908
2023-03-13,0.883
2023-03-14,0.878
2023-03-15,0.878
2023-03-16,0.878
2023-03-17,0.878
2023-03-18,0.878
2023-03-19,0.878
2023-03-20,0.878
2023-03-21,0.797
2023-03-22,0.797
2023-03-23,0.797
2023-03-24,0.797
2023-03-25,0.797
2023-03-26,0.797
2023-03-27,0.704
2023-03-28,0.704
2023-03-29,0.704
2023-03-30,0.704
2023-03-31,0.704
2023-04-01,0.704
2023-04-02,0.704
2023-04-03,0.704
2023-04-04,0.704
2023-04-05,0.704
2023-04-06,0.704
2023-04-07,0.704
2023-04-08,0.704
2023-04-09,0.704
2023-04-10,0.704
2023-04-11,0.695
2023-04-12,0.627
2023-04-13,0.606
2023-04-14,0.606
2023-04-15,0.606
2023-04-16,0.606
2023-04-17,0.606
2023-04-18,0.606
2023-04-19,0.595
2023-04-20,0.595
2023-04-21,0.595
2023-04-22,0.595
2023-04-23,0.595
2023-04-24,0.595
2023-04-25,0.595
2023-04-26,0.595
2023-04-27,0.595
2023-04-28,0.595
2023-04-29,0.595
2023-04-30,0.595
2023-05-01,0.595
2023-05-02,0.595
2023-05-03,0.595
2023-05-04,0.595
2023-05-05,0.595
2023-05-06,0.595
