,ULTA US Equity
,BEST_EPS
2020-05-30,23.93
2020-05-31,23.93
2020-06-01,23.93
2020-06-02,20.227
2020-06-03,20.227
2020-06-04,20.227
2020-06-05,20.227
2020-06-06,20.227
2020-06-07,20.227
2020-06-08,20.227
2020-06-09,19.503
2020-06-10,19.503
2020-06-11,19.503
2020-06-12,19.503
2020-06-13,19.503
2020-06-14,19.503
2020-06-15,19.503
2020-06-16,19.503
2020-06-17,19.503
2020-06-18,19.503
2020-06-19,18.44
2020-06-20,18.44
2020-06-21,18.44
2020-06-22,18.44
2020-06-23,18.44
2020-06-24,18.44
2020-06-25,18.44
2020-06-26,18.44
2020-06-27,18.44
2020-06-28,18.44
2020-06-29,18.44
2020-06-30,18.44
2020-07-01,18.44
2020-07-02,18.44
2020-07-03,18.44
2020-07-04,18.44
2020-07-05,18.44
2020-07-06,18.44
2020-07-07,18.44
2020-07-08,18.44
2020-07-09,18.44
2020-07-10,18.44
2020-07-11,18.44
2020-07-12,18.44
2020-07-13,18.44
2020-07-14,18.44
2020-07-15,18.44
2020-07-16,18.44
2020-07-17,18.44
2020-07-18,18.44
2020-07-19,18.44
2020-07-20,18.44
2020-07-21,18.44
2020-07-22,18.44
2020-07-23,18.44
2020-07-24,18.44
2020-07-25,18.44
2020-07-26,18.44
2020-07-27,18.44
2020-07-28,18.44
2020-07-29,18.44
2020-07-30,18.44
2020-07-31,18.44
2020-08-01,18.44
2020-08-02,18.44
2020-08-03,18.44
2020-08-04,18.44
2020-08-05,18.778
2020-08-06,18.778
2020-08-07,18.778
2020-08-08,18.778
2020-08-09,18.778
2020-08-10,18.778
2020-08-11,18.778
2020-08-12,18.778
2020-08-13,18.778
2020-08-14,18.778
2020-08-15,18.778
2020-08-16,18.778
2020-08-17,18.778
2020-08-18,18.778
2020-08-19,18.778
2020-08-20,18.778
2020-08-21,18.778
2020-08-22,18.778
2020-08-23,18.778
2020-08-24,18.778
2020-08-25,18.778
2020-08-26,18.778
2020-08-27,18.778
2020-08-28,19.013
2020-08-29,19.013
2020-08-30,19.013
2020-08-31,19.013
2020-09-01,19.29
2020-09-02,19.29
2020-09-03,19.29
2020-09-04,19.29
2020-09-05,19.082
2020-09-06,19.082
2020-09-07,19.082
2020-09-08,19.082
2020-09-09,19.082
2020-09-10,19.082
2020-09-11,19.082
2020-09-12,19.082
2020-09-13,19.082
2020-09-14,19.082
2020-09-15,19.082
2020-09-16,19.082
2020-09-17,19.082
2020-09-18,19.082
2020-09-19,19.082
2020-09-20,19.082
2020-09-21,19.082
2020-09-22,19.082
2020-09-23,19.082
2020-09-24,19.116
2020-09-25,19.116
2020-09-26,19.116
2020-09-27,19.116
2020-09-28,19.116
2020-09-29,19.116
2020-09-30,19.116
2020-10-01,19.116
2020-10-02,19.116
2020-10-03,19.116
2020-10-04,19.116
2020-10-05,19.116
2020-10-06,19.116
2020-10-07,19.374
2020-10-08,19.374
2020-10-09,19.374
2020-10-10,19.374
2020-10-11,19.374
2020-10-12,19.374
2020-10-13,18.678
2020-10-14,18.678
2020-10-15,18.678
2020-10-16,18.678
2020-10-17,18.678
2020-10-18,18.678
2020-10-19,18.678
2020-10-20,18.678
2020-10-21,18.678
2020-10-22,18.678
2020-10-23,18.678
2020-10-24,18.678
2020-10-25,18.678
2020-10-26,18.678
2020-10-27,18.678
2020-10-28,18.678
2020-10-29,18.678
2020-10-30,18.678
2020-10-31,18.678
2020-11-01,18.678
2020-11-02,18.678
2020-11-03,18.248
2020-11-04,18.248
2020-11-05,18.248
2020-11-06,18.248
2020-11-07,18.248
2020-11-08,18.248
2020-11-09,18.248
2020-11-10,18.248
2020-11-11,18.248
2020-11-12,18.248
2020-11-13,18.248
2020-11-14,18.248
2020-11-15,18.248
2020-11-16,18.248
2020-11-17,18.248
2020-11-18,18.248
2020-11-19,18.248
2020-11-20,18.248
2020-11-21,18.248
2020-11-22,18.248
2020-11-23,18.248
2020-11-24,18.248
2020-11-25,18.248
2020-11-26,18.248
2020-11-27,18.248
2020-11-28,18.248
2020-11-29,18.248
2020-11-30,18.248
2020-12-01,17.984
2020-12-02,17.984
2020-12-03,17.914
2020-12-04,17.19
2020-12-05,17.19
2020-12-06,17.19
2020-12-07,17.19
2020-12-08,17.19
2020-12-09,17.19
2020-12-10,17.19
2020-12-11,17.232
2020-12-12,17.232
2020-12-13,17.232
2020-12-14,17.232
2020-12-15,17.232
2020-12-16,17.232
2020-12-17,17.232
2020-12-18,17.232
2020-12-19,17.232
2020-12-20,17.232
2020-12-21,17.232
2020-12-22,17.232
2020-12-23,17.232
2020-12-24,17.232
2020-12-25,17.232
2020-12-26,17.232
2020-12-27,17.232
2020-12-28,17.232
2020-12-29,17.232
2020-12-30,17.232
2020-12-31,17.232
2021-01-01,17.232
2021-01-02,17.232
2021-01-03,17.232
2021-01-04,17.232
2021-01-05,17.232
2021-01-06,17.481
2021-01-07,17.481
2021-01-08,17.481
2021-01-09,17.481
2021-01-10,17.481
2021-01-11,17.481
2021-01-12,17.481
2021-01-13,17.481
2021-01-14,17.481
2021-01-15,17.481
2021-01-16,17.481
2021-01-17,17.481
2021-01-18,17.481
2021-01-19,17.481
2021-01-20,17.481
2021-01-21,17.481
2021-01-22,17.481
2021-01-23,17.481
2021-01-24,17.481
2021-01-25,17.481
2021-01-26,17.481
2021-01-27,17.481
2021-01-28,17.481
2021-01-29,17.481
2021-01-30,17.481
2021-01-31,17.481
2021-02-01,17.481
2021-02-02,17.481
2021-02-03,17.481
2021-02-04,17.481
2021-02-05,17.481
2021-02-06,17.481
2021-02-07,17.481
2021-02-08,17.481
2021-02-09,17.481
2021-02-10,17.481
2021-02-11,17.481
2021-02-12,17.481
2021-02-13,17.481
2021-02-14,17.481
2021-02-15,17.481
2021-02-16,17.481
2021-02-17,17.481
2021-02-18,17.481
2021-02-19,17.481
2021-02-20,17.481
2021-02-21,17.481
2021-02-22,17.481
2021-02-23,17.481
2021-02-24,17.481
2021-02-25,17.481
2021-02-26,17.481
2021-02-27,17.481
2021-02-28,17.481
2021-03-01,17.481
2021-03-02,17.481
2021-03-03,17.481
2021-03-04,17.481
2021-03-05,17.481
2021-03-06,17.481
2021-03-07,17.481
2021-03-08,17.481
2021-03-09,17.481
2021-03-10,17.481
2021-03-11,17.481
2021-03-12,16.644
2021-03-13,16.644
2021-03-14,16.644
2021-03-15,16.644
2021-03-16,16.622
2021-03-17,16.622
2021-03-18,16.622
2021-03-19,16.622
2021-03-20,16.622
2021-03-21,16.622
2021-03-22,16.622
2021-03-23,16.622
2021-03-24,16.622
2021-03-25,16.328
2021-03-26,16.328
2021-03-27,16.328
2021-03-28,16.328
2021-03-29,16.328
2021-03-30,16.328
2021-03-31,16.328
2021-04-01,16.328
2021-04-02,16.328
2021-04-03,16.328
2021-04-04,16.328
2021-04-05,16.328
2021-04-06,16.328
2021-04-07,16.328
2021-04-08,16.328
2021-04-09,16.328
2021-04-10,16.328
2021-04-11,16.328
2021-04-12,16.328
2021-04-13,16.328
2021-04-14,16.328
2021-04-15,16.328
2021-04-16,16.343
2021-04-17,16.343
2021-04-18,16.343
2021-04-19,16.343
2021-04-20,16.343
2021-04-21,16.343
2021-04-22,16.343
2021-04-23,16.343
2021-04-24,16.343
2021-04-25,16.343
2021-04-26,16.343
2021-04-27,16.343
2021-04-28,16.343
2021-04-29,16.343
2021-04-30,16.343
2021-05-01,16.343
2021-05-02,16.343
2021-05-03,16.343
2021-05-04,16.343
2021-05-05,16.343
2021-05-06,16.343
2021-05-07,16.343
2021-05-08,16.343
2021-05-09,16.343
2021-05-10,16.343
2021-05-11,16.343
2021-05-12,16.343
2021-05-13,16.343
2021-05-14,16.343
2021-05-15,16.343
2021-05-16,16.343
2021-05-17,16.343
2021-05-18,16.343
2021-05-19,16.343
2021-05-20,16.343
2021-05-21,16.343
2021-05-22,16.343
2021-05-23,16.343
2021-05-24,16.343
2021-05-25,16.343
2021-05-26,16.343
2021-05-27,16.745
2021-05-28,17.671
2021-05-29,17.671
2021-05-30,17.671
2021-05-31,17.671
2021-06-01,17.796
2021-06-02,17.796
2021-06-03,17.796
2021-06-04,17.796
2021-06-05,17.796
2021-06-06,17.796
2021-06-07,17.796
2021-06-08,17.796
2021-06-09,17.919
2021-06-10,17.919
2021-06-11,17.919
2021-06-12,17.919
2021-06-13,17.919
2021-06-14,17.919
2021-06-15,17.919
2021-06-16,17.919
2021-06-17,17.919
2021-06-18,17.919
2021-06-19,17.919
2021-06-20,17.919
2021-06-21,17.919
2021-06-22,17.919
2021-06-23,17.919
2021-06-24,17.919
2021-06-25,17.919
2021-06-26,17.919
2021-06-27,17.919
2021-06-28,17.919
2021-06-29,17.919
2021-06-30,17.919
2021-07-01,17.919
2021-07-02,17.919
2021-07-03,17.919
2021-07-04,17.919
2021-07-05,17.919
2021-07-06,17.919
2021-07-07,17.919
2021-07-08,17.919
2021-07-09,17.919
2021-07-10,17.919
2021-07-11,17.919
2021-07-12,17.919
2021-07-13,17.919
2021-07-14,17.919
2021-07-15,17.919
2021-07-16,17.919
2021-07-17,17.919
2021-07-18,17.919
2021-07-19,17.919
2021-07-20,18.248
2021-07-21,18.248
2021-07-22,18.248
2021-07-23,18.248
2021-07-24,18.248
2021-07-25,18.248
2021-07-26,18.248
2021-07-27,18.248
2021-07-28,18.248
2021-07-29,18.248
2021-07-30,18.248
2021-07-31,18.248
2021-08-01,18.248
2021-08-02,18.248
2021-08-03,18.248
2021-08-04,18.248
2021-08-05,18.266
2021-08-06,18.266
2021-08-07,18.266
2021-08-08,18.266
2021-08-09,18.266
2021-08-10,18.266
2021-08-11,18.266
2021-08-12,18.266
2021-08-13,18.266
2021-08-14,18.266
2021-08-15,18.266
2021-08-16,18.266
2021-08-17,18.266
2021-08-18,18.266
2021-08-19,18.266
2021-08-20,18.266
2021-08-21,18.266
2021-08-22,18.266
2021-08-23,18.266
2021-08-24,18.266
2021-08-25,18.834
2021-08-26,19.787
2021-08-27,19.787
