,ROP US Equity
,BEST_EPS
2022-09-13,15.943
2022-09-14,15.943
2022-09-15,15.943
2022-09-16,15.943
2022-09-17,15.943
2022-09-18,15.943
2022-09-19,15.943
2022-09-20,15.943
2022-09-21,15.943
2022-09-22,15.943
2022-09-23,15.943
2022-09-24,15.943
2022-09-25,15.943
2022-09-26,15.779
2022-09-27,15.779
2022-09-28,15.779
2022-09-29,15.779
2022-09-30,15.779
2022-10-01,15.779
2022-10-02,15.779
2022-10-03,15.779
2022-10-04,15.779
2022-10-05,15.779
2022-10-06,15.759
2022-10-07,15.759
2022-10-08,15.759
2022-10-09,15.759
2022-10-10,15.93
2022-10-11,15.93
2022-10-12,15.93
2022-10-13,15.93
2022-10-14,15.93
2022-10-15,15.93
2022-10-16,15.93
2022-10-17,15.916
2022-10-18,16.016
2022-10-19,16.016
2022-10-20,16.016
2022-10-21,16.016
2022-10-22,16.016
2022-10-23,16.016
2022-10-24,16.016
2022-10-25,15.906
2022-10-26,17.181
2022-10-27,16.273
2022-10-28,16.273
2022-10-29,16.273
2022-10-30,16.273
2022-10-31,16.273
2022-11-01,16.273
2022-11-02,16.273
2022-11-03,16.273
2022-11-04,16.32
2022-11-05,16.32
2022-11-06,16.32
2022-11-07,16.32
2022-11-08,16.32
2022-11-09,16.32
2022-11-10,16.363
2022-11-11,16.363
2022-11-12,16.363
2022-11-13,16.363
2022-11-14,16.506
2022-11-15,16.506
2022-11-16,16.506
2022-11-17,16.506
2022-11-18,16.506
2022-11-19,16.506
2022-11-20,16.506
2022-11-21,16.506
2022-11-22,16.506
2022-11-23,16.506
2022-11-24,16.506
2022-11-25,16.506
2022-11-26,16.506
2022-11-27,16.506
2022-11-28,16.506
2022-11-29,16.566
2022-11-30,16.566
2022-12-01,16.566
2022-12-02,16.566
2022-12-03,16.566
2022-12-04,16.566
2022-12-05,16.566
2022-12-06,16.566
2022-12-07,16.566
2022-12-08,16.566
2022-12-09,16.566
2022-12-10,16.566
2022-12-11,16.566
2022-12-12,16.566
2022-12-13,16.566
2022-12-14,16.483
2022-12-15,16.483
2022-12-16,16.483
2022-12-17,16.483
2022-12-18,16.483
2022-12-19,16.483
2022-12-20,16.483
2022-12-21,16.483
2022-12-22,16.483
2022-12-23,16.483
2022-12-24,16.483
2022-12-25,16.483
2022-12-26,16.483
2022-12-27,16.483
2022-12-28,16.483
2022-12-29,16.483
2022-12-30,16.483
2022-12-31,16.483
2023-01-01,16.483
2023-01-02,16.483
2023-01-03,16.483
2023-01-04,16.483
2023-01-05,16.483
2023-01-06,16.483
2023-01-07,16.483
2023-01-08,16.483
2023-01-09,16.483
2023-01-10,16.483
2023-01-11,16.483
