,AMGN US Equity
,BEST_EPS
2021-04-28,20.285
2021-04-29,20.291
2021-04-30,20.291
2021-05-01,20.291
2021-05-02,20.309
2021-05-03,20.198
2021-05-04,20.055
2021-05-05,20.055
2021-05-06,20.055
2021-05-07,20.055
2021-05-08,20.055
2021-05-09,20.055
2021-05-10,20.055
2021-05-11,20.055
2021-05-12,20.055
2021-05-13,20.055
2021-05-14,20.055
2021-05-15,20.055
2021-05-16,20.073
2021-05-17,20.073
2021-05-18,20.073
2021-05-19,20.073
2021-05-20,20.073
2021-05-21,20.073
2021-05-22,20.073
2021-05-23,20.073
2021-05-24,20.073
2021-05-25,20.073
2021-05-26,20.073
2021-05-27,20.073
2021-05-28,20.084
2021-05-29,20.084
2021-05-30,20.084
2021-05-31,20.084
2021-06-01,20.127
2021-06-02,20.127
2021-06-03,20.144
2021-06-04,20.144
2021-06-05,20.144
2021-06-06,20.15
2021-06-07,20.085
2021-06-08,20.085
2021-06-09,20.085
2021-06-10,20.085
2021-06-11,19.935
2021-06-12,19.935
2021-06-13,19.935
2021-06-14,19.935
2021-06-15,19.935
2021-06-16,19.935
2021-06-17,19.935
2021-06-18,19.935
2021-06-19,19.932
2021-06-20,19.932
2021-06-21,19.932
2021-06-22,19.932
2021-06-23,19.932
2021-06-24,19.932
2021-06-25,19.932
2021-06-26,19.932
2021-06-27,19.932
2021-06-28,19.932
2021-06-29,19.932
2021-06-30,19.902
2021-07-01,19.902
2021-07-02,19.902
2021-07-03,19.902
2021-07-04,19.902
2021-07-05,19.902
2021-07-06,19.916
2021-07-07,19.916
2021-07-08,19.916
2021-07-09,19.971
2021-07-10,19.971
2021-07-11,19.971
2021-07-12,19.971
2021-07-13,19.971
2021-07-14,19.971
2021-07-15,20.09
2021-07-16,20.09
2021-07-17,20.09
2021-07-18,20.09
2021-07-19,20.124
2021-07-20,20.124
2021-07-21,20.172
2021-07-22,20.172
2021-07-23,20.304
2021-07-24,20.304
2021-07-25,20.304
2021-07-26,20.304
2021-07-27,20.304
2021-07-28,20.304
2021-07-29,20.304
2021-07-30,20.304
2021-07-31,20.304
2021-08-01,20.304
2021-08-02,20.304
2021-08-03,20.253
2021-08-04,20.305
2021-08-05,20.268
2021-08-06,20.268
2021-08-07,20.268
2021-08-08,20.268
2021-08-09,20.052
2021-08-10,20.052
2021-08-11,20.193
2021-08-12,20.193
2021-08-13,20.193
2021-08-14,20.193
2021-08-15,20.193
2021-08-16,20.193
2021-08-17,20.193
2021-08-18,20.193
2021-08-19,20.193
2021-08-20,20.193
2021-08-21,20.193
2021-08-22,20.193
2021-08-23,20.158
2021-08-24,20.158
2021-08-25,20.158
2021-08-26,20.158
